index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,114.38,120.053,-- 2020 meeting of the Seattle city council will come to order.,0,,
1,0.97,120.053,124.791,"I'm Lorena Gonzalez, president of the Seattle city council.",0,,
2,0.97,124.791,134.167,Will the clerk please call a roll?,0,,
3,0.97,134.167,135.168,Councilmember Morales?,1,,
4,0.97,135.168,137.203,Here.,2,,
5,0.97,137.203,139.172,Councilmember Mosqueda?,3,,
6,0.97,139.172,141.04,Present.,4,,
7,0.97,141.04,144.844,Councilmember Pedersen?,5,,
8,0.97,144.844,146.813,Here.,6,,
9,0.97,146.813,148.581,Councilmember Sawant?,7,,
10,0.97,148.581,150.049,Here.,8,,
11,0.97,150.049,150.783,Councilmember?,9,,
12,0.97,150.783,153.82,Present.,10,,
13,0.97,153.82,158.458,Councilmember Juarez?,11,,
14,0.97,158.458,159.492,Here.,12,,
15,0.97,159.492,162.195,Councilmember Herbold?,13,,
16,0.97,162.195,165.431,Councilmember Lewis?,13,,
17,0.97,165.431,166.032,Present.,14,,
18,0.97,166.032,168.434,Council President Gonzalez?,15,,
19,0.97,168.434,169.002,Here.,16,,
20,0.97,169.002,170.003,Eight present.,17,,
21,0.97,170.003,173.206,"Thank you so much, Madame clerk.",18,,
22,0.97,173.206,179.512,"Just so the public is aware, I did receive the message from Councilmember Herbold she will be in attendance today.",18,,
23,0.97,179.512,182.215,She's running a few minutes late.,18,,
24,0.97,182.215,186.352,I appreciate your all's patience as she works on some important issues before hopping on the line with us today.,18,,
25,0.97,186.352,188.154,"Again, she does plan to be here with us.",18,,
26,0.97,188.154,189.956,She's just running a few minutes late.,18,,
27,0.97,189.956,198.731,I will try to keep an eye out for her and note for the record when she arrives.,18,,
28,0.97,198.731,202.335,"Okay, so next up is a session of rules.",18,,
29,0.97,202.335,211.744,So the city of Seattle issued a civil security proclamation due to the Corona Thatvirus.,18,,
30,0.97,211.744,225.258,"The stay home, stay healthy order is through June 17th in the--the city council--through June 17, 2020.",18,,
31,0.97,225.258,239.672,"Just to clarify, he did not extend the stay home and stay healthy order, however, we do have proclamation 20-28.4 which permits the city Council to continue meeting remotely through June 17th.",18,,
32,0.97,239.672,248.514,"And so in order to comply with those recommendations, we'll continue to do so.",18,,
33,0.97,248.514,253.486,"So Councilmembers, the Council rules are silent on participation at committee meetings.",18,,
