index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,20.72,20.854,Will.,0,,
1,0.97,20.854,27.727,Good morning everyone.,1,,
2,0.97,27.727,29.028,Apologies for hitting the wrong button.,1,,
3,0.97,29.028,37.737,"Colleagues, we are going to get underway.",1,,
4,0.97,37.737,43.109,The May 26 to 2021 meeting of the land use and neighborhoods committee meeting will come to order.,2,,
5,0.97,43.109,43.576,It is 9:30 A.M.,2,,
6,0.97,43.576,49.416,I am Dan Strauss for chair of the meeting.,2,,
7,0.97,49.416,52.419,Will clerk please call role?,2,,
8,0.97,52.419,61.428,[roll call].,3,,
9,0.97,61.428,64.364,Three pleasant.,4,,
10,0.97,64.364,64.731,Thank you.,5,,
11,0.97,64.731,68.635,The Land-Use neighborhoods committee of the city of Seattle begins our meetings with the land acknowledgment.,6,,
12,0.97,68.635,76.943,This is not to be a road to behavior or a habit.,6,,
13,0.97,76.943,83.049,This is not intended to just say the words and move on.,6,,
14,0.97,83.049,90.49,I always like to take a moment to pause before we do so.,6,,
15,0.97,90.49,101.401,"The city of Seattle begins the committee meeting by acknowledging we are on the traditional and ancestral lands of the first people of this region, past and present represented in a number of tribes.",6,,
16,0.97,101.401,104.404,And we honor with gratitude the land itself and the people of this land.,6,,
17,0.97,104.404,113.179,"We start with this acknowledgment to recognize fact that we are guests on this land and should steward our land as such, as guests.",6,,
18,0.97,113.179,114.214,And this is not a checklist.,6,,
19,0.97,114.214,118.718,It doesn't give us a pass.,6,,
20,0.97,118.718,126.826,Starting with the land acknowledgment is not a passport to proceed however we desire.,6,,
21,0.97,126.826,133.099,"As reminder we must steward our work as guests as our time here both as elected officials, on the committee and in life is short.",6,,
22,0.97,133.099,134.234,We have seven items on today's agenda.,6,,
23,0.97,134.234,140.54,So I will keep my thank Youse and questions shorter than usual.,6,,
24,0.97,140.54,153.253,We have a public hearing on counsel bill--and this is on hold.,6,,
25,0.97,153.253,153.72,1279.,6,,
26,0.97,153.72,155.321,We are having a public hearing today.,6,,
27,0.97,155.321,158.525,The briefing and the bill and the work on the bill will happen at a later date.,6,,
28,0.97,158.525,165.164,We will have a briefing and vote on the equipment of the Pike place governing Council.,6,,
29,0.97,165.164,173.706,Will have a briefing discussion of a possible vote on the Council bill 1286 which transfers the discussion.,6,,
30,0.97,173.706,184.484,And accountable on 120081 for preferable housing development on really just institution lands.,6,,
31,0.97,184.484,197.397,"And will have a final briefing and vote on counsel bills 120083, 84 and 85 which are technical codes from Sdci.",6,,
32,0.97,197.397,204.504,We are not planning to hold the regularly scheduled June 9th meeting of the land use and neighborhoods committee meeting.,6,,
33,0.97,204.504,207.507,The next meeting will be June 23rd starting at 9:30 A.M.,6,,
34,0.97,207.507,213.78,"Before we begin, if there are no objections, the agenda will be adopted.",6,,
35,0.97,213.78,215.682,"Hearing no objection, the Agendas adopted.",6,,
36,0.97,215.682,221.321,"At this time, we will open the remote public comment period for the items on today's agenda before we begin.",6,,
37,0.97,221.321,226.292,And I asked that everyone as patient as we learn to operate this new system in Realtime.,6,,
38,0.97,226.292,243.91,"While it remains our strong intent to have public comment regularly included on Agendas, the city council reserves the right to end these periods at any point if we deem the system is being abused or is unsuitable for allowing meetings to be conducted efficiently and in a manner in which we are able to conduct our necessary business.",6,,
39,0.97,243.91,245.912,I will moderate the public comment in the following manner.,6,,
40,0.97,245.912,250.75,The public comment period for this meeting is up to 10 minutes and each Speaker will be given two minutes to speak.,6,,
41,0.97,250.75,257.857,I will call on each Speaker by name and in the order in which they register the Council Website.,6,,
42,0.97,257.857,261.728,You can sign up before the end of public comment by going to the Council Website.,6,,
43,0.97,261.728,269.469,The public comment link is also listed on today's agenda and is separate from the listen in line.,6,,
