index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,27.727,29.095,It is 2:00 P.M.,0,,
1,0.97,29.095,29.596,I am Dan Strauss.,0,,
2,0.97,29.596,33.666,Can clerk lease call the role?,0,,
3,0.97,33.666,35.168,Peterson.,1,,
4,0.97,35.168,39.039,Present.,2,,
5,0.97,39.039,39.939,Councilmember Teresa Mosqueda.,3,,
6,0.97,39.939,41.975,Present.,4,,
7,0.97,41.975,47.914,Chair Strauss.,5,,
8,0.97,47.914,48.248,Present.,6,,
9,0.97,48.248,48.982,Three present.,7,,
10,0.97,48.982,51.451,As more Councilmembers attend I will let folks know.,8,,
11,0.97,51.451,57.757,We have three items on the agenda today.,8,,
12,0.97,57.757,61.661,-- allows for transferable rights and neighborhood commercials on the first bill.,8,,
13,0.97,61.661,67.7,We have a briefing discussion on counsel bill 120-265.,8,,
14,0.97,67.7,70.437,Which extends legislation for six months.,8,,
15,0.97,70.437,76.876,And a quarterly report from s DCI.,8,,
16,0.97,76.876,88.188,"I will be the presenter, as Freeman is on leave at the moment.",8,,
17,0.97,88.188,89.422,You will have to bear with me.,8,,
18,0.97,89.422,92.459,We are not voting on the bill today.,8,,
19,0.97,92.459,94.127,I see that Councilmember Nelson has joined the meeting.,8,,
20,0.97,94.127,110.543,"We are doing the initial briefing today for bringing business home because I will need, in the future, asking to suspend the rules to add the bill voted on the same day there is a public hearing.",8,,
21,0.97,110.543,113.213,I want to make sure as much information is presented as possible.,8,,
22,0.97,113.213,117.851,We also have Councilmember Tammy J. Morales joining us now.,8,,
23,0.97,117.851,119.319,I just want to highlight that for you.,8,,
24,0.97,119.319,124.591,I will be your presenter and we will have more opportunities to talk about this.,8,,
25,0.97,124.591,132.098,"Before we begin, if there is no objection, I'm hearing no objection.",8,,
26,0.97,132.098,136.269,The agenda is adopted.,8,,
27,0.97,136.269,138.571,A couple of items of housekeeping before we get underway.,8,,
28,0.97,138.571,147.981,"First, understanding that there is a proclamation next week for AIDS and HIV awareness day.",8,,
29,0.97,147.981,153.953,I want to stress my support for this.,8,,
30,0.97,153.953,156.856,"She has been a longtime member of this Committee and is no longer, unfortunately.",8,,
31,0.97,156.856,158.858,I just want to take this moment to express my support.,8,,
32,0.97,158.858,163.796,Any other Councilmembers?,8,,
33,0.97,163.796,164.43,Councilmember Teresa Mosqueda.,8,,
34,0.97,164.43,169.536,Thank you very much . I echo your support for this.,9,,
