index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,7.807,16.249,"Started January 31, 2022 council meeting will come to order the time is to: 01, will the clerk please call the role?",0,,
1,0.97,36.87,39.372,[roll being called] eight present.,1,,
2,0.97,39.372,47.48,"We will loop back, Councilmember Mireles is here.",2,,
3,0.97,47.48,52.152,Cannot hear you.,2,,
4,0.97,52.152,57.057,Good afternoon everybody.,3,,
5,0.97,57.057,122.689,"Okay let's go to approval of the minutes if there is no objection the minutes of January 24 will be adopted, hearing no objection the minutes are adopted, Presidents report on today's agenda we will be signing a provocation proposed by Councilmember Strauss--as a reminder when we get to our individual reports as you all know just to hand it over to our colleague before we get started I would like to provide to reminders regarding the 2022 Council work plan central staff is working to finalize by February 22 so a solid draft of--is due this Friday that is the fourth, if there are projects or policies you would like included in the work program that fall outside of your Committee the committee you chair you need to work with the Councilmember who is the chair of that committee with oversight of that particular topic.",4,,
6,0.97,122.689,136.87,"With that, I will move into signing of letters and prop locations--Councilmember Strauss do you want to go ahead and lead the --",4,,
7,0.97,136.87,171.204,Colleagues we have a proclamation before us regarding a person who has staff the 3RD and 2ND floors here at City Hall working for many different entities within the 2ND and 3RD floors I am being a little Bitcoin because this is supposed to be a surprise once it is delivered so if you do see in your Emails and I am sure on the official--happy to answer any questions of my colleagues.,5,,
8,0.97,171.204,186.319,"I guess with that we will go, will there not be any discussion about the proclamation before I can request signatures to be affixed?",6,,
9,0.97,186.319,197.03,"I am happy to say more, I guess I look to the clerks if I am required to say more or if you want me to stop being coy and come out with a surprise --",7,,
10,0.97,197.03,204.971,I cannot ask you to affixed their signature unless they know what the proclamation is about.,8,,
11,0.97,204.971,211.411,I believe it was circulated to all offices as per your rules.,9,,
12,0.97,211.411,211.844,Okay.,10,,
13,0.97,211.844,242.508,"So this individual has served the city clerk's office and the city council's office has worked for Mayors, has worked for Councilmembers, has made an improvement upon everyone's lives around here, I would say if there are more questions I am happy to answer them or the proclamation should also be in --",11,,
14,0.97,242.508,258.958,"I guess what I am getting at is that in order to ask people to affixed their signature to the proclamation you might have to say, is there anymore you want to add?",12,,
15,0.97,258.958,296.529,"If you need me to be a little bit more specific I am happy to do so I was hoping to surprise this person since we are not bringing them to the full city council meeting or the Council briefing colleagues in the past have been able to do this in a little bit less of a formal way, where the individual could show up at the end of the Council meeting and be presented it there, but because we are now working in a remote faction it is a little bit more awkward Council President I am looking for you to tell me that I just have to be out with it, Yeah?",13,,
16,0.97,296.529,308.875,"The reason why is in order to lead the discussion on the proclamation and ask your colleagues to sign, they would need to know who it is about, and if they want to add anything, and we can sign it, add to it.",14,,
17,0.97,308.875,398.498,"Sure, I guess colleagues I will be a little bit more out with it, I guess I am a little bit nervous that this person is watching our briefing,--and the reason I am trying to be coy is because I do know that all offices have received this and so they do know what they are signing, so this is a proclamation to honor the work of--who has worked with the front desk for the Seattle city council for--for myself for--and has recently accepted a job with the human services Department, and she has the unique thing about her is she has not served just one Councilmember, she has served all Councilmembers on the floor and Councilmember Mosqueda I was flipping through some memories and while you were being sworn in I have a Video of her Affixing your Nameplate to the door alongside--and so this is just--I was trying to be coy because it is harder birthday next month and so I was trying to surprise her with this, so the cat is out of the bag so colleagues I would love for your signature.",15,,
18,0.97,398.498,422.622,"Are there any of our colleagues who want to share anything with our colleague Lena who has served us well at the front desk and--and she is a dear friend and has done great and we are happy that she has gone to another Department on the mayors side, so starting with anyone who would like to--before I ask you to affix your signatures?",16,,
19,0.97,422.622,453.119,"-- you were so good about these proclamations I know you wanted to keep it a surprise, but surprise, great surprise anyway, and I am sure it is well received, but you are a great example of a high road employer and very thankful that you are doing this and we are thrilled that we will continue to be able to work with you thank you for Affixing that Nameplate --",17,,
20,0.97,453.119,461.26,Are we declaring a day --,18,,
21,0.97,461.26,469.802,"It will be--day on March 4, 2022 which is her birthday.",19,,
22,0.97,469.802,478.11,"Okay, well the first round is on Strauss.",20,,
23,0.97,478.11,492.525,Now that we have that and now that we know the proclamation for signature you know what you are going to sign--we have already gotten our feedback so with that clerk will you please call the roll to determine what Councilmembers would like their signatures affixed to the proclamation?,20,,
24,0.97,492.525,493.993,[roll being called],21,,
25,0.97,514.046,523.022,Nine in favor.,22,,
26,0.97,523.022,545.678,"Thank you, the proclamation passes, so with that we are going to move to item number 4 on our agenda that is the state legislative session up date and I know that you all received our memo from our folks at Oir on update from what we discussed last week so with that I will let Gael Tarleton take over and introduce her team and we will go ahead with the overview.",23,,
27,0.97,545.678,584.35,"Thank you Council President, I am delighted to bring forth today to members of our team who I think many of you have met in the past are Federal affairs director Sierra and our Federal contract office Leslie and I will have them start with giving you an update on all things in the other Washington maybe a Subset of all things in the other Washington and then Elsa Brown will give you an update on what will be a final fast week of session before policy cut off on February 3, so Sierra, why don't you kick it off?",24,,
28,0.97,584.35,585.217,Thank you.,25,,
