index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.517,20.954,Hank you for coming back.,0,,
1,0.97,20.954,23.323,I'm Teresa Mosqueda chair of the budget committee.,0,,
2,0.97,23.323,26.059,"Today is October 1st, 2021 and the time is 2:02 P.M.",0,,
3,0.97,26.059,33.933,We are going to go ahead and start with session two of our agenda today.,0,,
4,0.97,33.933,56.256,"Madam clerk, could you please call the roll for the select budget committee.",0,,
5,0.97,56.256,67.2,[roll called].,0,,
6,0.97,67.2,68.034,Thank you very much Madam clerk.,1,,
7,0.97,68.034,73.173,I want to thank you for the time you have taken in the last Two-And-A-Half days and we are near the finish line.,1,,
8,0.97,73.173,82.215,What we have in front of us is a present taking from a diversity of human services Department.,1,,
9,0.97,82.215,105.138,And office of emergency management and office of housing and the city budget's office as it relates to Covid response and then we will round out the day with a presentation from human services Department on items that are not related to homelessness services.,1,,
10,0.97,105.138,114.981,"I want to thank Tonya Kim, Kareem Mayor and Emily Alvarado and Ben noble along with Julia.",1,,
11,0.97,114.981,130.563,I want to thank you for having a large panel today as we seek to understand more about how the 2022 proposed budget that the Mayor transmitted on Monday has a more equitable recovery.,1,,
12,0.97,130.563,139.806,We are focused on response and recovery and hopeful that we will have a chance for time for questions at the end as well.,1,,
13,0.97,139.806,175.408,"Much like the conversation at the national level, recovery is not just about infrastructure and making sure that buildings and the brick and mortar of our city has what they need and recovery is centered on whether humans have investments in our infrastructure that allows us to go to work like child care and support services like transportation that runs on time and making sure that our Elders have food and our kids have a place to go to, to learn.",1,,
14,0.97,175.408,192.559,"Looking forward to hearing from you from the work that city Council has done with our joint effort with the Mayor around the Seattle rescue plan act for the first funds that we have, just start Seattle that was in the first two years dedicated to Covid response.",1,,
15,0.97,192.559,232.165,And it has been a long two years but I think that the news conference as of late has reflected back on the jump start and to make sure we had early investment in community and small businesses into our most vulnerable and city Department to make sure we weather the storm that is Covid by actively using our jump start projected funds as we spent some of the rainy day investments.,1,,
16,0.97,232.165,239.806,And that helped us to come out stronger than many cities and looking forward to this.,1,,
17,0.97,239.806,240.506,I will go to director noble.,1,,
18,0.97,240.506,242.041,We are almost at the end here.,1,,
19,0.97,242.041,247.447,Two more presentations to go and thank you for being with us the last three days.,1,,
20,0.97,247.447,252.785,Totally my pleasure and moving to the next slide.,2,,
21,0.97,252.785,271.437,"As I promised on Wednesday the presentation on Federal funding and to make it unlike some of the presentations this is not entirely forward looking, some is to provide you an update on the resources that has been allocated this year.",2,,
22,0.97,271.437,280.647,In particular Seattle rescue plan one and two are the somewhat flexible dollars in the first Coronavirus relief.,2,,
23,0.97,280.647,287.72,And then also some of the more targeted dollars that went to specific programs.,2,,
24,0.97,287.72,301.134,We will update you and give you an update on FEMA and the expenditures and the work that we have been doing to get repaid by FEMA and the processes there and the Timeline that we have been seeing.,2,,
25,0.97,301.134,315.481,And the more detail part of the presentation is about the proposal to spend Federal money and the remainder part of the Clipper dollars and potentially $116 million of the trench.,2,,
26,0.97,315.481,322.088,That is incorporated into the 2022 budget and we want to give you a comprehensive look how it fits together.,2,,
27,0.97,322.088,326.959,And we will wrap up giving you a lay of the land of what is to come.,2,,
28,0.97,326.959,336.769,I was just checking CNN and the New York times before I logged in to see what the latest from D.C. where some of the issues are being debated.,2,,
29,0.97,336.769,344.844,I wanted to give you a sense of how we are positioning.,2,,
30,0.97,344.844,363.563,That's the agenda and first up is Seattle rescue plan one so if we advance the next slide.,2,,
31,0.97,363.563,382.448,Good afternoon I am curry Mayer the director of Seattle emergency management and happy to be here and thank you for inviting me and happy to share with you what is happening and the reimbursement we have received from FEMA.,3,,
32,0.97,382.448,395.862,It has been $4.8 million in funding approval from the public assistant's office with 2.1 million in review with our state partners that will be forwarded on to FEMA.,3,,
33,0.97,395.862,410.042,13.2 million in preparation for Submittal by the city Department that comes first through the office of emergency management and I have additional details on the developments for the next slide.,3,,
34,0.97,410.042,451.884,To give you an idea some of the projects from other departments are things like all of the Ppe that FAS purchased at the beginning and quarantine and isolation facilities and then we have a second funding project for our vaccination efforts and important to note that there are those two funding strains for Departmnt projects and then vaccine and separate.,3,,
35,0.97,451.884,466.566,We noted here that eligibility is extended to December because we thought it might end in September and that allows us to apply for additional items to be reimbursed through FEMA.,3,,
36,0.97,466.566,476.642,It is important to note that this is unusual event for FEMA and it is a disaster it is a public health emergency that they do not have a lot of experience with.,3,,
37,0.97,476.642,494.861,They are used to disasters that have a short period of time short area of impact and long term management and this is different as we are still in it and making changes as we go along in terms of what it is to help people.,3,,
38,0.97,494.861,514.947,It means that FEMA is taking time on their guidance and the guidance on what is eligible and ways not and they have added to the safe reopening costs and will be looking at that for possible eligible items.,3,,
39,0.97,514.947,530.062,"And just to underscore that because it is unusual, FEMA is struggling a little bit to catch up with the Covid work and the other disaster work.",3,,
40,0.97,530.062,548.915,"Hurricanes and Wildfires and those things that they have a lot of experience with are still happening and also require reimbursement and it can make our reimbursement Timelines for this draft more dynamic, the reach for Covid is across the nation.",3,,
41,0.97,548.915,556.923,There's no place in the nation that this disaster has not touched.,3,,
42,0.97,556.923,563.863,And so you can imagine it is a body giant of work across the country what are the things to be reimbursed.,3,,
43,0.97,563.863,581.581,We have FEMA Federal funding for additional vaccine work that last bullet through an extension of our contract with public health Seattle King County for the new vaccination work that will be happening.,3,,
44,0.97,581.581,594.093,For the boosters and the other things we do to negotiate that contract and we are extending it.,3,,
45,0.97,594.093,594.594,All right.,3,,
46,0.97,594.594,595.428,"So next slide, please.",3,,
47,0.97,595.428,626.659,"This gives you a Snapshot and more details on what has been occurring and what we are submitting to FEMA for possible reimbursement, you can see on this side on the far left-hand side are the departments NA have submitted projects to the office of emergency management that we then review and we send to our state partners and to FEMA.",3,,
48,0.97,626.659,635.001,We send them to our state partners because they do a more extensive review before sending to FEMA that is good.,3,,
49,0.97,635.001,648.481,It is more likely that reimbursements will be in good shape and not need additional documentation prior to going to FEMA so that saves us time and that's a good thing.,3,,
50,0.97,648.481,668.2,They also expect--we expect the reimbursement to be reflected in the 2022 budget and that comes from potential Eligibilityity to spend the funds.,3,,
51,0.97,668.2,674.54,The projects further in review are for more reimbursement and receipt.,3,,
52,0.97,674.54,693.192,If FEMA APPROVES the possibility of eligibility up front then those items should not take as long as new items that have not been previously reviewed.,3,,
53,0.97,693.192,724.757,"Projections for the general Fund are waited for 2023 for the f SA Fund are spread across for 2021, 22, 23 and there are 20 projects total for the Department, S DOT and traffic management at testing sites and also Ppe and library and personnel for the fire Department.",3,,
54,0.97,724.757,728.027,Can I ask a question to clarify on the slide.,4,,
55,0.97,728.027,741.574,I guess I want to make sure are the columns added if there was a final column Tothe right would you see a total in what has been allocated to each of those two departments?,4,,
56,0.97,741.574,762.094,"This is tracking the work that we will do to seek reimbursement, we have submitted claims for 21.4 and what we hope over time that the far right-hand column adds up 21.",5,,
57,0.97,762.094,769.602,Eventually the Submittals are approved and tracking the timing of the likely repayment to us.,5,,
58,0.97,769.602,776.976,Julie has better clarification than I have offered.,5,,
59,0.97,776.976,788.621,That is right with one slight nuance is an independent total.,6,,
60,0.97,788.621,800.166,I think it would be helpful to have a column to the right for the totals and a grand total on the far right column too.,7,,
61,0.97,800.166,800.432,Right.,8,,
62,0.97,800.432,804.803,That would be helpful to see visually.,8,,
63,0.97,804.803,818.284,The city has fronted this money and we are seeking reimbursement and developing a model and seeing a summary of our expectations of when the payments will come.,9,,
64,0.97,818.284,820.786,"And very telling, thank you.",10,,
65,0.97,820.786,822.488,Okay.,11,,
66,0.97,822.488,834.934,So just the last thing to emphasize is the duration of the pandemic makes it more complicated in terms of when the funding will be returned to us.,11,,
67,0.97,834.934,848.781,They could extend the incident date and change in our favor and just know that there is two channels of work.,11,,
68,0.97,848.781,851.083,The independent departments and the project departments.,11,,
69,0.97,851.083,856.155,That is all I have for the summary unless there is other questions.,11,,
70,0.97,856.155,862.094,"Great, thank you so much, curry.",12,,
71,0.97,862.094,863.429,You bet.,13,,
72,0.97,863.429,886.185,From here we will head into the questions as we go like we did in the first presentation so this is a high level of multiple departments so it is okay for us to do that but I will ask to be short with commentary.,14,,
73,0.97,886.185,886.919,Councilwoman Herbold.,14,,
74,0.97,886.919,887.219,Thanks.,15,,
75,0.97,887.219,893.826,"On-site two it limited female eligibility extend to December 31st, 2021.",15,,
76,0.97,893.826,899.665,And wondering what we know about FEMA eligibility being extended to 2022.,15,,
77,0.97,899.665,922.087,And as it relates to the conversation we just had about the details of Reimbursable expenses and really appreciate this information being provided and still not quite sure because we built a budget based on some sort of assumptions about reimbursement.,15,,
78,0.97,922.087,936.669,I see what we have--what we are applying for but what our assumptions about what we will get for the categories.,15,,
79,0.97,936.669,936.902,Thanks.,15,,
80,0.97,936.902,942.074,I can speak to the incident eligibility about what that date is about.,16,,
81,0.97,942.074,958.09,"So FEMA usually looks at a disaster, say, the North Ridge earthquake and says the eligibility for projects is this amount of time and anything that happens outside that eligibility or incident period.",16,,
82,0.97,958.09,989.188,Would not be considered for reimbursement for this event because it keeps rapidly changing and they have waited until the last minute so first of all it was September and I think we found out maybe a couple of days before the beginning of September it would extend the incident date to December 31st and that could change but most likely they will wait until the last minute and it is important to remember that they are balancing other work.,16,,
83,0.97,989.188,1002.668,The hurricanes and what happens with Wildfires and what not where they actually deploy stuff to help so that is a bigger burden where right now they are not deploying stuff for Covid.,16,,
84,0.97,1002.668,1042.441,"And the other portion and I will happened it to Julie, for the other question, Councilmember Herbold, because it is a reimbursement activity rather than we know we will get this amount, it is a little more vague in terms of the total amounts unless it is what we have spent in terms of emergency protective measures and the largest category of FEMA assistance and what have you done to protect the public.",16,,
85,0.97,1042.441,1043.809,Hopefully that is helpful.,16,,
86,0.97,1043.809,1044.543,Julie.,16,,
87,0.97,1044.543,1044.777,Yes.,17,,
88,0.97,1044.777,1053.986,"Actually, if we could go to the next slide actually Councilmember Herbold the final three bullets may provide clarity for what you are asking.",17,,
