index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,11.811,22.722,"Thank you so much, the October 18, 2021 meeting of the Seattle city council will come to order.",0,,
1,0.97,22.722,25.692,Will the clerk please call the role?,0,,
2,0.97,25.692,51.284,[roll being called] eight present.,1,,
3,0.97,51.284,68.334,"I did get a note from Councilmember Morales that she does plan to join us but she is running a few minutes late, so when she arrives I will note that for the record.",2,,
4,0.97,68.334,109.175,"Presentations as we heard this morning Councilmember Herbold does have a proclamation--Councilmember Herbold is going to present the proclamation first and then I will open it up for comments from other Councilmembers and then after we hear from other Councilmembers we will go ahead and suspend the rules to allow our guests to accept the proclamation and provide comments, so first we will hear from Councilmember Herbold and then we will hear from any other Councilmembers who want to make comments and then we will suspend the rules and I will hand it over for--so Councilmember Herbold take it away.",2,,
5,0.97,109.175,138.371,"Thank you so much I really appreciate this opportunity to present the proclamation declaring Thursday, October 21 to be--I want to especially call out--in particular because she staffs the multi- branch--counsel and she actually made the suggestion that we bring forward this proclamation with the Mayor's concurrence to make sure that we are really honoring the work of folks who are doing so much in this area right now.",3,,
6,0.97,138.371,147.614,This morning every counsel colleague had the opportunity to affix their signature to the proclamation and did so.,3,,
7,0.97,147.614,193.092,"Many of you know that October is domestic violence awareness month, but on Thursday the Seattle--will be lit purple for Puget sound purple Thursday in recognition not just of the Domesti violence awareness month but also awareness and recognition for folks who are doing--in this area, since the pandemic began providers have been on the front lines of a significant rise in Gender- based violence and they have responded as so many have--in order to support survivors and their families.",3,,
8,0.97,193.092,208.074,"The city of Seattle invests in a comprehensive network of services and a specialized legal response to domestic violence and this network supports more than 10,000 survivors every year.",3,,
9,0.97,208.074,214.747,I am very glad of the opportunity to highlight the heroic efforts of these Front- line workers who are working with those survivors day in and day out throughout the pandemic.,3,,
10,0.97,214.747,234.701,"We have representatives of the coalition ending Gender-Based violence here to accept the proclamation, but as Council President Gonzalez mentioned now would be a great time to hear from --",3,,
11,0.97,234.701,243.376,Thank you so much Councilmember Herbold for that are there any other comments from Councilmembers before we suspend the rules?,4,,
12,0.97,243.376,263.863,"Not seeing any hands raised, I want to thank Councilmember Herbold for bringing Forwar% this proclamation during domestic violence awareness month and I certainly want to thank--for being with us today as we present this to this really important part of our community who does really important work.",4,,
13,0.97,263.863,281.414,If there is no objection the Council rules will be suspended to allow--to accept the proclamation and provide remarks hearing no objection this Council rules are suspended and I want to welcome Meryl to the city council meeting and I want to hand it over to Merrill to provide remarks and --,4,,
14,0.97,281.414,290.156,Hi thank you so much is my volume okay?,5,,
15,0.97,290.156,290.356,Good.,5,,
16,0.97,290.356,301.067,I just want to introduce myself I know most of you but my name is--and I am a director at the coalition against Gender- based violence.,5,,
17,0.97,301.067,308.441,-- they are busy juggling multiple things.,5,,
18,0.97,308.441,338.705,"So I am here to say on behalf of our over 30 member organizations that serve survivors of domestic sexual violence, we want to extend sincerely that thank you and express our appreciation for you taking the time with everything else that is going on to declare October 21 2021 to be Gender-Based violence provider recognition day.",5,,
19,0.97,338.705,360.226,"Right now, right in the middle of domestic violence awareness month, I also want to say thank you for all your long-term continued efforts to inspire awareness on this issue, a lot of you are--thank you all to Councilmembers and other folks behind making this happen.",5,,
20,0.97,360.226,390.556,"And I know that you are all far too familiar with--how they are connected to housing and homelessness,--other crises that are taking up so much of her time and I know you know that services never have adequate capacity--there will be time to talk about all of those problems and needs at future meetings, I promise you.",5,,
21,0.97,390.556,424.991,"But today we are focusing on celebrating the really talented providers of--who are working both inside and outside of formal systems to meet the needs of survivors, and I have been so impressed by seeing the tenacity resilience creativity and dedication of folks on the front lines of supporting survivors of this issue and also working with their communities to respond.",5,,
22,0.97,424.991,459.125,"Advocates and prevention lists have been showing up--despite the ongoing pandemic and all of its effects, having to give services, adapt them again, Readopt them again, try to figure out how to keep themselves and their families safe and also trying to provide safety and support for folks who--facing really difficult situations.",5,,
23,0.97,459.125,500.566,"They have been working hard to stay engaged with communities, to stay engaged with all of the really critical and needed conversations we are having in our communities around racial justice, around the need to Re- envision and how to transform our community and a systems of accountability and--attention to racial and gender justice.",5,,
24,0.97,500.566,512.178,And again holding the complexity of all of what sometimes seems like paradoxical situations.,5,,
25,0.97,512.178,537.57,I think we have said before that we know that from critical legal systems are not going to end Gender-Based violence and also to have the supportive and just communities that we want some survivors will end up having to turn to that system or remain engaged in it in some kind of way.,5,,
26,0.97,537.57,545.278,So at least for some temporary safety and harm reduction.,5,,
27,0.97,545.278,595.061,"So one thing that this past year and a half has taught me is just the workings of taking time to focus on gratitude and--really just to remember to recognize and celebrate the resilience of our communities and of the folks working to support those having a hard time, and I also have such gratitude for living somewhere where there are so many engaged and--such as yourselves, who really support and are working to transform our communities to places where safe and just relationships can thrive.",5,,
28,0.97,595.061,626.292,"You all have significant influence in your offices, and we really thank you for using that power to recognize Gender- based violence providers and inspire action today on--I really believe that together we can create communities, safe and just communities where everyone can thrive, thank you.",5,,
29,0.97,626.292,629.795,Thank you Merrill.,6,,
30,0.97,629.795,697.229,"Very well said, and I know you have spent a lot of time expressing gratitude to us for acknowledging the important work that providers do in this space every day and certainly Covid- 19 has been a very significant event that has really stressed the system even in the context of--and we want to express our immense gratitude to the thousands of workers in this area who have shown up every day, putting themselves second and putting members of our community first in order to--we hope you will send our best to everyone including yourself, thank you so much for being here and for all of--that you do, we know that we will see you very soon as we continue to talk about how to center the needs of our community and the safety of our community in our budget thank you Merrill.",6,,
31,0.97,697.229,697.663,Thanks so much.,7,,
32,0.97,697.663,697.997,Take care.,8,,
33,0.97,697.997,699.665,By.,8,,
34,0.97,699.665,725.891,"We are going to move to our next item which is approval of the minutes the minutes of the city council meeting of October 11, 2021 have been--hearing no objection the minutes are being signed will the clerk please affix my signature to the minutes okay we are going to move to the approval of the introduction and referral calendar I moved to adopt the introduction and referral calendar is there a second?",8,,
35,0.97,725.891,736.001,"It has been moved and Seconded to adopt the introduction and referral calendar colleagues as we have heard this morning--has an amendment that she would like to make a motion for, so I am going to go ahead and recognize Councilmember Sawant to make her motion.",8,,
36,0.97,736.001,776.442,Thank you I moved to amend the introduction and referral calendar--amending sections 3.02 through--and adding a new chapter--to the Seattle municipal code and referring it to the city council on November 1.,9,,
37,0.97,776.442,786.986,"Thank you, is there a second?",10,,
38,0.97,787.486,793.058,Could I get a courtesy second so that I could at least describe what this legislation does and keep in mind this is about whether to --,11,,
39,0.97,793.058,799.565,I cannot let you speak to the substance --,12,,
40,0.97,799.565,801.433,I am explaining what the vote is about.,13,,
41,0.97,801.433,804.67,I think Councilmembers know what the motion is and the effect of the motion is.,14,,
42,0.97,804.67,814.18,"This is not an opportunity for that, you have to have a second before we can speak to the substance of the motion.",14,,
43,0.97,814.18,816.482,I am not speaking to the substance --,15,,
44,0.97,816.482,819.251,That is the substance of the motion.,16,,
45,0.97,819.251,828.06,"The substance of the motion is to amend the introduction and referral calendar which is a procedural perspective, so you need a second before you can talk about the motion.",16,,
46,0.97,828.06,833.299,I am calling for a second for the third time.,16,,
47,0.97,833.299,838.804,I am not hearing a second.,16,,
48,0.97,838.804,841.874,Councilmember Sawant you are out of order.,16,,
49,0.97,841.874,845.911,Councilmember Sawant you are out of order.,16,,
50,0.97,845.911,847.313,Councilmember Sawant I am going to ask I.T.,16,,
51,0.97,847.313,851.817,To mute you if--this is out of order.,16,,
52,0.97,851.817,854.42,Councilmember Sawant.,16,,
53,0.97,854.42,857.489,I am not threatening you with anything.,16,,
54,0.97,857.489,860.526,Councilmember Sawant.,16,,
55,0.97,860.526,860.993,Councilmember Sawant.,16,,
56,0.97,860.993,876.542,I asked you to please comply with the rules of which you are very familiar because you are the most senior member on this counsel.,16,,
57,0.97,876.542,878.01,Do not go Shaming me --,17,,
58,0.97,878.01,885.551,"There is no second, therefore the motion fails for a lack of second.",18,,
59,0.97,885.551,889.622,And hearing no second we will go ahead and move on to other items of business on today's agenda.,18,,
60,0.97,889.622,890.155,Approval of the agenda.,18,,
61,0.97,890.155,893.859,"If there is no objection, the agenda will be adopted.",18,,
62,0.97,893.859,899.331,"Hearing no objection, the agenda is now adopted.",18,,
63,0.97,899.331,938.27,We will now move to public comment colleagues at this time we will open the remote public comment period for items on the city council agenda introduction a referral calendar and--I thank everyone for their ongoing patience and cooperation as we continue to operate this remote comment system it remains our strong intent to make sure that we have public comment in all of our meetings but there is a reminder the city council reserves the right to end these public comment periods at any time if we deem that the system is being abused--to be conducted efficiently and effectively.,18,,
64,0.97,938.27,959.625,"I will moderate it in the following manner the public comment for this period is 20 minutes and for each Speaker having up to 2 minutes--we have about 30 people signed up for public comment today, so I will extend the public comment period and shorten the amount of time for each presenter from 2 minutes to just one minute.",18,,
65,0.97,959.625,973.539,If there is no objection the public comment period will be extended to last about 30 minutes.,18,,
66,0.97,973.539,975.908,Hearing no objection the public comment period is extended to 30 minutes.,18,,
67,0.97,975.908,979.912,Speakers are called upon in the order in which they registered to provide comment on the city council's Website.,18,,
68,0.97,979.912,982.448,-- that was Emailed to them upon confirmation.,18,,
69,0.97,982.448,1008.374,This is different from--if you have not yet registered to speak--the public comment link is also listed on today's agenda.,18,,
70,0.97,1008.374,1019.585,"Once I call your name staff will Unmute you you will hear the prompt that you have been Unmute it, and that will be your Cue to press Á6 before you continue to speak.",18,,
71,0.97,1019.585,1025.891,Please begin by stating your name and the item you are addressing.,18,,
72,0.97,1025.891,1052.117,"Today's public comment should relate to an item on today's agenda, and item that is on the introduction or referral calendar or the--speakers are going to hear a time when you have 10 min seconds left of your allotted time--if you do not Wrapup your comments within the one minute we will have to mute your microphone in order to move on to the next Speaker.",18,,
73,0.97,1052.117,1061.226,Once you have completed your public comment please Disconnect from the line and you can continue watching this meeting on Seattle channel or one of the options listed on the agenda.,18,,
74,0.97,1061.226,1085.551,"Public comment is now open and we will begin with the first speakers on the last and I am going to call folks out at three at a time so that way you all can be ready again for those of you who signed up for the comment today you will have one minute instead of 2 minutes, so please start Whittling down your comments if you planned on giving a Two- minute testimonial.",18,,
75,0.97,1085.551,1091.59,"Thank you so much first up is Margot Stewart, and then we will hear from Howard Gail, and then--Margot, welcome.",18,,
76,0.97,1091.59,1101.7,--,19,,
77,0.97,1158.857,1169.701,Next is Howard Gail followed by--and then Logan's one,20,,
78,0.97,1169.701,1199.264,-- the planned 2222 budget includes $10.8 million for failed police accountability for--the SPD has budgeted another 10+ million dollars for Faux accountability through--the city attorney's office spends another $17 million on the civil division a portion of which is to defend police abuse and deny people justice.,21,,
79,0.97,1199.264,1229.995,This entire counsel has not questioned one penny of these approximately--you are charging Seattle taxpayers--go to Seattle Stop.Org to find out how --,21,,
80,0.97,1229.995,1237.603,"Next was blithe Serrano, but she is now showing up as not present.",22,,
81,0.97,1237.603,1240.806,If you call back I will give you your one minute.,22,,
82,0.97,1240.806,1248.513,Next is Logan swan followed by --,22,,
83,0.97,1248.513,1249.514,Can you hear me?,23,,
84,0.97,1249.514,1253.986,"We can, go ahead.",24,,
85,0.97,1253.986,1308.106,"My name is Logan swan, I am a union worker out of local 86--local 19 and I am calling in favor of the paid parking for construction workers, I want to thank Councilmember Sawant for bringing forward this legislation because--$100 at least out of their pocket and I have got to say, I think it is absolutely shameful that Councilmembers and people for running for office would walk the picket lines with carpenters and say they support their demands and then not even second a vote, not vote in favor of this very commonsense legislation that was--save workers like myself thousands of dollars every year, I am disgusted and you all should be ashamed of yourselves.",25,,
86,0.97,1308.106,1308.84,Thank you Councilmember Sawant.,25,,
87,0.97,1308.84,1314.479,Next is Nina Wirtz followed by Colin Millan and Barbara Finney.,26,,
88,0.97,1314.479,1317.983,Nino welcome.,26,,
89,0.97,1317.983,1352.217,"I am a Renter in district 2--I need the Council to support--without delay, many construction workers support this, but they work during the day during this inconveniently scheduled meeting, you folks who oppose this are out of touch with the boots on the ground rank-and-file members who waste upwards of $500 a month on parking.",27,,
90,0.97,1352.217,1375.24,"It seems that--myself and many other voters are intensely disappointed in supposedly those who cannot put upside party politics to support workers, the least you can do is make sure we are not taxed just to go to work.",27,,
91,0.97,1375.24,1392.724,"Thank you, next is Colin Millan followed by Barbara Finney and then Reverend Robert Jeffrey.",28,,
92,0.97,1392.724,1408.173,Colin I see that you are on the screen but you are still muted so please make sure you press Á6.,28,,
93,0.97,1408.173,1420.852,"Sometimes the zoom feature can be a little sticky so try again, make sure it is Á6.",28,,
94,0.97,1423.054,1430.896,"Still cannot hear you Colin, it looks like you are still muted so try one more time, Á6.",28,,
95,0.97,1430.896,1437.102,"Okay I am not seeing Colin, so let's go ahead and move on to Barbara Finney and then Reverend Jeffrey and we can circle back to Colin again.",28,,
96,0.97,1437.102,1438.203,Barbara welcome.,28,,
97,0.97,1438.203,1451.883,"My name is Barbara Finney, District 5--speaking in personal capacity.",29,,
98,0.97,1451.883,1478.477,"I think it is shameful that none of you would give a second to legislation supporting workers in Seattle, very Disrespectful to your fellow Councilmember . It does not look good.",29,,
99,0.97,1478.477,1505.937,"You Councilmembers have stood in solidarity with other groups of Seattle workers to improve--the plight of construction workers has been shown to you in all different forms, the hardship for paying for their parking, there is precedent for legislating the work conditions--stand in solidarity with construction workers and bring Councilmember Sawant's legislation --",29,,
100,0.97,1505.937,1512.577,Next up is Reverend Robert Jeffrey and then we will try Colin Millan again.,30,,
101,0.97,1512.577,1516.181,"Reverend Jeffrey, welcome.",30,,
102,0.97,1516.181,1527.192,"My name is Robert Jeffrey, senior pastor at Newhope missionary Baptist church.",31,,
