index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,12.512,13.38,Thank you so much.,0,,
1,0.97,13.38,15.248,"The November 2ND, 2020 meeting will come to order.",0,,
2,0.97,15.248,16.649,It is 2:00 P.M ..,0,,
3,0.97,16.649,18.985,"I am M. Lorena Gonzalez, president of the Council.",0,,
4,0.97,18.985,25.992,Councilmember Herbold?,1,,
5,0.97,25.992,27.293,Here.,2,,
6,0.97,27.293,31.664,Councilmember Debora Juarez?,2,,
7,0.97,31.664,34.701,Councilmember Tammy J. Morales?,2,,
8,0.97,34.701,36.102,Here.,3,,
9,0.97,36.102,39.506,Councilmember Teresa Mosqueda?,4,,
10,0.97,39.506,41.174,Present.,5,,
11,0.97,41.174,43.877,Councilmember Alex Pedersen?,6,,
12,0.97,43.877,46.913,Here.,7,,
13,0.97,46.913,47.714,Councilmember Kshama Sawant?,8,,
14,0.97,47.714,48.681,Here.,9,,
15,0.97,48.681,53.586,Councilmember Dan Strauss?,10,,
16,0.97,53.586,55.622,Here.,11,,
17,0.97,55.622,59.092,"Thank you, Madam clerk.",12,,
18,0.97,59.092,63.496,There is one presentation as we discussed this morning.,12,,
19,0.97,63.496,75.942,The presentation will be facilitated by Councilmember Mosqueda to present affordable housing week.,12,,
20,0.97,75.942,80.613,Councilmember Mosqueda?,12,,
21,0.97,80.613,87.62,"Thank you very much, Madam President.",13,,
22,0.97,87.62,91.758,I am really excited about the proclamation we have in front of us today recognizing the city's of forcing housing week.,13,,
23,0.97,91.758,93.359,Every year we do this.,13,,
24,0.97,93.359,107.24,"We recognize the affordable housing advocates, the community at large, the individuals who have come together to support making sure all in our community have access to the affordable housing comprehensive and accessible housing that our city needs.",13,,
25,0.97,107.24,123.89,This year is similar in that we want to make sure that this is recognized in statute that we have a historical document that recognizes the importance of affordable housing week.,13,,
26,0.97,123.89,125.358,We are doing it and retrospect though.,13,,
27,0.97,125.358,128.361,"We are recognizing affordable housing week, which was October 12th through 16th of this year.",13,,
28,0.97,128.361,167.634,"As I mentioned in Council breathing this morning, we celebrate affordable housing week with our community partners, such as the housing development and over 100 participants they have within their who have been working on fighting for affordable housing, includes egg inclusive housing, fighting against Exclusionary lending policies, and our continuing to fight or create a more inclusive zoning policy in our city and more affordable dollars for building affordable housing because the market alone is not producing the housing.",13,,
29,0.97,167.634,170.003,We know it is both a zoning issue and a funding issue.,13,,
30,0.97,170.003,175.041,The need for affordable housing and homes across King County prior to the Covid pandemic was already great.,13,,
31,0.97,175.041,177.71,We were already in the state of emergency.,13,,
32,0.97,177.71,184.217,A number of people experiencing homelessness have had to continue to decline.,13,,
33,0.97,184.217,193.76,"We know in the point in time count, or the most recent one it found that 4428 people in our community were sleeping outdoors without shelter.",13,,
34,0.97,193.76,197.23,That was in January of for bid really hit our community.,13,,
35,0.97,197.23,212.679,"More than two-thirds are considering burdens because they spend more than 30% on their rent and utilities, which puts them at risk for greater housing and security.",13,,
36,0.97,212.679,214.28,This was also before the Covid pandemic hit.,13,,
37,0.97,214.28,237.503,We have made big improvements in our city and region . We have been working with our partners to try to secure additional revenue for housing . We did this through Jumpstart and the county is continuing to work to make sure there is additional funding for those who need additional housing.,13,,
38,0.97,237.503,242.308,"We also need to update our zoning policies and create a more diverse, affordable, and acceptable housing option in every neighborhood in the city.",13,,
39,0.97,242.308,267.1,"The scale of the affordable housing crisis we are facing is this, according to the rental--regional task force, we need 156,000 more homes today and another 88,000 affordable homes by 2024 to ensure that no low income family or household is cost burdened in our region.",13,,
40,0.97,267.1,286.552,"As we work to write these historic wrongs and create equity in our system, we do this through the racial justice lens it deserves, recognizing our blacks, indigenous, and people of color communities have been dramatically and disproportionately infected by the high cost of housing in our city.",13,,
41,0.97,286.552,307.74,"We work with partners throughout our efforts to make sure we are creating not just the housing units, but we are creating housing units that are culturally relevant in neighborhoods where people have been historically displaced and making sure that we are creating the community and the housing the community demands by making sure it is done through their level.",13,,
42,0.97,307.74,312.578,Today we have with us some of these important partners that have been working with us.,13,,
43,0.97,312.578,315.481,"Madam President, I might ask if it is okay if I mentioned their names?",13,,
44,0.97,315.481,318.685,I will turn it over to them.,13,,
45,0.97,318.685,330.897,"You may mention their names and introduce them, but I will need to make a formal procedural suspension of the rules in order for them to address the Council.",14,,
46,0.97,330.897,337.97,Please introduce the folks were going to virtually receive the proclamation and then I will go through the procedural steps of suspending the rules.,14,,
47,0.97,337.97,339.605,"Thank you very much, Madam President.",15,,
48,0.97,339.605,341.407,I also want to say thank you to our Council.,15,,
49,0.97,341.407,348.314,"Ron has signed on, including the Mayor's office to receive this proclamation today.",15,,
50,0.97,348.314,373.339,We have the equity in programs manager and policy and advocacy manager from the housing development . You are here with us to accept the proclamation on behalf of their over 100 membership organizations and community at large who has been working for greater affordable housing and in partnership with those across this region to make sure everybody has a place to call home.,15,,
51,0.97,373.339,374.14,"Thank you, Madam President.",15,,
52,0.97,374.14,378.978,"Thank you, Councilmember Mosqueda.",16,,
53,0.97,378.978,387.353,The Council rules will be allowed to allow the presentation of the proclamation and to allow brief remarks to the Council.,16,,
