index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,9.275,16.049,"Today is Monday, April 11th and this is the Seattle city council briefing.",0,,
1,0.97,16.049,18.084,The time is now 2:00.,0,,
2,0.97,18.084,20.42,Will the clerk please call the role?,0,,
3,0.97,20.42,24.524,Councilmember Lewis?,1,,
4,0.97,24.524,26.993,Present.,2,,
5,0.97,26.993,27.427,Morales?,3,,
6,0.97,27.427,29.662,Here.,4,,
7,0.97,29.662,30.096,Mosqueda?,5,,
8,0.97,30.096,30.663,Present.,6,,
9,0.97,30.663,33.066,Pedersen?,7,,
10,0.97,33.066,33.5,Present.,8,,
11,0.97,33.5,35.869,Sawant?,9,,
12,0.97,35.869,37.971,Present.,10,,
13,0.97,37.971,40.407,Council President Juarez?,11,,
14,0.97,40.407,41.274,Here.,12,,
15,0.97,41.274,47.714,Six present.,13,,
16,0.97,47.714,49.416,We will move to approval of the minutes.,13,,
17,0.97,49.416,51.584,"If there is no objection, April 4TH, 2022 will be adopted.",13,,
18,0.97,51.584,57.69,The minutes are indeed adopted.,13,,
19,0.97,57.69,59.325,We will move on to the President's report.,13,,
20,0.97,59.325,66.399,On today's agenda we will be signing one proclamation recognizing the month of April as a sexual assault awareness month.,13,,
21,0.97,66.399,75.775,We will then hear a 30 minute summary report from the state legislative slate of session from our Oir Department.,13,,
22,0.97,75.775,85.752,"After their presentation, we will hear reports from each Councilmembers and finally we will have a 20 minute executive session to receive an update from the city attorney's office.",13,,
23,0.97,85.752,93.626,"Tomorrow we will have a presentation proclamation, courtesy of Councilmember Herbold.",13,,
24,0.97,93.626,103.436,"The calendar will include the minutes, IRC, and payment of the bills as well as 19 appointments which have been reviewed and recommended by the respected committees.",13,,
25,0.97,103.436,115.982,"As a reminder, we will take one vote on all items on the consent calendar unless any Councilmember recommend the item be removed from the consent agenda.",13,,
26,0.97,115.982,126.326,Moving onto signing letters and proclamations.,14,,
27,0.97,126.326,131.231,Councilmember Lewis I understand on behalf of Councilmember Herbold has proclamation for a signature recognizing the month of April as sexual assault awareness month.,14,,
28,0.97,131.231,134.033,"Councilmember Lewis, would you like to go ahead and present that with us?",14,,
29,0.97,134.033,141.107,On behalf of Councilmember Herbold I have a proclamation for signature recognizing April as sexual assault awareness month.,15,,
30,0.97,141.107,154.32,"Are there any comments on this proclamation, which I believe was distributed by Councilmember Herbold before we were requesting signatures to be affixed to the proclamation?",15,,
31,0.97,154.32,165.265,Okay . I am happy to share Councilmember Herbold's statement that she sent along before we proceed to collecting signatures.,15,,
32,0.97,165.265,169.836,Councilmember Herbold's office has circulated a proclamation.,15,,
33,0.97,169.836,175.542,It was drafted with advocates ending Gender-Based violence and the sexual assault resource center.,15,,
34,0.97,175.542,180.547,Mayor Harrell is Concurring.,15,,
35,0.97,180.547,207.006,"The proclamation declares April to be sexual assault awareness month and knows the violence and trauma on adults, youth, and children including concern for safety, missed work or school, injury, and other conditions including symptoms of Posttraumatic stress disorder Councilmember Herbold will be at tomorrow's council meeting to present a proclamation to representatives of the coalition ending violence and sexual violence La center.",15,,
36,0.97,207.006,218.751,"Council colleagues, after that statement from Councilmember Herbold, are there questions or comments about the proclamation?",15,,
37,0.97,218.751,226.259,"Seeing none, I will send it back to you, Council president for signatures.",15,,
38,0.97,226.259,232.498,"If there are no questions or comments, please call the roll to determine which Councilmembers would like to have their names affixed to the proclamation.",16,,
39,0.97,232.498,233.366,Lewis?,17,,
40,0.97,233.366,235.635,Yes.,18,,
41,0.97,235.635,237.036,Morales?,19,,
42,0.97,237.036,239.872,Yes.,20,,
43,0.97,239.872,241.307,Mosqueda?,21,,
44,0.97,241.307,242.709,Aye.,22,,
45,0.97,242.709,244.544,Pedersen?,23,,
46,0.97,244.544,246.779,Yes.,24,,
47,0.97,246.779,248.014,Sawant?,25,,
48,0.97,248.014,250.85,Yes.,26,,
49,0.97,250.85,252.552,Council President Juarez?,27,,
50,0.97,252.552,257.323,Aye.,28,,
51,0.97,257.323,263.296,Six signatures will be affixed.,29,,
52,0.97,263.296,265.932,"Moving on, we look to the state legislative session update.",30,,
53,0.97,265.932,274.807,"My understanding is we have the interim director, Gael Tarleton along with Quinn Majeski.",30,,
54,0.97,274.807,287.02,"Before we get started, I know we should say for the record you have provided materials to us.",30,,
55,0.97,287.02,313.212,"I believe there were four documents in total, the legislative final report, final overview of operating budgets, and the move ahead Washington transportation documents . I just wanted to thank you guys because I know we have Oir at the end of session do a wrap up of the documents and walk us through it, but on the 2022 final report, I believe that is 19 or 20 pages.",30,,
56,0.97,313.212,325.191,"I am really glad you put in there and I think you have done this in the past, but thank you for listing the bills starting on page 11 or 12 of the bills tat didn't pass . It's important to see what we are taking a run at every year.",30,,
