index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,24.791,29.396,The Seattle city council will come to order.,0,,
1,0.97,29.396,35.969,It is 2:03. will the clerk please call the role.,0,,
2,0.97,35.969,36.903,Councilmember Strauss.,1,,
3,0.97,36.903,38.972,Here.,2,,
4,0.97,38.972,39.572,Councilmember Herbold.,3,,
5,0.97,39.572,41.074,Here.,4,,
6,0.97,41.074,45.311,Councilmember Lewis.,5,,
7,0.97,45.311,47.814,Here.,6,,
8,0.97,47.814,48.448,Councilmember Morales.,7,,
9,0.97,48.448,50.517,Here.,8,,
10,0.97,50.517,51.184,Councilmember Mosqueda.,9,,
11,0.97,51.184,56.423,Here.,10,,
12,0.97,56.423,57.323,Councilmember Pedersen.,11,,
13,0.97,57.323,58.691,Here.,12,,
14,0.97,58.691,59.325,Councilmember Sawant.,13,,
15,0.97,59.325,63.43,Here.,14,,
16,0.97,63.43,65.131,Council President Gonzalez.,15,,
17,0.97,65.131,70.203,Here.,16,,
18,0.97,70.203,70.804,Eight present.,17,,
19,0.97,70.804,72.238,"Presentations, I'm not aware of any.",17,,
20,0.97,72.238,75.642,We will move to approval of minutes.,17,,
21,0.97,75.642,86.653,The minutes have been reviewed and if there is no objection the minutes will be signed.,17,,
22,0.97,86.653,90.723,Hearing no objection the minutes are being signed and ask the clerk to please fix my signature to the minutes.,17,,
23,0.97,90.723,91.891,Adoption of the referral calendar.,17,,
24,0.97,91.891,96.763,If there is no objection the introduction and referral calendar will be adopted.,17,,
25,0.97,96.763,98.498,Hearing no objection it is now adopted.,17,,
26,0.97,98.498,105.538,"Approval of the agenda, if there is no objection the agenda will be adopted.",17,,
27,0.97,105.538,109.642,Hearing no objection the agenda is adopted.,17,,
28,0.97,109.642,117.35,"At this Tim we will open the remote public comment period for the items on the agenda, and the Council's 2020 program.",17,,
29,0.97,117.35,124.19,I thank everyone for their ongoing patience and cooperation as we continue to operate remotely.,17,,
30,0.97,124.19,129.195,It does remain the strong intent of the city Council to have remote public comment regularly included on meeting Agendas.,17,,
31,0.97,129.195,141.274,"However, as a reminder, the city council reserves the right to end or eliminate the public comment period at any point if we find it being abused or is no longer suitable for meetings to be conducted efficiently.",17,,
32,0.97,141.274,145.211,I will moderate the public comment period in the following manner.,17,,
33,0.97,145.211,153.52,The public comment period for this period is 20 minutes and each Speaker will be given two minutes to speak.,17,,
34,0.97,153.52,158.625,I will call on each Speaker by name and in the order in which they registered on the Council's Website.,17,,
35,0.97,158.625,175.542,If you have not yet registered to speak but would like to you can sign up before the end of public comment by going to the Council's Website at Seattle.Gov/Council.,17,,
36,0.97,175.542,179.012,The public comment link is listed on today's posted agenda.,17,,
37,0.97,179.012,191.257,Once I call a Speaker's name staff will Unmute the appropriate microphone and an automatic prompt that you have been Unmuted will be the Speaker's Cue that it's their turn to press Star six before speaking.,17,,
38,0.97,191.257,199.065,Please begin speaking by stating your name and the item you are addressing.,17,,
39,0.97,199.065,203.536,"As a reminder, public comment should relate to an item on today's agenda, the introduction and referral calendar, or the councils 2020 work program.",17,,
40,0.97,203.536,208.374,Speakers will hear a Chime when they have 10 seconds left of their two minutes.,17,,
41,0.97,208.374,213.079,Once you hear the Chime we ask that you wrap up your public comment.,17,,
42,0.97,213.079,230.096,"If speakers do not end their comment at the end of the two minutes, the Speaker's microphone will automatically be muted to allow us to call on the next Speaker.",17,,
43,0.97,233.766,241.441,"If you don't get through all your comments and you'd still like to, you can Email the full council .Once you have completed your public comment we ask that you Disconnect from the line.",17,,
