index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,2.902,10.076,"August 9, 2021 meeting of the Seattle city council will come to order.",0,,
1,0.97,10.076,13.313,The time is 2:04 P.M.,0,,
2,0.97,13.313,16.583,"I'm Alex Pedersen, president pro Tem today.",0,,
3,0.97,16.583,18.685,Council President Gonzalez is excused from today's meeting.,0,,
4,0.97,18.685,20.787,Will the clerk please call the roll?,0,,
5,0.97,20.787,22.322,Lewis?,1,,
6,0.97,22.322,24.424,Present.,2,,
7,0.97,24.424,25.392,Morales?,3,,
8,0.97,25.392,26.626,Here.,4,,
9,0.97,26.626,27.894,Mosqueda?,5,,
10,0.97,27.894,35.235,Present.,6,,
11,0.97,35.235,35.635,Sawant?,7,,
12,0.97,35.635,36.102,Present.,8,,
13,0.97,36.102,36.503,Strauss?,9,,
14,0.97,36.503,36.903,Present.,10,,
15,0.97,36.903,37.337,Herbold?,11,,
16,0.97,37.337,38.505,Care.,12,,
17,0.97,38.505,42.442,Juarez?,13,,
18,0.97,42.442,42.742,Here.,14,,
19,0.97,42.742,44.811,He met Council President pro Tem prediction.,14,,
20,0.97,44.811,45.311,Here.,15,,
21,0.97,45.311,47.313,Eight present.,15,,
22,0.97,47.313,56.356,"I'm not aware of any presentation, so we'll go on to approval of the minutes.",16,,
23,0.97,56.356,58.725,The minutes of the meeting of August 2ND 2021 have been reviewed.,16,,
24,0.97,58.725,66.266,"If there is no objection, the minutes will be signed.",16,,
25,0.97,66.266,67.934,"Or no objection, the minutes are being signed.",16,,
26,0.97,67.934,70.637,With the clerk please affix my signature to the minutes?,16,,
27,0.97,70.637,72.272,Approval of introduction and referral calendar.,17,,
28,0.97,72.272,76.943,"If there's no objection, the introduction and referral calendar will be adopted.",17,,
29,0.97,76.943,81.047,"Hearing no objection, introduction and referral calendar is adopted.",17,,
30,0.97,81.047,85.852,Approval of the agenda.,18,,
31,0.97,85.852,87.487,I know we have a change to this.,18,,
32,0.97,87.487,89.155,I'll go ahead and move to adopt the agenda.,18,,
33,0.97,89.155,90.657,Is there a second?,18,,
34,0.97,90.657,97.964,Second.,19,,
35,0.97,97.964,100.533,"Thank you, it has been moved and Seconded to adopt the agenda.",20,,
36,0.97,100.533,102.068,I believe there are comments.,20,,
37,0.97,102.068,106.005,Councilmember Mosqueda.,20,,
38,0.97,106.005,109.709,You are on mute right now.,20,,
39,0.97,109.709,111.377,We are at approval of the agenda.,20,,
40,0.97,111.377,113.88,I think you had a change for us.,20,,
41,0.97,113.88,116.716,Excuse me.,21,,
42,0.97,116.716,121.688,"Thank you very much Councilmember Pedersen, Council President pro Tem.",21,,
43,0.97,121.688,124.39,Appreciate the opportunity to weigh in here.,21,,
44,0.97,124.39,132.398,"Colleagues, as I mentioned again this morning, I would like to move to hold item number two on today's agenda.",21,,
45,0.97,132.398,136.903,That is Council bill 120119.,21,,
46,0.97,136.903,138.805,Related to grocery workers hazard pay.,21,,
47,0.97,138.805,145.011,If there was a second I would like to offer a comment.,21,,
48,0.97,145.011,146.88,"Is that until September 13th, 2021?",21,,
49,0.97,146.88,152.919,That would be a request to hold until September 13th.,22,,
50,0.97,152.919,157.423,"Okay, we got a motion, is there a second?",23,,
51,0.97,157.423,167.534,"Thank you, it's been moved and Seconded that Council bill 120119 be held until September 13th, 2021 Councilmember Mosqueda, I know you would like to address the motion.",24,,
52,0.97,167.534,168.334,Please go ahead.,24,,
53,0.97,168.334,177.043,"Colleagues, appreciate the second and the support here today to potentially hold grocery worker hazard pay.",25,,
54,0.97,177.043,184.651,This would have eliminated the hazard pay requirement as part of the legislation while keeping other items intact.,25,,
55,0.97,184.651,191.257,"Colleagues, I have made a motion to hold this item until September 13th as it is important for us to continually read.",25,,
56,0.97,191.257,198.665,This is a conversation about West best public health practices are.,25,,
57,0.97,198.665,206.172,"Our commitment was to make sure that this hazard pay ordinance was not in Perpetuity, but that we Revisited it within a four month period.",25,,
58,0.97,206.172,213.68,We had intended to address this by bringing it back to Council to eliminate this component.,25,,
59,0.97,213.68,226.926,"Given the city's effort to try to reopen our city, and the President projections at the time we were seeing in June about increased vaccination rates and a decrease in transmission.",25,,
60,0.97,226.926,244.844,"Unfortunately, based on the city's best public health practices, are County public health practices, and national information from the centers for disease control, which have been shared in the last week, including as early as today at our own city and state levels.",25,,
61,0.97,244.844,251.851,We know that fully Vaccinated individuals can very much transmit Covid-19 if they are not properly wearing a mask.,25,,
62,0.97,251.851,260.927,"If individuals, even are Vaccinated, are not properly wearing a mask and don't have access to the vaccine, they are highly contagious.",25,,
63,0.97,260.927,268.134,The Delta variant now makes up over 90% of cases of new Covid cases in our country.,25,,
64,0.97,268.134,287.253,"We have this public health guidance to look at as we continue to try to protect the health and safety of front-line workers, especially Gawker workers who have been on the Frontlines making sure our community has access to food and critical services to make sure that families are healthy and safe.",25,,
65,0.97,287.253,304.47,"Following this best practice, and the recommendations from public health, I am requesting today that we hold this item until the 13th where we will continue to evaluate our public health guidance to make sure it is reasonably safe to engage in any future conversations.",25,,
66,0.97,304.47,307.507,That would involve this piece of legislation.,25,,
67,0.97,307.507,315.915,"We will continue to look at the latest guidance from the CDC as we approach the 13th, but appreciate your consideration of holding this item for September 13th.",25,,
68,0.97,315.915,319.018,"Thank you, Councilmember Mosqueda.",26,,
69,0.97,319.018,324.724,And the other comments on the motion to hold Council bill 120119?,26,,
70,0.97,324.724,326.793,Councilmember Sawant.,26,,
71,0.97,326.793,330.797,"Thank you, president pro Tem Pedersen.",27,,
72,0.97,330.797,335.134,I will be voting yes on the motion to postpone the vote.,27,,
73,0.97,335.134,365.331,"But, I wanted to clarify as I did last time, the Council dealt with this a few weeks ago, to the members of the public, that I will not be supporting . It required big grocery store to pay workers an additional four dollars per hour and hazard pay for the dangers of doing essential work during the pandemic and in contact with so many people.",27,,
74,0.97,365.331,373.84,"The ordinance lasted two years after the public health emergency, in Perpetuity, but for three years.",27,,
75,0.97,373.84,384.083,I believe and I know that working people feel this way that frankly the lease that should be done is to support the essential workers is to keep it for that time duration.,27,,
76,0.97,384.083,396.763,I don't find it acceptable that the Council will be talking about this before the public health emergency is even over.,27,,
77,0.97,396.763,405.371,"We know that there are many uncertainties in the next coming months related to the Covid variance, especially the Delta variant.",27,,
78,0.97,405.371,426.392,"When this ordinance--if this ordinance comes up for a vote in September to strip the grocery workers of their hazard pay, I just wanted to let the members of the public you are watching know that I will be voting no on that, but today this is a motion to delay the boat for a future meeting, and I will be voting yes on that.",27,,
79,0.97,426.392,426.826,Thank you.,27,,
80,0.97,426.826,428.427,"Thank you, Councilmember Sawant.",28,,
81,0.97,428.427,430.096,Councilmember Mosqueda.,28,,
82,0.97,430.096,431.764,Thank you very much Mr.,29,,
83,0.97,431.764,432.799,President.,29,,
84,0.97,432.799,437.503,"Colleagues, that's not an accurate statement.",29,,
85,0.97,437.503,440.807,Councilmember Sawant it is not accurate to say that this legislation extended for 3 years.,29,,
86,0.97,440.807,445.912,There is various pieces of hazard pay legislation that this Council has enacted during Covid.,29,,
87,0.97,445.912,452.518,"The one that we are talking about specific to hazard pay, four dollars for to grocery store workers was intended for the.",29,,
88,0.97,452.518,455.454,Of the emergency that we are currently in.,29,,
89,0.97,455.454,457.723,We committed to Revisit it in four months.,29,,
90,0.97,457.723,460.827,There is not a walking back of a policy.,29,,
91,0.97,460.827,464.53,There was never a three month period included.,29,,
92,0.97,464.53,470.536,There is various components that we have layered as a Council to protect the self and safety of the individuals truly on the front lines.,29,,
93,0.97,470.536,474.34,All of those commitments remain intact.,29,,
94,0.97,474.34,484.951,"This legislation is specific to hazard pay for grocery workers, and following the public health guidance is exactly why we have continued to extend it.",29,,
95,0.97,484.951,495.595,"Just want to make sure that folks are clear about the Timeline that was included, specifically in this legislation versus the other critically important legislation that I also fully supported.",29,,
96,0.97,495.595,499.098,I see Councilmember Herbold as well on the screen.,29,,
97,0.97,499.098,503.569,I know that she and others have been working very hard on that type of support for other Front- line workers.,29,,
98,0.97,503.569,508.608,This was a narrow piece specific to those grocery workers.,29,,
99,0.97,508.608,511.511,We are going to continue to look at the best public health practices.,29,,
100,0.97,511.511,513.045,I don't want there to be any confusion.,29,,
101,0.97,513.045,537.236,"As someone who comes from labor, who has worked with 21 members who have specifically worked with the groceries as well to make sure that we can address transmission, it was important for me not only to pass the legislation, to be the first in Washington State to put forward the hazard pay legislation and to then be a model for other cities and regions around Washington State to follow.",29,,
102,0.97,537.236,548.681,"I want it to be very clear I continue to stand in solidarity with grocery workers, and will continue to work with those who are helping to provide food and essential services in our community.",29,,
103,0.97,548.681,554.12,There is no question about my loyalty to making sure that the working families have the protections they need.,29,,
104,0.97,554.12,559.825,"It is important to clarify that this legislation is different from the other pieces, and the Timeline is not a three year look back.",29,,
105,0.97,559.825,562.828,We will continue to look at the public health effects practices.,29,,
106,0.97,562.828,566.566,"Councilmembers, I'd like to go ahead and vote on this.",30,,
107,0.97,566.566,568.034,The motion is to hold it.,30,,
108,0.97,568.034,572.038,I think there's going to be agreement to hold it.,30,,
109,0.97,572.038,583.182,President pro Tem Pedersen I would like to very briefly respond .'s payment in the response of the motion I'm going to give the last word.,31,,
110,0.97,583.182,584.75,With the clerk please call the roll.,31,,
111,0.97,584.75,588.287,[Indiscernible - multiple speakers],31,,
112,0.97,588.287,596.362,"Councilmember Herbold can have the last word, but I do want to respond to what was raised.",32,,
113,0.97,596.362,601.968,"Actually, I'm sorry, Councilmember Sawant you're not recognized to speak.",33,,
114,0.97,601.968,604.604,We are going to vote on the motion.,33,,
115,0.97,604.604,610.576,"It's a motion to hold, and I think there's agreement to hold it we can discuss the merits on September 13th.",33,,
116,0.97,610.576,615.281,We got a long agenda.,33,,
117,0.97,615.281,616.782,We don't have a very long agenda.,34,,
118,0.97,616.782,618.684,I need just a minute to speak.,34,,
119,0.97,618.684,626.392,"Will the clerk please call the roll on the motion to hold Council bill 120119 until September 13th, 2021",35,,
120,0.97,626.392,627.593,Lewis?,36,,
121,0.97,627.593,629.028,Yes.,37,,
122,0.97,629.028,630.296,Morales.,38,,
123,0.97,630.296,632.131,Yes.,39,,
124,0.97,632.131,632.999,Mosqueda?,40,,
125,0.97,632.999,635.501,Aye.,41,,
126,0.97,635.501,636.102,Sawant?,42,,
127,0.97,636.102,637.103,Yes.,43,,
128,0.97,637.103,638.504,Strauss?,44,,
129,0.97,638.504,640.139,Yes.,45,,
130,0.97,640.139,642.241,Herbold?,46,,
131,0.97,642.241,642.808,Yes.,47,,
132,0.97,642.808,644.944,Juarez.,48,,
133,0.97,644.944,645.311,Yes.,49,,
134,0.97,645.311,647.413,Council President Pedersen.,49,,
135,0.97,647.413,651.717,"Eight in favor, not opposed.",50,,
136,0.97,651.717,659.959,"Thank you, the motion carries and the bill is held until September 13th, 2021 any further comments on the amended agenda .?",51,,
137,0.97,659.959,665.164,Okay will the clerk please call the roll on the amended agenda?,51,,
138,0.97,680.312,686.552,"Eight in favor, none opposed.",52,,
139,0.97,686.552,689.789,"Thank you, the motion carries and the agenda is adopted as amended.",53,,
140,0.97,689.789,700.566,"Colleagues, at this time we will open the remote public comment period for items on the city council agenda, introduction and referral calendar, and the work program.",54,,
141,0.97,700.566,707.373,I thank everyone for their ongoing patience and cooperation as we continue to operate this remote public comment system.,54,,
142,0.97,707.373,715.414,There remains a strong intent of the city Council to have remote public comment regularly included on meeting Agendas.,54,,
143,0.97,715.414,725.491,"However, as a reminder, the city council reserves the right to end or eliminate these public comment periods at any point if we deem that the system is being abused, or is no longer suitable for allowing our meetings to be conducted efficiently and effectively.",54,,
144,0.97,725.491,732.698,"I will moderate public comment, and it appears that we have about 33 speakers signed up.",54,,
145,0.97,732.698,746.545,"So, we are going to go ahead and give each Speaker one minute to speak, and Proactively extend what's normally a 20 minute time, we will go ahead and extend it to 35 minutes to give everyone a chance to speak.",54,,
146,0.97,746.545,750.416,It will be for 1 minute each.,54,,
147,0.97,750.416,756.555,Speakers will be called upon in the order in which they are registered to provide public comment on the Website.,54,,
148,0.97,756.555,764.43,"Each Speaker much call in from the phone number used for this registration using the meeting phone number, i.d., and Passcode that was Emailed to them upon confirmation.",54,,
149,0.97,764.43,768.134,This is different than the general meeting listen call in information line.,54,,
150,0.97,768.134,772.238,"Again, I'll call on each Speaker by name, and in the order in which they are registered on the Website.",54,,
151,0.97,772.238,781.147,"If you have not yet registered, but would like to speak, you can still sign up before the end of the public comment by going to the Website.",54,,
152,0.97,781.147,785.951,Public comment is also listed on today's agenda.,54,,
153,0.97,785.951,799.365,"Once I caught a Speaker's name, staff will Unmute the appropriate microphone and prompt them . that will be there Q that it is their turn to speak and the Speaker must press Star six.",54,,
154,0.97,799.365,802.468,Please begin speaking by stating your name of the item that you are addressing.,54,,
155,0.97,802.468,808.274,"As a reminder, public comment should relate to an item on today's agenda.",54,,
156,0.97,808.274,810.776,"The introduction and referral calendar, or the Council's work program.",54,,
157,0.97,810.776,815.181,Speakers will hear a Chime when 10 seconds are left of the allotted time.,54,,
158,0.97,815.181,820.686,Once you hear the Chime we ask that you begin to wrap up your public comment.,54,,
159,0.97,820.686,827.092,"If speakers do not end their comments at the end of the allotted time, the microphone will be muted to allow us to call on the neck Speaker.",54,,
160,0.97,827.092,838.204,"Once you have completed your public comment, we ask that you please Disconnect from the line and if you plan to continue following this meeting, please do so via Seattle channel or the listening options listed on the agenda.",54,,
161,0.97,838.204,843.542,The public comment period is now open and we will begin with the first Speaker on the list.,54,,
162,0.97,843.542,853.018,Please remember to--please remember to press Star six after you hear the prompt you have been Un-Muted.,54,,
163,0.97,853.018,866.532,"The clerk is telling me--the public comment period will be extended to 35 minutes, assuming there is no objections to extend it by 35 minutes.",54,,
164,0.97,866.532,868.033,Okay.,54,,
165,0.97,868.033,872.972,"So, let's go with the first Speaker, who is Howard.",54,,
166,0.97,872.972,874.44,Followed by Jack.,54,,
167,0.97,874.44,879.345,Good afternoon.,55,,
168,0.97,879.345,884.416,"Over the last four years, we have witnessed the repeated failures of our police accountability system.",55,,
169,0.97,884.416,902.501,"Today, thanks to the reporting at the South Seattle Emerald, we get a closer look at the inner workings of the system and learn just how Self-Serving, self reinforcing bureaucratic and paternalistic this 9+ million dollars system is protecting both itself and the SPD from the community.",55,,
170,0.97,902.501,917.583,"In 2017, when the system was devised, community police Commission member likened the three-part system to a jet plane with multiple engines allowing for one engine to keep the plane aloft if the others failed.",55,,
171,0.97,917.583,925.591,What many of us in the community is always a system so cut off from the community that all three engines could take us somewhere that no one wanted to be.,55,,
172,0.97,925.591,928.494,We have long since arrived at that unpleasant destination.,55,,
173,0.97,928.494,937.136,"The failures of the system and the events of the last 14 months demonstrate the urgent need for us to have civilian accountability, to civilian control.",55,,
174,0.97,937.136,939.204,Go to Seattle stop that or to find out how.,55,,
175,0.97,939.204,940.606,That is Seattle Stop.Org.,55,,
176,0.97,940.606,942.708,Thank you.,55,,
177,0.97,942.708,945.945,Thank you.,56,,
178,0.97,945.945,951.216,Head.,57,,
179,0.97,951.216,954.32,I'm a Renter in the University district.,57,,
180,0.97,954.32,955.721,I'm Lgbtq and I'm a makeup artist.,57,,
181,0.97,955.721,966.765,I'm calling to just give a general statement that I would really love it if my Councilmembers would support any and all progressive for the people motions that needs to be voted on at this meeting.,57,,
182,0.97,966.765,975.441,Especially any of those that may go towards finding affordable housing in the central housing district for black and indigenous families.,57,,
183,0.97,975.441,981.046,And also increasing the tax to Amazon to also fund affordable housing for low income families.,57,,
184,0.97,981.046,983.449,"Thank you, I yield my time.",57,,
185,0.97,983.449,987.586,Thank you.,58,,
186,0.97,987.586,999.565,I'm a member Socialist alternative and a Renter and working-class person.,59,,
187,0.97,999.565,1007.806,I'm speaking to support Councilmembers wants resolution to officially recognize the harm done to the black community.,59,,
188,0.97,1007.806,1015.881,By the city's political establishment and fully fund the affordable housing projects opposed by new hope missionary Baptist church.,59,,
189,0.97,1015.881,1023.322,I also want to speak on how outrageous it is that Councilmembers want was denied even a minute to respond.,59,,
190,0.97,1023.322,1028.494,When you silence on some of her Sawant you are silencing me and my neighbors and my community.,59,,
191,0.97,1028.494,1030.896,I really do not respect that.,59,,
192,0.97,1030.896,1038.203,50 years ago a Seattle Democratic establishment forced new hope missionary Baptist church to give up part of their land.,59,,
193,0.97,1038.203,1042.508,Several working-class black families were also forced to sell their homes.,59,,
