index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,3.8369999999999997,9.442,Their good afternoon everyone.,0,,
1,0.97,9.442,11.277,"For may 10th, 2021 meeting will come to order.",0,,
2,0.97,11.277,14.681000000000001,It is to: 01 P.M.,0,,
3,0.97,14.681000000000001,17.283,"I am Llerena Gonzalez, president of the Council.",0,,
4,0.97,17.283,18.284,Mosqueda?,1,,
5,0.97,18.284,20.387,Present.,2,,
6,0.97,20.387,22.389,Pedersen?,3,,
7,0.97,22.389,24.891,Here.,4,,
8,0.97,24.891,25.291,Sawant?,5,,
9,0.97,25.291,26.192,Present.,6,,
10,0.97,26.192,28.895,Strauss?,7,,
11,0.97,28.895,30.296,Present.,8,,
12,0.97,30.296,31.998,Lewis?,9,,
13,0.97,31.998,32.899,Presents.,10,,
14,0.97,32.899,34.768,Juarez?,10,,
15,0.97,34.768,36.603,Presents.,11,,
16,0.97,36.603,38.004,Morales?,12,,
17,0.97,38.004,39.706,Here.,12,,
18,0.97,39.706,41.908,Council President Gonzalez?,13,,
19,0.97,41.908,43.376,Eight present.,14,,
20,0.97,43.376,48.014,We do have one presentation.,14,,
21,0.97,48.014,56.022,Councilmember Mosqueda is presenting a reclamation on affordable housing week and then we will open the floor to other Councilmembers.,14,,
22,0.97,56.022,61.628,"After comments, we will invite our guests to accept the proclamation and provide remarks.",14,,
23,0.97,61.628,67.734,"So, Councilmember Mosqueda, I'm going to turn it over to you to present the proclamation.",14,,
24,0.97,67.734,69.602,Did not thank you very much.,14,,
25,0.97,69.602,76.843,We are signing on to the proclamation.,15,,
26,0.97,76.843,80.513,This is a proclamation honoring --,15,,
27,0.97,80.513,84.15,You are breaking up a little bit.,16,,
28,0.97,84.15,87.654,It it's really hard to hear your.,16,,
29,0.97,87.654,91.524,"Before we get started, I wanted to correct the Audio issues.",16,,
30,0.97,91.524,103.57,Unless you are doing that for dramatic effect.,16,,
31,0.97,106.339,109.776,Still can't hear me?,17,,
32,0.97,109.776,112.378,You are fading in and out.,18,,
33,0.97,112.378,114.881,I'm not sure if there is something on your computer.,18,,
34,0.97,114.881,119.752,"A piece of paper, a post it.",18,,
35,0.97,119.752,120.153,Okay.,18,,
36,0.97,120.153,123.289,Sounds good right now.,18,,
37,0.97,123.289,124.357,We can try.,18,,
38,0.97,124.357,130.296,I thought you were perhaps waving and saying you were good last time.,19,,
39,0.97,130.296,131.698,"You were waving and saying no, stop.",19,,
40,0.97,131.698,133.199,And my good right now?,19,,
41,0.97,133.199,139.606,It sounds like you good right now.,20,,
42,0.97,139.606,146.112,"Thank you for bearing with us, members of the public and colleagues as well as our esteemed guests.",21,,
43,0.97,146.112,151.017,"Again, it's my extreme pleasure to be able to bring to you the proclamation for affordable housing week.",21,,
44,0.97,151.017,153.82,Thanks to each and every Councilmember who signed on to this proclamation this morning.,21,,
45,0.97,153.82,158.725,Appreciate your unanimous signatures on this proclamation.,21,,
46,0.97,158.725,163.997,This is a request from our friends at the housing development consortium.,21,,
47,0.97,163.997,171.337,This proclamation is in concurrence with other cities across the country who are declaring this week affordable housing week.,21,,
48,0.97,171.337,187.153,"Colleagues, in the proclamation that you saw this morning, it really is an opportunity for us to highlight the importance, not only of affordable housing week each year, but to especially honor it in this context, during Covid and the crisis that is presenting itself in the streets.",21,,
49,0.97,187.153,189.222,Not only here in Seattle but across the country.,21,,
50,0.97,189.222,199.365,"More and more folks have lost their jobs, lost their small businesses, and lost the opportunity for them to provide for themselves or their families.",21,,
51,0.97,199.365,214.581,The consequences manifesting themselves and more individuals falling into homelessness and fewer people being able to afford affordable housing the crisis that we have in the city of Seattle and in our region prior to Covid has only been worsened in the last year due to Covid.,21,,
52,0.97,214.581,219.886,"So, it's really important proclamation each year, but it's especially important Fishier.",21,,
53,0.97,219.886,225.358,I want to read a few of the whereas's before I turn it over.,21,,
54,0.97,225.358,235.902,"The proclamation recognizing affordable housing week States, whereas all people should have access to safe, healthy and affordable homes within communities that provide opportunities.",21,,
55,0.97,235.902,247.113,Whereas housing stability and staying socially distant from those outside of our households have become our state's core public health strategies.,21,,
56,0.97,247.113,259.692,And whereas the governor has recognized that the correlation between housing access and vulnerability has extended a residential Eviction moratorium through June to prevent families and individuals from losing their homes.,21,,
57,0.97,259.692,264.33,"Whereas the CDC recognizing safe, healthy and affordable housing within communities of opportunity as a key to improving social determinants of health.",21,,
58,0.97,264.33,286.719,"It goes on to note that in 2018, the regional housing affordable task force found that King County needs upwards of 150,000 more affordable homes today, and another 88,000 affordable homes by 2040, to just ensure that all of the existing low income families in King County have a safe and healthy place to call home.",21,,
59,0.97,286.719,289.756,That is less than 30% of their income.,21,,
60,0.97,289.756,300.566,"And that everyone benefits from affordable housing, including people who reside in those properties, their neighbors, our schools, our businesses, employers, and community as a whole.",21,,
61,0.97,300.566,328.294,"It is because of many of the components that are outlined in this proclamation that type public health, individuals health and safety, to the right to be able to have access to affordable housing that the city of Seattle is endorsing the goals and objectives of the Prefaces of affordable housing weeks, and in doing so firmly we commits itself to ensuring that our communities recovery from this crisis at hand is equitable, and that all people in Seattle can live with dignity, be safe and healthy, and affordable housing throughout our city.",21,,
62,0.97,328.294,334.0,"We are declaring the week of May 9th through may 15th, as affordable housing week.",21,,
63,0.97,334.0,348.815,"Thanks so much to patients for being here today, the housing development consortium, and all of the advocates that continue to push for more affordable housing across the city housing of all ties in all of our neighborhoods.",21,,
64,0.97,348.815,352.952,We will continue to do so as that was our mandate to do under the emergency prior to Covid.,21,,
65,0.97,352.952,355.988,And it is even more important to do now.,21,,
66,0.97,355.988,359.225,Thanks of what to Andrew Houston for his work on this proclamation in front of us.,21,,
67,0.97,359.225,362.095,"With that, thanks again for your signature this morning.",21,,
68,0.97,362.095,365.131,"Thank you, Councilmember Mosqueda.",22,,
