index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.647,17.183,Thank you so much.,0,,
1,0.97,17.183,17.517,Good morning.,0,,
2,0.97,17.517,23.056,"April 12, 2022 meeting of the public safety and human services committee will come to order.",0,,
3,0.97,23.056,25.058,It is now 9:30 A.M.,0,,
4,0.97,25.058,27.894,"I'm Lisa Herbold, chair of the committee.",0,,
5,0.97,27.894,37.17,Will the clerk please call the roll.,0,,
6,0.97,37.17,42.275,Member Mosqueda.,1,,
7,0.97,42.275,42.942,Present.,2,,
8,0.97,42.942,44.878,Council member Nelson.,3,,
9,0.97,44.878,49.449,"Thank you, council member Nelson.",4,,
10,0.97,49.449,52.552,Council member Pedersen.,4,,
11,0.97,52.552,53.62,Present.,5,,
12,0.97,53.62,54.988,Vice chair Lewis.,6,,
13,0.97,54.988,60.894,And chair Herbold.,6,,
14,0.97,60.894,61.127,Here.,7,,
15,0.97,61.127,61.628,We have four present.,8,,
16,0.97,61.628,65.665,Thank you so much.,9,,
17,0.97,65.665,67.667,So on today's agenda we'll hear four items.,9,,
18,0.97,67.667,91.958,"The first will be an update from the Seattle Department on the statement of legislative intent, Sli Cbo-013-A-002 on city wide hiring incentives.",9,,
19,0.97,91.958,102.135,"We originally had Cw Harrell, but she is unable to present, so we will have the interim director of the Department of human resources Kimberly loving.",9,,
20,0.97,102.135,105.605,Thank you so much for joining us on short notice.,9,,
21,0.97,105.605,115.281,We also will hear an update from judge Gregory on the Seattle court probation evolution 2022 update.,9,,
22,0.97,115.281,124.991,"And we'll be hearing from chief Diaz on a statement of legislative intent from the Council, Spd-018-A-001.",9,,
23,0.97,124.991,138.004,"This statement of legislative intent asks the Department to, Seattle police Department, to report on their position on several Federal task forces.",9,,
24,0.97,138.004,146.346,"You'll see that much of the work of these task forces is an outcome of removing guns from people who should not have them, among other outcomes.",9,,
25,0.97,146.346,161.127,I am really thinking today of how grateful I am for this work on the morning after a mass shooting in a Brooklyn subway.,9,,
26,0.97,161.127,182.348,"Lastly we'll hear from Seattle central staff on the Council bill 120294, the first bill in the policy package which addresses minimum pay transparency and flexibility for gig workers and contract workers who are not protected by our other labor laws.",9,,
27,0.97,182.348,186.619,I want to note that Council member Lewis has joined the meeting.,9,,
28,0.97,186.619,187.253,"Welcome, council member Lewis.",9,,
29,0.97,187.253,190.423,Thank you for being here with us this morning.,9,,
30,0.97,190.423,196.896,And we will now approve our agenda for our committee meeting this morning.,9,,
31,0.97,196.896,203.069,"If there's no objection, today's agenda is approved.",9,,
32,0.97,203.069,205.538,"Hearing no objection, today's agenda is adopted.",9,,
33,0.97,205.538,208.575,At this time we will transition into public comment.,9,,
34,0.97,208.575,220.72,"In order to have as many speakers as possible testify this morning, if there are no objections I will suspend the rules to allow additional comment for an additional 30 minutes of public comment.",9,,
35,0.97,220.72,224.557,"Hearing no objections, public comment has been extended.",9,,
36,0.97,224.557,236.603,"I will moderate the public comment period in the following manner: because of the number of speakers signed up to testify this morning, each Speaker will be given one minute to speak.",9,,
