index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,7.707,15.348,Meeting of the public safety and human services committee will come to order.,0,,
1,0.97,15.348,16.049,It is 9:31 A.M.,0,,
2,0.97,16.049,18.885,"I'm Lisa Herbold, chairman of the committee.",0,,
3,0.97,18.885,24.758,"Councilmember Sawant let me know this morning, she will not be able to attend today's committee meeting.",0,,
4,0.97,24.758,26.593,She is excused.,0,,
5,0.97,26.593,35.902,Will the clerk please call the roll.,0,,
6,0.97,35.902,39.672,Council President Gonzalez.,1,,
7,0.97,39.672,40.807,Aye.,2,,
8,0.97,40.807,41.374,Councilmember Lewis.,3,,
9,0.97,41.374,42.008,Here.,4,,
10,0.97,42.008,43.309,Councilmember Herbold.,5,,
11,0.97,43.309,43.576,Here.,6,,
12,0.97,43.576,48.548,Four President.,7,,
13,0.97,48.548,53.72,I believe Councilmember Muss Muskads a joining us as well.,8,,
14,0.97,53.72,55.522,She's already with us.,8,,
15,0.97,55.522,57.157,Thank you so much.,9,,
16,0.97,57.157,62.228,"On today's committee agenda, we will hear three items.",10,,
17,0.97,62.228,69.002,The first will be a discussion and vote on a bill to transfer the parking enforcement unit out of the Seattle police Department.,10,,
18,0.97,69.002,102.635,"The second is a briefing from the human services Department on the process and outcomes of the community safety capacity building request for proposals, funded with $12 million provided by the city Council, in part in last year's summer budget adjustment, with the Council increasing the funding in 2021, when that 2020 funding was vetoed by the Mayor and not allocated in 2020.",10,,
19,0.97,102.635,112.312,I know we're also glad to see that the human services Department has gotten those dollars out into the community.,10,,
20,0.97,112.312,123.189,"Then Finally, we'll be hearing a report from central staff on the Seattle police Department's quarterly Finance and staffing reports.",10,,
21,0.97,123.189,157.824,"It will also include a presentation from the Seattle police Department and will focus on their budget proposal as well as discussion of several public safety investments that I and other Councilmembers have been working to propose funding in a different set of conversations in Councilmember Muss Musqueda's financing, using the second quarter in doing so.",10,,
22,0.97,157.824,171.604,"With that, we will move onto approval of the agenda for today's committee meeting.",10,,
23,0.97,171.604,183.783,"[inaudible] hearing no objection, today's agenda [inaudible]. I will moderate the public comment period in the following manner.",10,,
24,0.97,183.783,191.024,Each Speaker will be given--well there are 39 speakers.,10,,
25,0.97,191.024,193.56,Or 40 speakers.,10,,
26,0.97,193.56,201.434,I think we should reduce comment period speaking for one minute for each Speaker.,10,,
27,0.97,201.434,208.675,It will require us to also make an adjustment in the time allotted for public comment on the agenda.,10,,
28,0.97,208.675,216.182,"I will call on each Speaker by name, and in the order in which they registered on the Council's Website.",10,,
29,0.97,216.182,228.461,"If you have not yet recently Diserred to speak or would like to do so, you can sign up before the end of the public hearing by going to the Council's Website.",10,,
30,0.97,228.461,231.931,"Once I call the Speaker's name, you will hear a prompt.",10,,
31,0.97,231.931,238.338,"Once you hear that prompt, you must press Star 6 to Unmute yourself.",10,,
32,0.97,238.338,249.015,"Please begin by stating your name, and the item with which your discussing.",10,,
33,0.97,249.015,253.586,The Speaker will hear a time once there's 10 seconds left.,10,,
