index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,276.776,277.076,F0,0,,
1,0.97,277.31,282.682,We are going to hear from speakers first.,1,,
2,0.97,282.682,291.424,We have Howard Gayle and Jack Francis first.,1,,
3,0.97,291.424,292.091,Good morning.,2,,
4,0.97,292.091,293.86,"Howard Gayle, District 7.",2,,
5,0.97,293.86,308.141,"Before you is a bill that as others point out, has serious inadequacies.",2,,
6,0.97,308.141,326.192,Why put into law rules that they can ignore because there are no consequences?,2,,
7,0.97,326.192,330.129,We have more civilian oversight here than anywhere else.,2,,
8,0.97,330.129,335.301,I've not seen a model that's better than ours.,2,,
9,0.97,335.301,369.168,"This is a claim from the most important person in our supposed accountability system, the very same person that chose to ignore the murder of Terry Haber last year and failed to do any investigation.",2,,
10,0.97,369.168,374.006,They deem these killings lawful and proper or failed to release findings.,2,,
11,0.97,374.006,391.29,This is the same person that's worked his whole life defending police including defending New York City from the claims of the central park five.,2,,
12,0.97,391.29,404.637,This is ranked 20% out of a 100 score and the SPD has killed more people after the start of our efforts to increase accountability than the decade before that.,2,,
13,0.97,404.637,419.786,We must create a system of accountability led by the community and not police.,2,,
14,0.97,419.786,430.096,Jack Francis?,3,,
15,0.97,438.371,441.974,"Hi, I'm Jack Francis.",4,,
16,0.97,441.974,443.309,I'm 23 and gay.,4,,
17,0.97,443.309,474.106,The right of action is currently limited to injuries in a gathering that's not a public incident.,4,,
18,0.97,474.106,482.548,"Spd has seriously injured many people, including people like me.",4,,
19,0.97,482.548,494.06,"There are many examples of events that happened over the last 13 months that you could not follow up for accountability against the SPD, for example the pink umbrella incident.",4,,
20,0.97,494.06,524.724,"That was declared a riot by SPD and therefore if this bill isn't amended, basically the use of tear gas against civilians would be justified, including also people who experience it just sitting in their homes, just bystanders and collateral damage.",4,,
21,0.97,524.724,532.498,That would all be justified.,4,,
22,0.97,532.498,538.704,"It's extremely inhuman and reminds me of Syria, using chemical agents against children.",4,,
23,0.97,538.704,542.208,We need to do more.,4,,
24,0.97,542.208,547.213,This is a start.,4,,
25,0.97,547.213,548.981,Thank you.,4,,
26,0.97,548.981,557.89,Thank you.,5,,
27,0.97,557.89,568.134,Cody and B.J.,5,,
28,0.97,573.506,575.641,Last?,5,,
29,0.97,575.641,593.025,I'm representing the organization of Legalization.,6,,
30,0.97,593.025,612.979,The examination of legal medicines is a welcome change but we find substances are incredibly valuable in the treatment of psychiatric disorders.,6,,
31,0.97,612.979,623.856,They carry low risk of abuse and treat abuse of other substances such as alcohol and opiates.,6,,
32,0.97,623.856,652.585,"We would ask the Council to signal their support by taking the modest step of making the enforcement of low level substances the lowest priority possible, signaling that people are ready for comprehensive changes in drug laws.",6,,
33,0.97,652.585,656.922,"Next, B.J.",7,,
34,0.97,656.922,661.127,Last is listed as not present.,7,,
35,0.97,661.127,673.973,Next Speaker is guy Oron and Leon Buck.,7,,
