index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,7.974,10.31,"Good afternoon, colleagues.",0,,
1,0.97,10.31,14.948,"The August 17th, 2020 meeting of the Seattle city council will come to order.",0,,
2,0.97,14.948,16.149,It is 2:01 P.M.,0,,
3,0.97,16.149,18.752,"I'm Lorena Gonzelez, president of the Council.",0,,
4,0.97,18.752,24.057,Will the clerk please call.,0,,
5,0.97,24.057,27.36,Councilmember Strauss.,1,,
6,0.97,27.36,28.762,Present.,2,,
7,0.97,28.762,34.734,Councilmember Herbold.,3,,
8,0.97,34.734,35.335,Councilmember Juarez.,3,,
9,0.97,35.335,36.87,Here.,4,,
10,0.97,36.87,38.972,Councilmember Morales.,5,,
11,0.97,38.972,41.374,Here.,6,,
12,0.97,41.374,42.575,Councilmember Pedersen.,7,,
13,0.97,42.575,43.877,Here.,8,,
14,0.97,43.877,46.413,Councilmember Herbold.,9,,
15,0.97,46.413,49.048,Here.,10,,
16,0.97,49.048,50.884,Council President Gonzalez.,11,,
17,0.97,50.884,52.051,Here.,12,,
18,0.97,52.051,52.886,Seven present.,13,,
19,0.97,52.886,58.758,"Thank you, Madam clerk.",14,,
20,0.97,58.758,60.093,Presentations.,14,,
21,0.97,60.093,64.397,"Colleagues, we have one presentation this afternoon.",14,,
22,0.97,64.397,105.105,"Councilmembers, we will have an opportunity to hear a short presentation from the parents of Michance Dunlap-Gittens who had an unfortunate experience with law enforcement and ended his life and is being remembered today by the Seattle city council through the passage hopefully of the Michance Dunlap Gittens ordinance as proposed in the Council bill on today's agenda.",14,,
23,0.97,105.105,115.982,"Colleagues, if there's no objection, we'll hear a brief presentation from the parents of Michance Dunlap Gittens.",14,,
24,0.97,115.982,126.359,"Hearing no objection, we'll hear from Alexis Francis and Frank Dunlap Gittens at this point in time.",14,,
25,0.97,126.359,127.727,I think our legislative I.T.,14,,
26,0.97,127.727,130.83,Folks are ready to Unmute that line.,14,,
27,0.97,130.83,142.942,"We'll give them a little chance to do so and whenever they are ready, they may address the Council.",14,,
28,0.97,142.942,153.253,"They're not on the line, Councilmembers.",15,,
29,0.97,153.253,156.956,They are not yet on the line.,16,,
30,0.97,156.956,157.157,Okay.,16,,
31,0.97,157.157,160.76,"Well, colleagues, looks like they didn't get enough time to get on the line.",16,,
32,0.97,160.76,170.97,So perhaps we can go through the approval of the minutes and adoption of the referral calendar.,16,,
33,0.97,170.97,183.55,"Madam clerk, can I ask Procedurally if I can request for permission to do so?",16,,
34,0.97,183.55,189.689,"Council President Gonzalez, this is Emilia.",17,,
35,0.97,189.689,191.891,I recommend you hold until the adoption of the agenda.,17,,
36,0.97,191.891,192.125,Okay.,18,,
37,0.97,192.125,202.235,I will move to hold presentations until the end of the adoption of approval of the agenda.,18,,
38,0.97,202.235,207.54,Is there a second?,18,,
39,0.97,207.54,208.041,Second.,19,,
40,0.97,208.041,209.108,Kay.,20,,
41,0.97,209.108,216.115,"Then Madam clerk, can you please call the roll on that motion?",20,,
42,0.97,216.115,217.65,Strauss.,21,,
43,0.97,217.65,218.818,Yes.,22,,
44,0.97,218.818,219.385,Herbold.,23,,
45,0.97,219.385,220.32,Yes.,24,,
46,0.97,220.32,221.254,Juarez.,25,,
47,0.97,221.254,222.555,Yes.,26,,
48,0.97,222.555,223.856,Lewis.,27,,
49,0.97,223.856,225.458,Yes.,28,,
50,0.97,225.458,227.227,Morales.,29,,
51,0.97,227.227,227.694,Yes.,30,,
52,0.97,227.694,229.462,Pedersen.,31,,
53,0.97,229.462,229.896,Yes.,32,,
54,0.97,229.896,231.664,President Gonzalez.,33,,
55,0.97,231.664,231.998,Yes.,34,,
56,0.97,231.998,234.601,Seven in favor.,35,,
57,0.97,234.601,235.168,None opposed.,35,,
58,0.97,235.168,249.882,The motion carries and presentations will be held until after the adoption of the approval of the agenda.,36,,
59,0.97,249.882,254.053,Let's go ahead and move through the approval of the minutes.,36,,
60,0.97,254.053,259.559,"If there's no objection, the minutes will be signed.",36,,
61,0.97,259.559,261.361,"Hearing no objection, the minutes are being signed.",36,,
62,0.97,261.361,266.032,I'd ask that the clerk please affix my signature to the minutes.,36,,
63,0.97,266.032,269.669,Adoption of the referral calendar.,36,,
64,0.97,269.669,273.339,I move to adopt the introduction and referral calendar.,36,,
65,0.97,273.339,275.074,Is there a second?,36,,
66,0.97,275.074,275.508,Second.,37,,
67,0.97,275.508,284.15,It's been moved and Seconded to adopt the introduction and referral calendar.,38,,
68,0.97,284.15,291.024,"Councilmember Pedersen, you have an amendment, I understand, to the introduction referral calendar based on this morning's conversation.",38,,
69,0.97,291.024,298.798,So I'm going to hand it over to you to make that formal motion to amend the referral calendar.,38,,
70,0.97,298.798,301.134,"Thank you, Council President.",39,,
71,0.97,301.134,313.68,"Many executive departments are eager to have us adopt lots of legislation that because we've been so focused on the important matter, rebalancing the budgets so there's legislation that departments are eager to get through.",39,,
72,0.97,313.68,322.455,"Taking a look at the introduction referral calendar, I want to make sure a couple items go to my committee just so there's more discussion in case people have questions.",39,,
73,0.97,322.455,332.532,So I'd like to move to amend the introduction referral calendar by amending the committee referral of items 3 and 4.,39,,
74,0.97,332.532,335.401,Council bills 119870 and 119871.,39,,
75,0.97,335.401,342.408,By amending the committee referral from the city Council to the transportation utilities committee where they normally would go.,39,,
76,0.97,342.408,345.078,Is there a second?,40,,
77,0.97,345.078,355.588,It's been moved and Seconded to amend the referral of Council bills 119870 and 119871 to the transportation and utilities committee.,40,,
78,0.97,355.588,361.894,"Councilmember Pedersen, anything else to add to this motion?",40,,
79,0.97,361.894,363.496,"No, Council President.",41,,
80,0.97,363.496,365.665,Okay.,42,,
81,0.97,365.665,370.77,"Colleagues, are there any comments or questions on the proposed amendment?",42,,
82,0.97,370.77,384.016,"Hearing none, will the clerk please call the roll on the adoption of the amend Ment.",42,,
83,0.97,384.016,397.43,[roll call] seven in favor.,43,,
84,0.97,397.43,397.764,None opposed.,43,,
85,0.97,397.764,399.298,Thank you so much.,44,,
86,0.97,399.298,406.672,The motion carries and the introduction and referral calendar is adopted as amended.,44,,
87,0.97,406.672,406.873,Okay.,44,,
88,0.97,406.873,408.04,Approval of the agenda.,44,,
89,0.97,408.04,416.516,"If there is no objection, the agenda will be adopted.",44,,
90,0.97,416.516,421.621,"Hearing no objection, the agenda--Oh, sorry.",44,,
91,0.97,421.621,422.755,"Councilmember Strauss, please.",44,,
92,0.97,422.755,425.258,"Thank you, Council President.",45,,
93,0.97,425.258,436.035,I was taking a moment to notice how long our agenda is today and wonder if we needed anymore time to filibuster before our Presenters can join us or have they already joined us?,45,,
94,0.97,436.035,443.843,I will have to defer to our I.T.,46,,
95,0.97,443.843,444.043,Folks.,46,,
96,0.97,444.043,445.244,Our guests are available?,46,,
97,0.97,445.244,445.545,Negative.,47,,
98,0.97,445.545,446.712,Those guests are not available.,47,,
99,0.97,446.712,450.783,Would you like me to continue speaking about the agenda until they are present?,48,,
100,0.97,450.783,452.051,Or shall we --,48,,
101,0.97,452.051,452.985,It's okay.,49,,
102,0.97,452.985,462.061,I do believe that they signed up for public comment as well so we'll call on them in the ordinary due course of public comment.,49,,
103,0.97,462.061,475.842,"We were hoping to be able to hear from them during presentations to allow them a little bit more than the allotted two minutes but unfortunately we weren't able to make that happen, and I Aologize for that.",49,,
104,0.97,475.842,480.012,That wasn't able to work out.,49,,
105,0.97,480.012,482.248,We'll go ahead and move through the items of our agenda.,49,,
106,0.97,482.248,483.816,Approval of the agenda.,49,,
107,0.97,483.816,489.755,"If there's no objection, the agenda will be adopted.",49,,
108,0.97,489.755,494.894,"Hearing no objection, the agenda is adopted.",49,,
109,0.97,494.894,496.929,Presentations will dispense with presentations.,49,,
110,0.97,496.929,497.296,Public comment.,49,,
111,0.97,497.296,506.739,"At this time we'll open the remote public comment period for items on the city council agenda, introduction and referral calendar, and the Council's 2020 work program.",49,,
112,0.97,506.739,514.413,I appreciate everyone's ongoing patience as we continue to operate the system and to navigate through their changes.,49,,
113,0.97,514.413,523.489,We are continuously looking for ways to fine tune this remote process and adding new features that will allow for additional means of public participation in our Council meetings.,49,,
114,0.97,523.489,530.129,It does remain our strong interest and intent to have public comment regularly included on meeting Agendas.,49,,
115,0.97,530.129,535.568,"However, this city council does reserve the right to end or eliminate these public comment periods.",49,,
116,0.97,535.568,546.546,At any point if we deem the system is being abused or is no longer suitable for allowing our meetings to be conducted efficiently in a manner in which we're able to conduct our necessary business.,49,,
117,0.97,546.546,547.914,I'll moderate today's public comment period.,49,,
118,0.97,547.914,551.083,We will have public period comment period for 20 minutes.,49,,
119,0.97,551.083,555.588,Each Speaker will be given two minutes to address the city council.,49,,
120,0.97,555.588,560.86,I will call on each Speaker by name and in the order in which Website.,49,,
121,0.97,560.86,575.274,"If you've not yet registered to speak but would like to, you can sign up before the end of public comment by going to the Council's Website at Seattle.Gov/Council.",49,,
122,0.97,575.274,591.924,"Once I call a Speaker's name, staff will Unmute the appropriate microphone and an automatic prompt of ""You have been Unmuted"" will be the Speaker's Cue that they must now hit Star 6 in order to speak and be heard by the Council.",49,,
123,0.97,591.924,595.995,"Again, please begin speaking by stating your name and the item that you're addressing.",49,,
124,0.97,595.995,600.132,"As a reminder, public comment should relate to an item on today's agenda.",49,,
125,0.97,600.132,606.739,The introduction rural calendar or the Council's 2020 work program.,49,,
126,0.97,606.739,609.141,"At about 10 seconds, each Speaker will hear a Chime.",49,,
127,0.97,609.141,616.649,That's your Cue that you should begin to wrap up your public comment because you only have about 10 seconds left of your allotted two minutes.,49,,
