index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,19.753,19.986,.,0,,
1,0.97,19.986,21.721,"Good morning, everyone.",1,,
2,0.97,21.721,25.525,Welcome to the Finance and housing committee.,1,,
3,0.97,25.525,28.027,I'm Teresa Mosqueda.,1,,
4,0.97,28.027,34.2,Will the clerk please call the call?,1,,
5,0.97,34.2,35.468,Mosqueda.,2,,
6,0.97,35.468,35.969,Present.,3,,
7,0.97,35.969,40.907,Vice chair Herbold.,4,,
8,0.97,40.907,42.208,Here.,5,,
9,0.97,42.208,42.842,Council President Gonzcez.,6,,
10,0.97,42.842,50.15,Council President Gonzcez?,6,,
11,0.97,50.15,54.254,Councilmember Lewis.,6,,
12,0.97,54.254,54.554,Present.,7,,
13,0.97,54.554,60.427,Councilmember Morales.,8,,
14,0.97,60.427,62.295,Here.,9,,
15,0.97,62.295,66.166,Councilmember Strauss.,10,,
16,0.97,66.166,74.174,That is four present.,10,,
17,0.97,74.174,78.311,Councilmember Gonzcez?,10,,
18,0.97,78.311,78.545,Here.,11,,
19,0.97,78.545,81.848,Four present.,12,,
20,0.97,81.848,83.049,Thank you very much.,13,,
21,0.97,83.049,88.655,I think that we have five present with our alternate Councilmember Morales.,13,,
22,0.97,88.655,93.66,Thank you for being here on behalf of Councilmember Strauss.,13,,
23,0.97,93.66,99.265,"Councilmember Lewis and Council President Gonzcez and vice chair Herbold, thank you for being here today.",13,,
24,0.97,99.265,102.669,We have extended the invitation to other Councilmembers as well.,13,,
25,0.97,102.669,106.372,I'll make sure to welcome them and NOTE their attendance.,13,,
26,0.97,106.372,110.543,I don't see anybody else in attendance yet.,13,,
27,0.97,110.543,116.282,"Colleagues, I really want to thank you very much for joining us today.",13,,
28,0.97,116.282,118.351,"Councilmember Pedersen, I see you logging in.",13,,
29,0.97,118.351,124.123,Happy to have all of the Councilmembers pop in to the Finance and housing committee meetings.,13,,
30,0.97,124.123,130.763,Today marks the beginning of the conversations related to the American rescue plan act distribution.,13,,
31,0.97,130.763,138.605,"And in our committee and Finance and housing over the next two months, we will have the opportunity to hear from other cities, like we are today.",13,,
32,0.97,138.605,153.419,We will have the opportunity to hear from direct stake holders and engage in deep conversations about draft bills we are going to be working on with the executive to make sure we allocate the city's portion of the American rescue plan act.,13,,
