index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.45,21.154,It is 9:33 A.M.,0,,
1,0.97,21.154,26.86,Will the clerk call the roll.,0,,
2,0.97,26.86,31.231,President Gonzalez,1,,
3,0.97,31.231,32.665,Here,2,,
4,0.97,32.665,34.234,Councilmember Herbold,3,,
5,0.97,34.234,35.902,Here.,4,,
6,0.97,35.902,37.07,Councilmember Morales,4,,
7,0.97,37.07,37.303,Here,5,,
8,0.97,37.303,38.371,Councilmember Strauss.,6,,
9,0.97,38.371,39.873,Chair Pederson,6,,
10,0.97,39.873,40.173,Here.,7,,
11,0.97,40.173,41.174,Four present.,8,,
12,0.97,41.174,43.243,Thank you.,9,,
13,0.97,43.243,47.514,"If there is no objection, today's proposed agenda will be adopted.",9,,
14,0.97,47.514,51.418,Health care reform no objection the agenda is adopted.,9,,
15,0.97,51.418,52.986,Chair's report.,9,,
16,0.97,52.986,54.254,We have another packed agenda today.,9,,
17,0.97,54.254,58.258,"So, we may go all the way up to noontime.",9,,
18,0.97,58.258,63.263,But we will--I will try to keep it moving at a quick clip.,9,,
19,0.97,63.263,80.013,The first item on the agenda is legislation to authorize a donation from the Seattle parks foundation to the Seattle Department of Transportation for the Lake City living Memorial Triangle.,9,,
20,0.97,80.013,83.883,We invited Council member Debora Juarez here.,9,,
21,0.97,83.883,109.042,We have three appointments to the Seattle pedestrian advisory board and the utilities on the strategic business plan and three committee meetings on the strategic business plan which will go into discussion quickly on the rates for Seattle public utilities and the different business lines for Seattle public utilities.,9,,
22,0.97,109.042,122.155,The Seattle it Department will present the 2021 technology matching fund report and finally we will return to the surveillance impact reports for Polce Technologies that we discussed during our two previous committee meetings.,9,,
23,0.97,122.155,126.793,At this time we open the remote general comment period.,9,,
24,0.97,126.793,129.028,Please be patient as we operate this Online system.,9,,
25,0.97,129.028,135.101,We are looking for ways to Fine- tune this process for public participation.,9,,
26,0.97,135.101,141.04,It remains the strong intent of the city Council to have public comment included on meeting Agendas.,9,,
27,0.97,141.04,153.82,The city council reserves the right to modify the periods at any point if we deem that the system is abused or unsustainable to have the meetings conducted efficiently and conduct business.,9,,
28,0.97,153.82,155.955,I will moderate the period in the following matter.,9,,
29,0.97,155.955,160.66,Up to 20 minutes but I don't think we will need that.,9,,
30,0.97,160.66,162.529,Each Speaker gives two minutes to speak.,9,,
31,0.97,162.529,165.031,We will call on two speakers at a time.,9,,
32,0.97,165.031,176.543,"If you have not registered to speak but would like to, you can sign up before the end of this public comment period by going to Seattle.Com/Council.",9,,
33,0.97,176.543,179.546,The public link is listed on the agenda.,9,,
34,0.97,179.546,192.225,"When I call a Speaker's name, staff Unmute the appropriate microphone and a prompt that you have been Unmuted will be the Speaker's Cue and press Star 6 to begin speaking.",9,,
35,0.97,192.225,197.13,Begin speaking by stating your name and the item that you are addressing.,9,,
36,0.97,197.13,200.366,Public comment should relate to an item on the agenda.,9,,
37,0.97,200.366,206.873,Speakers will hear a Chime when 10 seconds are left of the allotted time.,9,,
38,0.97,206.873,207.64,Wrap up your public comment.,9,,
39,0.97,207.64,218.585,"If speakers do not end their comments at the end of the time, the microphone will be muted to allow us to call on the next Speaker.",9,,
40,0.97,218.585,221.187,When you are done Disconnect.,9,,
41,0.97,221.187,228.928,If you plan to follow the meeting via the Seattle channel or the listening options on the agenda.,9,,
42,0.97,228.928,230.43,The regular comment period is open.,9,,
43,0.97,230.43,233.399,The first Speaker on the list.,9,,
44,0.97,233.399,246.613,Remember to press Star 6 before speaking.,9,,
45,0.97,246.613,246.813,Okay.,9,,
46,0.97,246.813,247.48,"Good morning, Cynthia speeds",9,,
47,0.97,247.48,248.481,Go ahead.,10,,
48,0.97,248.481,250.183,"I'm Cynthia speeds, an independent--sorry",11,,
49,0.97,250.183,250.917,Go ahead,12,,
50,0.97,250.917,255.054,Can I go?,13,,
51,0.97,255.054,255.755,Yes,14,,
52,0.97,255.755,256.556,Sorry.,15,,
53,0.97,256.556,257.023,Okay.,15,,
54,0.97,257.023,263.696,"Hi, I'm Cynthia speeds an independent security researcher district 6. my comments on the five surveillance Technologies.",15,,
55,0.97,263.696,269.269,"I support the previously supposed amendments, multiple could be strengthened and Unaddressed gaps.",15,,
56,0.97,269.269,272.472,I focus on automated license plate readers and cop logic.,15,,
57,0.97,272.472,277.477,The vast majority of license plates scanned in the Database or individuals just going about their day.,15,,
58,0.97,277.477,282.081,Less than 1% of all plates retained match a hit.,15,,
59,0.97,282.081,284.684,This is Maslow indication surveillance.,15,,
60,0.97,284.684,286.753,This is dragnet bulk collection of residents whereabouts and uncalled for.,15,,
61,0.97,286.753,292.992,We have a right go about our day without the police tracking us.,15,,
62,0.97,292.992,297.397,We don't belong in a place Database.,15,,
63,0.97,297.397,302.335,I understand seven Douse but that is too long.,15,,
64,0.97,302.335,309.008,The surveillance community group advised city Council to use a shorter retention of eight hours.,15,,
65,0.97,309.008,313.88,California Senate bill 210 would retain hits for 24 hours.,15,,
66,0.97,313.88,315.148,New Hampshire three minutes.,15,,
67,0.97,315.148,325.625,"Since the amendment reduced in the data retention was reduced on patrol, Arpl would be permitted to have a separate and longer 90 days.",15,,
68,0.97,325.625,330.797,With parking enforcement moving out of SPD there should be no sharing of hits.,15,,
69,0.97,330.797,335.935,These massive loopholes need to be closed.,15,,
70,0.97,335.935,339.972,Cop logic retail theft track exacerbates racial profiling.,15,,
71,0.97,339.972,362.528,"If bill 40 passes, it would allow mall cops to circumvent minors to have [inaudible] this identity theft can have cash data negative consequences.",15,,
72,0.97,362.528,365.832,The Oig report should be reviewed by city council.,15,,
73,0.97,365.832,371.504,Move cop logic and remove the retail theft track.,15,,
74,0.97,371.504,372.305,See my E-Mails.,15,,
75,0.97,372.305,373.139,Thank you.,15,,
76,0.97,373.139,373.973,Thank you very much.,16,,
77,0.97,373.973,376.776,That concludes our list of public speakers.,17,,
78,0.97,376.776,382.515,I want to confirm that with our information technology folks from city council.,17,,
79,0.97,382.515,387.32,Do you see that we have no more speakers as well,17,,
80,0.97,387.32,389.922,"Affirmative, no more public comments of registrants",18,,
81,0.97,389.922,390.289,Thank you.,19,,
82,0.97,390.289,394.227,"So, we will go ahead and close the public comment period.",19,,
83,0.97,394.227,398.731,"Now, we will move on to the first legislative item.",19,,
84,0.97,398.731,402.401,I would like to acknowledge Council member Debora Juarez is here for the first item.,19,,
85,0.97,402.401,410.009,Will the clerk read the short title of the first agenda item into the record,19,,
86,0.97,410.009,437.804,"Agenda item 1, council bill 120013, an ordinance relating to the Department of transportation authorizing the director of the Department of transportation to accept the donation of real property via Quitclaim deed from the Seattle parks foundation, a Washington nonprofit corporation, situated in portion in lot 4, block 13, University Lake shore addition divisions, 1, 2 and 3.",20,,
87,0.97,437.804,449.081,This legislation will authorize a donation from the Seattle parks foundation and public transportation for the Lake civic living Memorial Triangle.,21,,
88,0.97,449.081,452.952,This project is important to Council member Juarez.,21,,
89,0.97,452.952,453.786,It's located in her district.,21,,
90,0.97,453.786,461.461,I'm grateful to have her here and some members of the Lake City community here as well.,21,,
91,0.97,461.461,473.739,We have Sdot staff and our central staff.,21,,
92,0.97,473.739,476.175,"Councilmember Juarez, do you have introductory remarks",21,,
93,0.97,476.175,479.579,Good to see DEB here and Chuck.,22,,
94,0.97,479.579,481.047,Good to see you folks.,22,,
95,0.97,481.047,482.849,Thank you Council member Pederson.,22,,
96,0.97,482.849,487.119,I have a Prepeared statement in I could read that into the record?,22,,
97,0.97,487.119,487.453,Of course,23,,
98,0.97,487.453,494.36,"First of all, I want to thank everybody for being here today and for Councilmember Pedersen for inviting me.",24,,
99,0.97,494.36,503.035,"The Lake City where I have lived for well over 30 years was struck by senseless violence on March 27th, 2019.",24,,
100,0.97,503.035,510.076,"On this day, one man with a gunshot four people, murdered two and impacted the entire neighborhood and community.",24,,
101,0.97,510.076,516.482,"When we talk about ending gun violence on the National stage, we are talking about places like Lake city.",24,,
102,0.97,516.482,522.955,"In the aftermath, many neighborhood residents came together to heal an begin the process of Memorializing those that we lost.",24,,
103,0.97,522.955,542.575,"Our office worked with the Lake City neighborhood alliance and other Community partners to coordinate two events, at the Lake City mini park and a meeting to plan what we were going to do and what we have done and what they have done to the living Memorial Triangle in the city's Right-Of-Way at bar let Avenue northeast.",24,,
104,0.97,542.575,547.78,We contacted several city departments to attend the meeting to offer resources.,24,,
105,0.97,547.78,559.258,"The Department of neighborhoods, Seattle Department of transportation, King County Metro and the Mayor's office attended and provided guidance including County executive Dale Constantine.",24,,
106,0.97,559.258,564.096,"Since the initial meeting, the Lake living Seattle Tri- committee volunteers meet regularly.",24,,
107,0.97,564.096,569.335,Of course our Presenters will speak more about what they have accomplished.,24,,
108,0.97,569.335,574.34,It's their wonderful actions that they have done for the community that have not gone unnoticed.,24,,
109,0.97,574.34,583.282,We did have a core separate sponsor of Amazon that provided the funding to purchase the plot of land and donated to the community.,24,,
110,0.97,583.282,595.494,"I want to thank the parks Department for the contribution to the effort as well and a big thank you to the Lake City present ERB's, chuck, Debbie and I think Jenn will join us.",24,,
111,0.97,595.494,595.828,There she is.,24,,
112,0.97,595.828,605.438,"So, I will leave it at that and let these good folks share what they have been doing.",24,,
113,0.97,605.438,609.008,"Thank you, thank you, Councilmember Pederson",24,,
114,0.97,609.008,623.322,"You can share your screen, Chuck.",25,,
115,0.97,629.762,633.299,Sorry.,26,,
116,0.97,633.299,634.333,Still technical Glitch here.,26,,
117,0.97,634.333,636.235,There we go.,26,,
118,0.97,636.235,637.97,Sorry for technical problems.,26,,
119,0.97,637.97,639.672,My name is Chuck Kuehn.,26,,
120,0.97,639.672,643.843,I am Lake civic Memorial Tri- steering committee.,26,,
121,0.97,643.843,651.45,With me is Jenn Seva and Debbie Judd.,26,,
122,0.97,651.45,652.418,To help with the presentation.,26,,
123,0.97,652.418,654.887,"Thank you, Councilman Juarez for your support.",26,,
124,0.97,654.887,667.667,"The story of the group began March 27, 2019 when a drunk man stepped out of his apartment on Lake City way--sorry, sand point way and began shooting a gun.",26,,
125,0.97,667.667,676.342,"As Council member Juarez indicated, two people were killed and two people were injured.",26,,
126,0.97,676.342,678.044,The neighborhood was terrorized by what happened.,26,,
127,0.97,678.044,684.083,"Following the shooting and the community meeting with the Mayor and city Council, a group decided to create a Memorial near the location.",26,,
128,0.97,684.083,697.53,What you see in the first pictures are a group of volunteers clearing the site which had been abandoned around the Metro site that you can see there.,26,,
129,0.97,697.53,705.037,"With Sdot's approval, we planted the first tree in May of 2019, a swamp oak.",26,,
130,0.97,705.037,712.178,"Participates in the first tree planting included neighbors and those affected, family members and those who had, in fact, been shot.",26,,
131,0.97,712.178,724.19,Ashes from one of the victims was planted under the first tree.,26,,
132,0.97,724.19,726.425,The Lake City people Triangle steering committee was formed.,26,,
133,0.97,726.425,734.967,The group applied for a city of Seattle grant to expand the Memorial.,26,,
134,0.97,734.967,744.877,"We received $5,000 and over 30 neighbors showed up on a workday, which resulted in planting of seven new trees and a bed of lavender.",26,,
135,0.97,744.877,758.357,"In addition to the plantings, the group was honored to have a poem written by recall Sanchez about the events of the 27th that is Impaneled on the Metrobus stop.",26,,
136,0.97,758.357,765.731,Another local artist was commissioned to paint the lower panels of the bus which will be installed this summer.,26,,
137,0.97,765.731,776.108,"As a result of the ongoing support from Council person Juarez and her staff, a core separate sponsor emerged in late 2020.",26,,
138,0.97,776.108,782.348,An Amazon Rep met with the steering committee and offered a donation to expand the Memorial.,26,,
139,0.97,782.348,794.66,"With those funds, is a small privately owned parcel of land within the site was purchased giving the steak committee full control and management of the Triangle site.",26,,
140,0.97,794.66,800.633,Additional money is now available to further develop the plan.,26,,
141,0.97,800.633,810.409,"So, we had a professional site survey done, which has been completed and forwarded to Sdot and with the help of a professional landscape architect the design plan was drawn up.",26,,
142,0.97,810.409,821.72,"With the support of Seattle parks foundation and Sdot, the plan is in place as is proposed at this meeting to donate the purchased land to Sdot.",26,,
