index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.616,17.217,We are recording.,0,,
1,0.97,17.217,22.322,Thank you very much again to everyone who has joined us today.,1,,
2,0.97,22.322,23.323,This morning.,1,,
3,0.97,23.323,25.792,"It is June 15th, 2022.",1,,
4,0.97,25.792,28.561,The time is 9:33 A.M.,1,,
5,0.97,28.561,32.198,"And I am Teresa Mosqueda, chair of the Finance and housing committee.",1,,
6,0.97,32.198,44.244,"Madam clerk, will you please call the role?",1,,
7,0.97,44.244,52.051,Thank you very much.,2,,
8,0.97,52.051,58.024,"And clerk, I want to thank you as well as the team from the clerk's office.",2,,
9,0.97,58.024,65.999,"The I. team, support team, Seattle Channel, and our security folks who have continued to make this a safe place for gathering here today.",2,,
10,0.97,65.999,71.571,We do have many folks who are signed up for public testimony Online.,2,,
11,0.97,71.571,74.974,And also want to make sure we get through our fall agenda.,2,,
12,0.97,74.974,76.576,We have a number of Presenters.,2,,
13,0.97,76.576,79.412,I want to make sure we have a chance to hear from them.,2,,
14,0.97,79.412,83.316,And the opportunity to go through our entire agenda.,2,,
15,0.97,83.316,86.519,"I'll just outline it for you, so that you have a sense of what it is.",2,,
16,0.97,86.519,89.622,"If there is any objection, we'll make sure to take those.",2,,
17,0.97,89.622,97.33,"Today, we have the appointment of Cara Vallier, as appointment of the housing committee.",2,,
18,0.97,97.33,106.306,"We will have the office of housing that proposes modification to housing funding policy to create a new Jumpstart, acquisition and preservation Fund.",2,,
19,0.97,106.306,114.247,"What we're calling the Jumpstart, community, Self- directed housing Fund.",2,,
20,0.97,114.247,117.75,"Don't worry, we'll work on the title, folks.",2,,
21,0.97,117.75,133.8,"It's going to get even better N. that legislation, this is funding from Jumpstart, which will help to make sure that the city has different eligibility criteria, for a specific part of funds intended for smaller organizations who are interested in developing affordable housing.",2,,
22,0.97,133.8,147.213,The intent is to make sure that the city's equitable development goals are being met by investments and organization projects that are working to address displacement and redress Thelongstanding harms of policy.,2,,
23,0.97,147.213,152.886,"And the last two items on our agenda, include the Royal Bram property.",2,,
24,0.97,152.886,157.423,"This is property by the city, given to the city by the state of Washington.",2,,
25,0.97,157.423,158.825,Department of transportation.,2,,
26,0.97,158.825,162.395,Near I-5 . and the I-90 interchange.,2,,
27,0.97,162.395,168.334,We're excited to also Lastly have on our agenda here today.,2,,
28,0.97,168.334,169.536,The H.S.D.,2,,
29,0.97,169.536,170.303,Executive agreement.,2,,
30,0.97,170.303,175.575,"With a funding agency, to make sure that we accept grants to enable H.S.D.",2,,
31,0.97,175.575,182.181,To move forward on specific programs that have already received the appropriate budget authority.,2,,
32,0.97,182.181,193.126,"If there is no objection for those four items, today's agenda will be adopted.",2,,
33,0.97,193.126,198.665,"Hearing no objections, those are adopted.",2,,
34,0.97,198.665,200.366,Madam chair.,2,,
35,0.97,200.366,201.601,Do we explain.,2,,
36,0.97,201.601,213.479,I want to thank Councilmember Juarez who has a Video to share as we move into this hybrid world of public comment and continue to ensure everyone's safety.,2,,
37,0.97,213.479,218.284,"So Madam clerk, if you could go ahead and tee that up, that would be great.",2,,
38,0.97,218.284,220.887,We are the Emerald city.,3,,
39,0.97,220.887,230.229,"The city of [inaudible] and good will, built on indigenous land.",3,,
40,0.97,230.229,232.332,The Seattle city council WELCOMES remote public comment.,3,,
41,0.97,232.332,234.567,And eager to hear from residents of our city.,3,,
42,0.97,234.567,247.68,"If you would like to be a Speaker and provide a powerful comment, you may register two hours prior to the meeting, via the sea Seattle city council Website.",3,,
43,0.97,247.68,252.885,Speakers are called upon in the order in which they registered on the Council's Website.,3,,
44,0.97,252.885,264.063,Each Speaker must call in from the phone number provided when they registered Online and use the meeting I.D.,3,,
45,0.97,264.063,268.468,And pass code that was E-Mailed upon registration.,3,,
46,0.97,268.468,273.973,"If you did not receive a code, please check Spam and junk mail folders.",3,,
47,0.97,273.973,278.378,This is different from the general listen line meeting I.D.,3,,
48,0.97,278.378,279.345,"Provided on the, Genda.",3,,
49,0.97,279.345,290.089,"Once a Speaker's name is called, the Speaker's microphone will be Unmuted and an automatic prompt will say, the host would like you to Unmute your microphone.",3,,
50,0.97,290.089,292.725,That is your Cue that it is your turn to speak.,3,,
51,0.97,292.725,303.803,"At that time, you must press Star-6 . You will then hear a prompt of ""You are Unmuted ."" be sure your phone is Unmuted on your end, so that you will be heard.",3,,
52,0.97,303.803,308.341,"As a Speaker, you should begin by stating your name and the item that you are addressing.",3,,
53,0.97,308.341,317.884,A Chime will sound when 10 seconds are left in your allotted time as a gentle reminder to wrap up your public comments.,3,,
54,0.97,317.884,322.722,"At the end of the allotted time, your microphone will be muted.",3,,
55,0.97,322.722,324.891,And the next Speaker registered will be called.,3,,
56,0.97,325.024,338.738,"Once they have concluded public comment, please Disconnect from the public comment line and join us by following the Seattle viewing broadcast.",3,,
