index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,18.618,25.725,"The July 20th, 2022 meeting of the book acids and homelessness committee will come to order.",0,,
1,0.97,25.725,31.798000000000002,I am chairman Lewis.,0,,
2,0.97,31.798000000000002,36.503,Councilmember Herbold community with me that she will not be attending today's meeting.,0,,
3,0.97,36.503,48.214,Will the clerk of the Council members present?,0,,
4,0.97,48.214,49.382,Councilmember Morales?,1,,
5,0.97,49.382,49.649,Here.,2,,
6,0.97,49.649,52.652,Vice chair Mosqueda?,3,,
7,0.97,52.652,56.856,Year.,4,,
8,0.97,56.856,59.459,There are four members present and one excuse.,5,,
9,0.97,59.459,60.76,"Thank you, mystic Lake.",6,,
10,0.97,60.76,62.595,Moving onto approval of the agenda.,6,,
11,0.97,62.595,66.733,If there is no objection the agenda will be adopted.,6,,
12,0.97,66.733,69.369,I'm hearing no objection the agenda is adopted.,6,,
13,0.97,69.369,80.079,Today we will have a fairly short but Impactful meeting with one agenda item.,6,,
14,0.97,80.079,84.851,The Seattle Aquarium is here to give the committee a presentation.,6,,
15,0.97,84.851,91.257,"I'm really looking forward to that presentation, which has previously been posted with a slide deck attached to the agenda.",6,,
16,0.97,91.257,97.597,We will begin as we typically do with public comment . Mr.,6,,
17,0.97,97.597,101.1,"Clerk, how many people are signed up to publicly comment?",6,,
18,0.97,101.1,106.673,We have two signed into comment over the phone.,7,,
19,0.97,106.673,114.948,Let me check and see if there are any in person public comments.,7,,
20,0.97,114.948,117.951,"Mr. chair, there is no one signed up for in person public comment.",7,,
21,0.97,117.951,122.655,"We have Carl, who has signed up, but is not listed as present.",7,,
22,0.97,122.655,127.827,"And we have Jacob Scheer, who is listed as present.",7,,
23,0.97,127.827,131.931,Why don't we just start with Mr. Scheer?,8,,
24,0.97,131.931,135.568,Time will be set at two minutes.,8,,
25,0.97,135.568,147.547,"Mr. Scheer, if you could press Star and 60 will be a muted and you can begin your public comment when ready.",9,,
26,0.97,147.547,147.814,Hello.,10,,
27,0.97,147.814,149.015,Thank you.,10,,
28,0.97,149.015,153.987,I am calling in on behalf of real change.,10,,
29,0.97,153.987,164.264,It is our firm opposition to the transfer of city hall park from the city of Seattle to the county.,10,,
30,0.97,164.264,169.002,It is one of the last bases in the downtown core door in a neighborhood with a high concentration of low income housing.,10,,
31,0.97,169.002,180.48,"These neighbors, as well as folks living outdoors, deserve access to parks and green spaces too.",10,,
32,0.97,180.48,182.549,The Park has been fenced off and inaccessible for months now.,10,,
33,0.97,182.549,185.218,That is the opposite of what a city Park is supposed to be.,10,,
34,0.97,185.218,188.121,This park should be activated immediately and made open and accessible to the community.,10,,
35,0.97,188.121,189.956,We have already seen the city selloff public land.,10,,
36,0.97,189.956,193.426,Including directly across from City hall where land is going to be used for luxury apartment.,10,,
37,0.97,193.426,195.328,We need public housing and public parks on city land.,10,,
38,0.97,195.328,197.964,Not luxury apartments for the few and Gated communities for the successful.,10,,
39,0.97,197.964,199.666,-- it's a Bad-Faith bargain.,10,,
40,0.97,199.666,209.442,"It is valuable land in a high density area, which is exactly the type of space needed to be accessible to low income and poor people in our committee.",10,,
41,0.97,209.442,214.714,Keep public land in public hands and keep city parks in city hands.,10,,
42,0.97,214.714,215.114,Just one moment.,10,,
43,0.97,215.114,219.686,Thank you.,10,,
44,0.97,219.686,222.522,"Thank you, Jacob.",11,,
45,0.97,222.522,225.825,"Chair, Carl has not yet signed in.",11,,
46,0.97,225.825,227.86,There are no other public Commenters present,11,,
47,0.97,227.86,230.396,Okay.,12,,
48,0.97,230.396,236.936,Why don't we move on to the agenda?,12,,
49,0.97,236.936,246.813,Sorry that not all of the signed up Commenters were present to comment publicly in the meeting today.,12,,
50,0.97,246.813,255.121,Do please send us your written remarks if you are not able to participate in the public comment session . The committee is happy to review them.,12,,
51,0.97,255.121,261.294,We will now move on to our first and only agenda item.,12,,
52,0.97,261.294,264.564,Will the clerk please read the agenda item into the record?,12,,
53,0.97,264.564,266.366,Seattle Aquarium overview and updates.,13,,
54,0.97,266.366,269.302,Agenda item one.,13,,
55,0.97,269.302,276.509,We are joined by a panel of folks from the Seattle Aquarium.,14,,
