index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,36547.143,36556.953,"Good morning everyone, today is Friday, February 19, 2021, the Finance and housing committee will come to order.",0,,
1,0.97,36556.953,36562.592,"My name is Teresa Mosqueda and I'm chairman of committee, will the clerk please call role?",0,,
2,0.97,36581.478,36582.379,Thank you very much Mme.,0,,
3,0.97,36582.379,36585.415,Kirk and when our other colleagues join us we will make sure to announce them.,0,,
4,0.97,36585.415,36605.702,"Thank you for joining us today this is a special time for the meeting, usually meet on Tuesdays the first and third week of the month and we had a holiday which was just a Friday, I'm happy to see everyone, glad it's sunny outside and I hope everyone is healthy staying at home if they can and socially distancing.",0,,
5,0.97,36605.702,36607.938,We have a full agenda and I'll read it very quickly.,0,,
6,0.97,36607.938,36613.009,First we have the appointment of Rita Howard to the Seattle housing authority and I see Rita on the line thanks for being with us.,0,,
7,0.97,36613.009,36632.128,"We have the appointments of Jamie Marsh, Minera Mohammed and--and the appointments of Stephen Marquez see as director of the office of labor standards and the last two items are resolution on--my understanding is we will just be discussing that today to give our colleagues outside of this committee to review it since we want to consider any amendments at the next meeting.",0,,
8,0.97,36632.128,36645.308,"Lastly we will have a briefing from director noble and our team from the office of Intergovernmental relations, our Federal lobbying parties and central staff on the funding for Covid relief.",0,,
9,0.97,36645.308,36656.753,"That's the agenda, if there is no objection today's agenda will be--let's move on to public comment.",0,,
10,0.97,36656.753,36660.423,We do have a few folks signed up for public comment and we appreciate your time this morning.,0,,
11,0.97,36660.423,36665.228,We're going to endeavor to get to everyone on the list and two minutes will be the time.,0,,
12,0.97,36665.228,36682.912,"Please make sure to introduce yourself when you hear the notice that says you have been Un-Muted, that is your Cue to hit Star six to Unmute yourself.",0,,
13,0.97,36682.912,36691.021,When you have been in muted please introduce yourself and the item you're speaking to and please keep the remarks focused on the items on the agenda in front of us or our committee work plan.,0,,
14,0.97,36691.021,36704.034,"When you are done speaking please hang up on the line and listen in on the other options provided on today's agenda including with our partners at Seattle Channel, thank you for streaming this life.",0,,
15,0.97,36704.034,36710.74,We're going to go to everyone on the list Ideally two minutes and I have a clock in front of me so I will call the first three names and we will begin.,0,,
16,0.97,36710.74,36713.176,"The first three speakers are Victor Lou, Chris Woodward and Jesse Rawlins.",0,,
17,0.97,36713.176,36713.777,Good morning Victor.,0,,
18,0.97,36713.777,36714.811,You are up.,0,,
19,0.97,36714.811,36741.171,"Good morning, my name is Victor Lou and I am from the Asian culture, the item I would like to address with Council members today is--as some of you have met or heard it is a program that focuses on assisting on sheltered individuals and help with their substance use issues.",1,,
20,0.97,36741.171,36841.571,"They focus on--the majority of our clients--in early November we had 66 Unduplicated individuals of which I mentioned, 100% of the clients have substance use disorder issues and I ask the Council members to maintain the funding and safety net because it has proven it is important they smacked with this program I would share very quickly that--we can also provide clients with medical care--and the cost savings on average, we are saving at least $22,600 per client per year and I'm sharing that information with Council members, I'm happy to Email that to all Council members if it's helpful and I just want to reiterate that this program is not maintained, the clients that we have assisted with our partners would all end up being traumatized going back to hospitals and possibly going to jail and then--will only increase .--I hope you will consider this request.",1,,
21,0.97,36841.571,36841.938,Thank you.,1,,
22,0.97,36841.938,36846.009,"Thank you Victor, perfect timing and please do send that to all counsel numbers and that would be wonderful.",2,,
