index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.28,15.348,Thank you and good morning.,0,,
1,0.97,15.348,18.618,This is the meeting of the Sustainability and Renters rights committee of the Seattle city council.,0,,
2,0.97,18.618,21.054,"Today is Friday, July 15, the time is 9:37.",0,,
3,0.97,21.054,22.756,I am Councilwoman Kshama Sawant.,0,,
4,0.97,22.756,26.226,Will the clerk lease call the role.,0,,
5,0.97,26.226,28.094,Councilmember Sawant.,1,,
6,0.97,28.094,30.23,Present.,2,,
7,0.97,30.23,31.464,Councilmember Lewis.,3,,
8,0.97,31.464,34.067,Present.,4,,
9,0.97,34.067,39.239,Councilmember morale is.,5,,
10,0.97,39.239,39.506,Here.,6,,
11,0.97,39.506,44.11,Councilmember Nelson.,7,,
12,0.97,44.11,47.881,Four present.,7,,
13,0.97,47.881,48.481,Thank you.,8,,
14,0.97,48.481,49.582,Welcome members of the committee.,8,,
15,0.97,49.582,51.117,We have two items on the agenda.,8,,
16,0.97,51.117,57.323,We will hopefully appoint Jessyn Farrell for the office of Sustainability.,8,,
17,0.97,57.323,63.296,She is acting as the alert director.,8,,
18,0.97,63.296,71.404,We do have answers I'm sure we will hear more from her personally this morning.,8,,
19,0.97,71.404,80.113,The committee will vote on the confirmation of five Reappointments to the green new deal oversight board.,8,,
20,0.97,80.113,90.49,All five Reappointments so I do not expect they will need a committee meeting but--and I assume it will be a quick agenda item.,8,,
21,0.97,90.49,95.195,"Before we begin the discussion on these appointments, we have public comment.",8,,
22,0.97,95.195,101.267,I do not believe there is anybody from signing up remotely.,8,,
23,0.97,101.267,103.87,We have two speakers signed up in person here.,8,,
24,0.97,103.87,108.041,Please read their names . Each person will have two minutes.,8,,
25,0.97,108.041,134.4,Carolyn Maloney followed by Alex Tsimerman.,9,,
26,0.97,135.735,136.669,I am Carolyn Maloney.,10,,
27,0.97,136.669,140.84,I live at 19 Marietta street in senior housing.,10,,
28,0.97,140.84,143.276,This is a Renters rights issue.,10,,
