index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,20.32,21.488,Good morning.,0,,
1,0.97,21.488,28.261,The June 2ND meeting will come to order.,0,,
2,0.97,28.261,29.729,I'm Alex Pedersen.,0,,
3,0.97,29.729,34.467,Will the clerk please call role?,0,,
4,0.97,34.467,38.538,Herbold?,1,,
5,0.97,38.538,39.973,Here.,2,,
6,0.97,39.973,43.109,Morales?,3,,
7,0.97,43.109,43.41,Strauss?,4,,
8,0.97,43.41,44.577,Here.,5,,
9,0.97,44.577,46.079,Pedersen?,6,,
10,0.97,46.079,46.413,Here.,7,,
11,0.97,46.413,48.681,Three present.,8,,
12,0.97,48.681,55.088,Council member Gonzalez is excused.,9,,
13,0.97,55.088,56.122,The agenda is adopted.,9,,
14,0.97,56.122,59.559,"We have just one item on the agenda, but it's very important.",9,,
15,0.97,59.559,68.201,We will hear from the Seattle Department of transportation's vision zero team about the efforts to reduce fatalities.,9,,
16,0.97,68.201,76.843,"It's some of the most important work our committee oversees, and I'm looking forward to the presentation.",9,,
17,0.97,76.843,79.779,"Again, council member Gonzalez is excused from today's meeting.",9,,
18,0.97,79.779,84.551,At this time I will open the remote general public comment period.,9,,
19,0.97,84.551,88.755,I ask everyone to be patient as we operate the Online system.,9,,
20,0.97,88.755,92.959,We are looking to fine tune the public participation.,9,,
21,0.97,92.959,110.977,"It's the strong intent of the city Council to have public comment on Agendas, but the city Councilling can modify this at any point.",9,,
22,0.97,110.977,124.591,I would also just quickly like to note that Councilmember Morales has joined us.,9,,
23,0.97,124.591,127.393,Public comment period for this is up to 20 minutes.,9,,
24,0.97,127.393,130.997,It looks like we will not need that time for this item.,9,,
25,0.97,130.997,134.033,I will call on two Speaker as at time.,9,,
26,0.97,134.033,136.035,Each will be given two minutes to speak.,9,,
27,0.97,136.035,148.848,"If you have not registered on the Council's Website to speak, but would like to go to, you can sign up before the end of the public period.",9,,
28,0.97,148.848,152.785,The public comment link is listed on today's agenda.,9,,
29,0.97,152.785,163.196,"Once I call the name, staff will Unmute the microphone, and the prompt you have been Unmuted is their turn to speak.",9,,
30,0.97,163.196,165.865,The Speaker should push Star 6 to begin speaking.,9,,
31,0.97,165.865,172.472,Please begin by stating your name and the item you are addressing.,9,,
32,0.97,172.472,181.681,"As a reminder, it should relate to an item on the agenda.",9,,
33,0.97,181.681,185.285,You will hear a Chime with ten seconds left.,9,,
34,0.97,185.285,194.661,"If speakers do not finish their comments at the end of the time, the microphone will be muted to call on the next Speaker.",9,,
35,0.97,194.661,198.598,"Once you have completed your public comment, please Disconnect from the line.",9,,
36,0.97,198.598,205.004,"If you want to follow, please do so with the listening options listed on agenda.",9,,
37,0.97,205.004,218.484,"I do want to note that Councilmember Gonzalez has joined us for the meeting, so everybody is here.",9,,
38,0.97,218.484,224.691,The regular public comment for the committee meeting is open.,9,,
39,0.97,224.691,228.428,Please press Star six before pushing.,9,,
40,0.97,228.428,235.101,We would like to hear from Juan tow followed by Clara canter.,9,,
41,0.97,235.101,235.568,"Go ahead, Juan.",9,,
42,0.97,241.774,245.645,"Thank you, Councilmembers for providing the space.",10,,
43,0.97,245.645,250.45,I'm here to talk about vision zero.,10,,
44,0.97,250.45,253.386,I'm a Columbia city Baker resident.,10,,
45,0.97,253.386,282.081,"I ride my E-Bike everywhere rain or shine, and I cannot tell you how many conversations I have had with friends, coworkers, and random strangers who came up to talk to me about my E-Bike about Cycling in Seattle, and I tell them cycle every day is good for their health, and it's more fun to cycle than sit in traffic, and it's good for the environment to take the cars off the street, but the one thing that always, always, always holds them back is safety.",10,,
46,0.97,282.081,287.387,"I can't lie and say, you know,--it's very scary to ride in Seattle every single day.",10,,
47,0.97,287.387,299.232,You have to have an aggressive Tempterment.,10,,
48,0.97,299.232,320.086,"There's people interested in driving less and Cycling more, but I have to warn them about the dangers after an experienced cyclist riding on popular route was killed in broad daylight a mile from my house.",10,,
49,0.97,320.086,321.821,I urge you to fund vision zero.,10,,
50,0.97,321.821,324.891,"To many people want to cycle, but they are afraid to.",10,,
51,0.97,324.891,332.932,"Please, when I encourage others to cycle in Seattle, I do not want this to feel as I'm potentially signing their death warrant.",10,,
52,0.97,332.932,333.633,Thank you for hearing me out.,10,,
53,0.97,340.74,343.576,Thank you very much.,11,,
54,0.97,343.576,348.414,Next we have Clara followed by Gordon.,12,,
55,0.97,348.414,348.881,"Go ahead, Clara.",12,,
56,0.97,352.185,355.388,"Hello, can you hear me?",13,,
57,0.97,355.388,356.956,Yes.,14,,
58,0.97,356.956,367.867,"Hi, my name is Clara Cantor with Seattle native green ways, and I'm calling in to comment on the vision zero presentation.",15,,
59,0.97,367.867,378.311,I also bike to get around on a daily basis and live in Rainier Valley in district two.,15,,
60,0.97,378.311,389.789,I just wanted to share with the Council that over the last five years district two has had double the number of fatalities of any other district.,15,,
61,0.97,389.789,399.899,"In the last month or two, we have had two memorials for people who were killed while riding bikes on routes that I use regularly.",15,,
62,0.97,399.899,412.678,"The first was Robert nice who was killed down in Georgetown, and the second was Michael Coleman who was Referenced and killed on third Park Avenue.",15,,
63,0.97,412.678,424.123,"These are really places that people bike every single day, and right now they feel really, really unsafe.",15,,
64,0.97,424.123,427.427,There's a lot of investments that can be made.,15,,
65,0.97,427.427,430.229,The vision zero team knows where those investments can be made.,15,,
66,0.97,430.229,432.832,They know the problem areas.,15,,
67,0.97,432.832,444.01,"They know the specific streets that need to be improved and the intersections that need to be improved, and they really need funding in order to get there.",15,,
68,0.97,444.01,456.489,"I'm asking Council to continue the funding from four vision zero past 2021, and increase the funding in an ongoing way that will be really meaningful for people's safety.",15,,
69,0.97,456.489,456.889,Thank you.,15,,
70,0.97,459.859,461.961,"Thank you, Clara.",16,,
71,0.97,461.961,463.362,Next we have Gordon.,16,,
72,0.97,463.362,463.996,"Good morning, Gordon.",16,,
73,0.97,467.2,471.971,"Good morning, council member I'm Gordon Bilford.",17,,
74,0.97,471.971,475.775,I'm grateful that you are all taking on the topic of vision zero.,17,,
75,0.97,475.775,483.149,"As you probably heard, we are not making vision progress to make sure everyone is safely able to travel our streets.",17,,
76,0.97,483.149,488.354,I want to leave you with an analogy to chew on today.,17,,
77,0.97,488.354,509.976,"Back at the Michael Coleman Memorial, I was speaking because he worked at the airport, and many of his colleagues from the King County airport were there, and I said if this were happening in at an airport, if you had 20 people dying at the airport every year and suffering Life-Changing and life-threatening injuries there would be drastic action taken.",17,,
78,0.97,509.976,511.911,It would not be seen as okay.,17,,
79,0.97,511.911,517.049,I think we need the same sort of mentality when thinking of road transportation.,17,,
80,0.97,517.049,530.73,"Just because we have gotten numb to it, and you're used to hearing the traffic report talk about the inconveniences of a crash rather than the human life toll doesn't mean we should be numb to it.",17,,
81,0.97,530.73,534.5,It means we should address the traffic safety challenges head on.,17,,
82,0.97,534.5,541.541,"The city has a good vision zero team and a Data-Driven strategy for addressing the known issues, but they need funding.",17,,
83,0.97,541.541,547.914,"My hope is that this fall during the budget process, you will find a way to adequately fund vision zero.",17,,
