index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,18.218,20.32,"Good morning, everyone.",0,,
1,0.97,20.32,21.221,"Today is March 2, 2021.",0,,
2,0.97,21.221,27.761,The Finance and housing committee will come to order.,0,,
3,0.97,27.761,39.606,I'm Teresa Mosqueda chair of the committee.,0,,
4,0.97,39.606,42.108,Vice chair Herbold.,1,,
5,0.97,42.108,42.842,Council President Gonzalez.,1,,
6,0.97,42.842,44.611,Council member Lewis.,1,,
7,0.97,44.611,44.911,Present.,2,,
8,0.97,44.911,50.617,Council member Strauss.,3,,
9,0.97,50.617,50.917,Present.,4,,
10,0.97,50.917,52.285,Council member Morales.,5,,
11,0.97,52.285,52.852,Here.,6,,
12,0.97,52.852,55.188,That is four present.,7,,
13,0.97,55.188,55.989,Thank you very much.,8,,
14,0.97,55.989,60.627,And we do have a note from the Council President that she is excused today.,8,,
15,0.97,60.627,63.863,Appreciate that early heads up and good morning council member Herbold.,8,,
16,0.97,63.863,65.899,I see you on the line as well.,8,,
17,0.97,65.899,66.332,Good morning.,9,,
18,0.97,66.332,68.435,Thanks for being here today.,10,,
19,0.97,68.435,69.302,We have five present.,10,,
20,0.97,69.302,71.137,I want to welcome Council member Morales.,10,,
21,0.97,71.137,74.507,Thank you for being here as an alternate to the Finance and housing committee meeting.,10,,
22,0.97,74.507,75.775,It's great to see you.,10,,
23,0.97,75.775,77.744,"Thank you for being here, folks.",10,,
24,0.97,77.744,80.046,Today we have a pretty full agenda.,10,,
25,0.97,80.046,93.693,We have the first item is Council bill 12006 which is the proposed legislation and suggested amendment that would authorize the amending 2021 multipurpose limited tax obligation ordinance.,10,,
26,0.97,93.693,98.565,We'll have a presentation and opportunity to talk about those amendments as well.,10,,
27,0.97,98.565,104.938,We have the capital projects watch list and amendments that have been suggested by at least two Councilmembers.,10,,
28,0.97,104.938,108.341,You'll remember this was a carry over item from two weeks ago.,10,,
29,0.97,108.341,114.147,I appreciate you having time to sit with the proposal and offer some suggested amendments for our discussion today.,10,,
30,0.97,114.147,124.557,The third item on the agenda is a presentation on on going deliberations regarding Federal funding to respond to the Covid crisis.,10,,
31,0.97,124.557,142.575,"There is great news coming out of the Federal administration regarding additional funding to support small businesses, workers, make sure we have the infrastructure prepared to have a robust public health response moving forward and really excited about the support we've seen from the Federal Government, including support for our food assistance and child care.",10,,
32,0.97,142.575,158.691,So we'll get into those details and hear more from central staff on a proposed resolution that our office is putting forward with all Council member input to help provide some guiding principles around receiving those Federal funds and allocation.,10,,
33,0.97,158.691,166.065,"And last on the agenda, we have an update on the Hoteling strategy that's been going on in our city and in King County.",10,,
34,0.97,166.065,186.686,We'll hear a little bit more about how those Federal funds are being used or can be used made available to help hotel those who are living unsheltered in our community and hear more about what's going on across the region and in other jurisdictions.,10,,
35,0.97,186.686,188.321,"Hearing no objection, the agenda is adopted.",10,,
36,0.97,188.321,190.79,We're going to move into public comment.,10,,
37,0.97,190.79,193.226,We do have 12 people signed up for public comment.,10,,
38,0.97,193.226,198.865,We are going to give folks two minutes this morning to provide public comment.,10,,
39,0.97,198.865,200.934,Looking forward to hearing from you.,10,,
40,0.97,200.934,205.538,Please remember to Unmute yourself when you hear that you have been Unmuted.,10,,
41,0.97,205.538,208.875,That is your Cue to hit Star 6 on your end.,10,,
42,0.97,208.875,214.213,"Please hit Star 6, begin by speaking your name and the item you're here to talk about.",10,,
43,0.97,214.213,219.986,When you have about 10 seconds remaining in the rest of your a Lotted time you will hear a Chime.,10,,
44,0.97,219.986,223.99,That's your indication to go ahead and wrap up your comments so you do not get cut off.,10,,
45,0.97,223.99,233.099,"If you have additional comments you'd like to send, send them to Council @ Seattle.Gov and all Council members will receive that information.",10,,
46,0.97,233.099,245.078,We're going to try to get through everybody this morning.,10,,
47,0.97,245.078,245.912,Two minutes.,10,,
48,0.97,245.912,257.123,When you're done speaking do hang up on the line and dial in on the listen in line published on the agenda.,10,,
49,0.97,257.123,258.424,"Good morning, Chris.",10,,
50,0.97,258.424,261.027,Are you with us?,10,,
51,0.97,261.027,261.327,Hi there.,10,,
52,0.97,261.327,266.766,Just Star 6 to Unmute yourself.,10,,
53,0.97,266.766,267.233,Good morning.,11,,
54,0.97,267.233,273.439,I am the business director with the Alliance for Pioneer square.,11,,
55,0.97,273.439,277.043,I'm here today virtually to voice support for the just care program.,11,,
56,0.97,277.043,288.554,Taking a step back the Alliance for Pioneer square is a nonprofit to serves the Pioneer square neighborhood.,11,,
57,0.97,288.554,301.167,"Our stake holders include all who work, live and do business in Pioneer square.",11,,
58,0.97,301.167,311.544,The pandemic caused some shelters in our neighborhood to close leaving many individuals who would seek services in these shelters to survive on our streets.,11,,
59,0.97,311.544,320.086,Before Pausing intake of new clients the program was Impactful on this issue and directly addressed the neighbor's needs through a targeted outreach effort.,11,,
60,0.97,320.086,328.494,Pioneer square community members have repeatedly expressed that the just care program impacts clear and visible.,11,,
61,0.97,328.494,338.438,"Neighborhood leaders including business owners, property owners, residents, as well as the Alliance for Pioneer square want action and impact.",11,,
62,0.97,338.438,350.516,We support that impact but the just care model and offer of lodging and support rather than enforcement in all occasions where that can be effective.,11,,
63,0.97,350.516,353.353,Just care through a functional framework.,11,,
64,0.97,353.353,364.831,The alliance of Pioneer square and our organizations and the Chinatown International district are responsible for asking for reasonable measures to address the challenges in our neighborhoods.,11,,
65,0.97,364.831,370.236,We ask you our public officials to determine how to support the just care program through a funding solution.,11,,
