index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.848,14.981,.,0,,
1,0.97,14.981,24.224,"This is the regularly scheduled meeting of the sustainable Renters committee of the city council today is Friday August 19, 2022.",1,,
2,0.97,24.224,28.094,I'm the chair of the Councilmember Kshama Sawant.,1,,
3,0.97,28.094,33.433,Would the clerk please call the roll?,1,,
4,0.97,33.433,34.067,Councilmember Kshama Sawant.,2,,
5,0.97,34.067,35.969,Present.,3,,
6,0.97,35.969,38.538,Councilmember Tammy J.,4,,
7,0.97,38.538,40.106,Morales.,4,,
8,0.97,40.106,40.974,Here.,5,,
9,0.97,40.974,44.544,Councilmember Sara Nelson.,6,,
10,0.97,44.544,46.012,Present.,7,,
11,0.97,46.012,49.215,Councilmember Andrew J.,8,,
12,0.97,49.215,49.416,Lewis.,8,,
13,0.97,49.416,49.716,Present.,9,,
14,0.97,49.716,51.518,Four present.,10,,
15,0.97,51.518,53.42,Thank you and welcome committee members.,11,,
16,0.97,53.42,62.962,And I also wanted to acknowledge we have Councilmember Alex Pedersen who is not a member of the committee but will be presenting a bill from his office.,11,,
17,0.97,62.962,76.109,"Today we have one item on the agenda, the resolution sponsored by Councilmember Alex Pedersen regarding the ending of the use of gas powered leaf Blowers in Seattle.",11,,
18,0.97,76.109,80.58,"Before we begin, we have public comment.",11,,
19,0.97,80.58,82.081,How many speakers do we have?,11,,
20,0.97,82.081,89.589,There are four in chambers and three remote so seven total.,12,,
21,0.97,89.589,98.264,"Okay, so we have seven community members to give public comment.",13,,
22,0.97,98.264,100.099,Speakers will have two minutes each.,13,,
23,0.97,100.099,113.78,"Sorry, Ted you should read out the names from chambers first and then we will call on the community members who are signed up remotely.",13,,
24,0.97,113.78,116.95,And go ahead.,13,,
25,0.97,116.95,130.096,"So in chambers we have Margarite, Peggy, Kathleen Baker.",14,,
26,0.97,130.096,134.3,My name is Margarite RA Shard.,15,,
27,0.97,134.634,138.738,.,15,,
28,0.97,138.738,141.341,"One moment, I'm getting it Cued up and ready.",16,,
29,0.97,141.674,147.514,Okay go for it.,16,,
30,0.97,147.514,152.118,Yes my name is Margarite RA Shard and I'm here again today.,17,,
31,0.97,152.118,156.99,I don't have anything to say about the leaf Blowers.,17,,
32,0.97,156.99,165.398,I see Renters rights and I feel my rights are Continuedly being violated up under the law as far as paying my rent.,17,,
