index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,7.073,9.142,We're recording.,0,,
1,0.97,9.142,11.578,Thank you very much.,0,,
2,0.97,11.578,12.145,"Good afternoon, everyone.",0,,
3,0.97,12.145,18.385,This is session two of our coupe sill budget action and amendment discussions.,0,,
4,0.97,20.12,24.958,Today is October 26th 2021 and the time is 2:00 P.M.,0,,
5,0.97,24.958,27.727,"Madame clerk, could you call the role for the record.",0,,
6,0.97,27.727,30.23,Lewis.,1,,
7,0.97,30.23,31.297,Present.,2,,
8,0.97,31.297,36.403,Morrall less.,3,,
9,0.97,36.403,37.737,Pedersen.,4,,
10,0.97,37.737,37.971,Sawant.,4,,
11,0.97,37.971,38.872,Present.,4,,
12,0.97,38.872,39.172,Strauss.,5,,
13,0.97,39.172,41.141,Present.,6,,
14,0.97,41.141,42.742,"Herbold,",7,,
15,0.97,42.742,43.476,Here.,8,,
16,0.97,43.476,44.444,Gonzales.,9,,
17,0.97,44.444,45.311,Present.,10,,
18,0.97,45.311,46.045,Juarez.,11,,
19,0.97,46.045,48.848,Here.,12,,
20,0.97,48.848,51.051,And chair Mosqueda.,13,,
21,0.97,51.051,52.018,Present.,14,,
22,0.97,52.018,52.752,Seven present.,15,,
23,0.97,52.752,59.392,I want to acknowledge Councilmember Morales let me know she was going to need to step aside for a moment.,15,,
24,0.97,59.392,64.197,So she's excused from the afternoon session of our select budget committee meeting.,15,,
25,0.97,64.197,83.783,I will be able to read for her her item so that we can Orient the committee here as to the items that she's bringing forward both in this Council budget amendments and the Walk- on amendment that we'll also discuss here in a moment under arts.,15,,
26,0.97,83.783,85.985,I believe Councilmember Pedersen is present.,15,,
27,0.97,85.985,88.054,Thank you very much for being here.,15,,
28,0.97,88.054,90.457,We now have eight members present with one excused.,15,,
29,0.97,90.457,92.425,So thank you all for coming back.,15,,
30,0.97,92.425,97.73,We had just finished our conversation on Department of education and early learning.,15,,
31,0.97,97.73,105.338,"At this time, we're going to go into item 12 on our agenda to continue with arts, culture, and workforce development.",15,,
32,0.97,105.338,108.308,We're going to start with arts 3001.,15,,
33,0.97,108.308,112.412,"Madame clerk, could you read item 12 into the record.",15,,
34,0.97,112.412,113.246,Agenda item 12.,16,,
35,0.97,113.246,115.882,Office of arts and culture for briefing and discussion.,16,,
36,0.97,115.882,117.851,Thank you very much.,17,,
37,0.97,117.851,120.22,And I will hand it over to Asha.,17,,
38,0.97,120.22,121.888,Good to see you Asha.,17,,
39,0.97,121.888,127.36,Good afternoon Councilmembers and chair Mosqueda.,18,,
40,0.97,127.36,128.328,This is arts 1A1.,18,,
41,0.97,128.328,129.963,Before I start this section.,18,,
