index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.214,14.581,.,0,,
1,0.97,14.581,21.621,I am not seeing in my Inbox the public comments sign up sheet.,1,,
2,0.97,21.621,23.49,Stand by.,2,,
3,0.97,23.49,29.095,Thank you.,3,,
4,0.97,29.396,33.133,.,3,,
5,0.97,110.944,114.681,Hey there this is Council member Lewis coming in by phone.,4,,
6,0.97,114.681,116.716,Good morning council member Lewis.,5,,
7,0.97,116.716,129.896,We are just waiting for the sign up sheet being sent over to me and then we'll get going.,5,,
8,0.97,129.896,131.831,.,5,,
9,0.97,131.831,133.766,"Okay, thanks.",6,,
10,0.97,133.766,134.2,.,6,,
11,0.97,134.2,144.711,Did you not receive that?,7,,
12,0.97,144.978,155.221,I see it . .,8,,
13,0.97,167.467,172.539,"Good morning the September 23, 2020 meeting of land use meeting will come to order.",9,,
14,0.97,172.539,174.24,It is 9:33:00 A.M.,9,,
15,0.97,174.24,177.01,I'm Dan Strauss chair of the committee.,9,,
16,0.97,177.01,183.75,Will the clerk please call the role.,9,,
17,0.97,183.75,184.584,Pedersen.,10,,
18,0.97,184.584,185.151,Here.,11,,
19,0.97,185.151,186.819,Lewis.,12,,
20,0.97,186.819,188.121,Present.,13,,
21,0.97,188.121,190.723,Juarez.,14,,
22,0.97,190.723,191.324,Mosqueda.,14,,
23,0.97,191.324,191.891,Present.,15,,
24,0.97,191.891,192.592,Councilmember.,16,,
25,0.97,192.592,192.926,Present.,17,,
26,0.97,192.926,193.359,Four present.,18,,
27,0.97,193.359,196.963,And I believe we have an alternate?,19,,
28,0.97,196.963,201.2,Or did you call Council member Lewis and I just missed it?,19,,
29,0.97,201.2,201.868,Yes.,20,,
30,0.97,201.868,202.702,"Ah, my apologize.",21,,
31,0.97,202.702,208.608,I'd like to begin by acknowledging we're on the traditional land of the first people of Seattle.,21,,
32,0.97,208.608,214.681,Sailor's people past and present and honor with gratitude the land itself and the people who have been here for millenium.,21,,
33,0.97,214.681,239.339,"We have three items on the agenda today a public hearing and vote on 877 which extends allowing for virtual design and landmark meetings during the Covid-19 emergency, a discussion and vote on 838 the comprehensive plan and amendment and discussion and vote on the comprehensive plan docket setting resolution.",21,,
34,0.97,239.339,247.213,Council rules the land and use Council member committee will not be meeting as the Council considers the 2021 budget.,21,,
35,0.97,247.213,256.623,The next regularly scheduled meeting of the land use and neighborhoods Committee is on Wednesday December 9 starting at 9:30 A.M.,21,,
36,0.97,256.623,262.595,"At this time, we will open remote public comment period for items on today's agenda.",21,,
37,0.97,262.595,269.135,Before we begin I ask that you be patient as we learn to operate this new system Real- time.,21,,
38,0.97,269.135,273.539,"Deb Barker, Megan Cruz, Chris Lee man thank you for your patience.",21,,
39,0.97,273.539,292.225,I know we were supposed to meet yesterday and I apologize we had to take up a vote and so we will be--I'll be reaching out to meet with you as soon as possible and Noah has already communicated with me much of what he had to share so thank you for your patience and we navigate these trying times.,21,,
40,0.97,292.225,314.113,While it remains our strong intent to have public comment regularly included on meeting Agendas the city council reserves the right to end or eliminate at Knifepoint if we deem the system is unsuitable for allowing our meetings to be conducted efficiently in a manner which we are able to conduct our necessary business.,21,,
41,0.97,314.113,316.516,I will moderate in the following manner.,21,,
42,0.97,316.516,322.255,Public comment period for this meeting is up to ten minutes and each Speaker will begin two minutes to speak.,21,,
43,0.97,322.255,326.759,I will call in the order in which they are Eregisterred on the Council's Website.,21,,
44,0.97,326.759,335.568,In you have not registered to speak but would like to do so you can sign up before the end of public comment by going to the Council's Website.,21,,
45,0.97,335.568,338.705,The public comment link is also listed on today's agenda.,21,,
46,0.97,338.705,348.748,Once I call the Speaker's name the staff will Unmute the appropriate Mike and you will Unmute to be the Speaker's Cue.,21,,
47,0.97,348.748,352.085,Please by saying your name and which item you are addressing.,21,,
48,0.97,352.085,358.691,Speakers will hear a Chime ten seconds before the allotted time ends.,21,,
49,0.97,358.691,363.563,Once the Speaker airs the Chime you have ten seconds to wrap up your comments.,21,,
