index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,52.152,52.685,Present.,0,,
1,0.97,52.685,53.219,Councilmember Herbold.,1,,
2,0.97,53.219,58.391,Here.,2,,
3,0.97,58.391,59.459,Council President Juarez.,3,,
4,0.97,59.459,59.726,Here.,4,,
5,0.97,59.726,61.06,Councilmember Sawant.,5,,
6,0.97,61.06,65.932,Present.,6,,
7,0.97,65.932,66.466,Councilmember Nelson.,7,,
8,0.97,66.466,70.303,Present.,8,,
9,0.97,70.303,71.938,Four present.,9,,
10,0.97,71.938,73.206,Five present.,9,,
11,0.97,73.206,76.609,"Greetings everyone, there are two items on today's agenda.",10,,
12,0.97,76.609,87.454,The first is a presentation and discussion of Councilmember Pedersen's draft legislation regarding caps on delivery fees.,10,,
13,0.97,87.454,96.93,"And Councilmember Pedersen will be joining us to discuss his legislation, which is also Responderred by Councilmember Strauss.",10,,
14,0.97,96.93,101.968,He cannot stay for the whole discussion however.,10,,
15,0.97,101.968,106.94,The second item is our discussion and possible vote on the strategic plan and rate path.,10,,
16,0.97,106.94,113.179,"If there is no objection, the agenda will be adopted.",10,,
17,0.97,113.179,115.248,"Seeing no objection, the agenda is adopted.",10,,
18,0.97,115.248,124.724,We'll now move into public comment on items listed on the agenda.,10,,
19,0.97,124.724,131.764,Let's roll them.,10,,
20,0.97,131.764,133.9,Hello Seattle.,11,,
21,0.97,133.9,135.068,We are the Emerald city.,11,,
22,0.97,135.068,146.246,"The city of flowers, and the city of goodwill, built on indigenous land, the traditional territory.",11,,
23,0.97,146.246,153.953,The Seattle city council WELCOMES remote public comment and is eager to hear from residents of our city.,11,,
24,0.97,153.953,158.725,You my register two hours prior to the meeting via the Seattle city council Website.,11,,
25,0.97,158.725,162.262,Here's some information about the public comment proceedings.,11,,
26,0.97,162.262,169.102,Speakers are called upon in the order in which they registered on the Council's Website.,11,,
27,0.97,169.102,184.517,"Each Speaker must call in from the phone number they provided when they registered Online, and use the meeting Id and pass code that was received on Email confirmation.",11,,
28,0.97,184.517,196.162,"If you did not receive an Email confirmation, please check your junk mail folders.",11,,
29,0.97,196.162,211.244,"Once the Speaker's name is called, the Speaker's microphone will be Unmuted, and the host will say, the host would like you to Unmute your microphone.",11,,
30,0.97,211.244,213.146,That is your Cue to speak.,11,,
31,0.97,213.146,218.351,You must then press Star 6. you will then hear a prompt of you are Unmuted.,11,,
32,0.97,218.351,222.288,"Be sure your phone is Unmuted on your end, so you will be heard.",11,,
33,0.97,222.288,227.627,"As a Speaker, you must speak your name and the item number you are dressing.",11,,
34,0.97,227.627,238.571,A Chime will be given when you are 10 seconds left of your allotted time as a gentle reminder to wrap up your comments.,11,,
35,0.97,238.571,251.551,"At the end of the time, your microphone will be muted, and the next Speaker will be provided the chance to speak.",11,,
36,0.97,251.551,255.455,Join us via the Seattle channel live broadcast.,11,,
37,0.97,255.455,271.371,"The Council reserves the right to eliminate public comment if the system is being abused, or if the process Impedes the county's ability to conduct business on behalf of the city.",11,,
38,0.97,271.371,280.48,"Any disruptive language that is not focused on a specific topic as specified, and Council rules may lead to the Speaker being muted by the Presiding officer.",11,,
39,0.97,280.48,289.689,Our hope is to provide an opportunity for productive discussions that will safety our orderly consideration of issues before the Council.,11,,
40,0.97,289.689,295.228,The public comment period is now open and we will begin with the first Speaker on the list.,11,,
41,0.97,295.228,306.339,"Please remember to press Star 6 after you hear the prompt of ""You have been Unmuted ."" thank you Seattle.",11,,
42,0.97,306.339,307.573,All right.,12,,
43,0.97,307.573,316.516,"We will start with our remote speakers, and everyone will have two minutes to speak.",12,,
44,0.97,316.516,317.016,Please state your name.,12,,
45,0.97,317.016,321.12,Please state your name and the item to which you are speaking.,12,,
46,0.97,321.12,329.028,"Let's see, we'll give with Steve Hooper, followed by Anna Powell.",12,,
47,0.97,329.028,330.329,Steve.,12,,
48,0.97,330.329,340.84,Press Star 6. do we have him?,12,,
49,0.97,345.611,347.613,"One moment, please.",12,,
50,0.97,347.613,347.947,I'm here.,13,,
51,0.97,347.947,352.285,"Sorry Councilmember, there was a little bit of a technical difficulty there.",13,,
52,0.97,352.285,354.787,"Chair Nelson, thank you for having me today.",13,,
53,0.97,354.787,355.788,My name is Steve Cooper.,13,,
54,0.97,355.788,366.632,"I am the President of the Seattle restaurant alliance, and share the same title at Ethan Stoll restaurants as part of my day job.",13,,
55,0.97,366.632,374.44,I wanted to speak to the third party delivery legislation that Councilmember Pedersen and Strauss are presenting today.,13,,
56,0.97,374.44,386.953,"As I think, many on the Council know, this was a critical lifeline for nearly every restaurant group across our great city through the bulk of the pandemic when restaurants were fully shut down.",13,,
57,0.97,386.953,394.861,"However, it was not just about the pandemic and the delivery owned window.",13,,
58,0.97,394.861,407.34,"There is a complete pricing power disparity when it comes to third party services, which Existeder before the pandemic, but the pandemic allowed us to see in very real terms.",13,,
59,0.97,407.34,416.516,The result of this new kind of business model with customers demanding delivery has been that restaurants have had to kind of change how they operate.,13,,
60,0.97,416.516,429.896,And the fact that they're only a handful a players in the delivery market means they can charge 30% or greater in many areas for a fundamental service that all should be able to access.,13,,
61,0.97,429.896,432.465,The second part of the equation is one of equity.,13,,
62,0.97,432.465,439.639,"I know this Council is completely committed to an equitable, and just economic recovery.",13,,
63,0.97,439.639,447.847,One of the things that the large third party delivery platforms are able to do is price differentiate based on the size of the business.,13,,
64,0.97,447.847,470.97,"Restaurant groups like mine enjoy a very very steep discount on those delivery services, whereas those small mom and pop restaurants are paying many times what a small restaurant ours would be paying for.",13,,
65,0.97,470.97,471.504,That's taking advantage.,13,,
66,0.97,471.504,479.979,"I encourage the consideration of Strauss and Pedersen's resolution, and I thank you for everyone's time today.",13,,
67,0.97,479.979,481.28,Thank you very much.,13,,
68,0.97,481.28,482.982,Thank you very much.,14,,
69,0.97,482.982,487.854,Our next Speaker is Anna Powell.,14,,
70,0.97,487.854,497.697,"Speaker Nelson and members of the committee, my name is Anna Powell and I'm the government relations manager for door dash in the Northwest.",15,,
71,0.97,497.697,505.504,"Door dash knows private controls lead to higher costs for customers, fewer orders for local restaurants and fewer earning opportunities for our Dashers.",15,,
72,0.97,505.504,512.311,"That's why we're eager to work with the city Council to find a better solution, that won't hurt consumers and workers.",15,,
73,0.97,512.311,521.554,"While we recognize that the pandemic is not over, restaurants continue to reopen and restrictions on businesses have lifted.",15,,
74,0.97,521.554,530.196,Seattle restaurants options when it comes to serving their customers including through our new tiered pricing system.,15,,
75,0.97,530.196,546.279,"In April 2021, door dash Debuted new pricing plans that gives small and medium sized restaurants the ability to choose the level of service they want, which includes a 15% Commission rate, and the flexibility to change their plan whatever they want.",15,,
76,0.97,546.279,555.588,"Door dash does not support permanent price controls, and we know it is imperative to get the details of this legislation right as to not hurt the very restaurants you're trying to protect.",15,,
77,0.97,555.588,560.927,"We look forward to working with you, to find a solution that works for everyone.",15,,
78,0.97,560.927,562.061,Thank you.,15,,
79,0.97,562.061,562.762,Thank you very much.,16,,
80,0.97,562.762,567.266,The last Speaker that we have on our list is destiny sun.,16,,
81,0.97,567.266,575.908,"If anybody else out there would like to speak, you can sign up, using the link on the agenda.",16,,
82,0.97,575.908,586.218,"Destiny, welcome.",16,,
83,0.97,589.889,594.827,Star 6.,16,,
84,0.97,594.827,604.337,"Okay, we'll come back to you after our In-Person comment if you'd like to speak.",16,,
85,0.97,604.337,605.705,One more chance right now though.,16,,
86,0.97,605.705,610.71,"Please press Star 6. all right, hang tight, we'll get back to you.",16,,
87,0.97,610.71,617.116,"Okay, our first and only In- person Commenter is Alex Zimmerman.",16,,
88,0.97,617.116,627.36,Please begin.,16,,
89,0.97,629.929,640.006,Okay.,17,,
90,0.97,640.706,641.24,So sorry.,18,,
91,0.97,641.24,653.152,"Let's make sure his Mic is on, then start the Timer.",19,,
92,0.97,653.152,663.396,Zieg Hale.,20,,
93,0.97,663.863,676.175,My name a Alic Zimmerman and please show my face.,20,,
94,0.97,676.175,681.113,"Stupid face, but it's my face.",20,,
95,0.97,681.113,692.858,I come to Seattle light Commissioner every time a couple years and give my opinion about my business and money.,20,,
96,0.97,692.858,693.292,Nothing political.,20,,
97,0.97,693.292,694.46,They never listen to me.,20,,
98,0.97,694.46,695.161,Never.,20,,
