index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,5.205,9.576,We will come to order.,0,,
1,0.97,9.576,10.81,It is 9:30 2 am.,0,,
2,0.97,10.81,11.811,I'm chaired the committee.,0,,
3,0.97,11.811,14.681000000000001,While the clerk please call the roll.,0,,
4,0.97,28.428,33.933,I know that Councilmember Lewis will be joining us in just a moment.,1,,
5,0.97,33.933,42.308,I would like to begin by acknowledging we are on the--the first people of Seattle.,1,,
6,0.97,42.308,50.216,With honor and gratitude to the land itself and you want--tribes.,1,,
7,0.97,50.216,57.457,"We have three items on the agenda today, a briefing and public hearing on CB 109827 which resounds lands for affordable housing.",1,,
8,0.97,57.457,71.337,"It is gosh and vote on CB 119831, child care near you legislation and a discussion and vote on CB 109835, the annual land use on the bus bill.",1,,
9,0.97,71.337,76.643,"The next regularly scheduled meeting is on Wednesday, September 9 starting at 9:30 am.",1,,
10,0.97,76.643,85.151,"Before we began, if there is no objection, the agenda will be adapted.",1,,
11,0.97,85.151,91.858,"Hearing no objection, the agenda is adopted.",1,,
12,0.97,91.858,95.295,At this time we will open the remote public comment period for items on today's agenda.,1,,
13,0.97,95.295,101.801,"Before we began, I asked that everyone be patient as we learn to operate this new system in real time.",1,,
14,0.97,101.801,126.192,"While it remains our strong intent to have public comment, at any point, if we deem this system is being abused or is unsuitable for allowing meetings to be conducted efficiently, in a manner which--manner in which we are able to conduct necessary business, I will moderate public comment period in the following manner.",1,,
15,0.97,126.192,136.736,Public comment period for this meeting is up to 10 minutes and each Speaker will be given two minutes to speak.,1,,
16,0.97,136.736,140.874,I will call in each Speaker by name and in the order in which they registered on the Council Website.,1,,
17,0.97,140.874,146.079,"If you have not registered to speak but would like to, you can sign up before the end of public comment going to the Council Website.",1,,
18,0.97,146.079,147.914,The public comment link is also on today's agenda.,1,,
19,0.97,147.914,155.822,"Once I call a Speaker's name, staff will Unmute the appropriate Mike in the automatic prompt that you have been Unmuted will be the Queue that it is your turn to speak.",1,,
20,0.97,155.822,168.234,"Also, for all public--public, please note that you need to press Star six to Unmute yourself as well.",1,,
21,0.97,168.234,175.542,"Please begin speaking by stating your name and the item in which you are addressing, speakers will hear a Seattle, Washington 10 seconds I left.",1,,
22,0.97,175.542,178.578,"Once the Speaker here's the Chime, we ask that you begin to wrap up public comment.",1,,
23,0.97,178.578,188.955,"If Staplers do not have comments at the end of the allotted time, speakers microphone will be muted after 10 seconds to allow for us to call the next Speaker.",1,,
24,0.97,188.955,196.262,"Once you have concluded your public comment we ask that you please Disconnect from the line and if you plan to continue following the meeting, do it via the Seattle Channel.",1,,
25,0.97,196.262,222.088,"Please remember that there are separate hearings on the agenda for CB 119827 which resounds land in Rainier Beach pick up your comments about that item, I ask that you hold them for public hearing and if I hear that you are beginning to speak on it I will Interject, just to react to the question if you want to continue speaking I will reset the Timer.",1,,
26,0.97,222.088,226.326,"Remember, if you are speaking for public comment, press Star six to Unmute yourself.",1,,
27,0.97,226.326,232.432,Public comment period is now open and we will begin with the first speakers on the list.,1,,
28,0.97,232.432,242.742,"I see Holly golden, Judith listed as not present, Deborah Barker,--and David Moring.",1,,
29,0.97,242.742,263.062,"I will continue to call speakers in groups of three, as they begin . Holly golden, if you are present and have pressed Star six to Unmute yourself, please begin.",1,,
30,0.97,263.062,263.663,Good morning.,2,,
31,0.97,263.663,264.264,This is Holly Golden.,2,,
32,0.97,264.264,269.168,I'm here to speak about Land- use on the--omnibus.,2,,
33,0.97,269.168,276.676,I'm attorney and work on projects for Seattle and spend my day deep into land use code.,2,,
34,0.97,276.676,289.389,In particular I want to speak about seeking support of the proposed amendment to the substitute for version of the bill related to transferable development rights for ADRs in the downtown retail corridor.,2,,
35,0.97,289.389,294.394,This changes are aimed at addressing a practical problem.,2,,
36,0.97,294.394,305.838,The current count says current projects in this narrow downtown zone can only obtain Tdr from other sites in the zone.,2,,
37,0.97,305.838,309.809,But Unfortunately the reality is that there are no longer Tdr is available on the private market in this area.,2,,
38,0.97,309.809,316.716,Project sounds are out of luck.,2,,
39,0.97,316.716,322.488,The original omnibus address this problem by removing the limitation in treating projects in the narrow downtown zone like projects in other downtown zones.,2,,
40,0.97,322.488,325.825,That fixes the problem for projects going forward.,2,,
41,0.97,325.825,335.001,"In the substitute version of the bill will include a small change, to fix the problem to projects already in the pipeline.",2,,
42,0.97,335.001,349.816,The change treats the problems like other downtown projects and continues support the preservation through the Tdr program.,2,,
43,0.97,349.816,356.856,Is a Wonky technical change that is the kind of update intended for the omnibus and I wanted to express my support for the revision contained in the substitute version of the bill.,2,,
44,0.97,356.856,363.062,Well I've got you I would also like to throw support behind the clarification in the substitute version of the bill for the podium section of the code for Southlake Union.,2,,
45,0.97,363.062,366.866,It is a Wonky change that allows the code to be applied in a practical matter.,2,,
46,0.97,366.866,370.937,Thank you for including in supporting this change.,2,,
47,0.97,370.937,372.038,"Thank you, Holly.",3,,
48,0.97,372.038,377.844,Judith is signed up next but I see she's not present.,3,,
49,0.97,377.844,381.28,"Judith, if you rejoin just let us know.",3,,
50,0.97,381.28,385.151,"The next three speakers are Deb Barker,--and David Moring.",3,,
51,0.97,385.151,397.263,"If you are present, Deb, press Star six and begin when you are ready.",3,,
52,0.97,397.263,402.602,"Deb, we can't hear you.",3,,
53,0.97,402.602,414.213,If you need to press Star six to Unmute yourself.,3,,
54,0.97,414.213,422.755,"Not hearing Dabo, we will come back to you, let us know if something changes.",3,,
55,0.97,422.755,430.396,"Up next is--, David Moring and I have not present Katie, Nope last name provided.",3,,
56,0.97,430.396,439.138,And Patrick Taylor.,3,,
57,0.97,439.138,441.841,"Rizwan if you are ready, press Star six to Unmute yourself and begin.",3,,
58,0.97,441.841,447.413,"My name is Rizwan, I'm the executive director of public housing services.",3,,
59,0.97,447.413,452.151,We are a homeless prevention--based in Seattle the last 20 years.,3,,
60,0.97,452.151,457.023,My call this morning is Regrading CB 10927.,3,,
61,0.97,457.023,459.659,Rezoning for land in Rainier Beach.,3,,
62,0.97,459.659,471.871,"We are hoping that--talking about whether to move the other location into the building, which will require the Rezoning.",3,,
63,0.97,471.871,486.285,"And the neighborhood itself, the development proposing will also be adding large units, which have not been available on the low income housing side.",3,,
64,0.97,486.285,491.591,And it is critical that the Rezoning passes for number of reasons.,3,,
65,0.97,491.591,506.205,Number 1 the Cr agency wants to continue to serve Seattle and South King County populations that are not getting assistance and also we need a for larger units for families that are homeless in the past.,3,,
66,0.97,506.205,512.511,We are hoping that city council will vote for the amendment to go forward.,3,,
67,0.97,512.511,521.42,"Last year we housed over 1170 people across the county, which 714 were homeless.",3,,
68,0.97,521.42,529.795,"456 were facing Eviction, a lot of them were city of Seattle residence in South King County residents who came to the city for help.",3,,
69,0.97,529.795,535.401,We hope we can continue to operate and provide services to the community.,3,,
70,0.97,535.401,539.338,Thank you.,3,,
71,0.97,539.338,544.81,"Thank you, Rizwan, thank you for your work on behalf of our city.",4,,
72,0.97,544.81,547.246,I also want to know Council member Lewis has joined the meeting.,4,,
73,0.97,547.246,564.931,"Next three speakers are David Moring, Katie, no last name provided and listed as not present, Patrick Taylor, Laura Lowe . David, if you are presents, please press Star six to Unmute yourself and begin at any time.",4,,
74,0.97,564.931,571.871,"Sure, this is David Moring with magnolia Interbay area and I'm here to talk about the omnibus.",5,,
75,0.97,571.871,581.447,I just want to appreciate our committee members and press for terms of the city council being able to manage all that is on the city's plate at the moment.,5,,
76,0.97,581.447,602.101,"With that I'm up appreciating the efforts made by city Council and the staff to--the omnibus, especially removing the language that potentially could impact 400,000 to 500 thousand Seattle residents.",5,,
77,0.97,602.101,616.315,"So on that, just on that NOTE if the city has an ultimate goal to convert the diverse option of single-family zone Ino multifamily, then don't be shy.",5,,
78,0.97,616.315,622.822,"And announce that publicly to the people of Seattle, maybe like Minneapolis did.",5,,
79,0.97,622.822,635.401,I recognize that the omnibus would have not allowed or limited backyard Venues from being individually sold.,5,,
80,0.97,635.401,649.448,"But two things, one it did not stop up to two attached accessory dwellings to be Subdivided and sold in two, it did not stop the eventual converting of the garage or open space at a later date.",5,,
81,0.97,649.448,657.123,"So thank you for your efforts and just be open with us, thank you so much.",5,,
82,0.97,657.123,658.457,"Thanks, Dave.",6,,
83,0.97,658.457,659.158,We absolutely well.,6,,
84,0.97,659.158,664.03,"Next I have Katie, no last name provided, not present.",6,,
85,0.97,664.03,674.173,"Katie, if you are here, please Unmute yourself by pressing Star six.",6,,
86,0.97,674.173,679.678,"Not hearing Katie, next we have Patrick Taylor, Laura Lowe, don Brubeck.",6,,
87,0.97,679.678,685.985,"Patrick, if you are present and ready, press Star six and begin at any time.",6,,
88,0.97,685.985,687.186,Can you hear me?,7,,
89,0.97,687.186,687.586,Yes.,8,,
90,0.97,687.586,693.492,My name is Patrick Taylor and I'm part of the Advisory board.,9,,
91,0.97,693.492,697.463,"I'm speaking as an individual member, not on behalf of the board.",9,,
92,0.97,697.463,701.2,Speaking on the omnibus bill.,9,,
93,0.97,701.2,720.72,We have written the letter but Council member Strauss and Ann have been helpful in working to make changes in the first amendment.,9,,
94,0.97,720.72,738.804,"And if the amendment is included with the omnibus language bill, making the most of the exemption, contingent on the type one decision, I would feel that the bill is something I can support and represent a very positive complement between the needs of the Viking community and affordable housing providers.",9,,
95,0.97,738.804,745.044,"The amendment we discussed, I support what everyone needs.",9,,
96,0.97,745.044,745.344,Thank you.,9,,
97,0.97,745.344,754.019,"Thank you, Patrick and thank you for your service on the bicycle advisory committee, the board.",10,,
98,0.97,754.019,755.554,And working with Noah.,10,,
99,0.97,755.554,763.162,"I understand that Deb Barker you are able to Unmute yourself, I will put you back in front of Laura Lowe.",10,,
100,0.97,763.162,775.574,"Deb, are you available by pressing Star 62 Unmute yourself?",10,,
101,0.97,779.311,781.78,"Deb, I'm going to come back at the very ends.",10,,
102,0.97,781.78,787.753,Just so we can continue moving forward.,10,,
103,0.97,787.753,801.967,"Laura Lowe Bernstein and don Brubeck, matt Hutchins, Laura Lowe if you're ready press Star six.",10,,
104,0.97,801.967,803.569,"This is Laura, can you hear me?",11,,
105,0.97,803.569,804.203,"My guess, we can.",11,,
106,0.97,804.203,804.803,Great.,12,,
107,0.97,804.803,810.309,"I'm calling to thank the city council for putting forward CB 11931 which acknowledges the community needs Walkable, abundant access to Childcare in our city.",12,,
108,0.97,810.309,818.817,"While zoning cannot alone address scarcity of resources, changes are key factor in making our city more affordable and climate friendly.",12,,
109,0.97,818.817,825.124,I want to thank you for your work on PB one through--changes to support better land use in the city.,12,,
110,0.97,825.124,832.231,"I want to take the opportunity to highlight the recent Seattle planning Commission report for racial equity, affordable and resilient recovery.",12,,
111,0.97,832.231,873.005,"I strongly agree with the following goal that we need to adopt and use committee and an overall anytime we're talking about planning or housing practices or economic planning or across many other committees, we need to work in collaboration with bipartisan unity to get a planning process that shares power including budgeting, we need to advance choices and security in response of Covid-19 including Wikis increasing funding--we need to maintain critical transit networks to ensure city rights of Land-Use safety, the needs during this critical pandemic time including--and Publix space works for everyone.",12,,
112,0.97,873.005,890.356,"The clean hand collective, DIY Handwashing stations, must be a priority and in public realms we need to make sure our Land- use works to make more of those happen.",12,,
113,0.97,890.356,903.102,"And finally we need to update our city racial equity Toolkit to include indigenous practices and our project and policy development, I'm especially concerned that we incorporate indigenous practices and indigenous ways in our industrial land planning coming up.",12,,
114,0.97,903.102,913.279,I just want to take the opportunity to thank you for the work you are doing and thank you for the--thank you.,12,,
115,0.97,913.279,914.113,"Thank you, Laura Lowe.",13,,
116,0.97,914.113,927.927,"Next we have don Brubeck followed by matt Hutchins and last Mary cotter . We will then hear from Deb Barker and double as--Douglas, you are listed as not present.",13,,
117,0.97,927.927,932.331,Same with Judith and Katie no last name provided.,13,,
118,0.97,932.331,941.707,Don--it has come to my attention that we have reached the end of the initial allotted 10 minutes a public comment.,13,,
119,0.97,941.707,948.013,"If there is no objection, public condiments will be extended an additional 10 minutes.",13,,
