index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,26.426,26.76,Thank you.,0,,
1,0.97,26.76,28.428,We are going to do a call to order.,0,,
2,0.97,28.428,31.264,It afternoon this is the public assets in native communities committee.,0,,
3,0.97,31.264,33.666,The date is March 3 and the time is to a 6 PM.,0,,
4,0.97,33.666,44.11,Thank you for being here.,0,,
5,0.97,45.478,47.08,"I am Councilmember Juarez, chair of the committee.",0,,
6,0.97,47.08,48.715,We will start with the approval of agenda.,0,,
7,0.97,48.715,50.917,"If there are no objections, the agenda will be adopted.",0,,
8,0.97,50.917,54.988,The agenda is adopted.,0,,
9,0.97,54.988,56.656,I will go right to the chairs report.,0,,
10,0.97,56.656,65.732,"Today we will discuss the reappointment of Kelly McCaffrey to the Seattle parks district oversight committee, following this a presentation by the parks Department on the six year spending plan in the metropolitan park district strategic plan.",0,,
11,0.97,65.732,69.636,Where just joined by Councilmember Herbold.,0,,
12,0.97,69.636,70.637,Take you for joining us.,0,,
13,0.97,70.637,72.906,At this time I am done with the chairs report.,0,,
14,0.97,72.906,76.743,We will go to public comment.,0,,
15,0.97,76.743,78.745,I will have you read out the names.,0,,
16,0.97,78.745,86.352,"Again, you have two minutes for public comment.",0,,
17,0.97,86.352,99.466,"Please direct your comments to the two matters on the agenda, which are the reappointment and the six-year park Department presentation.",0,,
18,0.97,99.466,101.734,"Before you begin, make sure to state your name for the record.",0,,
19,0.97,101.734,103.536,How many people to be have signed up?,0,,
20,0.97,103.536,103.97,Three people.,1,,
21,0.97,103.97,107.14,Let's go ahead and call those people.,2,,
22,0.97,107.14,108.441,Good afternoon.,3,,
23,0.97,108.441,111.478,I am chair of the lifelong recreation advisory Council.,3,,
24,0.97,111.478,121.788,That is part of the associated recreation counsel . We advocate for seniors programs . I have two requests for the park district funding coming up.,3,,
25,0.97,121.788,141.407,We need more hours . the community centers are open to address the fact that by decreasing the hours last fall and actually 10 years ago it puts seniors into conflicts with programs for Tots.,3,,
26,0.97,141.407,148.214,"So if we had more hours, we could serve everybody.",3,,
27,0.97,148.214,163.997,"And Consequently, to be able to keep the community centers open, we need more staffing, both to do programming, to reach out to diverse communities and to write grants and other things that make programming for seniors happen.",3,,
28,0.97,163.997,164.497,Thank you.,3,,
29,0.97,164.497,165.532,Thank you Joyce.,4,,
30,0.97,165.532,168.001,Thank you for meeting with us this morning.,4,,
31,0.97,168.001,169.068,Next is and Bronsted.,4,,
32,0.97,169.068,179.145,,5,,
33,0.97,181.581,182.982,I just want to say thank you to the staff and Council members.,6,,
34,0.97,182.982,184.017,You guys have a tough job.,6,,
35,0.97,184.017,188.454,We know you're working hard and we appreciate what you are doing for the community.,6,,
36,0.97,188.454,190.056,I don't think you always get the recognition.,6,,
37,0.97,190.056,190.456,Thank you.,6,,
38,0.97,190.456,207.34,"But specifically--I am executive director with the outdoors for all foundation located in the District of Councilman Pedersen, we serve not only the entire city, but the entire region enriching the lives of children and adults with disabilities.",6,,
39,0.97,207.34,212.779,"Specific to the strategic plan, I also want to thank Councilmember Juarez for your leadership and public assets.",6,,
40,0.97,212.779,219.886,One of the public assets the city Coordinats with is collaboration with a number of different Nonprofits and other programs.,6,,
41,0.97,219.886,235.568,I want to continue to emphasize that we are in this together and want to work with the city and continue to emphasize the importance of those partnerships and collaboration is a highly effective way to get things done.,6,,
42,0.97,235.568,237.403,The city can't be all things to all people.,6,,
43,0.97,237.403,271.804,Outdoors for all was dedicated to the vision the people with disabilities deserve the same kind of access as others.,6,,
44,0.97,271.804,272.238,To recreation.,6,,
45,0.97,272.238,273.139,We are all about that.,6,,
46,0.97,273.139,279.445,"I just want to make sure whether it is outdoors for all, a tennis center, lifelong recreation, whatever the Rogram is, there are a lot of great partners in our community.",6,,
47,0.97,279.445,283.716,I think the parks Department can leaning towards those partnerships to be more effective in serving its mission and our community.,6,,
48,0.97,283.716,285.752,"Again, thank you for the work you are all doing.",6,,
49,0.97,285.752,288.087,"Nudges you with a stable, but folks behind the scenes as well.",6,,
50,0.97,288.087,289.022,"Park staff, we appreciate you.",6,,
51,0.97,289.022,291.624,Our community is a better place because of the work you do.,6,,
52,0.97,291.624,292.725,Thank you for participating.,7,,
53,0.97,292.725,294.093,You have been a good community member.,7,,
54,0.97,294.093,294.661,Last is David Haynes.,7,,
55,0.97,294.661,298.564,"Is there any park district money for police, more money to prop up corporate real estate speculators?",8,,
56,0.97,298.564,303.636,I hear the decrease in hours with abusive government employees needs to be addressed on all levels cause such as social welfare and the library even.,8,,
57,0.97,303.636,307.273,"This counsel, is this counsel aware that the libraries are close down today for a paid staff meeting?",8,,
58,0.97,307.273,321.287,"Given the bad technology at central library, you can't even return a book because of the loud conveyor belt not working properly.",8,,
59,0.97,321.287,324.023,Why is it the city council is refusing to keep the chief laboring honest.,8,,
60,0.97,324.023,334.5,"We still don't have 21St- century times that any library, yet out of all the millions of library gifts, the only opened up certain smaller libraries ever opening up at 1 PM, acting like they're adding an hour when there now opening up at noon.",8,,
61,0.97,334.5,335.902,But they're still closing at 5 PM.,8,,
62,0.97,335.902,337.503,That is not even a full day.,8,,
63,0.97,337.503,344.01,"All the lights are on at the central library, yet there is no service.",8,,
64,0.97,344.01,355.121,"The libraries are getting paid in full day just like on Sundays, yet the patrons do not get full service.",8,,
65,0.97,355.121,358.491,I'm curious about the Halfhearted effort from the homeless outreach is not there today.,8,,
66,0.97,358.491,358.958,What are they doing?,8,,
67,0.97,358.958,359.992,All the homeless are lingering outside.,8,,
68,0.97,359.992,402.568,"The thing is, the city Council and your oversight of the public assets really needs to take a hard, sober look at the key arenas hanging rooftop . So unsafe and Verifying we are living in a modern third world with the memorandum of understanding with the Nhl team met 21St-Century that was safe and earthquake prone to let it be known you cannot cut away all the foundation of an unsafe six-year-old concrete rooftop and expected to be safe while Cosmetically Swedes in the luxury section to trick and deceive people into believing that is a qualitative 21st century world-class arena.",8,,
69,0.97,402.568,404.637,You have to have them tear down the whole rooftop.,8,,
70,0.97,404.637,407.64,Thank you.,9,,
71,0.97,407.64,408.641,That concludes public comment.,9,,
72,0.97,408.641,408.941,Thank you.,9,,
73,0.97,408.941,411.411,Those of you who showed up today and gave us public comment.,9,,
74,0.97,411.411,413.746,With that we moved to items of business.,9,,
75,0.97,413.746,418.384,Can I have the folks come up to the table.,9,,
76,0.97,418.384,420.386,Is Tracy coming?,9,,
77,0.97,420.386,423.689,Okay.,9,,
78,0.97,423.689,430.163,Why don't you guys go ahead and introduce yourselves.,9,,
79,0.97,430.163,434.5,We will read into the record what we're going to first tackle.,9,,
80,0.97,434.5,444.61,"Appointment 01487, reappointment of Kelly McCaffrey as member, Seattle park district community oversight committee for a term to March 31, 2022.",10,,
81,0.97,444.61,445.411,Thank you.,11,,
82,0.97,445.411,446.379,Just-in-time.,11,,
83,0.97,446.379,450.316,"Tracy Ratliff, central staff.",12,,
84,0.97,450.316,452.418,"Kathleen Conner, Seattle parks and recreation.",13,,
85,0.97,452.418,453.319,Jesus O'Gara.,14,,
86,0.97,453.319,457.423,We are here for a reappointment I guess.,15,,
87,0.97,457.423,458.624,Is this a reappointment?,15,,
88,0.97,458.624,461.794,I will let you go ahead and make her statement.,15,,
89,0.97,461.794,469.135,I am very pleased to present the nomination for Kelly McCaffrey as a reappointment.,16,,
90,0.97,469.135,490.256,"She has been a vital and diligent member and serves as a Cochair . In addition to that, she has a dual role as a valued member of the board of park commissioners and is very dedicated to the work we do.",16,,
91,0.97,490.256,493.96,"Kelly is a member always well prepared, does her homework, ask great critical questions of our Department and Presenters.",16,,
92,0.97,493.96,500.867,She also has worked to spearhead the correspondence to the Department to Ferris elected officials in the city.,16,,
93,0.97,500.867,510.977,She holds a masters degree in public administration and is interested in parks and the environment.,16,,
94,0.97,510.977,514.881,"She views issues through the lens of a mother, a dog owner and a disabled park user and bicyclist.",16,,
95,0.97,514.881,517.483,I am very pleased to ask you to reconsider her reappointment.,16,,
96,0.97,517.483,517.884,Thank you.,17,,
97,0.97,517.884,523.789,Any comments or questions?,17,,
98,0.97,523.789,527.727,"Let me just say this, though, we met with Kelly McCaffrey a few times on a few matters.",18,,
