index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,4.371,7.907,Recording in progress.,0,,
1,0.97,7.907,11.611,We are recording.,1,,
2,0.97,11.611,14.714,Good afternoon everyone.,2,,
3,0.97,14.714,16.616,Welcome back.,2,,
4,0.97,16.616,20.72,It is 2:00 P.M.,2,,
5,0.97,20.72,23.123,"I am Llerena Gonzalez, president of the Council.",2,,
6,0.97,23.123,24.791,Mosqueda?,3,,
7,0.97,24.791,26.092,Present.,4,,
8,0.97,26.092,27.894,Pedersen?,5,,
9,0.97,27.894,29.295,Present.,6,,
10,0.97,29.295,30.93,Sawant?,7,,
11,0.97,30.93,32.532,Present.,8,,
12,0.97,32.532,33.433,Strauss?,9,,
13,0.97,33.433,34.234,Present.,10,,
14,0.97,34.234,35.769,He met her bold.,10,,
15,0.97,35.769,39.139,Here.,11,,
16,0.97,39.139,40.607,Lewis?,12,,
17,0.97,40.607,43.943,Morales?,13,,
18,0.97,43.943,46.813,Council President Gonzalez?,13,,
19,0.97,46.813,48.248,Present.,14,,
20,0.97,48.248,52.152,Seven present.,15,,
21,0.97,52.152,59.559,"Thank you so much, if there is no objection, Councilmember Juarez will be excused from the city council meeting.",16,,
22,0.97,59.559,64.164,"Hearing no objection, Councilmember Juarez is excused from today's city council meeting.",16,,
23,0.97,64.164,80.88,"Presentations is next colleagues as we discussed this morning during our Council briefing, Councilmember Mosqueda has a proclamation honoring Dave Schmitz, past president and founder of a local Union.",17,,
24,0.97,80.88,89.823,Councilmember Mosqueda will present the proclamation and then I will open the floor to other Councilmembers.,17,,
25,0.97,89.823,93.993,After that we will suspend the rules to allow our guests to accept the proclamation and provide comments.,17,,
26,0.97,93.993,97.497,I'm going to handed over to Councilmember Mosqueda to make this presentation.,17,,
27,0.97,97.497,103.503,Thank you very much Council President.,18,,
28,0.97,103.503,117.016,"Colleagues, it's an honor to be able to bring forward this proclamation today recognizing and honor in the labor movement, and honor--I can't in the social justice movement and a friend and inspirational leader, Dave Schmitz.",18,,
29,0.97,117.016,123.389,"It was the founding member and past on Sunday, June 20th.",18,,
30,0.97,123.389,135.435,"After a lifetime of fighting alongside workers to improve working conditions, improve community and the life and health of workers across Seattle, Washington state, and across our country.",18,,
31,0.97,135.435,141.841,They provided crucial leadership in the fight for 15 that started right here in Seatac and moved across the National stage.,18,,
32,0.97,141.841,152.352,"Notably and importantly, Dave helped set the standard for racial reckoning in the labor movement locally and among international unions across our country.",18,,
33,0.97,152.352,156.189,Dave grew up right in the labor movement with his people powers workers sent.,18,,
34,0.97,156.189,161.227,Approach starting from when he was a local grocery store worker.,18,,
35,0.97,161.227,165.865,He experienced firsthand the importance of having a Union in Eastern Washington.,18,,
36,0.97,165.865,174.908,In Seattle he worked as a involved in the political and social justice activism of his Union.,18,,
37,0.97,174.908,181.381,And became an active and strong advocate for workers rights.,18,,
38,0.97,181.381,198.498,"Dave's impacts have been felt far beyond Seattle and far beyond Washington State and helping to protect worker health, raise wages, and save pensions of thousands here in the meat Department and for retirees and many more.",18,,
39,0.97,198.498,206.172,"When I have the chance to work Ith Dave when I was Washington state labor Council, he worked to constantly make sure we were fighting for Healthcare for all.",18,,
40,0.97,206.172,215.715,"He was constantly by my side as we work to implement the affordable care act, and then as we fought against employers who tried to use the affordable care act as a race to the bottom in setting lower standards.",18,,
41,0.97,215.715,228.928,He fought for Healthcare and benefits for all by saying that we should not be bargaining Healthcare because when we take Healthcare of the bargaining table we can actually bargain for better wages and conditions for workers.,18,,
42,0.97,228.928,232.365,Fighting for Healthcare for all was something I would constantly admire and do in his name.,18,,
43,0.97,232.365,238.271,It was an honor to work with Dave and it was an honor to be able to learn from him and his organizational style.,18,,
44,0.97,238.271,244.344,I will always remember his last and his booming voice that carried throughout the room.,18,,
45,0.97,244.344,249.115,I do want to have a second to read from the proclamation if I may.,18,,
46,0.97,249.115,264.464,"Where is Dave Schmitz led with vision from early on his career standing up to fight against apartheid in South Africa, to help and guide early Endorsements of then Senator Obama in 2008.",18,,
47,0.97,264.464,286.786,"To his early labor leadership to help pass marriage equality and referendum 74 whereas Dave Schmitz helped to found many organizations which have gone on to become vital Seattle institutions reflecting our city's core values including Puget sound saves, the Seattle chapter of jobs with justice, as well as sitting on the board of one America.",18,,
48,0.97,286.786,310.009,"Where Dave Schmitz always put workers at the forefront helping to lift up the voice of countless workers in the workplace and community and in the halls of government, the Seattle city council have been made better by his contributions because he has fought for more social justice, more worker centric electric come in for policies that truly center workers forces.",18,,
49,0.97,310.009,317.383,"Now therefore the Mayor and city council proclaim June 28th, 2020, 21 to be Dave Schmitz remembrance day.",18,,
50,0.97,317.383,320.486,"Thank you, Council President.",18,,
51,0.97,320.486,327.293,"We are very honored to be able to have with us, as you noted family members from Dave Schmitz's family honoring and recognizing his life.",18,,
52,0.97,327.293,336.102,Today I want to thank Pam and Diane for being here to present this proclamation on his behalf,18,,
53,0.97,336.102,338.338,Thank you so much Councilmember Mosqueda for those remarks.,19,,
54,0.97,338.338,342.308,"Colleagues, are there any other Councilmembers would like to make a comment?",19,,
55,0.97,342.308,344.944,"Councilmembers want, please.",19,,
56,0.97,344.944,348.648,"Thank you, president Gonzalez.",20,,
57,0.97,348.648,359.325,I wanted to first of all offer my heartfelt condolences to sister Pam who is here with us today.,20,,
58,0.97,359.325,362.962,Thank you so much for being here and Dave's family and loved ones.,20,,
59,0.97,362.962,370.069,And UFCW and other union members everywhere that were impacted by Dave's life.,20,,
60,0.97,370.069,382.181,"These condolences are for myself, all my staff members, and from my fellow members of Socialist alternative who have fought alongside so many in the labor movement just like brother Dave.",20,,
61,0.97,382.181,384.784,This they lost for the whole labor movement.,20,,
62,0.97,384.784,394.994,"I mentioned this this morning but I wanted to say it again, the important role that Dave played in militant job actions in the 1990s.",20,,
63,0.97,394.994,402.401,"First with jobs with justice, and then during the 1999 protests against the WTO meeting in Seattle.",20,,
64,0.97,402.401,410.877,Dave was a part of and indeed a leader in the important work of building a more militant labor movement in Seattle during that period.,20,,
65,0.97,410.877,424.123,"He had participated in organizing direct actions including building occupations, sit downs, and boss's offices and other forms of civil disobedience that built worker confidence.",20,,
66,0.97,424.123,440.54,"At the Wta protest, the famous battle in Seattle, and I'm saying this from accounts I have heard from people who were right there alongside Dave including Jonathan Rosenblum who works in my office and who is a longtime labor Organizer.",20,,
67,0.97,440.54,443.209,I was myself in North Carolina at that time.,20,,
68,0.97,443.209,450.65,So I can in the battle for Seattle Dave led UFCW and other union members and taking the streets alongside tens of thousands of protesters.,20,,
69,0.97,450.65,465.231,"At the end of the week of protests after the big labor and community March of tens of thousands of people, many in Seattle will recall that the Ben may are tried to shut down Te mass movement by outlining all protests downtown.",20,,
70,0.97,465.231,475.374,"The movement had to decide in the moment whether to yield in the face of massive police brutality and oppression, or to challenge that outrage.",20,,
71,0.97,475.374,477.476,There was a sharp debate within the movement.,20,,
72,0.97,477.476,489.655,Dave was one of the activists who argued vociferously that the movement needed to take the streets to claim our rights and to protest the arrest and Jailing of hundreds of peaceful protesters.,20,,
73,0.97,489.655,501.4,"In the end, the decision was made to stage a large March through downtown defying the Mayor, the police, the political establishment, and declaring this is what democracy looks like.",20,,
74,0.97,501.4,509.809,Did mobilized and led a huge UFCW contingent that was part of a 6000 person March through downtown.,20,,
75,0.97,509.809,511.878,Which set the political establishment and the police on their heels.,20,,
76,0.97,511.878,526.592,"Immediately following the successful March, hundreds of union members and community activist staged an occupation outside the King County Jail and stayed there illegally under the Mayor's order until all the protesters were released that weekend.",20,,
77,0.97,526.592,537.837,I recall Dave's vital early contributions because we need a revival of that kind militant struggle inside the labor movement and I'm grateful to Dave for leaving this legacy.,20,,
78,0.97,537.837,539.538,"Thank you, and best wishes to you, Pam.",20,,
79,0.97,539.538,541.34,Thank you.,21,,
80,0.97,541.34,544.043,"Thank you, Councilmember Sawant.",22,,
81,0.97,544.043,552.151,Are there any other comments from Councilmembers?,22,,
82,0.97,552.151,555.254,I'm not seeing any hands raised.,22,,
83,0.97,555.254,557.456,"Go ahead, Councilmember Strauss, please.",22,,
84,0.97,557.456,561.227,"Thank you, Council President.",23,,
85,0.97,561.227,580.479,I just want to echo all of our colleagues with our condolences and thanking--for just such amazing work over so many years putting workers first just wanted to say thank you all for being here in thank you Councilmember Mosqueda for putting this forward.,23,,
86,0.97,580.479,585.985,"Thank you so much, Councilmember Strauss.",24,,
87,0.97,585.985,598.597,"I also, in addition to expressing my deepest condolences for your loss, I know how hard it is to grieve the loss of a loved one.",24,,
88,0.97,598.597,611.31,"It is never easy, and never makes it easy, and it's not a linear process and there are moments of grief, and there are moments of joy, and there are moments of grief again, and moments of love.",24,,
89,0.97,611.31,626.425,I hope that today's proclamation for you all gives you sort of a moment to celebrate the legacy of Dave Schmitz who was a giant in our community and a giant in the labor movement.,24,,
90,0.97,626.425,635.034,I first met Dave as a baby lawyer when we both served on the board of one America.,24,,
