index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,4.471,8.508,"Project for November 29th, 2029 meeting will come to order.",0,,
1,0.97,8.508,10.777,It is to: 01 P.M.,0,,
2,0.97,10.777,12.412,"I'm Lorena Gonzalez, president.",0,,
3,0.97,12.412,15.915,Will the clerk please call the roll?,0,,
4,0.97,15.915,19.452,[roll being called],0,,
5,0.97,40.874,43.543,Eight present.,1,,
6,0.97,43.543,47.847,Thank you so much.,2,,
7,0.97,47.847,52.419,"Presentation, I'm not aware of any presentations for today so we will move to approval of the minutes.",2,,
8,0.97,52.419,56.456,There are no minutes for approval today.,2,,
9,0.97,56.456,59.025,So will move to approval of the introduction and referral calendar.,2,,
10,0.97,59.025,61.561,"If there's no objection, it will be adopted.",2,,
11,0.97,61.561,67.333,"Hearing no objections, the introduction and referral calendar is adopted.",2,,
12,0.97,67.333,69.536,"If there's no objection, the agenda will be adopted.",2,,
13,0.97,69.536,73.573,"Hearing no objection, the agenda is adopted.",2,,
14,0.97,73.573,77.243,We will move now to public comment.,3,,
15,0.97,77.243,84.784,"At this time we will open it up for public comment for items on the city council agenda, introduction and referral calendar, and the work programs.",3,,
16,0.97,84.784,90.423,Want to thank everyone for their ongoing patience and cooperation.,3,,
17,0.97,90.423,96.863,It does remain our strong attend to have remote public comment regularly included on our meeting Agendas.,3,,
18,0.97,96.863,108.942,"However, as a reminder the city council reserves the right to end or eliminate these public comment periods at any point if we deem the system is being abused or is no longer suitable to be allowing our meetings to be conducted efficiently and effectively.",3,,
19,0.97,108.942,110.477,I'll moderate in the following matter.,3,,
20,0.97,110.477,112.779,The public comment is 20 minutes.,3,,
21,0.97,112.779,117.117,Each Speaker will be given two minutes to speak.,3,,
22,0.97,117.117,121.754,Beakers will be called on in the order in which they register to provide public comment on the Council's Website.,3,,
23,0.97,121.754,129.729,"Each Speaker must call in from the phone number used for this registration and using the meeting phone number, I.D.",3,,
24,0.97,129.729,131.698,And Pasco that was mailed to them upon confirmation.,3,,
25,0.97,131.698,133.9,This is different than the general meeting listen line information.,3,,
26,0.97,133.9,143.543,Again I'll call on each Speaker by name and in the order in which they Preregister on the Council's Website.,3,,
27,0.97,143.543,151.317,"If you have not yet registered to speak but would like to, you can still sign up before the end of public comment by going to the Council Website at Seattle.Gop/Counsel.",3,,
28,0.97,151.317,155.622,Public comment is also listed on today's agenda.,3,,
29,0.97,155.622,159.859,Once I call your name Stoffel on the your microphone and you will hear a prompt that you have been a muted.,3,,
30,0.97,159.859,163.062,This will be your Cue to press Star six before you begin to speak.,3,,
31,0.97,163.062,174.44,"Please start by stating your name, the item you are addressing, and as a reminder, your comment should relate to an item on today's agenda, the introduction and referral calendar, or the Council's work program.",3,,
