index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.213,14.881,We are recording.,0,,
1,0.97,14.881,26.793,"Thank you for joining the meeting, it is 9:45 a.m., sorry for the 15 minute delay.",1,,
2,0.97,26.793,31.197,"Could you please call the role, Madame clerk?",1,,
3,0.97,31.197,36.136,Councilmember Pedersen?,2,,
4,0.97,36.136,36.636,Present.,3,,
5,0.97,36.636,39.406,Councilmember Nelson?,4,,
6,0.97,39.406,39.806,Present.,5,,
7,0.97,39.806,41.875,Councilman Lewis?,6,,
8,0.97,41.875,42.709,Present.,7,,
9,0.97,42.709,47.714,Councilmember Herbold?,8,,
10,0.97,47.714,48.681,Mosqueda?,8,,
11,0.97,48.681,51.217,Present.,9,,
12,0.97,51.217,56.055,"Four members present, one absent, not excused.",10,,
13,0.97,56.055,61.528,I believe Councilmember Herbold is on her way.,11,,
14,0.97,61.528,65.365,We have two items related to our housing Department.,11,,
15,0.97,65.365,78.411,This is going to be a presentation of the office of housing annual money report and the investment report and we will have a briefing and possible vote on the staffing proposal which has been attached to the agenda from the previous meeting and is included today.,11,,
16,0.97,78.411,87.654,We will move into a briefing and possible vote on the 2021 budget exceptions ordinance and the 2022 carry it forward legislation.,11,,
17,0.97,87.654,89.956,"If there is no objection, the agenda will be adopted.",11,,
18,0.97,89.956,110.677,"Hearing no objection, the agenda is adopted and let's begin with public comments as we have a number of folks signed up to provide public comment and we will try to get through everybody on the list, you will have two minutes to provide a public comment, make sure you dial in with the number you received when you signed up.",11,,
19,0.97,110.677,119.652,"You will hear a Chime, at the end of your time, that is your indication to wrap up your public comments so you do not get cut off.",11,,
20,0.97,119.652,124.09,"The first three speakers are Ryan, Joe, Kathleen.",11,,
21,0.97,124.09,135.101,"After you have concluded the public comments, to hang up and continue listening in on either Seattle channel for the other options.",11,,
22,0.97,135.101,139.205,"Good morning, Ryan, please take it away, thank you for your patience.",11,,
23,0.97,139.205,148.948,"Hello and thank you so much, I am the advocacy and policy director at the habitat for humanity.",12,,
24,0.97,148.948,167.6,"I am here today to make strong support for the Seattle housing levy that urged him only for its renewal but for its expansion, thanks to the corrupt of the housing money, we had habitat have or are building about 85 permanently affordable homeownership units across the city, almost 40% of our current pipeline.",12,,
25,0.97,167.6,173.907,It is easier for us at habitat to build in the city of Seattle than anywhere else across King County.,12,,
26,0.97,173.907,183.65,"Additionally, thanks to be Seattle housing levy, habitat in the city have made drastic improvements in the lives of citizens in the city.",12,,
