index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,0.8,8.408,Thank you the May 10th 2022 meeting.,0,,
1,0.97,8.408,12.278,Will the clerk please call the role.,0,,
2,0.97,12.278,14.581,Councilmember Pedersen.,1,,
3,0.97,14.581,14.881,Present.,2,,
4,0.97,14.881,17.05,Councilmember Sawant.,3,,
5,0.97,17.05,17.45,Present.,4,,
6,0.97,17.45,18.318,Councilmember Strauss.,5,,
7,0.97,18.318,19.786,Present.,6,,
8,0.97,19.786,20.62,Councilmember Herbold.,7,,
9,0.97,20.62,21.788,Here.,8,,
10,0.97,21.788,23.089,Councilmember Morales.,9,,
11,0.97,23.089,24.991,Here.,10,,
12,0.97,24.991,26.726,Councilmember Mosqueda.,11,,
13,0.97,26.726,27.794,Present.,12,,
14,0.97,27.794,30.53,Councilmember Nelson.,13,,
15,0.97,30.53,31.231,Present.,14,,
16,0.97,31.231,37.737,Council President pro Tem Lewis.,15,,
17,0.97,37.737,38.405,Present.,16,,
18,0.97,38.405,43.51,Councilmember Juarez was previously excused from the meeting.,17,,
19,0.97,43.51,45.779,Moving forward to presentations.,17,,
20,0.97,45.779,49.616,We have a presentation of a proclamation on affordable housing week.,17,,
21,0.97,49.616,56.656,The Councilmember will first present the proclamation and I will open the floor for comments from Councilmembers.,17,,
22,0.97,56.656,62.629,We will suspend the rules to allow guests to accept the proclamation and provide comments.,17,,
23,0.97,62.629,67.3,"Councilmember Mosqueda, you are recognized to present the proclamation.",17,,
24,0.97,67.3,68.735,Thank you Mr. chair.,18,,
25,0.97,68.735,71.805,Colleagues I'm very excited about the proclamation in front of us today.,18,,
26,0.97,71.805,76.943,This is an opportunity for us as we do annually to recognize affordable housing week.,18,,
27,0.97,76.943,87.187,This week we're honored to be able to be present today with members from the housing development consortium and community members to talk about affordable housing week.,18,,
28,0.97,87.187,105.071,"Last--excuse me, yesterday I had the chance to join members of the community and the folks from the affordable housing community and housing development consortium to talk about the importance of affordable housing week.",18,,
29,0.97,105.071,112.245,This year is an opportunity for us to celebrate what we've accomplished and also for us to look forward at all we have yet to do.,18,,
30,0.97,112.245,122.388,Especially with the upcoming passage of the affordable housing levy in Seattle that will be on the ballots in the fall of 2023.,18,,
31,0.97,122.388,127.36,Today we are proclaiming may 8th through the 14th as affordable housing week in Seattle.,19,,
32,0.97,127.36,135.401,And I want to thank you for your interest in signing on to the proclamation yesterday and to the Mayor for his concurrence on the proclamation.,19,,
33,0.97,135.401,145.078,We have with us Chad from the housing development consortium and Chad will be accepting this proclamation.,19,,
34,0.97,145.078,160.793,Housing affordable--affordable housing week is an opportunity for us to not only celebrate but get organized and to get motivated about how we can continue to address the challenges in front of us and make sure we're working in coordination to pass the levy in the fall of 2023.,19,,
35,0.97,160.793,171.971,And to really explain to the community all of the incredible work we have done as a community so far as we seek to create more affordable housing.,19,,
36,0.97,171.971,178.711,We discussed recently some of the important efforts that we've taken to create more affordable housing in our community.,19,,
37,0.97,178.711,185.618,But I want to emphasize the critical role that community partners have played in conjunction with the office of housing.,19,,
38,0.97,185.618,190.69,Together we've out performed what we committed to with the affordable housing levy.,19,,
39,0.97,190.69,195.528,Committed and out performed at around 126% of what we had committed to initially.,19,,
40,0.97,195.528,204.504,We also are adding funding to the affordable housing levy with the passage of jump start progressive Seattle.,19,,
41,0.97,204.504,211.844,Generating between 135 million and 170 million for affordable housing is really important to make sure there's funding going into building affordable housing.,19,,
42,0.97,211.844,218.651,We've added to that with rapid acquisition funding coming from the state and Federal Government and in partnership with the county.,19,,
43,0.97,218.651,223.022,We've lynched Covid relief dollars to secure new market rate buildings.,19,,
44,0.97,223.022,229.462,Take those market rate buildings off the private market and convert them into affordable housing.,19,,
45,0.97,229.462,236.736,We're forward committing dollars as authorized in the 2022 budget and Leveraging external resources from our State and Federal partners to bring housing Online now.,19,,
46,0.97,236.736,249.816,"As a result of these combined efforts, there are now over 5400 new affordable units currently under development with 4000 of those units opening this year and next.",19,,
47,0.97,249.816,262.929,We discussed ways for us to be able to not just put money forward but affordable housing week is an opportunity for us to talk about how we Prioritize those dollars.,19,,
48,0.97,262.929,276.042,And we amplified policies at the city level to make sure community preference and affirmative marketing policies are being put forward so we can work to combat displacement as we build new affordable units.,19,,
49,0.97,276.042,281.447,We're funding affordable housing in combination with the equitable development initiative.,19,,
50,0.97,281.447,284.484,So we're creating not just a roof and a door for people to call home.,19,,
51,0.97,284.484,294.327,But a true sense of place and community so that equitable development initiatives can be paired with housing to create child care and community plazas.,19,,
52,0.97,294.327,302.835,Community centers and other important economic generators so that the community have a place to call home and truly a community that surrounds it.,19,,
53,0.97,302.835,310.443,We've done incredible things with the affordable housing levy and the jump start dollars in partnership with State and Federal dollars.,19,,
