index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.948,24.491,"Counsel today is June 22nd, 2021 and it is 2:01 P.M.",0,,
1,0.97,24.491,24.891,Chairman Sawant.,0,,
2,0.97,24.891,28.795,Will the clerk please call the roll?,0,,
3,0.97,28.795,38.371,Councilmember sell Mick present Councilmember Morales.,1,,
4,0.97,38.371,40.273,Councilmember Pederson.,2,,
5,0.97,40.273,40.607,Present.,3,,
6,0.97,40.607,41.674,Councilmember Lewis.,4,,
7,0.97,41.674,42.409,Councilmember Juarez.,5,,
8,0.97,42.409,43.476,Three present.,6,,
9,0.97,43.476,44.177,Thank you.,7,,
10,0.97,44.177,49.082,And thank you committee members for being here.,7,,
11,0.97,49.082,61.394,In this meeting we will discuss with the media introduce to stop having fossil fuels like the pipeline.,7,,
12,0.97,61.394,74.073,After years of organizing direct action and voting the climate movement the keystone excel pipeline is defeated which is a major victory for the climate movement.,7,,
13,0.97,74.073,87.42,The fossil fuel corporation abandoned this project because activists and organizers were forced to abandon this because activists and organizers made the completion so difficult from every angle that big business decided to cut their Losts.,7,,
14,0.97,87.42,101.367,We want to use this strategy of blocking the corporate profit by applying to every proposed expansion of fossil fuel infrastructure from Keystone excel to the support access by going to line three.,7,,
15,0.97,101.367,119.486,We have to be clear that while the billionaire costs will be forced to take measures and we will see that in the coming years both for their own profit under pressure from mass resistance it has been and will be a day late and a dollar short.,7,,
16,0.97,119.486,140.273,"To have any hope of doing this for the planet we are paying attention to the data from scientists we need the working class to take the fossil fuels and other sectors to democratic ownership and shift into a global Socialist economy powered by clean, renewable energy.",7,,
17,0.97,140.273,174.507,Organizing such as to end the excel pipeline and to stop the pipeline campaign are crucial for steps being taken by determined activists and my Council office is proud to be organizing with them and I am happy to be talking to them and this will be among the Union and the fossil fuel sector with the whole labor movement in solidarity to demand transition and retraining for all of the workers in the fossil fuel economy into the clean renewable energy.,7,,
18,0.97,174.507,186.252,Last Friday community organizers from my office joined activists presenting today that organized a protest painting a mural outside of liberty mutual in resistance to the pipeline.,7,,
19,0.97,186.252,190.557,"The beautiful mural said ensure our future, not our cents.",7,,
20,0.97,190.557,194.327,This demonstration in Seattle was part of our day of Act.,7,,
21,0.97,194.327,199.966,All around the world in solidarity with land defenders fighting this pipeline.,7,,
22,0.97,199.966,224.057,With the help of city council staff my office in developing legislation to give the green new deal oversight the legal authority to rate insurance companies and other financial institutions who bid on city contracts to enable the city of Seattle to join International movement pledging not to do business with financial institutions backing the fossil fuel corporation that are endangering all of humanity.,7,,
23,0.97,224.057,244.177,The committee will next discuss and vote on seven executive Mayoral appointments to the new oversight board after today the majority of the vote will have been appointed and we will still have one more Mail-In appointment and a couple of Council appointments to make it our next committee meeting.,7,,
24,0.97,244.177,284.384,After the appointments the committee will discuss several Representer rights bills from my office focused on rent increases so we have just voted on the Council and bills for Eviction protections and we need that bills that protect people from resident increases and we need strong rent controls and corporate landlords have raise the rents 13% in the last five months and we will discuss not discuss in detail but just have an overview of frequency and ask questions and our FAQ that we have prepared from my office to the harmful loop holes in rent controls from other cities.,7,,
25,0.97,284.384,316.049,Finally today's committee will have a briefing from our city council staff about legislation from my office to require landlords to require six months notice for rent increases and to require landlords to provide relocation assistance when they displace the tenants with outrageous increases that is known as economic Evictions in other words this bill is economic Eviction assistance to be paid by landlords that economically Evict their tenants.,7,,
26,0.97,316.049,336.769,So today's discussion of both of those bills will be an initial one so members can ask questions to understand what is being proposed and it is the intention of my office to then bring those bills for a vote in the committee in the subsequent to meetings in July.,7,,
27,0.97,336.769,349.482,Because it is the last Tuesday of each month it will follow the meeting in August will fall during the city council Recess and again in September it will fall during the budget starting around mid September.,7,,
28,0.97,349.482,360.493,So essentially if we do not schedule a special meeting time the July meeting will be the last committee meeting of the year that will absolutely not be sufficient to discuss and vote on the legislation.,7,,
29,0.97,360.493,368.801,This committee needs to address this here and so my office will reach out to committee members to schedule some special meeting times.,7,,
30,0.97,368.801,382.582,I'm hoping that we can have a special meeting in July and also find a special meeting time in September before the budget process begins.,7,,
31,0.97,382.582,392.925,For today's meeting I Councilmember Juarez can't stay past 2:30 and I appreciate that and I have my time constraints because of many other Council office obligations.,7,,
32,0.97,392.925,400.333,So I will request Presenters in today's meeting to be concise and we will of course come back to a discussion and the legislation will be discussed.,7,,
33,0.97,400.333,404.504,All of the legislation will be discussed further before being voted on.,7,,
34,0.97,404.504,414.547,Before we begin our agenda items we of course have public comment.,7,,
35,0.97,414.547,431.364,I will make sure my office has been ready to start public comments and do you have the Úlist of names for the public comments sign up?,7,,
36,0.97,431.364,439.705,There are four people signed up for public comment but only one is listed as present right now which is Cory brewer.,8,,
37,0.97,439.705,451.517,Please go ahead Cory brewer if you are muted go ahead and speak.,9,,
38,0.97,451.517,460.793,Getting to the Unmute button.,10,,
39,0.97,460.793,467.533,Okay hit Star 6 and you can begin.,10,,
40,0.97,467.533,468.1,Can you hear me?,11,,
41,0.97,468.1,470.703,Yes.,12,,
42,0.97,470.703,472.104,Great.,13,,
43,0.97,472.104,473.306,Just here to listen today.,13,,
44,0.97,473.306,473.94,That's all.,14,,
45,0.97,473.94,479.278,Just listen to what you are cooking up next.,14,,
46,0.97,479.278,485.084,To just confirm the other people were signed up for public comments showing people present?,15,,
47,0.97,485.084,485.318,No.,16,,
48,0.97,485.318,492.058,There are no other people that are showing up as present who are signed up for public comment.,16,,
49,0.97,492.058,492.458,Thank you.,17,,
50,0.97,492.458,505.004,"So seeing that none of the other people have signed up, are showing up as present I will close public comment and note that Councilmember Morales has joined the committee, thank you so much.",17,,
51,0.97,505.004,524.29,"With that being said, our first agenda item as I mentioned is a discussion about the movement demanding that insurance companies and other financial institutions end their backing of new fossil fuel infrastructure and destroying the climate and endangering all of humanity.",18,,
52,0.97,524.29,548.481,In 2017 many will remember my office demanded the city stop banking with Wells Fargo because of their investment in fossil fuel infrastructure and ultimately we passed an ordinance called the socially ordinance requiring the administrative services a fiasco to the Department that ARRANGES them with banks and insurance companies to consider the bank it does business with.,18,,
