index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.282,17.35,"Good morning, colleagues.",0,,
1,0.97,17.35,20.687,The January 27th 2020 meeting will come to order.,0,,
2,0.97,20.687,22.522,It is 9:31 A.M.,0,,
3,0.97,22.522,24.357,"I have Dan Strauss, chair of the committee.",0,,
4,0.97,24.357,34.901,The clerk please call the roll.,0,,
5,0.97,36.336,41.274,[roll being taken],1,,
6,0.97,41.274,55.288,"The Land-Use and neighborhoods, near the city of Seattle, acknowledges we on traditional and ancestral lands of the first people of this region past and present representing in a number of tribes and urban natives.",2,,
7,0.97,55.288,58.992,In honor with gratitude the land itself and the people of this land.,2,,
8,0.97,58.992,66.8,We start with this acknowledgment to recognize the fact that we are guests on this land and should store the land as such.,2,,
9,0.97,66.8,67.801,As guests.,2,,
10,0.97,67.801,69.536,We have a four items on the agenda today.,2,,
11,0.97,69.536,85.452,"A discussion and vote on counsel bill 119992, which is the, structure code and discussion and vote on bill 119993 which adopts a Seattle energy code.",2,,
12,0.97,85.452,101.134,"We also have a discussion and vote on file 314461 and counsel bill 11 9987, which APPROVES an extension of a contract Rezone of 116 34Th Avenue.",2,,
13,0.97,101.134,111.01,We are anticipating canceling the February 10th meeting of Land-Use and neighborhoods committee . Our next committee will be on Wednesday February 24th starting at 9:30 A.M.,2,,
14,0.97,111.01,117.55,Before we begin if there is no objection the agenda will be adopted.,2,,
15,0.97,117.55,120.253,Hearing no objection the agenda is adopted.,2,,
16,0.97,120.253,130.23,At this time we will begin the--open the remote public comment for items on today's agenda.,2,,
17,0.97,130.23,134.634,Before we begin I asked that everyone please be patient as we learn to operate the system in real-time.,2,,
18,0.97,134.634,156.789,While her Meds are strong intent to have public comment regularly included on meeting Agendas the city council reserves the right to end or eliminate these public comment periods at any point if we deem that this system is being of use or is unsuitable for allowing our meetings to be conducted efficiently and in a manner in which we are able to conduct our necessary business.,2,,
19,0.97,156.789,163.062,"I will moderate the public comment period in the following manner, public comment period from this meeting is up to 10 minutes.",2,,
20,0.97,163.062,164.163,Each Speaker will be given two minutes to speak.,2,,
21,0.97,164.163,171.271,I will call on each Speaker by name and in any order in which they registered on the Council Website.,2,,
22,0.97,171.271,178.645,If you have not yet registered to speak but would like to you can sign up before the end of the public comment by going to the Council Website.,2,,
23,0.97,178.645,179.913,The public comment League is also listed on today's agenda.,2,,
