index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.548,15.615,.,0,,
1,0.97,15.615,17.817,"Good afternoon, everyone.",1,,
2,0.97,17.817,21.121,Thank you again for joining the October 20th 2020 select budget committee.,1,,
3,0.97,21.121,30.764,"I'm Teresa Mosqueda, the chair of the select budget committee and the reconvened select budget committee is back in session.",1,,
4,0.97,30.764,35.301,"Clerk, could you call the roll for us?",1,,
5,0.97,35.301,38.338,Council member Sawant?,2,,
6,0.97,38.338,39.639,Here.,3,,
7,0.97,39.639,39.973,Strauss?,4,,
8,0.97,39.973,41.274,Present.,5,,
9,0.97,41.274,42.108,Council member Gonzalez?,6,,
10,0.97,42.108,42.776,Here.,7,,
11,0.97,42.776,48.948,Council member Juarez?,8,,
12,0.97,48.948,50.483,Here.,9,,
13,0.97,50.483,56.356,Council member Lewis?,10,,
14,0.97,56.356,58.958,Council member Lewis?,10,,
15,0.97,58.958,59.526,Council member Morales?,10,,
16,0.97,59.526,60.66,Here.,11,,
17,0.97,60.66,61.694,And Council member Mosqueda.,12,,
18,0.97,61.694,64.798,"Present, and Council member Lewis one more time.",13,,
19,0.97,64.798,70.003,"Sorry, I was away from the computer for just a Momen.",14,,
20,0.97,70.003,70.503,I am present.,14,,
21,0.97,70.503,73.206,"Thank you, nine present.",15,,
22,0.97,73.206,78.078,Thanks to all of you for rejoining the committee today.,16,,
23,0.97,78.078,78.678,"October 20, 2020.",16,,
24,0.97,78.678,86.986,"The time is 2:03 p.m., and we'll continue on with our agenda as introduced and adopted this morning.",16,,
25,0.97,86.986,90.623,"Madam clerk, would you please read into the record number 3?",16,,
26,0.97,90.623,92.525,Seattle police Department discussion.,17,,
27,0.97,92.525,95.995,"Well, that was perfect timing for that siren.",18,,
28,0.97,95.995,97.13,"Thank you, so much Madam clerk.",18,,
29,0.97,97.13,101.901,Appreciate all of you for joining us back again.,18,,
30,0.97,101.901,105.438,"We have with us Greg Doss, Lisa Kay, and Aly Pennucci as well.",18,,
31,0.97,105.438,120.019,"Greg, we'll turn it over to you, and a huge amount of appreciation for you and all of the information you've provided in this robust memo.",18,,
32,0.97,120.019,123.556,Really appreciate the work you've done along with the team.,18,,
33,0.97,123.556,127.894,Look forward to hearing it this afternoon.,18,,
34,0.97,127.894,138.338,"Thank you, Madam chair, yes, it's a little long, but SPD is of high attention, so we wanted to give you as much information as we could.",19,,
35,0.97,138.338,144.677,"The presentation will be a little long too, but I'll try and move as quickly as I can.",19,,
