index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,12.712,19.986,"Good morning, February 17, 2021 meeting of the transportation and utilities committee will come to order.",0,,
1,0.97,19.986,20.653,The time is 9:31 A.M.,0,,
2,0.97,20.653,22.756,"I'm Alex Pedersen, chair of the committee.",0,,
3,0.97,22.756,27.826999999999998,Will the clerk please call the roll.,0,,
4,0.97,27.826999999999998,28.461,Council President Gonzalez.,1,,
5,0.97,28.461,29.396,Present.,2,,
6,0.97,29.396,34.567,Council member Herbold.,3,,
7,0.97,34.567,34.834,Here.,4,,
8,0.97,34.834,35.802,Chair Pedersen.,5,,
9,0.97,35.802,36.603,Three present.,6,,
10,0.97,36.603,44.277,I would like to know Council member Morales is unable to attend this meeting today and her absence is excused.,6,,
11,0.97,44.277,48.281,"Also, council member Strauss is joining us around 10:00 A.M.",6,,
12,0.97,48.281,51.918,Or so and so his delayed arrival is also excused.,6,,
13,0.97,51.918,62.962,"Our alternate committee member is not able to join us today, but we have a core Quarum.",6,,
14,0.97,62.962,64.297,Approval of the agenda.,6,,
15,0.97,64.297,68.568,Today's proposed agenda will be adopted.,6,,
16,0.97,68.568,71.905,"Hearing no objection, the agenda is adopted.",6,,
17,0.97,71.905,76.409,"The chair's report, just briefly, we have a short agenda today.",6,,
18,0.97,76.409,76.843,We have two items.,6,,
19,0.97,76.843,99.365,We will vote on Seattle city lights integrated resource plan progress report on which we received a presentation and held a public hearing during our last committee meeting on February 3. the materials are Online for the public to view if you want to find the transportation utilities committee agenda and click on the presentation and the resolution.,6,,
20,0.97,99.365,107.507,"The second item, we will vote on the transit service agreement with King County Metro.",6,,
21,0.97,107.507,113.813,I want to thank the representatives from both departments who are here to speak to us about these pieces of legislation.,6,,
22,0.97,113.813,120.186,"At this time, we will open the remote general public comment period.",6,,
23,0.97,120.186,125.258,I'm noting that we don't have any speakers signed up.,6,,
24,0.97,125.258,128.495,So I'll ask it or the clerk if they are seeing the same thing.,6,,
25,0.97,128.495,133.766,If they can confirm there are no speakers that they are seeing on their end.,6,,
26,0.97,133.766,136.736,"Confirmative, there are no public Commenters.",7,,
27,0.97,136.736,137.003,Okay.,8,,
28,0.97,137.003,141.007,We will go ahead and close the public comment period for today.,8,,
29,0.97,141.007,154.02,"If people do join us later and they have comments, they can always send us an E-mail about them, because the items will be going to the full city Council, so there is still time to comment on the items.",8,,
30,0.97,154.02,161.094,They can E-mail Council at Seattle.Gov.,8,,
31,0.97,161.094,171.538,"To the items of business, item one, will the clerk please read the short title of the first agenda item into the record.",8,,
32,0.97,171.538,173.006,Agenda item one.,9,,
33,0.97,173.006,192.492,"Resolution 31986, a resolution relating to the city light Department; acknowledging and approving the 2020 integrated resource plan progress report as conforming with the public policy objectives of the city of Seattle and the requirements of the state of Washington.",9,,
34,0.97,192.492,194.227,Possible discussion and vote.,9,,
35,0.97,194.227,194.627,Thank you.,10,,
36,0.97,194.627,207.307,We're going to--I'll have a couple of remarks here and we'll turn it over as usual to our staff analyst who works with all of us on the city council who is an expert on these issues.,10,,
37,0.97,207.307,219.485,"State law requires Seattle city light to produce and update an integrated resource plan every two years, which is approved by the city Council and submitted to the State Department of Commerce.",10,,
38,0.97,219.485,222.555,"In the off year, city lights sends a progress report.",10,,
39,0.97,222.555,228.194,The last city light Irp was approved in 2018 for 2019 and 2020.,10,,
40,0.97,228.194,244.077,"And due to the Covid-19 pandemic and associated stresses, city light asked for and received from the State Department of Commerce an extension to finalize preparation of the updated integrated resources plan and also for the ability to submit this progress report in place of the full plan.",10,,
41,0.97,244.077,251.317,We had a presentation and held a public hearing on the progress report in our last committee meeting and today we can vote on it.,10,,
42,0.97,251.317,257.223,"I'd like to turn it over to Eric, who is an expert on this.",10,,
43,0.97,257.223,259.692,And we can hear from Seattle city light briefly.,10,,
44,0.97,259.692,264.297,"We will not have the formal presentation, since we had that two weeks ago.",10,,
45,0.97,264.297,266.699,"That power point, that presentation is Online right now.",10,,
46,0.97,266.699,270.136,We heard it last week with the public hearing.,10,,
47,0.97,270.136,279.012,"So Eric, if there's anything you want to say to help frame this up for us before we hear from city light and vote on it.",10,,
48,0.97,279.012,279.912,Thank you.,11,,
49,0.97,279.912,280.246,Good morning.,11,,
50,0.97,280.246,280.713,I'm Eric Mcconaghy.,11,,
51,0.97,280.713,290.256,"The only thing I would add is at the public hearing two weeks ago, there were no speakers, just sort of to put that on the record for the meeting today.",11,,
52,0.97,290.256,302.302,"Of course, the hearing was held in compliance with the state law, indivisible require to happen before the Irp or progress report is approved.",11,,
53,0.97,302.302,305.071,That's an important box to check and it was done properly.,11,,
54,0.97,305.071,308.307,I thought I would get that on the record.,11,,
55,0.97,308.307,315.248,"Other than that, chair Pedersen, you covered all of the things that in my capacity, I would like to note.",11,,
56,0.97,315.248,316.115,"With that, I'll step aside.",11,,
