index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.88,17.15,Okay.,0,,
1,0.97,17.15,17.684,"Good afternoon, everyone.",0,,
2,0.97,17.684,26.159,The June 15th 2021 meeting of the community economic development committee will come to order.,0,,
3,0.97,26.159,26.76,It's 2:02:00 P.M.,0,,
4,0.97,26.76,29.095,"I'm Tammy Morales, chair of the committee.",0,,
5,0.97,29.095,34.401,Will the clerk please call the role.,0,,
6,0.97,34.401,36.536,Council member Juarez.,1,,
7,0.97,36.536,38.371,Council member Lewis.,1,,
8,0.97,38.371,40.74,Present.,2,,
9,0.97,40.74,44.377,Council member Pedersen.,3,,
10,0.97,44.377,48.515,Present.,4,,
11,0.97,48.515,51.017,Council member Sawant.,5,,
12,0.97,51.017,51.751,Chair Morales.,5,,
13,0.97,51.751,60.427,I do want to note that Council member Sawant is excused.,6,,
14,0.97,60.76,63.229,I believe that's three present.,7,,
15,0.97,63.229,65.031,"Great, thank you.",8,,
16,0.97,65.031,69.736,"If there's no objection, today's agenda will be adopted.",8,,
17,0.97,69.736,73.339,"Hearing no objection, today's agenda is adopted.",8,,
18,0.97,73.339,78.745,"At this point, we will open the remote public comment period.",8,,
19,0.97,78.745,82.315,"Can you confirm, I don't think there's anybody signed up, is that correct?",8,,
20,0.97,82.315,86.486,There are no public comment registrants.,9,,
21,0.97,86.753,91.925,"In that case, at this time, we will close the public comment period.",10,,
22,0.97,91.925,96.062,And just move on.,10,,
23,0.97,96.062,99.299,"So Lakeisha, will you please read item one into the record.",10,,
24,0.97,99.299,102.569,Agenda item one.,10,,
25,0.97,102.569,105.705,"Building an equitable economy discussion and strategies, briefing and discussion.",10,,
26,0.97,105.705,107.073,"Very good, thank you.",11,,
27,0.97,107.073,112.278,And I do want to note that Council member Juarez has joined the meeting.,11,,
28,0.97,112.278,114.18,"So thank you, greetings Council member Juarez.",11,,
29,0.97,114.18,117.117,"Thank you, I'm sorry for I was late.",12,,
30,0.97,117.117,122.055,That's quite all right.,13,,
31,0.97,122.055,122.255,Okay.,13,,
32,0.97,122.255,142.942,"So as Lakeisha mentioned, we do not have a vote today but I did really want to take this opportunity to have a community discussion and to hear from some of our Stakeholders who have been doing some really important work in Seattle, thinking about what it means to build an equitable--an equitable economic recovery.",13,,
33,0.97,142.942,153.253,So I've been meeting regularly with community organizations and small businesses to have the conversation that we started last year about building community wealth in Seattle.,13,,
34,0.97,153.253,173.273,I think it's even more important now that we're planning an economic recovery from the pandemic and really vital that as a city we think strategically about how to rebuild our communities in a way that ensures resilience for our neighbors and ensures worker protections and small business Sustainability.,13,,
35,0.97,173.273,181.481,And that really protects the rights of our low income neighbors and our black and Brown community members to stay rooted in their neighborhoods.,13,,
36,0.97,181.481,184.25,If that's what they choose to do.,13,,
37,0.97,184.25,189.022,We know that our economic system doesn't serve all of us equitably.,13,,
38,0.97,189.022,200.7,"And my hope is that as we really think about what the next system looks like, that our decisions are rooted in how we take care of people as our neighbors and as our community members.",13,,
39,0.97,200.7,210.343,We have the opportunity to put in place the kinds of systems that can prevent disaster Gentrification.,13,,
40,0.97,210.343,214.18,That can prevent the continuing displacement of community members.,13,,
41,0.97,214.18,219.686,It can really ensure that everyone gets to benefit from the city's recovery strategies and programs.,13,,
42,0.97,219.686,231.998,"And that means really facilitating public investment in a way that expands economic opportunity and ensures community ownership, and really helps build wealth for all of our neighbors.",13,,
43,0.97,231.998,237.971,So I'm excited about this panel that we've put together today.,13,,
44,0.97,237.971,246.446,This afternoon we will be hearing from community members who will share their vision and some of their strategies for how we build that equitable recovery.,13,,
45,0.97,246.446,267.634,"First, we will hear from Ryan Donahue, whose work I just want to note, I learned about as my, capacity as the Puget sound district board member where Ryan was presenting work he was doing for Psrc.",13,,
46,0.97,267.634,274.941,"I want to clarify Council has not hired Ryan as a consultant on the presentation, his background is listed there.",13,,
47,0.97,274.941,285.018,But he's been doing work with office of economic development and so I really appreciate him being here to share with us some of what he learned in that capacity.,13,,
48,0.97,285.018,292.925,We'll also hear from Jaguna Gushuru from the people's economy lab.,13,,
49,0.97,292.925,298.798,And Gregory Davis from Rainer Beach.,13,,
50,0.97,298.798,305.138,And the Multicultural community coalition who will share their priorities around how we prevent disaster Gentrification.,13,,
51,0.97,305.138,311.644,So we'll hear from all of the panelists and definitely have time for discussion once every group has gone.,13,,
52,0.97,311.644,316.082,"But please do feel free to ask questions along the way, colleagues.",13,,
53,0.97,316.082,321.487,And then we can also have a deeper discussion after words.,13,,
54,0.97,321.487,330.63,"So with that, I do want to pass it to Ryan to get us started.",13,,
55,0.97,330.63,333.933,"Thank you so much, council member.",14,,
56,0.97,333.933,337.236,And to all of you for having me here.,14,,
57,0.97,337.236,342.975,I will pull up my slides quickly here.,14,,
58,0.97,342.975,347.914,And I will assume that everyone can see them unless I hear otherwise.,14,,
59,0.97,347.914,351.417,"So again, thank you, I really appreciate the opportunity.",14,,
60,0.97,351.417,367.233,"Obviously, this is a kind of momentous time period when it comes to equitable economic development and I'm really impressed with the effort that you're all putting into figuring out how to do it right under a lot of time pressure.",14,,
61,0.97,367.233,372.438,"To open, I just wanted to give a sense of who I am and where I've worked.",14,,
62,0.97,372.438,380.48,"As was mentioned, I've done some work on economic development here in the city of Seattle in the broader Seattle region.",14,,
63,0.97,380.48,389.389,I've done work in Portland and a number of other smaller and less fast-growing cities and regions.,14,,
64,0.97,389.389,395.161,"In addition to my consulting work, I'm a Non-Resident fellow at the Brookings institution.",14,,
65,0.97,395.161,404.37,And so I get to do research and work with the cities and regions around the country on all sorts of issues related to economic development.,14,,
66,0.97,404.37,411.144,So I'll be speaking somewhat based on my experience here in the city and the region.,14,,
67,0.97,411.144,415.014,But also know I'm drawing on lessons from other communities as well.,14,,
68,0.97,415.014,420.286,"What I wanted to do today, and I'll try to be brief so that we have plenty of time for discussion.",14,,
69,0.97,420.286,428.461,Is I just wanted to quickly define the economic problem that we're facing right now in some senses it's very obvious what the problem is.,14,,
70,0.97,428.461,439.272,"But in other ways, it can be pretty complicated to tease apart what's an immediate effect of Covid verses longer term challenges that Predated it.",14,,
71,0.97,439.272,444.71,So I hope to shed some light on what the broader economic problem or challenges.,14,,
72,0.97,444.71,454.921,"Secondly, I hope to trace out just a very basic, simple model of the components of an economic, equitable economic development strategy.",14,,
73,0.97,454.921,471.27,And then I'll just highlight a few interesting practices or maybe best practices that might be worth a closer look as you think about what might be worth funding with the incoming Arpa funds.,14,,
74,0.97,471.27,473.239,So I said I wanted to start by defining the moment.,14,,
75,0.97,473.239,475.675,But I wanted to start on a slightly more positive note.,14,,
76,0.97,475.675,481.681,Which is just making note of what's going well in the Seattle region.,14,,
77,0.97,481.681,506.305,"And so this chart is obviously rather busy and perhaps difficult to absorb on first glance, but the basic message of it is that Brookings looked at the 53 largest Metro areas in the country and plotted the median wage in each of those regions against what it would take to provide a family sustaining wage.",14,,
78,0.97,506.305,519.952,"And Seattle, this is the Metro area not Thety, but the Seattle Metro area is one of only five in the entire country, where the median wage is a family sustaining wage.",14,,
79,0.97,519.952,523.155,I can talk more about the sort of methodology of that.,14,,
80,0.97,523.155,536.335,But the basic point here is that I think it's important to start by recognizing what's going well in this region and what could be accelerated and what we can try to connect more people and communities and businesses to.,14,,
81,0.97,536.335,554.053,"Because I think there's often this narrative in this region that we are a hairs breath away from becoming the next San Francisco, and that maybe creates more skepticism than is warranted about what innovation and Tech and all these other things that define our economy can do.",14,,
82,0.97,554.053,564.563,"So I'd just like to point out here that, as you can see, Seattle is a long ways from the San Francisco Bay area in terms of lack of Affordability.",14,,
83,0.97,564.563,570.069,And it's doing better again than 90% or more of large Metro areas.,14,,
84,0.97,570.069,575.841,So there are other places where inequality might be lower and housing pressures might be less.,14,,
85,0.97,575.841,578.244,And there might be less of those frictions.,14,,
86,0.97,578.244,585.217,But the vast majority of those places just simply aren't producing as many living wage jobs as Seattle is.,14,,
87,0.97,585.217,586.385,So that's a positive note.,14,,
88,0.97,586.385,605.805,And what it tells me is that we should think about connecting more people again and more communities to what makes the city's Economyfunction as opposed to trying to build walls around those parts of the economy and sort of keep them entirely contained.,14,,
89,0.97,605.805,613.779,"Now, having said that that's what's working well, this is the tip of the iceberg about what isn't working well.",14,,
90,0.97,613.779,623.723,The way that I think about the problem right now is that Covid revealed a lot of problems that long Predated Covid.,14,,
91,0.97,623.723,628.194,As opposed to just creating its own set of challenges.,14,,
92,0.97,628.194,637.269,"So if we're going to respond equitably to Covid, we need to think about the cracks in the foundation of our economy that Predated it.",14,,
93,0.97,637.269,643.242,"Just a few ways to capture what those were, first of all, this economy was simply not producing enough opportunity.",14,,
94,0.97,643.242,646.145,There just were not enough good jobs to go around.,14,,
95,0.97,646.145,654.553,"If you look Pre-Covid, almost half of the people in the region were either out of work or in low-wage jobs.",14,,
96,0.97,654.553,659.191,That's pretty profound for an economy that's done as well as Seattle's has.,14,,
97,0.97,659.191,668.334,"Secondly, the one thing that you might think that this region is doing well is creating lots of new innovative high growth businesses.",14,,
98,0.97,668.334,670.936,But that's actually not true either.,14,,
99,0.97,670.936,678.31,"Seattle is lighting places like Denver, Nashville, Austin, et cetera, in terms of creating new successful businesses.",14,,
100,0.97,678.31,694.16,"So for all of the over all growth that we've experienced, there aren't enough good jobs, we're not creating enough successful young businesses and then of course you add on to that that there's inequitable access to what opportunity we do have.",14,,
101,0.97,694.16,705.504,"You can look at this in terms of jobs, greater Seattle is among the worst in the country in terms of diversity and Tech and management jobs.",14,,
102,0.97,705.504,727.56,"There's a huge gap in terms of ownership of potentially high growth businesses by race and according to Brookings, Seattle has experienced some of the slowest progress on closing geographic inequities of any large Metro area in the country.",14,,
103,0.97,727.56,738.07,"So there are a lot of challenges and again, those that we need to solve for in the Covid recovery are really much longer term challenges.",14,,
104,0.97,738.07,745.144,"So when I think about responding to those sorts of things, I really think about four components of a strategy.",14,,
105,0.97,745.144,752.785,"And this is not rocket science, but it's easy to over look or under weight any one of these things.",14,,
106,0.97,752.785,759.458,"So the first thing, as I mentioned, is this economy, amazingly enough was simply not creating enough good jobs.",14,,
107,0.97,759.458,764.396,So one component of a strategy has to be doing exactly that.,14,,
108,0.97,764.396,773.272,The short story here is that good jobs tend to be an innovative industry.,14,,
109,0.97,773.272,774.64,"So Tech, manufacturing, et cetera.",14,,
110,0.97,774.64,783.349,And so what I would think about again very briefly is where are the businesses that are rapidly growing in those industries?,14,,
111,0.97,783.349,787.653,And what can we do to make sure that they continue to grow?,14,,
112,0.97,787.653,789.955,That they stay here in the city.,14,,
113,0.97,789.955,795.661,I think of something like Rant powered bikes is a great example.,14,,
114,0.97,795.661,801.467,"Sort of Tech, sort of manufacturing, sort of clean Tech company based in Ballard, it's getting tons of outside investment.",14,,
115,0.97,801.467,801.967,It's creating jobs.,14,,
116,0.97,801.967,814.647,My question would be has Seattle gotten inside of that company and said how can we make sure that as many of those jobs are created here as possible and are connected to diverse communities as much as possible?,14,,
117,0.97,814.647,827.126,"So job creation, job preparation, the main thing I want to say in the job preparation or workforce development sort of component of this is that what we know is that what works takes investment.",14,,
118,0.97,827.126,828.694,So we know what works.,14,,
119,0.97,828.694,841.073,"But the programs that work, cost 10,000 to $20,000 per person to take them from the margins of the economy into high growth, well-paid jobs.",14,,
120,0.97,841.073,846.545,And Unfortunately t public workforce system tends to spend about 10% to 20% of that per person.,14,,
121,0.97,846.545,849.615,So we need to somehow close that gap.,14,,
122,0.97,849.615,851.717,"Thirdly, we need businesses to change how they operate.",14,,
123,0.97,851.717,856.522,And a lot of businesses want to change how they operate and become more inclusive.,14,,
124,0.97,856.522,858.19,And they simply don't know how.,14,,
125,0.97,858.19,862.861,And so that's why I have this bullet that says management is a technology.,14,,
126,0.97,862.861,871.67,Meaning that we help businesses all the time upgrade their technology and innovate and go through accelerators and all of these things to develop new products.,14,,
127,0.97,871.67,874.073,It's no different in terms of management practices.,14,,
128,0.97,874.073,881.213,We can help companies and teach them the become more inclusive.,14,,
129,0.97,881.213,883.215,"And Lastly, access to opportunity.",14,,
130,0.97,883.215,884.717,We can solve one through three.,14,,
131,0.97,884.717,886.719,And people still may not be able to reach guys.,14,,
132,0.97,886.719,889.321,People might be able to earn an income but not develop wealth.,14,,
133,0.97,889.321,891.29,So we need to think about that.,14,,
134,0.97,891.29,898.297,"Now, to close, I'm just going to walk through sort of one, I think compelling example in each of these four categories.",14,,
135,0.97,898.297,907.106,"So in terms of job creation, this is a model that's been developed in Cincinnati called the minority business accelerator.",14,,
