index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,7.407,9.609,Councilmember Mosqueda.,0,,
1,0.97,9.609,13.646,Here.,1,,
2,0.97,13.646,14.781,Councilmember Peterson.,2,,
3,0.97,14.781,15.048,Here.,3,,
4,0.97,15.048,19.853,Councilmember so what.,4,,
5,0.97,19.853,24.958,Councilmember Strauss.,4,,
6,0.97,24.958,25.258,Present.,5,,
7,0.97,25.258,30.163,Councilmember her bolt.,6,,
8,0.97,30.163,33.266,Councilmember Y rose.,6,,
9,0.97,33.266,38.171,Councilmember Lewis.,6,,
10,0.97,38.171,38.405,Here.,7,,
11,0.97,38.405,44.577,Councilmember Moore Alice.,8,,
12,0.97,44.577,53.686,Council President Gonzalez.,8,,
13,0.97,53.686,54.687,Thank you so much.,9,,
14,0.97,54.687,58.091,"If there is no objection, the minutes of the April 13, 2020 minutes will be adopted.",9,,
15,0.97,58.091,64.998,"Hearing no objection, the minutes are adopted.",9,,
16,0.97,64.998,66.866,"Really quickly, I will go through the Presidents reports.",9,,
17,0.97,66.866,71.171,I am excited to announce that today marks the return of public comment to the city council meeting on this afternoon.,9,,
18,0.97,71.171,90.423,"We will test out our new virtual public comment system for the very first time . So in order to participate in public comment, people will he need to sign up in the advanced, so I want to repeat that.",9,,
19,0.97,90.423,94.527,"If you want to give public testimony this afternoon at 2 o'clock, you must register in advance of the meeting.",9,,
20,0.97,94.527,96.629,That registration page is available on the city council's Website.,9,,
21,0.97,96.629,109.709,"This registration page will go live today at 12 PM noon, so do not bother going there to the Website now to Preregister, you cannot register until noon.",9,,
22,0.97,109.709,114.547,That is 12 PM today.,9,,
23,0.97,114.547,117.851,That is exactly 2 hours before the start of our full council meeting at 2:00 PM.,9,,
24,0.97,117.851,128.661,"You can find the link to this page via the meeting agenda, or through one of the city council social media channels that will be actively pushing out this information to the general public today.",9,,
25,0.97,128.661,157.857,"So I will provide more detailed description of how this public comment process will work at 2 PM, but if you have any questions about public comment before the meeting begins today at 2 o'clock, I would ask that you contact me, my staff for, excuse me, the staff or one of the many Department employees that were busy at work over the last couple of weeks, and this weekend it to make virtual public comment possible.",9,,
26,0.97,157.857,180.78,"I want to take a moment to thank those legislative Department employees, Eric, Ian Smith, Elizabeth, and Joseph all played an important role in making sure that we were going to be ready for this afternoon's virtual public comment tool deployment.",9,,
27,0.97,180.78,186.119,I am grateful for all of their hard work to make it possible and available to the Council into the public.,9,,
