index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.584,18.785,Terrific.,0,,
1,0.97,18.785,22.122,Thank you.,0,,
2,0.97,22.122,27.861,"Good morning everyone, the January, 28th, 2022 regularly scheduled meeting will come to order.",0,,
3,0.97,27.861,31.531,It is 9:31 A.M.,0,,
4,0.97,31.531,36.136,"I am Tammy Morales, chair of the committee.",0,,
5,0.97,36.136,38.772,Will the clerk please call the role.,0,,
6,0.97,38.772,39.939,Lewis.,1,,
7,0.97,39.939,42.575,Present.,2,,
8,0.97,42.575,45.945,Nelson.,3,,
9,0.97,45.945,47.113,Strauss.,4,,
10,0.97,47.113,52.919,Present.,5,,
11,0.97,52.919,53.72,Vice chair Sawant.,6,,
12,0.97,53.72,54.12,Present.,7,,
13,0.97,54.12,55.121,Chair Amy Gore.,8,,
14,0.97,55.121,56.089,Here.,9,,
15,0.97,56.089,58.224,Four.,10,,
16,0.97,58.224,59.292,Thank you.,11,,
17,0.97,59.292,63.196,"Sara is here, council member Nelson.",12,,
18,0.97,63.196,65.365,Thank you.,13,,
19,0.97,65.365,66.199,Five present.,14,,
20,0.97,66.199,68.268,Thank you.,15,,
21,0.97,68.268,74.574,"If there is no objections, today's agenda will be adopted.",15,,
22,0.97,74.574,77.71,"Hearing no objection, today's agenda is adopted.",15,,
23,0.97,77.71,83.016,"Colleagues, I want to say good morning to everyone.",15,,
24,0.97,83.016,86.319,This is the first meeting of the new Committee.,15,,
25,0.97,86.319,95.361,"In addition to the office of civil rights and arts and culture, there are three new departments in my Purview.",15,,
26,0.97,95.361,102.936,"Department of neighborhoods, office of immigrant affairs, Department of education and early learning.",15,,
27,0.97,102.936,106.639,"I also have a new clerk, Devin is with us this morning.",15,,
28,0.97,106.639,112.679,I am looking forward to working with Verity--city staff and continuing to serve our neighbors.,15,,
29,0.97,112.679,151.518,"As I was thinking about how the committee came together, whether we are talking about language access for immigrants, for our arts community, building a more robust early infrastructure, for our smallest Seattleites, or building community wealth, the goals of the committee are to access opportunity and ensure that my goal is to ensure that we have racial equity and how we move forward as a city.",15,,
30,0.97,151.518,158.258,"I invite the public to let us know what you would like to hear from the committee, from the departments that are here.",15,,
31,0.97,158.258,167.333,"Happy to incorporate ideas and suggestions into the calendar, as we dive into the work of the departments.",15,,
32,0.97,167.333,175.575,"Finally, I want to thank our city staff for though work that they do on behalf of our community members.",15,,
33,0.97,175.575,179.913,"I know their work can be challenging, even before Covid- 19.",15,,
