index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.25,27.694,"April 12th, 2022 of the Seattle city council will come to order.",0,,
1,0.97,27.694,27.961,2:02 P.M.,0,,
2,0.97,27.961,34.3,I'm Alex Pederson President pro Tem.,0,,
3,0.97,34.3,34.501,Roll.,0,,
4,0.97,34.501,36.836,Council Lewis.,1,,
5,0.97,36.836,38.805,Present.,2,,
6,0.97,38.805,39.672,Councilmember Morales.,3,,
7,0.97,39.672,41.141,Here.,4,,
8,0.97,41.141,45.211,Councilmember Mosqueda.,5,,
9,0.97,45.211,47.213,Present.,6,,
10,0.97,47.213,50.784,Councilmember Sawant.,7,,
11,0.97,50.784,52.685,Present.,8,,
12,0.97,52.685,54.154,Councilmember Herbold.,9,,
13,0.97,54.154,54.421,Here.,10,,
14,0.97,54.421,64.798,Councilmember Nelson and Councilmember Strauss are not present today.,11,,
15,0.97,64.798,75.742,If there is no objection Councilmember Debora Juarez is excused.,11,,
16,0.97,75.742,76.109,Presentations.,11,,
17,0.97,76.109,79.345,Councilmember Herbold recognizing April as sexual assault month.,11,,
18,0.97,79.345,90.924,Councilmember Herbold will open the presentation and I will open it up and after comments we will suspend the rules to allow our guests to accept the proclamation.,11,,
19,0.97,90.924,94.828,Councilmember Herbold do you recognize an order to present the proclamation?,11,,
20,0.97,94.828,96.229,Thank you so much.,12,,
21,0.97,96.229,120.787,I appreciate the opportunity to present this proclamation declaring April to be sexual assault awareness month and thank advocates from the coalition and the gender based violence and the resource center by proclaiming the proclamation and the work that you do every day to support Survivers of sexual assault.,12,,
22,0.97,120.787,127.627,Yesterday my colleagues affixed their situations to this proclamation and the Mayor is Concurring.,12,,
23,0.97,127.627,135.969,Councilmember Lewis thank you for collecting signatures in my absence yesterday.,12,,
24,0.97,135.969,145.979,Sexual violence is a continuum of behavior and racist and Homophobic and Ableist or other hate speech.,12,,
25,0.97,145.979,153.786,Acting comments Online and do traumatized victims and their impact should not minimize it.,12,,
26,0.97,153.786,175.742,"The negative impacts that sexual violence on assault used in children include fear, concern for safety, missed work or school, injury, and physical and mental health conditions including symptoms of post traumatic stress disorder.",12,,
27,0.97,175.742,191.991,This proclamation working together as a community we ensure supportive resources are available all Survivers while standing up to and actively disrupting harmful attitudes and behaviors.,12,,
28,0.97,191.991,193.96,And contribute to sexual violence.,12,,
29,0.97,193.96,198.064,I want to note that in a couple of weeks on April 27th.,12,,
30,0.97,198.064,226.392,It is denim day and we'll be having this Seattle women's Commission joining us and they will be inviting city employees to make social statement with fashion by using jeans and we encourage folks and others about this sexual assault and talk about the significance of this day and its origins at that time.,12,,
31,0.97,226.392,239.172,But here today accept sexual assault awareness month proclamation and we have MS.,12,,
32,0.97,239.172,241.241,Torres from the coalition ending end based project.,12,,
33,0.97,241.241,256.255,We are going to pause it here from other Councilmembers after that.,12,,
34,0.97,256.255,263.863,I am honored to declare April to be sexual assault awareness month and thank you for everything that you do every day.,12,,
35,0.97,263.863,265.665,Thank you.,12,,
36,0.97,265.665,266.566,Thank you.,13,,
37,0.97,266.566,273.906,"Are there any preliminary comments from Councilmembers, otherwise we can suspend the rules and hear from our guests.",13,,
38,0.97,273.906,274.107,Okay.,13,,
39,0.97,274.107,282.048,If there is no objection Council rules will be Suspeded to allow our guests to accept the proclamation and hear remarks.,13,,
40,0.97,282.048,284.617,No remarks the Council rules are suspended.,13,,
41,0.97,284.617,301.3,We have representatives from the coalition and gender base violence and the sexual violence law center to receive the proclamation and welcome and you are welcome to provide your comments.,13,,
42,0.97,301.3,301.834,Thank you.,13,,
43,0.97,301.834,302.802,Excellent.,14,,
44,0.97,302.802,311.044,Thank you so much Councilmember Herbold and Councilmember Pederson and good afternoon to members of the Council.,14,,
45,0.97,311.044,318.184,I am the policy advocate for the a coalition.,14,,
46,0.97,318.184,325.858,It has end based agencies in Seattle and King County that impact the lives of diverse survivors of sexual assault in our communities.,14,,
47,0.97,325.858,327.326,Good afternoon.,15,,
48,0.97,327.326,330.997,And thank you for this opportunity.,15,,
49,0.97,330.997,333.099,My name is Rita Popiti.,15,,
50,0.97,333.099,346.846,I'm the director of the center and we are a nonprofit law firm that provides free legal assistance and Survivers of sexual assault and end based violence in Seattle and King County and throughout Washington state.,15,,
51,0.97,346.846,358.057,We served approximately 700 Survivers last year and we are a member of the coalition and work with its membership to address the many needs survivors face.,15,,
52,0.97,358.057,363.763,We are both honored to participate today to declare April sexual assault month for the city of Seattle.,16,,
53,0.97,363.763,389.789,Awareness events and through the year can an important opportunity to make visible the persistent and pervasive nature of the abuses of power that continue to thriving in our so% long as from Harassment in person or Online to physical assault and rape all forms of sexual violence are rooted and compounded by racism and Sexism and other forms of oppression.,16,,
54,0.97,389.789,399.932,Gender base violence programs bear witness to this by supporting Survivers to hear more I will hand to it Rite.,16,,
55,0.97,399.932,414.113,Thank you the proclamation recognizes that sexual violence is not the victim's fault but we have a way to prevent sexual violence in our communities.,17,,
56,0.97,414.113,415.915,We represent all ages and Jeopardies.,17,,
57,0.97,415.915,423.723,One-third of our clients are yellow and 60% of black indigenous or a Surviver of color.,17,,
58,0.97,423.723,440.807,Through our work we witness the sexual abuse through prison pipe lines where girls are abused and assaulted and harassed and then dismissed or discarded for saying anything and then blamed and punished for acting out of fear or frustration and trauma.,17,,
59,0.97,440.807,465.731,We represent and stand with Survivers every day in Courtrooms and title 9 hearings and hr investigations and immigration interviews and administrative meetings and see the terrible impact and devastation from their sexual assaults but also from systems and institutions that Prioritize their Abusers reputation and future over the Survivers' trauma and safety.,17,,
60,0.97,465.731,469.368,Reports of sexual assaults are at an all-time high.,17,,
61,0.97,469.368,481.48,In the past two years the number of calls and referrals we have received have tripled but investigations and petitions are at the lowest in years.,17,,
62,0.97,481.48,490.957,This is all while per PA Traction of sexual violence continues to evolve that requires advocacy to evolve as well.,17,,
63,0.97,490.957,494.827,The sexual violence law center has technology to control the initiatives.,17,,
64,0.97,494.827,508.808,"First started by advocates from the community we worked with and Techy has evolved into a trauma informed legal response to Abusers using Digital technologies and platforms to control, harass and Humiliate a Surviver.",17,,
65,0.97,508.808,520.152,It is not good enough to tell a Surviver to close an account buy a new device or ignore it technology enabled device is not the future but it is here.,17,,
66,0.97,520.152,525.024,We can't keep up with the number of cases referred but we are trying.,17,,
67,0.97,525.024,539.205,For too long Abusers and Perpetrators have been protected by institutions and supported by communities and their tactics ignored and their behaviors excused and often blamed on their victim who is then shamed and ousted and isolated.,17,,
68,0.97,539.205,549.982,It is for this reason it is so crucial that along with this proclamation Seattle continues to support and Prioritize services and programs for survivors.,17,,
69,0.97,549.982,553.419,We ask survivors to step up and share their me too moment.,17,,
70,0.97,553.419,569.268,"Yet if we do not make available counseling and housing and resources and social services and civil legal aid to Survivers who seek out support, we become another source of perpetuating the trauma we seek to address.",17,,
71,0.97,569.268,572.371,This proclamation gives me hope.,17,,
72,0.97,572.371,583.282,It is with recognizing and naming the problem with Prioritizing funding and increasing support for Surviver services like harbor view abuse and trauma center.,17,,
73,0.97,583.282,587.486,"Mother nation, King County sexual assault resource center.",17,,
74,0.97,587.486,593.859,"Api child and the sexual violence law center, we can be the community survivors deserve.",17,,
75,0.97,593.859,605.538,A community where Survivers voices are amplified and Survivers are treated with dignity and Survivers access accountability as justice and healing.,17,,
76,0.97,605.538,607.039,Thank you so much Rite.,18,,
77,0.97,607.039,622.455,As was explained programs across the city have experienced a significant increase in the need for services in part due to the profound effects of the pandemic and also I believe due to the increased awareness of what sexual violence is and help is available.,18,,
78,0.97,622.455,629.595,We must honor the dignity of Survivers by ensuring that supportive services are available and accessible to all Survivers in our city.,18,,
79,0.97,629.595,640.306,We are proud to stand with member Agencie and their commitment and their collective effort towards building a world free from sexual violence.,18,,
80,0.97,640.306,654.253,Thank to you Councilmember Herbold for making this issue a priority by declaring prep as sexual assault awareness month amidst the business before the Council.,18,,
81,0.97,654.253,660.926,You are inspiring action and thank you for leading on behalf of Survivers in our community.,18,,
82,0.97,660.926,664.196,Thank you very much.,19,,
83,0.97,664.196,674.974,Both for presenting that and Councilmember Herbold.,19,,
84,0.97,674.974,678.11,Any final remarks.,19,,
85,0.97,678.11,678.511,Okay.,19,,
86,0.97,678.511,681.013,Colleagues we will consider the proposed consent calendar.,19,,
87,0.97,681.013,692.391,Are there any items Ouncilmembers would like to remove from today's consent calendar?,19,,
88,0.97,692.391,699.498,"Hearing now I consent the calendar, there's a second?",19,,
89,0.97,699.498,699.865,Second.,20,,
90,0.97,699.865,703.035,It is moved and Seconded to adopt the consent calendar.,21,,
91,0.97,703.035,705.538,Just a quick note.,21,,
92,0.97,705.538,727.526,"Today's consent calendar includes 19 appointments and so I'd like to thank the appointees for the willingness to serve and the committee chairs and the Department staff for their work on those appointments, we heard those in committee and for the viewing public and all of the application and materials are published Online.",21,,
93,0.97,727.526,743.209,So with that will the clerk please call the roll on the adoption on the consent calendar?,21,,
94,0.97,743.209,744.11,Councilmember Lewis.,22,,
95,0.97,744.11,744.777,Yes.,23,,
96,0.97,744.777,746.145,Councilmember Mosqueda.,24,,
97,0.97,746.145,746.412,Yes.,25,,
98,0.97,746.412,750.082,Councilmember Sawant.,26,,
99,0.97,750.082,750.416,Yes.,27,,
100,0.97,750.416,750.983,Councilmember Herbold.,28,,
101,0.97,750.983,751.517,Yes.,29,,
102,0.97,751.517,754.653,Councilmember President pro Tem Pederson.,30,,
103,0.97,754.653,755.588,Yes.,31,,
104,0.97,755.588,759.091,Sick six in favor and none opposed.,31,,
105,0.97,759.091,759.625,Thank you.,31,,
106,0.97,759.625,762.828,The consent calendar items are adopted.,31,,
