index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.714,25.058,Good afternoon this is the regularly scheduled meeting of the Sustainability Meeting- Tuesday April 27th.,0,,
1,0.97,25.058,25.258,2:02.,0,,
2,0.97,25.258,27.027,I Amal chair of the office.,0,,
3,0.97,27.027,35.635,Will the clerk please call the roll?,0,,
4,0.97,35.635,36.97,Councilmember Sawant.,1,,
5,0.97,36.97,37.437,Friend.,2,,
6,0.97,37.437,39.739,Counsellal member Juarez.,3,,
7,0.97,39.739,41.808,Here.,4,,
8,0.97,41.808,45.245,Councilmember Pedersen.,5,,
9,0.97,45.245,47.647,Here.,6,,
10,0.97,47.647,49.616,Councilmember Morales.,7,,
11,0.97,49.616,50.617,And Councilmember Lewis.,7,,
12,0.97,50.617,57.924,And I'm going to call Councilmember Morales.,7,,
13,0.97,57.924,65.365,"Yes, thank you.",8,,
14,0.97,65.365,71.371,Four present.,9,,
15,0.97,71.371,72.806,Thank you committee members.,10,,
16,0.97,72.806,88.822,There is a banning of the school year Evictions to be discussed of school children and families of school children and educators have been brought to our attention by educators and a member of the Seattle school board.,10,,
17,0.97,88.822,95.662,There's a discussion with great community panel that have generously given their time to come and share their stories.,10,,
18,0.97,95.662,144.811,The next meeting of the Sustainability Renters committee I hope we can take amendments and possible votes on the various bills and as the upcoming committee that I believe will have to be--we will have to set a date and my office will coordinate with the offices of the other committee members to make sure we have a date that works for everyone because it will have to be special committee meeting and at that meeting we will have the just cause bill for Councilmember Morales as I mentioned in the briefing yesterday I would like to cosponsor this bill and that is what Councilmember Morales hold off on that bill and we will be working as I said to have a good time to schedule it.,10,,
19,0.97,144.811,173.473,"Our two just cause bills aim to close the current loophole that landlords have exploited and they take a more technical approach and as we go through the discussion today and beyond I look forward to working with Councilmember Morales and the city council itself to pass a unified bill, the strongest possibility that closes the Loop holes without exception and that is what Renters urgently need and our goal.",10,,
20,0.97,173.473,182.448,Most importantly as we know from our experience of many years of winning Renter rights we will need to get organized.,10,,
21,0.97,182.448,204.938,That is why it is really important to have Renters that have been directly affected by the crisis that unfolds when we don't have Renters protected today to share with us I want to share with you before we open up for public comment two important numbers.,10,,
22,0.97,204.938,217.183,"One is 64, the days remaining after today before the current Eviction moratorium.",10,,
23,0.97,217.183,229.229,We hope to have it extended beyond June 30th but it has been difficult when the Democrats in the state Legislature joined with the Republicans to vote to end the moratorium statewide on June 30th.,10,,
24,0.97,229.229,234.2,That is effort but that is what the state's political establishment decided to do.,10,,
25,0.97,234.2,243.543,In our last office we have heard from tenants struggling in the wake of Covid and the loss of income and jobs.,10,,
26,0.97,243.543,250.717,They feel the end of the Eviction moratorium.,10,,
27,0.97,250.717,260.793,John said as many years as successful tenant with on time rents and improvements to the property I was informed that my lease would not be renewed at the end of June 2021.,10,,
28,0.97,260.793,284.017,It is important that the Council has placed some temporary protections post moratorium including giving tenants some relief if they suffer because of Covid-19 but they are temporary and they are Apprehensive about the months as those additional protections expire.,10,,
29,0.97,284.017,288.855,The trends are showing a pretty scary scenario nationally unless Renters fight back.,10,,
30,0.97,288.855,302.135,That is why it is important we pass these bills and other tenant protections before the moratorium expire and keep organizing and the movement needs to be mindful of 64 underscored.,10,,
31,0.97,302.135,309.409,The second number I wanted to share is 3.5%.,10,,
32,0.97,309.409,322.588,That is the average Seattle price increase in the last month according to a report published by the industrial rents.,10,,
33,0.97,322.588,324.257,That is rent increase of 3.5%.,10,,
34,0.97,324.257,335.134,Compounded that comes to an average Ren increase of more than 50%.,10,,
35,0.97,335.134,339.205,That is down right Mercenary.,10,,
36,0.97,339.205,344.811,Among the one hundred cities the Seattle rent increase was the 5th highest.,10,,
37,0.97,344.811,355.455,As the apartment List.Com offers said the days of plummeting rent are official behind us.,10,,
38,0.97,355.455,374.34,"So really it shows how the interest of corporate landlords and property manage corporations and the banks that Underright the real estate deals are completely open to Renters, something that they are celebrating and that is why we have to really push back against this.",10,,
39,0.97,374.34,406.939,"It is absolutely stunning admission by the captains of the real estate industry after seeing represents drop due to Covid and the recession, corporate landlords see a glimmer of economic improvement and wasting no time to exploit Seattle Renters-For anyone harboring illusions that corporate landlords will allow tenants to ease back into life after Covid this rental increase figure is a brutal reality check.",10,,
40,0.97,406.939,417.216,The pandemic is erasing no time of Seattle working class Renters and it is our job to move the bills forward to put Renters' rights before corporate profit.,10,,
41,0.97,417.216,433.232,"First this afternoon the committee will discuss our bill for permitting the Eviction of school children, their families and educators during the school year perform last week when the bill was formally introduced my office had a press unveil the bill.",10,,
42,0.97,433.232,438.538,In other words banning the Evictions of children and educators during the school year.,10,,
43,0.97,438.538,447.346,"We were joined by the Seattle Association, the Union that represents public school educators.",10,,
44,0.97,447.346,451.717,Public school student and by school board member.,10,,
45,0.97,451.717,455.721,This bans the Evictions of school children and educators during the school year.,10,,
