index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.347,17.35,"Good afternoon, everybody.",0,,
1,0.97,17.35,23.523,We'll do call to order.,0,,
2,0.97,23.523,26.793,As soon as Councilmember Harrell Rr sits down.,0,,
3,0.97,26.793,33.133,"The February 24th, 2020 meeting of the Seattle city council will come to order.",0,,
4,0.97,33.133,35.535,It's 2:05.,0,,
5,0.97,35.535,38.004,"I'm Debora Jaurez, president pro Tem Council.",0,,
6,0.97,38.004,44.878,Will the clerk please call the roll?,0,,
7,0.97,44.878,49.349,[roll call],0,,
8,0.97,49.349,50.25,Thank you.,1,,
9,0.97,50.25,51.084,Seven present.,2,,
10,0.97,51.084,52.185,Thank you.,3,,
11,0.97,52.185,56.489,So we will start with presentations.,3,,
12,0.97,56.489,61.795,So do I need to suspend the rules?,3,,
13,0.97,61.795,72.205,"If there's no objection, the Council rules will be suspended to allow Councilmember Mosqueda to allow brief comments and remarks from the Council.",3,,
14,0.97,72.205,75.975,This is regarding black history month proclamation.,3,,
15,0.97,75.975,81.414,We have the honorable Councilmember Bruce Harrell here.,3,,
16,0.97,81.414,85.718,"Where are you, Larry?",3,,
17,0.97,85.718,87.12,There you are.,3,,
18,0.97,87.12,92.992,[Applause] we should have Reverend Harriet Walden here as well.,3,,
19,0.97,92.992,96.896,We should have community leader Mary flowers here as well.,3,,
20,0.97,96.896,99.499,Mary is not here yet.,3,,
21,0.97,99.499,100.8,There you are.,3,,
22,0.97,100.8,102.669,[Applause] all right.,3,,
23,0.97,102.669,104.737,"Hearing no objection, Councilmember Mosqueda, do you want to begin?",3,,
24,0.97,104.737,106.206,"Thank you, Madam pro Tem.",4,,
25,0.97,106.206,116.549,It is my great honor today to be able to bring forward this proclamation recognizing February 2020 as black history month here in Seattle.,4,,
26,0.97,116.549,131.931,"This proclamation recognizes the legacy of resilience, resistance, and leadership by Seattle's black community in the fight for civil rights, housing justice, workers' rights, and police accountability.",4,,
27,0.97,131.931,146.546,"This proclamation celebrates the artists, business leaders, organizers, activist whose have made a tremendous and enormous contribution to our community and to the fight for justice across this country led right here in Seattle by these incredible leaders.",4,,
28,0.97,146.546,151.084,Today we're honored to be joined by the four leaders that the Council pro Tem has just announced.,4,,
29,0.97,151.084,162.629,These are black leaders in the community who have done so much to improve the lives of not just those in the black community but for all of Seattle.,4,,
30,0.97,162.629,164.731,King community leader Mary flowers.,4,,
31,0.97,164.731,165.231,Reverend Harriet Walden.,4,,
32,0.97,165.231,173.973,"We honor and recognize the work of not only the folks in the room but the generations who have fought for equity in this city, in this region, and in this country.",4,,
