index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.949,26.326,Welcome back everyone the--will the clerk please call the role?,0,,
1,0.97,26.326,68.568,[roll being called] seven present.,1,,
2,0.97,68.568,76.943,"Thank you so much, okay.",2,,
3,0.97,76.943,79.579,"I am here, sorry I was not joining quick enough.",3,,
4,0.97,79.579,92.392,"Councilmember Morales is also here so it looks like we have eight present, so just double checking one more time, do we have Councilmember Sawant?",4,,
5,0.97,92.392,92.992,Yes.,5,,
6,0.97,92.992,93.393,Thank you.,6,,
7,0.97,93.393,99.099,We are all present.,6,,
8,0.97,99.099,100.3,"Thank you, nine present.",7,,
9,0.97,100.3,113.313,Presentations I am not aware of a presentation today so we will--if there is no objection the minutes will be signed hearing no objection the minutes are being signed will the clerk please affix my signature to the minutes?,8,,
10,0.97,113.313,122.021,If there is no objection the introduction and referral calendar will be adopted.,8,,
11,0.97,122.021,123.89,Hearing no objection it is adopted.,8,,
12,0.97,123.89,136.436,"Hearing no objection the agenda will be adopted, hearing no objection the agenda will be adopted.",8,,
13,0.97,136.436,277.644,We will open the public comment period for items on the city council agenda introduction and referral calendar and--I want to thank everyone for their ongoing basins patients--to have public comment regularly included on our Agendas but as a reminder--if we deem that the system is being abused or is no longer being--I will moderate the public comment period in the following manner--each Speaker will be given 2 minutes to speak speakers are called upon in the order in which--public comment period is now open and we will begin with the first Speaker on the list please make sure to press Á6 after you hear the prompt that you have been on muted the first Speaker is Howard Gail followed by Josh castle and --,8,,
14,0.97,277.644,291.991,Howard Gail district 7 speaking continuing on--this afternoon the Council will be voting on--I am confused.,9,,
15,0.97,291.991,323.523,"Isn't Seattle's lack of accountability for police--is that not enough incentive, our accountability system has judged--and the highest punishment meted out has been simply a Reprimand and--why do we have to add to their pay to entice them to do what some police already clearly enjoyed?",9,,
16,0.97,323.523,366.766,The Council will pass a budget that provides well over $10 million to cover up police abuse while refusing to even consider shifting--you plan to offer them more money to work here without having to fear accountability does it really only take 18 months to abandon what you--they could redirect these tens of millions of dollars toward real community oversight of police we much must invest these monies in a system that provides full community control over policing.,9,,
17,0.97,366.766,375.742,"-- go to Seattle Stop.Org to find out how, that is Seattle Stop.Org.",9,,
18,0.97,375.742,383.282,Next up is Josh castle followed by--and then David Haynes.,10,,
19,0.97,383.282,419.986,"Hi good afternoon Councilmembers, I am--thank you and your amazing staff for your work on the budget I want to especially thank Councilmember her bold at--thank you Councilmember Lewis for adding another $600,000 in funding--and your outstanding leadership on Jumpstart.",11,,
20,0.97,419.986,460.259,Thank you Councilmember Sawant for--and on advocating--we know these are not the most high-quality homes and--thank you as well Councilmember Sawant for your leadership and--and the two of you--we appreciate your advocacy.,11,,
21,0.97,460.259,505.771,"Thank you Councilmember Juarez for--I stopped by--and it is looking gorgeous, thank you to Councilmember Pedersen and your staff for your close engagement advocacy and support for--thank you as well Councilmember Pedersen for your pies and knitted hats and--and thank you Councilmember Morales for--I am proud of you, we appreciate all that you do, thank you.",11,,
22,0.97,505.771,513.212,"Thanks for calling in Josh, next is--and then David and then Madeleine.",12,,
23,0.97,513.212,601.2,"Good afternoon I am speaking on behalf of--we also wanted to thank Councilmember Herbold, Councilmember Morales, and Councilmember Lewis--this is very important first step--so thank you so much again for all of your work and the time and dedication--thanks so much.",13,,
24,0.97,601.2,614.814,"Thank you for calling in today, next up is David Haynes and then Madeleine Olsen and then --",14,,
25,0.97,614.814,630.029,Thank you good afternoon David Haynes I live in district 7 I have not had a proper night's sleep in the seven months I have limited lived out here because there is an uncivil war on the community and nobody is doing anything about the crimes trying to step in and take over my building.,15,,
26,0.97,630.029,696.495,City Council should reject this unconstitutional budget abuse of tax dollars--to buy off George Floyd protesters Accessing more than $70 million while counsel co-ops redirect and I Daresay steel Federal emergency Covid-19 funds money meant to solve the homeless crisis for people who cannot find--now instead redirected money to Jumpstart taxes manipulated with a spending plan providing middle-class gift to Non-Citizens--while innocent poor citizens are purposely not provided 21St- century--to redirect as much money away from funding the homeless crisis after raising--and nonprofit donors.,15,,
27,0.97,696.495,739.338,And the unions who help with elections it is unconstitutional to abuse and use Federal relief money stolen from the homeless to fill in the general shortfalls--to pay off protesters hiding within solidarity budget--and community safety and community capacity building Nonprofits creating fraudulent community safety this budget is proof that Democrats use the taxpayers and homeless crisis to get money to--hiding within all new--Pocketing millions of dollars to not protest.,15,,
28,0.97,739.338,745.644,Next is Madeleine Olsen followed by--and Sean burns.,16,,
29,0.97,745.644,747.046,"Madeleine, welcome.",16,,
30,0.97,747.046,748.247,Can you hear me okay?,17,,
31,0.97,748.247,752.351,"Yes, go ahead.",18,,
32,0.97,752.351,801.901,"My name is Madeleine I am calling in about the budget trying to say I am really--alongside our funding for--but overall it is really disappointing to see that this budget does fail to meet the needs of working people--we are seeing the world's Billionaires make trillions of dollars in profits while regular people are being buried under increasing amounts of debt, myself included.",19,,
