index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.513,14.381,"Good morning, everyone.",0,,
1,0.97,14.381,27.293,"The February 9, 2022 meeting on the saddle city council economic development, technology and city light committee will come to order.",0,,
2,0.97,27.293,28.294,It is 9:33 A.M.,0,,
3,0.97,28.294,29.295,"And I'm Sara Nelson, chair of the committee.",0,,
4,0.97,29.295,30.697,Will the clerk call the roll.,0,,
5,0.97,30.697,34.968,Juarez?,1,,
6,0.97,34.968,35.201,Sawant?,1,,
7,0.97,35.201,46.212,Strauss Herbold?,1,,
8,0.97,46.212,46.579,Sharon Nelson?,1,,
9,0.97,46.579,46.88,Present.,2,,
10,0.97,46.88,47.347,Four are present.,3,,
11,0.97,47.347,58.491,Councilmember Herbold has a health issue going on and will not be attending.,4,,
12,0.97,58.491,63.263,She could be joining late and we will watch out for her possible attendance.,4,,
13,0.97,63.263,65.131,Let's move to the approval of the G end up.,4,,
14,0.97,65.131,69.335,"If there is no objection, the agenda will be adopted.",4,,
15,0.97,69.335,78.211,"Seeing no objection, the agenda is adopted.",4,,
16,0.97,78.211,96.162,"There is a document that will be available on the record and we can have that explained, to a greater extent with many things that you will hear today being available shortly for public viewing.",4,,
17,0.97,96.162,107.34,"At this time, we will open the remote public comment period for items on the agenda and I thank everyone for their patience and cooperation as we operate this remote public comment system.",4,,
18,0.97,107.34,108.241,I will moderate in the following manner.,4,,
19,0.97,108.241,116.249,The public comment period is up to 20 minutes and each Speaker has up to one minute to speak.,4,,
20,0.97,116.249,124.991,We have more than 20 and it's possible we could need to extend that a bit.,4,,
21,0.97,124.991,132.265,Speakers are called upon in the order in which they registered Online and each Speaker must call in from the phone number provided when registered and use the I.D.,4,,
22,0.97,132.265,134.968,And Passcode.,4,,
23,0.97,134.968,148.681,"It's different from the general meeting line listed on the agenda and if you did not receive Email confirmation, please look in your Spam or other Email folders.",4,,
24,0.97,148.681,159.559,"In addition, for a reminder, I will call on each Speaker by name and in the order they registered on the Council Website.",4,,
25,0.97,159.559,169.469,"If you are not registered but would like to do so, sign up before the end of the public comment hearing by going to the Council Website at Seattle.Gov- Council.",4,,
26,0.97,169.469,173.873,It's listed on today's agenda.,4,,
27,0.97,173.873,216.149,"When I called the name of the Speaker, staff will Unmute the microphone and a prompt that you have been Unmuted will be the Speaker's Queue that it is their turn and then the Speaker must press Star six to begin and we will hear that reminder over and over a bin state your name and the item you are addressing and the speakers will hear a Chime when the 10- second mark comes up and when you hear that time, please wrap up and if they do not stop the comments at the appropriate time, the microphone will be alluded for all people to speak.",4,,
28,0.97,216.149,227.594,"When you conclude, we ask that you Disconnect and then if you want to follow the meeting, do so via the Seattle channel or the listening options on the agenda.",4,,
29,0.97,227.594,234.1,The public comment period is now open and we begin with the first Speaker on the list.,4,,
30,0.97,234.1,235.868,Please remember to press Á six after you hear the prompt that you've been Unmuted.,4,,
31,0.97,235.868,241.908,The first Speaker is Randy Banneker followed by Pete Hanning.,4,,
32,0.97,241.908,244.911,"Go ahead, Randy.",4,,
33,0.97,244.911,250.717,"Thank you, Madam chair . is the Audio working?",5,,
34,0.97,250.717,253.353,It is.,6,,
35,0.97,253.353,257.023,Thank you for the opportunity.,7,,
36,0.97,257.023,271.104,"I want to thank you, Madam chair and your colleagues for convening the discussion about small business and public safety.",7,,
37,0.97,271.104,288.955,"As you know, Seattle is a city of unique neighborhoods made more engaging by the businesses in those neighborhoods and individually and collectively, they contribute to the spirit of innovation and community that has been sustained on a multitude of national global glands in our region.",7,,
