index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.8809291124343872,0.39999999999999997,15.7,I'm eating good morning colleagues.,,,
1,0.8809291124343872,15.7,16.7,The December 14th.,,,
2,0.8809291124343872,16.7,19.3,2020 Council briefing meeting will come to order.,,,
3,0.8809291124343872,19.3,23.2,The time is 9:31 a.m. colleagues.,,,
4,0.8809291124343872,23.2,25.1,Before the clerk takes the role.,,,
5,0.8809291124343872,25.1,30.3,"I have been informed this morning that council member, at least a horrible will not be able to join us during Council.",,,
6,0.8837409019470215,30.4,30.8,Briefing.,,,
7,0.8837409019470215,30.8,39.1,"But I do look forward to seeing her at full Council this afternoon at 2:00 p.m. with that being said, pull the clerk, please call the roll.",,,
8,0.9128386378288269,40.8,44.3," Sawant here, Strauss.",,,
9,0.693331778049469,46.3,46.9, Present.,,,
10,0.8884502649307251,48.7,49.5, Juarez.,,,
11,0.7951653003692627,52.6,59.2, Luis Morales here mascara.,,,
12,0.9128385782241821,61.6,62.2, Present.,,,
13,0.8519791960716248,64.0,65.9, Peterson here.,,,
14,0.8519791960716248,66.9,67.3,Council.,,,
15,0.8519791960716248,67.3,70.0,President Gonzalez here.,,,
16,0.9009057283401489,72.1,74.0," Seven present, thank you.",,,
17,0.9009057283401489,74.0,75.7,Madam clerk council members.,,,
18,0.9009057283401489,75.7,86.2,The council rules are silent on allowing electronic participation at Council briefing meetings in order to continue participating remotely as we have been doing a vast majority of this year.,,,
19,0.9009057283401489,86.2,101.3,I am going to move to suspend the council rules through January 19th 2021 which is the date of which the governor's Proclamation related to the open public meetings act has been extended to if there's no objection in the council rules will be suspended.,,,
20,0.8548606634140015,101.6,110.0," Allow remote Council briefing meetings through January 19th, 2021 consistent with the governor's Proclamation related to the open public meetings Act.",,,
21,0.9028905630111694,111.3,112.8, Hearing no objection the city council.,,,
22,0.9028905630111694,112.8,114.5,Rules are suspended and Council briefing.,,,
23,0.9028905630111694,114.5,120.3,"Meetings will be held remotely with council members participating, electronically through January 19, 20, 21.",,,
24,0.9028905630111694,120.6,122.9,"So, we're going to move now to the approval of the minutes.",,,
25,0.9028905630111694,122.9,126.8,"If there is no objection, the minutes of December 7th 2020, will be adopted.",,,
26,0.8958864808082581,127.8,128.6, Hearing no objection.,,,
27,0.8958864808082581,128.6,132.6,The minutes are adopted presidents report.,,,
28,0.8958864808082581,133.1,156.5,"I do have some comments to make for the president's report, but I'm going to reserve my president's report for the end of the agenda today when I give my regular regular report, as part of agenda item, for in large part because I do know we have this presentation on today's agenda and I want to make sure that we have enough time to hear from our guests.",,,
29,0.8958864808082581,156.5,156.7,"So,",,,
