index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,33469.469,33470.003,.,0,,
1,0.97,33470.003,33474.574,"Good morning, everyone, today is October 2, 2020.",1,,
2,0.97,33474.574,33482.182,The sect budge committee will come to order.,1,,
3,0.97,33482.182,33485.885,Please call the roll.,1,,
4,0.97,33485.885,33486.186,Morales.,2,,
5,0.97,33486.186,33487.62,Here.,3,,
6,0.97,33487.62,33487.921,Pedersen.,4,,
7,0.97,33487.921,33488.888,Here.,5,,
8,0.97,33488.888,33493.293,Sawant.,6,,
9,0.97,33493.293,33494.694,Here.,7,,
10,0.97,33494.694,33495.461,Strauss.,8,,
11,0.97,33495.461,33498.698,Present.,9,,
12,0.97,33498.698,33500.567,Gonzcez.,10,,
13,0.97,33500.567,33501.134,Here.,11,,
14,0.97,33501.134,33501.768,Juarez.,12,,
15,0.97,33501.768,33502.702,Here.,13,,
16,0.97,33502.702,33503.203,Lewis.,14,,
17,0.97,33503.203,33504.27,Present.,15,,
18,0.97,33504.27,33504.671,Chair Mosqueda.,16,,
19,0.97,33504.671,33506.873,Present.,17,,
20,0.97,33506.873,33507.273,Eight present.,18,,
21,0.97,33507.273,33514.214,"Thank you, Countermember her bolt.",18,,
22,0.97,33514.214,33522.622,We have a full attendance on the third and final day of the presentations of the proposed 2021 budget.,19,,
23,0.97,33522.622,33535.568,"I appreciate your time and members of the executive team and our central staff, I.T., communications folks, the clerk's office and your offices for engaging in the long days and informative conversations.",19,,
24,0.97,33535.568,33537.871,"Next week, I want to give you a preview.",19,,
25,0.97,33537.871,33544.41,"We will turn to hear from members of the public, hearing from ideas from the community partners.",19,,
26,0.97,33544.41,33546.045,Many of you have town halls.,19,,
27,0.97,33546.045,33558.424,I will be out in community doing ride Alongs and shadowing of various vulnerable community Sfszs offered throughout Seattle.,19,,
28,0.97,33558.424,33563.029,We're bringing the on the front line into the budget conversation.,19,,
29,0.97,33563.029,33566.332,I'm excited about the ideas we have heard thus far.,19,,
30,0.97,33566.332,33569.969,I have been taking notes and our team has as well.,19,,
