index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,18.051,18.118,.,0,,
1,0.97,18.118,25.925,"June 8, 2021 meeting of public safety and human services committee will come to order.",1,,
2,0.97,25.925,32.866,I am Lisa Herbold.,1,,
3,0.97,32.866,33.366,Chair of the committee.,1,,
4,0.97,33.366,38.071,Would you please call the roll.,1,,
5,0.97,38.071,38.605,[roll].,1,,
6,0.97,38.605,39.706,Five present.,2,,
7,0.97,39.706,41.741,Thank you so much.,3,,
8,0.97,41.741,45.412,"On today's agenda, we will be hearing three items.",3,,
9,0.97,45.412,60.293,First is a round table with city and community partners to discuss crisis response continuum that is currently operating in Seattle with an emphasis on those that respond to low level crimes and behavioral health crisis.,3,,
10,0.97,60.293,69.736,This is part of the Council's work to Reimagine community safety and better understand possibilities of Nonarmed responses.,3,,
11,0.97,69.736,84.384,"We have participants from the downtown emergency service mobile crisis team lead, is Seattle police Department's response unit, health one, crisis connections.",3,,
12,0.97,84.384,104.07,We'll hear presentation from the office of emergency management on the all hazards mitigation plan update and then Finally we will hear presentation from the Council's own Council central staff on the criminal legal system realignment work he has been pursuing.,3,,
13,0.97,104.07,109.642,We'll now move to approval of the agenda.,3,,
14,0.97,109.642,115.014,"If there is no objection, today's agenda will be adopted.",3,,
15,0.97,115.014,117.817,"Hearing no objection, today's agenda will be adopted.",3,,
16,0.97,117.817,120.286,We'll be moving into public comment.,3,,
17,0.97,120.286,125.391,I will moderate public comment period so each Speaker is given two minutes to speak.,3,,
18,0.97,125.391,132.799,I will call each Speaker by name and in the order in which they registered on the Council's Website.,3,,
19,0.97,132.799,140.974,"If you have not registered to speak but would like to do so, you can sign up before the end of the public comment hearing by going to the Website.",3,,
20,0.97,140.974,144.544,The link is listed on today's agenda.,3,,
21,0.97,144.544,147.347,"When I call a Speaker's name, you will hear a prompt.",3,,
22,0.97,147.347,158.258,"Once you have heard that prompt, you will need to press Star 6 to Unmute yourself.",3,,
23,0.97,158.258,162.795,"Please begin by speaking, saying your name and the item you are addressing.",3,,
24,0.97,162.795,172.805,"You will hear time when ten seconds are left of the allotted time and once the Speaker hears the Chime, we ask you to begin to wrap up their comments.",3,,
25,0.97,172.805,180.113,"If they do not finish, the Mic will be muted after ten seconds to allow us to hear from the next Speaker.",3,,
26,0.97,180.113,182.448,Once you have completed public comment please Disconnect.,3,,
27,0.97,182.448,191.09,"If you plan to continue following, do so via Seattle channel or listening options listed on the agenda.",3,,
28,0.97,191.09,193.893,There are 15 people signed up for public comment.,3,,
29,0.97,193.893,199.199,"In order to allow as many speakers as possible to speak, there are no objections.",3,,
30,0.97,199.199,208.107,I will suspend rules to allow additional ten minutes for total of 30 minutes of public comment.,3,,
31,0.97,208.107,213.88,"Hearing no objections, public comment has been extended.",3,,
32,0.97,213.88,217.283,We will move right into the speakers.,3,,
33,0.97,217.283,229.929,We will start with Howard Gayle followed by des Chaffon.,3,,
34,0.97,229.929,236.703,Howard.,3,,
35,0.97,236.703,241.407,"Howard, if you have not hit Star 6.",3,,
36,0.97,241.407,243.977,The prompt was late.,4,,
37,0.97,243.977,245.545,Good morning.,4,,
38,0.97,245.545,249.782,First agenda item involves presentation from SPD's crisis response unit.,4,,
39,0.97,249.782,294.46,"Their first Powerpoint States that the crisis response unit's mission is ""to be regarded as invaluable Department resource which safely and appropriately addresses individuals experiencing present or recent behavioral health crisis and Proficiently navigate systems of care to reduce likelihood of harm ."" how did this work for Mike chin, Jackson, Cody, Larry Andrew Flynn, Sam Smith, Michael Taylor, Lyles, Rodriguez, Ryan Smith, Harry Cable and four months ago Derek Hey Den?",4,,
40,0.97,294.46,301.834,"They were suffering behavioral health crisis while holding a knife, piece of metal, or broken bottle.",4,,
41,0.97,301.834,309.642,All were killed by the SPD since oversight of reform in less than nine years.,4,,
42,0.97,309.642,320.92,People have suffered their loved ones' murder and that they were killed in Seattle where independent investigations have been and remain impossible.,4,,
43,0.97,320.92,326.492,They have deemed all lawful and proper or has not completed or attempted investigation into the killing.,4,,
44,0.97,326.492,338.671,"Two weeks ago the state Attorney General announced three police officers had been charged in last year's murder, charges only possible because officials paid attention.",4,,
45,0.97,338.671,340.84,They cared and formed an independent investigation.,4,,
46,0.97,340.84,351.517,These are the things not happening in Seattle and are pure impossible given embrace of the delusion that Seattle has best accountability system in the country.,4,,
47,0.97,351.517,355.488,Today you will discuss another delusion that crisis response units works.,4,,
48,0.97,355.488,366.566,I invite everyone to join to create 100% civilian over sight in investigation of police by going to Seattlestop.Org.,4,,
49,0.97,366.566,371.871,Thank you.,5,,
50,0.97,371.871,380.58,Next Speaker is Dez Chaffon followed by Buana.,5,,
51,0.97,380.58,382.815,Hello city council.,6,,
52,0.97,382.815,387.42,"I am Dez, and I am speaking on Decriminalized nature in Seattle.",6,,
53,0.97,387.42,405.104,I have been working with them as an avid supporter of Decriminalization set on changing Washington State and United States drug policies which have been set in place by the war on drugs.,6,,
54,0.97,405.104,420.553,"Our systems continue to imprison people suffering from a variety of mental health issues and denies access to food, shelter, and Healthcare leading to self soothe with substance abuse.",6,,
55,0.97,420.553,422.755,They are Criminalized for it.,6,,
56,0.97,422.755,431.364,This vicious cycle continues and our society no longer has a place for prohibition laws.,6,,
57,0.97,431.364,453.252,"I urge you Council members to adopt Decriminalize nature Seattle's resolution swiftly to bring healing to the hearts and minds of Seattle citizens and when the momentum moves forward, I hope Decriminalization is available across the state of Washington.",6,,
58,0.97,453.252,454.353,Some things cannot change.,6,,
59,0.97,454.353,456.689,"But until you try, you will never know.",6,,
60,0.97,456.689,459.225,Thank you for your time.,6,,
61,0.97,459.225,462.161,Thank you.,7,,
62,0.97,462.161,471.437,Next is Julie Buana followed by Shamir Toma.,7,,
63,0.97,471.437,471.671,Julie.,7,,
64,0.97,471.671,475.741,Hello.,8,,
65,0.97,475.741,478.444,I am addressing crisis response unit and general public safety.,8,,
66,0.97,478.444,492.925,I am here at the public safety committee because I along with thousands of other protesters that have been protesting police violence in the past year feel unsafe.,8,,
