index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.584,23.156,"Thank you so much, March eighth, 2022 meeting will come to order.",0,,
1,0.97,23.156,27.894,It is 9:32 A.M ..,0,,
2,0.97,27.894,31.197,I am chair Herbold.,0,,
3,0.97,31.197,34.367,Will you please call the role?,0,,
4,0.97,34.367,42.108,Councilmember Mosqueda.,1,,
5,0.97,42.108,42.709,"Present, good morning.",2,,
6,0.97,42.709,43.343,Councilmember Lewis.,3,,
7,0.97,43.343,43.943,Present.,4,,
8,0.97,43.943,44.544,Councilmember Pedersen.,5,,
9,0.97,44.544,45.178,Present.,6,,
10,0.97,45.178,56.289,Vice chair Lewis and chair Herbold.,7,,
11,0.97,56.289,56.756,Here.,8,,
12,0.97,56.756,57.791,That is five present.,9,,
13,0.97,57.791,58.625,Thank you so much.,10,,
14,0.97,58.625,89.722,"For folks I mentioned yesterday in the Council briefings that I had been in touch with Ftd about the officer involved shooting and I did speak with chief Diaz this morning and he did confirm that the Video both from the SPD car cameras and uniform cameras and also some cameras associated with the Federal building, that Video will be released today.",10,,
15,0.97,89.722,98.398,The situation was described to me and I will hold my comment until everyone has a chance to watch that Video.,10,,
16,0.97,98.398,110.51,"On today's agenda, we will hear from the deputy Mayor who will provide an update on the process for a permanent office of police accountability director.",10,,
17,0.97,110.51,118.418,We will also be hearing two police Department grant bills.,10,,
18,0.97,118.418,121.087,The first is a bill that we are intending to vote on today.,10,,
19,0.97,121.087,133.066,It is to accept $1.3 million worth funding to maintain the crimes against task force.,10,,
20,0.97,133.066,143.51,"The second bill, we will have a briefing from SPD on the grants and this is another grant acceptance bill.",10,,
21,0.97,143.51,166.933,I don't believe this bill has been introduced yet but we will have a briefing on it and the grants that the bills except will be related to the security missions and we will receive a second briefing at our next public safety committee meeting on March 22nd.,10,,
22,0.97,166.933,168.768,"At that meeting, I hope to vote on this.",10,,
23,0.97,168.768,184.15,"Finally, the human services Department will present its 2021 race and social justice report, including a look at the accomplishments of 2021 and the 2022 objectives.",10,,
24,0.97,184.15,188.421,We will move into approving our agenda for today's committee meeting.,10,,
25,0.97,188.421,191.09,"If there is no objection, today's agenda will be adopted.",10,,
26,0.97,191.09,196.229,"Hearing no objection, today's agenda is adopted.",10,,
27,0.97,196.229,199.699,Now we will move into public comment for this morning.,10,,
28,0.97,199.699,213.246,"I will moderate public comment in the following manner, you will have two minutes to speak and we will call on each Speaker binding in the order that they have registered on the Website.",10,,
29,0.97,213.246,218.618,"If you have not yet registered to speak but would like to do so, you can still sign up before the end of the public comment.",10,,
30,0.97,218.618,227.76,By going to the Website.,10,,
31,0.97,227.76,237.37,"Once you have heard the prompt, please press Star 6 to Unmute yourself.",10,,
32,0.97,237.37,246.613,"Speakers will hear a time when 10 seconds is left and when you hear it, please wrap up the public comments.",10,,
33,0.97,246.613,261.961,"If you do not end your comments at the end of the time provided, your microphone will be muted in order to allow us to hear from the next Speaker.",10,,
34,0.97,261.961,272.171,"If you plan to continue following the meeting, we welcome you to do so but use the listening options that are listed on today's agenda.",10,,
35,0.97,272.171,282.081,There are four people signed up for public comment and I will call on aims two at a time.,10,,
36,0.97,282.081,283.316,First we have Howard Gail.,10,,
37,0.97,283.316,296.796,Howard will be followed by Castil Hightower.,10,,
38,0.97,296.796,297.463,Good morning.,11,,
39,0.97,297.463,308.274,"The first agenda item is a discussion on the search process for the new OPA director . Yet, it is the Mayor that has complete control over the hiring, evaluation, and firing of the director.",11,,
40,0.97,308.274,326.159,"The last director, despite the long history of corruption--there is a brand-new publication revealing further evidence of corruption and and abuse of office.",11,,
41,0.97,326.159,335.635,"In the 20 years of the OPA existence, we have never had a fair and impartial director.",11,,
42,0.97,335.635,338.371,The Oig director actually does their job and is held accountable.,11,,
43,0.97,338.371,345.244,"The committee has complete control over the hiring, evaluation and firing of the Oig director.",11,,
44,0.97,345.244,360.46,"If the public safety committee will today discuss things that has no control over while continuing to ignore for an astounding seven month, the failures of the director that they have complete control over.",11,,
45,0.97,360.46,386.152,"Given the Whistleblowers, there are at least two Whistleblowers and it is critical for the public safety to protect us from another bad OPA director by immediately initiating an investigation of the current Oig director with public hearings and remove the current director if the allegations are found to have merit.",11,,
46,0.97,386.152,388.287,"Third, initiate the review of the entire police accountability systems.",11,,
47,0.97,388.287,395.828,This was outlined in the report of close to five years ago now and the report was never acted on.,11,,
48,0.97,395.828,400.833,That is better than trying to fix a system that is designed to fail.,11,,
49,0.97,400.833,405.505,We need to have police accountability that provides full community control over police.,11,,
50,0.97,405.505,409.776,Go to Seattle.Org to find out more.,11,,
