index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,12.379,14.481,"Good morning, everyone.",0,,
1,0.97,14.481,15.582,Let's see here.,0,,
2,0.97,15.582,22.889,"Today is November 30th, 2020 and the Council briefing meeting for today will come to order.",0,,
3,0.97,22.889,25.125,The time is 9:31 A.M.,0,,
4,0.97,25.125,45.178,"Colleagues, please be advised that I did receive a message from Council member Theresa Mosqueda advising she is feeling under the weather and will not be able to join us for Council briefing but she does plan to at this point call in for and be present at our full council meeting this afternoon.",0,,
5,0.97,45.178,50.216,With that being said will the clerk please call the roll.,0,,
6,0.97,50.216,52.519,Pedersen.,1,,
7,0.97,52.519,52.819,Here.,2,,
8,0.97,52.819,54.921,Sawant.,3,,
9,0.97,54.921,58.925,Here.,4,,
10,0.97,58.925,59.392,Strauss.,5,,
11,0.97,59.392,62.962,Present.,6,,
12,0.97,62.962,63.73,Herbold.,7,,
13,0.97,63.73,63.963,Juarez.,7,,
14,0.97,63.963,64.864,Here.,8,,
15,0.97,64.864,66.099,Lewis.,9,,
16,0.97,66.099,66.966,Present.,10,,
17,0.97,66.966,68.034,Morales.,11,,
18,0.97,68.034,68.301,Here.,12,,
19,0.97,68.301,73.706,Council President Gonzalez.,13,,
20,0.97,73.706,73.973,Here.,14,,
21,0.97,73.973,75.842,Seven present.,15,,
22,0.97,75.842,77.043,Just really quickly.,16,,
23,0.97,77.043,80.213,I do see that Council member Herbold is with us.,16,,
24,0.97,80.213,84.084,Can you please call for her attendance as well?,16,,
25,0.97,84.084,85.485,Council member Herbold.,17,,
26,0.97,85.485,86.886,Here.,18,,
27,0.97,86.886,87.62,Eight present.,19,,
28,0.97,87.62,89.556,Thank you so much.,20,,
29,0.97,89.556,91.391,"Well good morning, everyone.",20,,
30,0.97,91.391,92.926,Thanks for being here this morning.,20,,
31,0.97,92.926,95.562,We'll go ahead and begin with approval of the minutes.,20,,
32,0.97,95.562,100.867,"If there is no objection the minutes of November 3, 2020 will be adopted.",20,,
33,0.97,100.867,104.27,Hearing no option the minutes are adopted.,20,,
34,0.97,104.27,116.716,"Presidents report, I have a little bit more to report this morning than I usually do and I appreciate an opportunity to do that very quickly before we dig into our first presentation.",20,,
35,0.97,116.716,123.089,Our only presentation of this morning which is a presentation on the 2021 state legislative agenda for the city of Seattle.,20,,
36,0.97,123.089,126.96,"Colleagues, welcome back everyone from our brief holiday break.",20,,
37,0.97,126.96,138.671,I hope that you all had a safe and restful Thanksgiving.,20,,
38,0.97,138.671,150.917,"It's important to acknowledge following a shutdown and back to back budget sessions the Council is finally returning to its normal legislative schedule, although we will continue to execute that schedule remotely.",20,,
39,0.97,150.917,162.262,"I want to congratulate and thank all of the community partners, residents, neighbors, city employees including our legislative Department staff who all contributed to the development of the 2021 budget for the city of Seattle.",20,,
40,0.97,162.262,170.703,We all have a lot to be proud of from what we accomplished for next year's budget but of course we acknowledge and know there is always much more work to be done.,20,,
41,0.97,170.703,178.978,The next three weeks we will be busy with lots of committee meetings and legislative work that will occur before the end of the year.,20,,
42,0.97,178.978,191.858,"As a reminder the city council's annual winter recess will occur from December 21st through January 1ST and there will be no city Council, council briefing or committee meetings during those two weeks.",20,,
43,0.97,191.858,206.039,"After our winter recess the city council will resume its business, including city Council, council briefing and Committee meetings on January 4, 2020.",20,,
44,0.97,206.039,215.014,"On November 20, 2020 the city council received notice from Mayor Durkan that the Telework guidance would be extended until July 5, 2020.",20,,
45,0.97,215.014,232.765,Consistent with that with what our partners at King County have also done so in the next week or so I do intend as Council President to issue a similar directive for the legislative branch that would extend our Telework protocols to be aligned with the extension recently announced by Mayor Durkan.,20,,
46,0.97,232.765,244.377,"With news of a Covid vaccine potentially becoming available in Washington state as early as mid December, it is important to recall we still do not have details about how that will be distributed and who will be Prioritized.",20,,
47,0.97,244.377,251.484,"As a result, the CDC continues and so do other public health officials continue to recommend that office workers work from home.",20,,
48,0.97,251.484,255.521,I will continue to review this Telework guidance as new information becomes available.,20,,
49,0.97,255.521,263.696,"But in the mean time, legislative branch employees should be prepared to continue Telework until July 5, 2021.",20,,
50,0.97,263.696,291.557,"As for the city Council and our essential workers, should the governor's proclamation regarding the open public meetings act be rescinded or should it expire, I wanted to make sure you were all aware that I've been working closely with city clerk and FAS on reviewing and approving physical modifications to Council chambers such as the installation of Plexiglass in the event we would be required to gather in person in the next year.",20,,
51,0.97,291.557,304.437,"We have also been working with our legislative hr director Karen Jackson to develop recommendations for physical changes in maximum occupancy for offices, conference rooms and other gathering spaces.",20,,
52,0.97,304.437,311.11,In addition to guidance for those employees who may need to come in to work as an exception to the Telework rule.,20,,
53,0.97,311.11,316.082,"Again, I want to emphasize that this would be an exception to the Telework guidance.",20,,
54,0.97,316.082,328.061,Any potential in office work would be an exception and I want to emphasize that I still continue to strongly recommend that employees of the legislative Department Telework.,20,,
55,0.97,328.061,333.499,I acknowledge there may be an occasional need for staff to come into City Hall.,20,,
56,0.97,333.499,358.591,"The protocols I've been working with director Jackson on will provide all of us guidance in the hopefully rare instance in which Telework is not possible, coupled, again, with many of the physical changes that are happening both in our internal offices and elsewhere on the second and third floor that I've been working on with our city clerk and with folks over with the assistance of folks over at FAS.",20,,
57,0.97,358.591,360.026,More to come on this topic.,20,,
58,0.97,360.026,389.722,I did want to give you an update on these important issues related to workplace safety in this time of Covid-19 and I hope to be able to provide you all these written materials and guidance some time next week Certainl before we go on recess to make sure that we are all ready for whatever the new year 2021 brings to us.,20,,
59,0.97,389.722,393.025,Thank you so much for your attention on those particular issues.,20,,
60,0.97,393.025,398.064,Happy to take questions or hear comments about my report.,20,,
61,0.97,398.064,398.264,Okay.,20,,
62,0.97,398.264,413.312,"For those of you who might have questions about any of these things, you're always welcome of course to reach out directly to legislative Department hr director Karen Jackson or to our city clerk Monica Martinez- Simmons.",20,,
63,0.97,413.312,417.683,Let's dig into presentation on 2021 state legislative agenda.,20,,
