index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,5.605,11.811,We are recording.,0,,
1,0.97,11.811,20.787,Thank you so much.,1,,
2,0.97,20.787,28.027,"The may 4TH, 2022 meeting of the Seattle city council public access and homelessness committee will come to order.",1,,
3,0.97,28.027,32.799,"It is 2:00 p.m., I'm Andrew Lewis, chair of the committee.",1,,
4,0.97,32.799,36.302,Council President Juarez and Councilmember Mosqueda are excused.,1,,
5,0.97,36.302,39.873,Will the committee clerk please call the roll?,1,,
6,0.97,39.873,50.316,[roll being called],2,,
7,0.97,51.384,55.889,There are three members present.,3,,
8,0.97,55.889,57.957,"If there's no objection, the agenda and will be adopted.",4,,
9,0.97,57.957,59.192,It is adopted.,4,,
10,0.97,59.192,61.461,The chair's report.,4,,
11,0.97,61.461,63.496,Today we have two agenda items.,4,,
12,0.97,63.496,66.099,We have an update from the King County regional homelessness authority.,4,,
13,0.97,66.099,67.233,An updated presentation.,4,,
14,0.97,67.233,78.912,We also have a Rsji report from the Seattle parks and recreation.,4,,
15,0.97,78.912,81.381,"Those are our two agenda items, so let's just dive right into it.",4,,
16,0.97,81.381,83.683,I believe they are here.,4,,
17,0.97,83.683,89.155,I see Marc Dones present and Nigel.,4,,
18,0.97,89.155,91.424,We should be ready to go right after public comment.,4,,
19,0.97,91.424,93.393,Let's move forward to the public comment period.,5,,
20,0.97,93.393,94.961,I will moderate.,5,,
21,0.97,94.961,100.366,Each Speaker will be given one minute to speak.,5,,
22,0.97,100.366,104.971,I will call on each Speaker by name and in the order in which they registered on the Council Website.,5,,
23,0.97,104.971,118.051,Staff will Unmute the appropriate microphone and then an automatic prompt of you will be a muted will be the speakers Q. the Speaker must press Star six to begin speaking.,5,,
24,0.97,118.051,120.787,Please begin speaking by stating your name at the item you're addressing.,5,,
25,0.97,120.787,125.925,Speakers will hear a time when 10 seconds I left of the allotted time.,5,,
26,0.97,125.925,130.363,"What you hear that, we ask that you begin to wrap up your public comment.",5,,
27,0.97,130.363,139.772,"The public comment period is now open and we will begin with the first Speaker on the list, Mr. clerk, will you please moderate the public comment session?",5,,
28,0.97,139.772,147.347,"Chair, there is one member of the public who is signed up for comment.",6,,
29,0.97,147.347,150.216,He is not present.,6,,
30,0.97,150.216,158.191,"David, if you're wanting to comment, you should call in now.",6,,
31,0.97,158.191,166.399,"Given that we have only one registered Speaker, and that Speaker is not present, Mr.",7,,
32,0.97,166.399,171.437,"Haynes, sorry to have missed you this afternoon.",7,,
33,0.97,171.437,185.818,You may submit written commentary on today's council meeting and my office will distribute it to other Council colleagues.,7,,
34,0.97,185.818,197.83,"Now that the public comment period, so I will formally end the formal period we only have one registered Speaker who is not present and move on to items of business.",8,,
35,0.97,197.83,201.0,"Mr. clerk, will you please read item 1 into the record?",9,,
36,0.97,201.0,205.405,"Item 1, King County regional homelessness authority update.",10,,
37,0.97,205.405,207.907,Thank you so much.,11,,
38,0.97,207.907,213.947,We are now joined by our partners at the King County regional homelessness authority.,11,,
39,0.97,213.947,218.918,"Marc, why don't I handed over to you and you can introduce any other Presenters that might be with you.",11,,
40,0.97,218.918,221.187,It is good to have you here this afternoon.,11,,
41,0.97,221.187,224.357,"Thank you for having me, Mr.",12,,
42,0.97,224.357,228.895,Chair.,12,,
43,0.97,228.895,229.729,Thanks for the committee.,12,,
44,0.97,229.729,234.901,"I know you graciously appeared us to step off the previous schedule so we could do something more comprehensive, and I really appreciate it.",12,,
