index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.346,15.115,Thank you.,0,,
1,0.97,15.115,15.715,Good afternoon.,0,,
2,0.97,15.715,19.919,Welcome to the Seattle city council meeting.,0,,
3,0.97,19.919,21.187,It is 2:01.,0,,
4,0.97,21.187,25.392,My name is Debra Juarez.,0,,
5,0.97,25.392,27.494,"Madame clerk, please call the role.",0,,
6,0.97,27.494,28.228,Councilmember Sawant.,1,,
7,0.97,28.228,29.195,Present.,2,,
8,0.97,29.195,30.597,Councilmember Strauss.,3,,
9,0.97,30.597,31.998,Present.,4,,
10,0.97,31.998,35.068,Councilmember Herbold.,5,,
11,0.97,35.068,36.202,Councilmember Lewis.,5,,
12,0.97,36.202,37.804,Present.,6,,
13,0.97,37.804,38.972,Councilmember Morales.,7,,
14,0.97,38.972,40.24,Here.,8,,
15,0.97,40.24,42.208,Councilmember Nelson.,9,,
16,0.97,42.208,44.344,Present.,10,,
17,0.97,44.344,46.579,Councilmember Pedersen.,11,,
18,0.97,46.579,49.816,Present.,12,,
19,0.97,49.816,51.684,And Council President Juarez.,13,,
20,0.97,51.684,52.485,Here.,14,,
21,0.97,52.485,53.553,Seven present.,15,,
22,0.97,53.553,54.621,Thank you.,16,,
23,0.97,54.621,59.426,"Moving on to our agenda, presentations I'm aware of no presentations today.",16,,
24,0.97,59.426,61.361,Moving on to public comment.,16,,
25,0.97,61.361,67.133,"My understanding Madame clerk, please correct me if I'm wrong we have 34 remote callers.",16,,
26,0.97,67.133,69.869,"And 10 individuals in chambers, correct?",16,,
27,0.97,69.869,73.139,I believe the In-Person has increased to 12.,17,,
28,0.97,73.139,76.609,"I will confirm when we get to that point, Council President.",17,,
29,0.97,76.609,81.681,"Okay, thank you, that being said, each Speaker will have one minute.",18,,
30,0.97,81.681,85.485,And we will allocate 45 minutes to public comment.,18,,
31,0.97,85.485,89.289,"Colleagues, we will open the hybrid public comment period.",18,,
32,0.97,89.289,97.23,For the hybrid public comment period the remote speakers will be heard first and followed by In-Person speakers attending in Council chambers.,18,,
33,0.97,97.23,106.706,"And with that, Madame clerk, I'm going to hand it over to you for the recording and instructions.",18,,
34,0.97,106.706,107.774,"Hello, Seattle.",19,,
35,0.97,107.774,111.511,We are the city of flowers and the city of goodwill.,19,,
36,0.97,111.511,117.25,Built on indigenous land.,19,,
37,0.97,117.25,122.789,The Seattle city council WELCOMES remote public comment and is eager to hear from residents of our city.,19,,
38,0.97,122.789,133.633,"If you would like to be a Speaker and provide a verbal public comment, you may register two hours prior to the meeting via the Seattle city council Website.",19,,
39,0.97,133.633,136.002,Here's some information about the public comment proceedings.,19,,
40,0.97,136.002,141.608,Speakers are called upon in the order in which they registered on the Council's Website.,19,,
41,0.97,141.608,151.618,Each Speaker must call in from the phone number provided when they registered Online and used the meeting Id and pass code that was Emailed upon confirmation.,19,,
42,0.97,151.618,158.925,"If you did not receive an Email confirmation, please check your Spam or junk mail folders.",19,,
43,0.97,158.925,167.333,"A reminder, the Speaker meeting Id is different from the general listen line meeting Id provided on the agenda.",19,,
44,0.97,167.333,177.71,"Once the Speaker's name is called, the Speaker's microphone will be Unmuted and an automatic prompt will say the host would like you to Unmute your microphone.",19,,
45,0.97,177.71,180.58,That is your Cue that it's your turn to speak.,19,,
46,0.97,180.58,187.287,"At that time, you must press Star 6. you will then hear a prompt of you are Unmuted.",19,,
47,0.97,187.287,192.392,Be sure your phone is Unmuted on your end so that you will be heard.,19,,
48,0.97,192.392,202.702,"As a Speaker, you should begin by stating your name and the item that you are addressing, a Chime will sound when ten seconds are left in your allotted time.",19,,
49,0.97,202.702,206.739,As a gentle reminder to wrap up your public comment.,19,,
50,0.97,206.739,213.313,"At the end of the allotted time, your microphone will be muted and the next Speaker registered will be called.",19,,
51,0.97,213.313,227.16,"Once speakers have completed providing public comment, please Disconnect from the public comment line and join us by following the meeting via Seattle channel broadcast or through the listening line option listed on the agenda.",19,,
52,0.97,227.16,240.306,The Council reserves the right to eliminate public comment if the system is being abused or if the process Impedes the Council's ability to conduct its business on behalf of residents of the city.,19,,
53,0.97,240.306,253.286,Any offensive language that is disruptive to these proceedings or that is not focused on an appropriate topic as specified in Council rules may lead to the Speaker being muted by the Presiding officer.,19,,
54,0.97,253.286,263.496,Our hope is to provide an opportunity for productive discussions that will assist our orderly consideration of issues before the Council.,19,,
55,0.97,263.496,265.031,The public comment period is now open.,19,,
56,0.97,265.031,268.868,And we will begin with the first Speaker on the list.,19,,
