index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,11.244,11.978,We are recording.,0,,
1,0.97,11.978,18.284,Thank you.,1,,
2,0.97,18.284,19.586,Good morning.,2,,
3,0.97,19.586,25.759,"The May 12, 2021 meeting of the land was a neighborhoods committee will come to order.",2,,
4,0.97,25.759,27.826999999999998,"It's 9:32 and I am Dan Strauss, chairman of the committee.",2,,
5,0.97,27.826999999999998,32.699,Councilmember Pedersen?,3,,
6,0.97,32.699,32.966,Here.,4,,
7,0.97,32.966,37.871,Councilmember Juarez?,5,,
8,0.97,37.871,38.138,Here.,6,,
9,0.97,38.138,38.705,Councilmember Mosqueda?,7,,
10,0.97,38.705,39.406,Present.,8,,
11,0.97,39.406,41.141,Chair Strauss?,9,,
12,0.97,41.141,44.344,Present.,10,,
13,0.97,44.344,48.982,The land was the neighborhoods committee of the city of Seattle starts with the land acknowledgment.,11,,
14,0.97,48.982,57.157,We are land use committee and this is not a checklist nor should it be a behavior and does not give us passport or permission to proceed.,11,,
15,0.97,57.157,66.366,We desire that this is a reminder that we must Steward our work in this committee as guests.,11,,
16,0.97,66.366,74.641,"Our time here on the committee, and the government, and life is short.",11,,
17,0.97,74.641,90.59,"The land use and neighborhoods committee of the city of Seattle begins by acknowledging we are on the traditional land and ancestral land of the first people of this region, past and present, represented in a number of tribes and as urban natives.",11,,
18,0.97,90.59,93.393,"Honor with gratitude, the land and the people of this land.",11,,
19,0.97,93.393,103.369,"We start with this acknowledgment to recognize the fact that we are guests and should Steward our land as such, as gifts.",11,,
20,0.97,103.369,104.437,We are on indigenous land and we want it back.,12,,
21,0.97,104.437,110.81,I thought I would add that.,12,,
22,0.97,110.81,113.012,"A welcome addition and thank you, Councilmember.",13,,
23,0.97,113.012,113.78,We have four items on the agenda.,13,,
24,0.97,113.78,144.043,"A grieving discussion on the extension of the street Cafc and sidewalk Cafc permits as currently are permitted and a briefing and discussion of proposed land use to preserve mobile home parks, briefing discussion and vote on Constable 120067, a grand for Department of neighborhoods outreach and Debriefing a discussion on proposed updates to the technical codes.",13,,
25,0.97,144.043,157.223,"The next meeting of the land use neighborhoods committee will be Wednesday, may 26 and 9:30 and before we begin, if no objection, the agenda will be adopted.",13,,
26,0.97,157.223,162.428,"Hearing no objections, the agenda is adopted and we will open the remote public comment.",13,,
27,0.97,162.428,172.839,"For the items on today's agenda and before we begin, I ask that everyone please be patient as we learn to optimize the system in real time.",13,,
28,0.97,172.839,193.193,Remains are strong intent to a public comment regularly included but the city council reserves the right to end or limit these common periods at any point if we deem the system is abused or is unsuitable for allowing the meetings to be conducted efficiently and in a manner in which we are able to conduct necessary business.,13,,
29,0.97,193.193,196.462,I will moderate the comment period in the following manner.,13,,
30,0.97,196.462,206.573,The time is 10 minutes and each Speaker will be given two minutes to speak and I will call on each Speaker by name and in the order they registered on the Council Website.,13,,
31,0.97,206.573,211.611,"If you haven't registered, sign up before the end of public comment by going to the Council Website.",13,,
32,0.97,211.611,223.957,"The link is also listed on the agenda and when I call on the Speaker, staff will Unmute the appropriate microphone and it will be their turn to speak.",13,,
33,0.97,223.957,228.828,"At that point, the Speaker must press Star six, not pound six, Star six.",13,,
34,0.97,228.828,236.002,Begin by stating your name and the item in which you are addressing and the speakers will hear a time when 10 seconds are left.,13,,
35,0.97,236.002,249.816,"When they hear the Chime, please begin to wrap up your public comments . If speakers do not end at the allotted time, the microphone will be muted after 10 seconds to allow us to proceed to the next Speaker.",13,,
36,0.97,249.816,261.594,"When you complete your public comment, Disconnect from the line and if you plan to follow the meeting, please do so via this Seattle channel or the listening options on the agenda.",13,,
37,0.97,261.594,264.03,The public comment period is now open and we begin with the first speaker.,13,,
38,0.97,264.03,274.574,We have three people signed up.,13,,
39,0.97,275.541,275.908,All are present.,13,,
40,0.97,275.908,280.48,"Good morning, Ray, you are up first.",13,,
41,0.97,280.48,280.98,Hang on just a second.,13,,
