index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,6.006,8.775,Good morning everyone.,0,,
1,0.97,8.775,13.38,Thank you for joining the Seattle city council budget committee.,0,,
2,0.97,13.38,19.753,"Today is November 18th, and the time is 9:31.",0,,
3,0.97,19.753,22.489,I am the chair of the budget committee.,0,,
4,0.97,22.489,25.792,With a clerk please call the role?,0,,
5,0.97,25.792,27.861,Lewis.,1,,
6,0.97,27.861,28.795,Present.,2,,
7,0.97,28.795,31.498,Morales.,3,,
8,0.97,31.498,33.099,Here.,4,,
9,0.97,33.099,34.1,Pedersen.,5,,
10,0.97,34.1,35.101,Here.,6,,
11,0.97,35.101,38.405,Sawant.,7,,
12,0.97,38.405,38.805,Here.,8,,
13,0.97,38.805,41.007,Strauss.,9,,
14,0.97,41.007,41.307,Present.,10,,
15,0.97,41.307,44.21,Gonzalez.,11,,
16,0.97,44.21,45.512,Here.,12,,
17,0.97,45.512,49.816,Herbold.,13,,
18,0.97,49.816,50.216,Juarez.,14,,
19,0.97,50.216,55.889,Here.,15,,
20,0.97,55.889,56.923,--,16,,
21,0.97,56.923,58.691,Present.,17,,
22,0.97,58.691,61.194,Eight present.,18,,
23,0.97,61.194,67.834,We expect all of our Council members to be joining us.,19,,
24,0.97,67.834,71.137,"As we see Herbold join us, we will Notate her attendance.",19,,
25,0.97,71.137,75.208,We have a long agenda.,19,,
26,0.97,75.208,76.009,It spans two days.,19,,
27,0.97,76.009,84.751,"If you see the agenda is probably going to be recessed, then we will continue on Thursday, November 19.",19,,
28,0.97,84.751,93.86,"I want to make sure that folks understand we will definitely have the one hour break between 1:00 and 2:00 p.m., and today we will adjourn by 5:00 P.M.",19,,
29,0.97,93.86,96.329,Because we can continue the conversation as well tomorrow.,19,,
30,0.97,96.329,99.099,I would like to adopt the agenda.,19,,
31,0.97,99.099,104.037,Is there a second?,19,,
32,0.97,104.037,104.471,Second.,20,,
33,0.97,104.471,105.038,Thank you.,21,,
34,0.97,105.038,109.075,It has been moved and Seconded to adopt the agenda.,21,,
35,0.97,109.075,115.782,"Folks, today's agenda is an opportunity for Council members to move to amend any items on the agenda that you see, a long list of items here.",21,,
36,0.97,115.782,122.689,"We do not have to amend today's agenda for any new, for any substitute items.",21,,
37,0.97,122.689,132.699,"To further verify, amendments that are not substitutes, to an item already on the agenda, do not need to be added as an amendment to the agenda.",21,,
38,0.97,132.699,135.101,That item is already there.,21,,
39,0.97,135.101,142.408,"Only new budget proposals that are not on the agenda and are added at this point, would BYU would amend the agenda.",21,,
40,0.97,142.408,151.518,"It is my understanding that while there are proposed changes to items on the agenda, for substitute items, these are not new items.",21,,
41,0.97,151.518,165.932,"And given that they are substitute proposals for items already on the agenda for consideration, I am not aware of any item that would be needed to be added to the agenda, and therefore amending our agenda this morning.",21,,
42,0.97,165.932,171.237,"If that is correct and there is no item to be added to our agenda today, I am going to ask that our agenda be adopted.",21,,
43,0.97,171.237,177.143,"If there is no objective, the agenda will be adopted.",21,,
44,0.97,177.143,179.746,"Hearing no objection, the agenda is adopted.",21,,
45,0.97,179.746,184.25,Thank you is a member Herbold for joining us.,21,,
46,0.97,184.25,187.72,We are just getting started and I wanted to know your presence for the record.,21,,
47,0.97,187.72,188.521,To I very much.,21,,
48,0.97,188.521,188.955,Good morning.,21,,
49,0.97,188.955,194.027,"I want to say first, to everyone who has called in, written us, testified.",21,,
50,0.97,194.027,197.497,We have had almost 13 hours of public comment just this fall alone.,21,,
51,0.97,197.497,206.139,"We set out to have an inclusive process that centers this budget, the revised budget on the needs of Seattleites.",21,,
52,0.97,206.139,221.321,"We have Unpacked the Mayor's proposed budget, engage with constituents and experts of various fields, including Warding off austerity budgeting and preparing ourselves for the worst case scenario due to Covid-19 on the economic crisis.",21,,
53,0.97,221.321,229.963,The proposed budget in front of us truly reflects all of the Council's input.,21,,
54,0.97,229.963,239.105,"And I hope that that reflects our values as we wrap up our deliberations today, tomorrow, and Monday.",21,,
55,0.97,239.105,249.882,"We want to thank again the incredible central staff team who as we have said has been working around the clock, over the weekends, the communication team as well who have been breaking down the budget folks can understand the budget and the general public have a sense of where we are at.",21,,
56,0.97,249.882,251.651,Especially important as we work remotely.,21,,
57,0.97,251.651,253.319,Thanks again to the I.T.,21,,
58,0.97,253.319,261.427,"Team, the folks in the clerk's office, Seattle Channel, and everybody in the legislative Department who has made all the deliberations Popsicle.",21,,
59,0.97,261.427,261.828,-- possible.,21,,
60,0.97,261.828,267.133,In New year is doing the budget easy but this year was tougher than most.,21,,
61,0.97,267.133,281.347,"We had multiple compounding crises, the economic downturn, housing crisis, homelessness state of emergency, civil rights reckoning and public health crisis, all at the same time dealing with a national Federal election.",21,,
62,0.97,281.347,287.253,And the chaos that was sown by misinformation coming from the Trump administration.,21,,
63,0.97,287.253,299.065,In addition to very little support given the divided Congress and we appreciate all of our congressional members that fought to make sure there was Covid-19 relief.,21,,
64,0.97,299.065,302.869,We will continue to work with those Federal partners and look forward to working with the new administration.,21,,
65,0.97,302.869,325.858,"Colleagues, if you did not see the column this morning, he really applauded Seattle city council for stepping up and leading the effort to make sure Úthat we past the Jumpstart progressive payroll tax to help hundreds of workers, small businesses, I should say hundreds of thousands, of small businesses, and workers, provide transportation, assistance, provide assistance to immigrants and refugees.",21,,
66,0.97,325.858,332.298,And most importantly ensure that folks stay housed and the homeless neighbors have support.,21,,
67,0.97,332.298,336.602,"Without the Jumpstart Seattle package, to put it mildly, he would have been more in a world of hurt.",21,,
68,0.97,336.602,344.51,"Thank goodness that we did pass that because this budget, in part, balances because we have Rogressive revenue we can rely on.",21,,
69,0.97,344.51,350.216,"We had a slight Uptick in the revenue forecast, but that is not the only thing that saved us.",21,,
70,0.97,350.216,363.83,"All of you have to Prioritize investments, directly into the communities, while we also rebuild the Reserve from $3 million, in the proposed budget, to now, $40 million.",21,,
71,0.97,363.83,365.231,Just under $40 million.,21,,
72,0.97,365.231,369.736,This is a huge note of I think accomplishment.,21,,
73,0.97,369.736,371.337,But also not enough.,21,,
74,0.97,371.337,391.457,"We will continue to work to make sure that there is additional assistance, to make ure that those who are now having to shatter their businesses again because of the third wave of Covid-19, and workers across the city and small businesses get the support that they need, in addition to our most vulnerable, our seniors, and our folks not able to work.",21,,
75,0.97,391.457,395.728,We want to make sure that they have assistance.,21,,
76,0.97,395.728,398.765,It is no surprise that our city is facing compounding crises at the same time.,21,,
77,0.97,398.765,405.071,I want to make sure that folks know that we are continuing to respond to the crisis through the budget.,21,,
78,0.97,405.071,410.943,We have stepped up and made sure that this is an Anti- austerity budget.,21,,
79,0.97,410.943,421.254,"What we have in front of us indicates in massive investments in homeless support, community oriented solutions, to alternatives to policing.",21,,
80,0.97,421.254,427.193,"And yes, I know there is more to do, let's be clear, this is not an austerity budget.",21,,
81,0.97,427.193,432.165,It is centered on the principles that we have set out to a compass.,21,,
82,0.97,432.165,441.507,"Economic recovery, economy, more support for Seattleites to be healthy, housed, and saved.",21,,
83,0.97,441.507,444.21,-- safe.,21,,
84,0.97,444.21,451.884,This is what makes our city run and we want to protect those that help make these services possible.,21,,
85,0.97,451.884,459.125,This budget follows the data that shows we cannot cut our way out of a recession.,21,,
86,0.97,459.125,462.128,We cannot eliminate positions in programs because that only prolongs economic hurt.,21,,
87,0.97,462.128,466.699,And worsens the outcome for private businesses and our residents as a whole.,21,,
88,0.97,466.699,495.261,"This budget, in conclusion, with the inclusion of all of the amendments that you have continue to propose, and the amendments that we will discuss today, invest heavily in stopping the spread of Covid- 19, working to ensure small businesses have what they can to survive and helping workers by making sure that they have access to transit and ensuring neighbors do not fall deeper into housing and security are homelessness.",21,,
