index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,18.718,19.152,Good morning everyone.,0,,
1,0.97,19.152,28.962,"The August 16, 2021 council meeting will now come to order.",0,,
2,0.97,28.962,31.598,Council member Mosqueda.,1,,
3,0.97,31.598,34.067,Present.,2,,
4,0.97,34.067,34.868,Thank you.,3,,
5,0.97,34.868,37.504,Council member Pedersen.,3,,
6,0.97,37.504,38.371,Present.,4,,
7,0.97,38.371,43.643,Council member Strauss.,5,,
8,0.97,43.643,43.943,Present.,6,,
9,0.97,43.943,44.477,Council member Herbold.,7,,
10,0.97,44.477,48.214,Council member Juarez.,7,,
11,0.97,48.214,48.948,Here.,8,,
12,0.97,48.948,51.184,Council member Lewis.,9,,
13,0.97,51.184,51.851,Here.,10,,
14,0.97,51.851,54.087,Council President Gonzalez.,11,,
15,0.97,54.087,54.32,Here.,12,,
16,0.97,54.32,54.687,Six present.,13,,
17,0.97,54.687,60.06,I see Council member Herbold is connecting.,14,,
18,0.97,60.06,64.431,So we will give letter a minute.,14,,
19,0.97,64.431,70.57,Lets move to approval of the minutes.,14,,
20,0.97,70.57,73.373,Hearing no objection the minutes are adopted.,14,,
21,0.97,73.373,92.325,"Presidents report I do have a few announcements this morning and reminders as part of the down President's report, first I want to issue a public reminder the city council will be on recess from Monday August 23, through Monday September 6th.",14,,
22,0.97,92.325,104.037,The city Skoun Council will be on its recess.,14,,
23,0.97,104.037,117.016,In addition the Council briefing and city council meetings on Tuesday September 7th have been cancelled in observance.,14,,
24,0.97,117.016,120.753,The next city council meeting after today will occur on Monday September 13th.,14,,
25,0.97,120.753,127.393,I do want to have the record reflect we have been joined by Council member Herbold.,14,,
26,0.97,127.393,138.037,Next I know you will hear more about this from budget chair Mosqueda who will speak to--during her Committee report.,14,,
27,0.97,138.037,157.19,I wanted to acknowledge the communication she sent to you on Friday.,14,,
28,0.97,157.19,184.15,"Next I also wanted to acknowledge communication I sent to all of you Council members and all employees of the legislative Department last Wednesday in which I announced the Department is following the lead of the governor, County, executive and Mayor to require all employees to be fully Vaccinated by October 18th of this year.",14,,
29,0.97,184.15,212.712,Additional information including for--[Indiscernible] if any employees have any questions relating to the vaccination requirement please review the materials I sent on Wednesday and or you can contact our hr Finance director Karen Jackson.,14,,
30,0.97,212.712,237.904,"Then Lastly colleagues I wanted to take a moment to acknowledge the heavy news of what is happening in Afghanistan with many, many individuals now seeking refuge and escape for as Afghanistan is being taken over.",14,,
31,0.97,237.904,255.254,We continue to send our thoughts to our local family members here who may have relatives who are still in Afghanistan who are dealing with this massive humanitarian crisis in Afghanistan.,14,,
32,0.97,255.254,267.467,Our thoughts are with--everyone who is dealing with the trauma of once again seeing families being displaced from this country as a result of war.,14,,
33,0.97,267.467,284.784,We are also in my office reaching out to members of our delegation including Congressman and Senator and Cantwell to making sure they hear from them.,14,,
34,0.97,284.784,296.996,Thank you all for an opportunity to mention and lift up the trauma and suffering we know folks in Afghanistan and their families here locally are experiencing.,14,,
35,0.97,296.996,304.303,With that being said we can go ahead and move now to the preview of today's city council actions.,14,,
36,0.97,304.303,308.975,We will begin that discussion with the usual role call rotation.,14,,
37,0.97,308.975,315.882,We will begin with Council member Mosqueda.,14,,
38,0.97,315.882,322.355,All right.,14,,
39,0.97,322.355,326.025,Just a reminder Council member Morales and Sawant are both excused today.,14,,
40,0.97,326.025,330.663,That is why we have an abbreviated list.,14,,
41,0.97,330.663,334.6,"Council member Mosqueda, you are up first.",14,,
42,0.97,334.6,336.569,Thank you very much.,15,,
43,0.97,336.569,337.103,Good morning colleagues.,15,,
44,0.97,337.103,342.308,There are no items from the Finance and housing committee ton day's full council agenda.,15,,
45,0.97,342.308,345.745,Our next Finance and housing commit Kwli be on August 17th.,15,,
46,0.97,345.745,352.852,That is tomorrow on 9:30 A.M.,15,,
47,0.97,352.852,355.421,We do have a packed agenda again.,15,,
48,0.97,355.421,357.557,We will be sure to adjourn by 1:00 P.M.,15,,
49,0.97,357.557,363.696,For processing and the needs to make sure we are getting ready for over items on tomorrow's agenda with our clerks and our it crew.,15,,
50,0.97,363.696,367.066,We will have a hard stop at 1:00.,15,,
51,0.97,367.066,379.512,"This includes three appointments to the community roots housing briefing on the revenue forecast from the city budget's office, a possible vote and the legislation.",15,,
52,0.97,379.512,385.084,Thank you very much for submitting your amendments by last Wednesday.,15,,
53,0.97,385.084,395.428,They understand there may be a few additional amendments in the work so we will seek to publish as much as possible by midday today.,15,,
54,0.97,395.428,402.435,There will be a possible vote on the midyear acceptance legislation.,15,,
55,0.97,402.435,406.005,We will also have three briefings.,15,,
56,0.97,406.005,424.824,"A briefing on the Mfte, annual report, a briefing and possible vote on the authorization of a new lease from the port of Seattle land to continue to expand the use of lands for tiny House villages located in inner Bay.",15,,
57,0.97,424.824,433.699,As a reminder all colleagues are welcomed to attend committee meeting to discuss items related to the budget.,15,,
58,0.97,433.699,444.143,Please let them know--let her know if you plan to attend so we can make sure you have all of the materials and we can acknowledge your presence in the media as well.,15,,
59,0.97,444.143,456.055,Since we don't have another Council briefing I would like to remind everybody the next meeting is September 10th.,15,,
60,0.97,456.055,458.891,The following meeting for September is scheduled for the 17th.,15,,
61,0.97,458.891,460.193,That is both Friday meetings.,15,,
62,0.97,460.193,466.199,Both of them start at 930 A.M.,15,,
63,0.97,466.199,474.974,Before the weekend I shared with you a Summery E-mail regarding the budget calendar for the select budget committee starting later in September.,15,,
64,0.97,474.974,485.585,This begins our budget deliberations on the 2022 budget.,15,,
65,0.97,485.585,507.84,After a Recessly be sending out another communication to the floor to express the process for how this year's budge let be conducted.,15,,
66,0.97,507.84,522.822,Please make sure to add all of the dates that have been scheduled and sent to you on that E-mail to your calendar and my office will also be seeking to send Udall Ender holds so all of those items are on your calendar.,15,,
67,0.97,522.822,535.835,Just as a reminder we expect to receive the Mayor's proposed budget on Monday September 27th.,15,,
68,0.97,535.835,546.078,We do have three public hearings scheduled in this year's 2022 budget deliberations which begin with two evening presentations.,15,,
69,0.97,546.078,551.851,Excuse me two evening public hearings on October 12th and November 10th.,15,,
70,0.97,551.851,554.487,Those both start at 5:30 in the evening.,15,,
71,0.97,554.487,562.728,We also will have a chance for a morning public hearing on November 18th that will be an extended public hearing comment to at least an hour and a half.,15,,
72,0.97,562.728,569.602,Additionally each of the committee meetings you see ton calendar that were shared will start with 30 minutes of public comment every meeting.,15,,
