index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,11.544,12.245,You can begin now.,0,,
1,0.97,12.245,24.257,Thank you . welcome . today is October 18th . the time is to: 01. the city council will com to order . I'm Debora Juarez.,1,,
2,0.97,24.257,27.093,"Madame clerk, will you please call the road?",1,,
3,0.97,27.093,27.761,Councilmember Pedersen?,2,,
4,0.97,27.761,29.362,Present.,3,,
5,0.97,29.362,30.03,Councilmember Sawant?,4,,
6,0.97,30.03,31.631,Resident,5,,
7,0.97,31.631,32.232,Councilmember Strauss?,6,,
8,0.97,32.232,33.867,Present,7,,
9,0.97,33.867,37.504,Councilmember Herbold?,8,,
10,0.97,37.504,38.138,Councilmember Lewis?,9,,
11,0.97,38.138,39.572,Present,10,,
12,0.97,39.572,42.575,Councilmember Morales?,11,,
13,0.97,42.575,44.177,Councilmember Mosqueda?,12,,
14,0.97,44.177,46.679,Present,13,,
15,0.97,46.679,48.048,Councilmember Nelson?,14,,
16,0.97,48.048,50.683,President,15,,
17,0.97,50.683,51.317,President Juarez?,16,,
18,0.97,51.317,53.153,Present.,17,,
19,0.97,53.153,57.19,Seven present.,18,,
20,0.97,57.19,58.024,I'm here too.,19,,
21,0.97,58.024,59.459,"Hi, council member Herbold here.",20,,
22,0.97,59.459,60.326,Eight present.,21,,
23,0.97,60.326,68.768,"Good . Thank you . Okay, so moving on in our agenda, we Hav no presentations for today.",22,,
24,0.97,68.768,80.814,"Moving on to public comment, as you know, colleagues, we will D the hybrid public comment period . today, we have three remote speakers and three in person speakers, correct, Madam clerk?",22,,
25,0.97,80.814,81.548,That is correct.,23,,
26,0.97,81.548,96.496,"Okay . We're going to start with the in person speakers today, and each Speaker will have two minutes, and, Madame clerk, I'm going to hand it off to you to do the recording for the directions, and we'll go from there . Thank you.",24,,
27,0.97,96.496,98.698,"Thank you . hello, Seattle.",25,,
28,0.97,98.698,144.043,"We are the Emerald city, the city of flowers and the city of goodwill, built on indigenous land, the traditional Territor of the status peoples . The Seattle city council WELCOMES remote public comment, and is eager to hear from residents of our city . If you would like to be a Speaker and provide a verbal public comment, you may register two hours prior to the meeting via the Seattle city council Website . Here's some information about the public comment proceedings . speakers are called upon in the order in which they registered on the Zelenskyy Website . Each Speake must call in from the phone number provided when they registered Online and used the meeting I.D . and Passcode that was Emailed upon confirmation.",25,,
29,0.97,144.043,159.526,"If you did not receive an Emai confirmation, please check your Spam or junk mail folders . A reminder: the Speaker meeting I.D . is different from the general listen line meeting I.D . provided on the agenda.",25,,
30,0.97,159.526,173.139,"Once a Speaker's name is called, the Speaker's microphone wil be on muted, and an automatic prompt will say, the host Woul like you to Unmute your microphone . that is your Cue that it's your turn to speak.",25,,
31,0.97,173.139,179.913,"At that time, you must press Star six . You will then hear a prompt of, you are on muted.",25,,
32,0.97,179.913,219.185,"Be sure your phone is on muted on your end so that you will be heard . as a Speaker, you Shoul begin by stating your name and the item that you are Addressin . A Chime will sound the 110 seconds are left in your allotted time . as a gentle reminder to wrap up your Publi comment . at the end of the allotted time, your microphone will be muted, and the next Speaker registered will be called . Once speakers have completed providing public comment, please Disconnect fro the public comment line, and join us by following the Meetin via Seattle channel broadcast or through the listening line option listed on the agenda.",25,,
33,0.97,219.185,254.921,The Council reserves the right to eliminate public comment if the system is being abused or if the process Impedes the Council's ability to conduct its business on behalf of residents of the city . any offensive language that is disruptive to these proceedings or that is not focused on an appropriate topic as specified in Council rules may lead to the Speaker being muted by the Presiding officer . Our hope is to provide an opportunity for productive discussion that wil assist our orderly Consideratio of issues before the Council.,25,,
34,0.97,254.921,270.737,"The public comment period is now open . and we will begin with the first Speaker on the list . please remember to press Star six after you hear the prompt of, you have been on muted . Thank you, Seattle.",25,,
35,0.97,270.737,272.739,"Thank you, Sharon.",26,,
