index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,19.819,21.588,Are we ready?,0,,
1,0.97,21.588,23.323,"Already, great, thank you.",0,,
2,0.97,23.323,32.098,"The July 12th, 2022 meeting of the public safety and human services committee will come to order.",0,,
3,0.97,32.098,32.832,It is 9:33 A.M.,0,,
4,0.97,32.832,34.868,I'm Lisa Herbold.,0,,
5,0.97,34.868,42.642,Will the clerk please call the roll?,0,,
6,0.97,42.642,43.476,Councilmember Mosqueda.,1,,
7,0.97,43.476,44.778,Present.,2,,
8,0.97,44.778,45.311,Councilmember Nelson.,3,,
9,0.97,45.311,47.947,Councilmember Pedersen.,3,,
10,0.97,47.947,48.515,Present.,4,,
11,0.97,48.515,50.049,Chair Herbold.,5,,
12,0.97,50.049,50.383,Present.,6,,
13,0.97,50.383,52.218,We have four present.,7,,
14,0.97,52.218,58.558,"Thank you so much, Councilmember Nelson is excused for the first part of the meeting.",8,,
15,0.97,58.558,64.364,"On today's agenda, we'll hear four items, the first is regarding investigations of the chief of police.",8,,
16,0.97,64.364,84.884,The intent in this committee meet something to vote the bill out of committee before considering a substitute version that central staff has prepared to make minor text actual textual Edits.,8,,
17,0.97,84.884,87.587,We did vote in the last committee meeting.,8,,
18,0.97,87.587,94.527,"This one is also a substitute, rather than going the amendment route.",8,,
19,0.97,94.527,98.431,"Again, some very minor changes in this one.",8,,
20,0.97,98.431,101.701,We'll be hearing the police Department race and social justice report.,8,,
21,0.97,101.701,110.777,"We'll be receiving an overview of the youth leadership intervention and change program, otherwise known as Linc.",8,,
22,0.97,110.777,119.919,And finally hearing from King County public health report on the King County regional approach to gun violence.,8,,
23,0.97,119.919,124.757,We'll now approve our agenda from committee meeting.,8,,
24,0.97,124.757,130.997,"If there is no objection, today's agenda meeting will be adopted.",8,,
25,0.97,130.997,133.9,"Hearing no objection, today's meeting is adopted.",8,,
26,0.97,133.9,138.404,I will monitor the public comment period in the following manner.,8,,
27,0.97,138.404,146.379,Speakers will each be given two minutes to speak.,8,,
28,0.97,146.379,152.919,I will alternate between in person and computer callers.,8,,
29,0.97,152.919,158.491,"If you've not yet registered to speak, but would like to do so, you can sign up before the end of the comment session.",8,,
30,0.97,158.491,166.699,"Once I call a Speaker's name, if you are using the virtual option, will you hear a prompt.",8,,
31,0.97,166.699,171.938,"Once you've heard that prompt, you need to hit Star 6 to Unmute yourself.",8,,
32,0.97,171.938,178.578,Please begin speaking by stating your name and the item you are addressing.,8,,
33,0.97,178.578,183.583,Speakers will hear a Chime once the allotted time is wrapping up.,8,,
34,0.97,183.583,195.361,"We ask you to wrap up your Commentses, if the speakers do not wrap up their comments, the Speaker's Mic will be muted after 10 seconds to allow for the next Speaker.",8,,
35,0.97,195.361,197.997,"Once you've completed your public comment, please Disconnect from the line.",8,,
36,0.97,197.997,206.773,"If you plan to follow the meeting, we welcome you to do so, but do so please via the Seattle channel or the listing options listed on the agenda.",8,,
37,0.97,206.773,212.712,We've got two folks signed up for public comment.,8,,
38,0.97,212.712,216.816,And with that I will begin the public comment period.,8,,
39,0.97,216.816,218.851,Our first Speaker is Howard gale.,8,,
40,0.97,218.851,223.256,Howard gale will be followed by Alex Zimmerman.,8,,
41,0.97,223.256,227.093,Howard.,8,,
42,0.97,227.093,235.702,"Good morning, Howard Commenting on our failed police system.",9,,
43,0.97,235.702,246.479,"Six days ago, a King County District jury, after nine days of Deliberating in the Charlene inquest, spoke unambiguously.",9,,
44,0.97,246.479,258.024,"The Seattle police did precisely what they were trained to do when they shot Charleena Wyles, the pregnant mother, in front of her children.",9,,
45,0.97,258.024,263.129,The jury did not find the killing correct or morally justified.,9,,
46,0.97,263.129,268.201,The jury found that the SPD officers acted precisely to their training and policy.,9,,
47,0.97,268.201,276.976,The murder happened just four weeks after the police accountability legislation was passed.,9,,
48,0.97,276.976,282.715,Legislation that allowed the SPD to continue this level of killing.,9,,
49,0.97,282.715,287.387,"The person still unnamed on beacon Hill, killed in January by the SPD.",9,,
50,0.97,287.387,300.199,"All people experiencing a behavioral health crisis like Charleena, all deemed lawful and proper have a new accountability system all done Accordingly to policy and training.",9,,
51,0.97,300.199,310.276,"Seattle's police accountability system, including the CPC and this Council has revised and approved SPD policies over the last ten years.",9,,
52,0.97,310.276,317.183,"If we follow the jury's findings, the responsibility for Charleena's killing lies with you.",9,,
53,0.97,317.183,321.421,Yet every one of you have been strangely silent this week.,9,,
54,0.97,321.421,324.824,"Chairman Herbold, you said five years ago, that quote, we are shamed.",9,,
55,0.97,324.824,336.669,"What I am pledging to you is to work on finding a new way of doing things, so we actually get different results.",9,,
56,0.97,336.669,337.103,Unquote.,9,,
57,0.97,337.103,343.543,These last five years have given us worse results.,9,,
58,0.97,343.543,350.216,"Embrace control over police investigations, policy of police discipline, and most importantly, police policy.",9,,
59,0.97,350.216,355.621,"Look forward to a future of justice, and not back --",9,,
60,0.97,355.621,356.889,"Thank you, Howard.",10,,
61,0.97,356.889,371.904,Our next and last Speaker is Alex Zimmerman.,10,,
62,0.97,375.808,383.382,"Sieg Heil, and I complain the last three months to everybody.",11,,
63,0.97,383.382,389.021,No one [inaudible] so I once spoke about agenda item number one about police.,11,,
64,0.97,389.021,397.63,I come to police Commission meeting for last many year and every meeting I ask very simple question.,11,,
65,0.97,397.63,403.236,Can we speak this for us two minute?,11,,
66,0.97,403.236,403.636,It never happen.,11,,
67,0.97,403.636,407.073,"Complain to dozen government employee, it never happen.",11,,
68,0.97,407.073,414.514,"Guys, we have 12 Freaking idiot in this Commissioner who never have experience policeman working.",11,,
69,0.97,414.514,418.418,"Nobody will be arrested, nobody in jail.",11,,
70,0.97,418.418,420.119,Don't know how system is working.,11,,
71,0.97,420.119,421.788,I treat them Prosecutor.,11,,
72,0.97,421.788,424.69,I know system like my five finger.,11,,
73,0.97,424.69,426.893,"Ain't nobody care about this, ain't nobody give a chance.",11,,
74,0.97,426.893,434.233,Speak for two minute and give us opinion.,11,,
75,0.97,434.233,437.837,Probably different to suggest 12 idiot Commissioner know about this.,11,,
76,0.97,437.837,438.571,It's making me sick.,11,,
77,0.97,438.571,443.709,And I speak to you for many year about this.,11,,
78,0.97,443.709,444.343,Zero reaction.,11,,
79,0.97,444.343,450.883,You can invest in Freaking nine Saturdays animal.,11,,
80,0.97,450.883,456.622,Why you option like a Nazi Gastopo rat?,11,,
81,0.97,456.622,457.223,Can you listen me?,11,,
82,0.97,457.223,458.891,Listen to different opinion.,11,,
83,0.97,458.891,468.835,Does not surprise me to see Seattle corporation dead right now.,11,,
84,0.97,468.835,470.369,It's a bankruptcy 1 100 percentage.,11,,
85,0.97,470.369,476.475,Because you don't listen to different opinion.,11,,
86,0.97,476.475,489.188,"I live this for 35 years and every year Seattle Commission worse, worse worse, because you Gestapo rats aren't doing nothing!",11,,
87,0.97,489.188,489.488,Thank you.,11,,
88,0.97,489.488,495.862,"That concludes our public comment period, and we'll move into the items on today's agenda.",12,,
89,0.97,495.862,502.902,The clerk please read in agenda item number one.,12,,
90,0.97,502.902,504.337,Committee agenda item one.,13,,
91,0.97,504.337,521.254,"337, to civilian oversight of police, establishing a process for investigating complaints for the chief of police.",13,,
92,0.97,521.254,529.262,"To Renumber the existence of Chapter 503.29, and sections 29.50, and 3.29510.",13,,
93,0.97,529.262,530.897,"For briefing, discussion, and possible vote.",13,,
94,0.97,530.897,534.8,Thank you so much.,14,,
95,0.97,534.8,537.837,We are joined by Ann Gorman of central staff.,14,,
96,0.97,537.837,578.744,"Again, this is the fourth hearing on the bill, and Ann's memo outlines the cleanup, textual options that were inadvertently omitted from D to B. before we ask Ann to summarize those Edits and work to try to get the new version in front of us, I just want to really thank folks who have been working diligently to get this legislation right, Inspector General judge, and op director Perkins and the community police Commission and the Mayor's office for their collaboration.",14,,
97,0.97,578.744,585.685,"I'll have some more thanks towards the end, if all goes well, but just wanted to get that out there first.",14,,
98,0.97,585.685,594.427,"With that, we'll turn it over to Ann to describe the Edits in the version before us today.",14,,
99,0.97,594.427,595.094,Good morning.,15,,
100,0.97,595.094,599.131,"Ann Gorman, council central staff.",15,,
101,0.97,599.131,601.767,This item is version D3 of counsel bill 1337.,15,,
102,0.97,601.767,610.076,It is proposed as a substitute for the current base version of the bill.,15,,
103,0.97,610.076,613.112,The current base version is D2B.,15,,
104,0.97,613.112,622.655,Changes from D2B to D3 are described in your memo and they're not substantive.,15,,
105,0.97,622.655,634.967,"As chair Herbold noted, they're largely for consistent, and reflected hurried work late in the week of June 20th, so we are very grateful for the opportunity to set them right.",15,,
106,0.97,634.967,639.572,"This bill was introduced, and deferred on June 7th.",15,,
107,0.97,639.572,649.649,"We continue to work to refine it, and changes were included in version D2A on June 14th, and D2B on June 28th.",15,,
108,0.97,649.649,651.984,Just a quick summary of the bill.,15,,
109,0.97,651.984,661.36,It establishes a process and a framework for the investigation of complaints to the office of police accountability in which the chief of police is named.,15,,
110,0.97,661.36,668.567,This is a specific circumstance regarding which the city's police accountability ordinance is silent.,15,,
111,0.97,668.567,675.975,The bill proposes an oversight role in these cases for the office of the inspector general.,15,,
112,0.97,675.975,685.551,"A role that is consistent with the Foundational ordinance, the police accountability ordinance.",15,,
113,0.97,685.551,695.628,Council bill 120337 also requires notification of police accountability Stakeholders at investigative milestones.,15,,
114,0.97,695.628,712.778,"The bill also makes clear that SPD will not be involved in any investigation of the chief, and that the only time an external law enforcement agency will lead such an investigation is when criminal charges may result.",15,,
115,0.97,712.778,714.213,"Thank you so much, Ann.",16,,
116,0.97,714.213,714.814,I really appreciate that.,16,,
117,0.97,714.814,720.252,Any questions about the change in this version of the bill?,16,,
118,0.97,720.252,729.161,"Not seeing any, I'm going to work to get the current version of the bill before us.",16,,
119,0.97,729.161,734.967,"With that, I'd like to move the substantive version.",16,,
120,0.97,734.967,735.401,Is there a second?,16,,
121,0.97,735.401,735.701,Second.,17,,
122,0.97,735.701,737.203,Thank you very much.,18,,
123,0.97,737.203,740.673,The bill is now before the committee.,18,,
124,0.97,740.673,740.973,I moved it.,18,,
125,0.97,740.973,743.375,"Actually, I reset that.",18,,
126,0.97,743.375,752.852,Can the clerk please call the roll on the substitute?,18,,
127,0.97,752.852,755.187,Councilmember Mosqueda.,19,,
128,0.97,755.187,755.421,Aye.,20,,
129,0.97,755.421,756.155,Councilmember Nelson.,21,,
130,0.97,756.155,757.256,Councilmember Pedersen?,21,,
131,0.97,757.256,757.49,Yes.,22,,
132,0.97,757.49,758.891,Vice chair Lewis.,23,,
133,0.97,758.891,759.191,Yes.,24,,
134,0.97,759.191,760.326,Chair Herbold?,25,,
135,0.97,760.326,760.659,Yes.,26,,
136,0.97,760.659,763.129,"That's four in favor, none opposed.",27,,
137,0.97,763.129,763.496,Thank you.,28,,
138,0.97,763.496,801.5,"The motion carries and we move onto the main motion, again, we've heard this bill before, thank you Ann for Recapping in our last committee meeting you may recall central staff, Asha did the overview of the substitute, subsequent to that I did share a process map of the process that this bill contemplates the bill, I see is largely a technical issue.",28,,
139,0.97,801.5,807.339,But a really important issue for us to resolve.,28,,
140,0.97,807.339,818.984,"The 2017 police accountability ordinance ask not address complaints, meaning the chief would be handled and this has led to a lack of clarity into how to proceed with previous complaints.",28,,
141,0.97,818.984,834.2,"I became aware of this issue early in 2022, reached out to the Mayor's office, the inspector general, and OPA to chart a path forward to address this, and to establish clear, fair process with as much consensus as possible.",28,,
142,0.97,834.2,849.648,"As noted in the recitals to the legislation itself, there were three complaints against the former chief of police in 2020 that lingered until Mayor Harrell's office forwarded the complaints to an external agency for investigation.",28,,
143,0.97,849.648,858.857,"Moving forward, it's really important for public trust to have a clear process to resolve these types of complaints.",28,,
144,0.97,858.857,870.302,"As before, I want to thank Inspector General judge, interim director Perkins, their staffs.",28,,
