index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,24.324,25.358,Good afternoon.,0,,
1,0.97,25.358,28.294,The March 16th.,0,,
2,0.97,28.294,36.102,2021 meeting of the community economic development meeting will be in order.,0,,
3,0.97,36.102,36.536,2:02 P.M.,0,,
4,0.97,36.536,38.405,I'm Tammy Morales.,0,,
5,0.97,38.405,41.408,Chair of the committee.,0,,
6,0.97,41.408,51.918,Will the clerk call the roll?,0,,
7,0.97,56.723,58.291,[roll called],0,,
8,0.97,58.291,58.792,Four in attendance.,1,,
9,0.97,58.792,63.329,If there is no OK today's agenda will be adopted.,2,,
10,0.97,63.329,67.834,Hearing no objection the agenda is adopted.,2,,
11,0.97,67.834,69.803,We will open the remote general public comments period.,2,,
12,0.97,69.803,78.111,It is my understanding that we do not have anyone signed up.,2,,
13,0.97,78.111,81.314,Is that still the case?,2,,
14,0.97,81.314,85.118,No public comments registrant.,2,,
15,0.97,85.118,89.589,We will close public comments and move on.,3,,
16,0.97,89.589,94.294,Will the clerk move to item one.,3,,
17,0.97,94.294,99.566,Equitable recover overview and briefing and discussions.,4,,
18,0.97,99.566,99.933,Thank you.,5,,
19,0.97,99.933,107.273,We will be hearing from the office of economic development.,6,,
20,0.97,107.273,111.144,I invited Ms. banks to share the program for Oed.,6,,
21,0.97,111.144,117.15,There is lots of work to be done to ensure economic recovery as we move out of the pandemic.,6,,
22,0.97,117.15,119.619,We will be hearing about some of those plans.,6,,
23,0.97,119.619,123.756,We will also be hearing from a panel of community members.,6,,
24,0.97,123.756,132.465,I wanted the committee to have a chance hear from folks on the ground that are supporting our neighborhood businesses and business districts.,6,,
25,0.97,132.465,133.967,That are supporting workers.,6,,
26,0.97,133.967,138.972,And from a small business owner directly.,6,,
27,0.97,138.972,143.243,So after the presentation from Oe D we will hear from them.,6,,
28,0.97,143.243,145.345,Before I hand it over to Oed.,6,,
29,0.97,145.345,150.416,It is clear we will be working on economic recovery for some time.,6,,
30,0.97,150.416,155.355,We know that our business community has been devastated.,6,,
31,0.97,155.355,187.921,"Particularly those that are the restaurants and bars and music Venue and tourism industry and the retail space, as they struggled through last year we know the workers have been in harm's way as they navigate mask rules and deal with customers that may be resistant or lax in maintaining the social distancing.",6,,
32,0.97,187.921,188.955,So it is challenging.,6,,
33,0.97,188.955,198.264,I am hoping to hear how the work program for 2021 will change to address some of those challenges.,6,,
34,0.97,198.264,199.866,And look forward to the conversation today.,6,,
35,0.97,199.866,211.211,So with that I will hand it over to interim director banks and we will get started.,6,,
36,0.97,211.211,216.849,Thank you Councilmember for inviting me here to talk to you be in the community.,7,,
37,0.97,216.849,224.357,Our vision for equitable recovery after Covid-19.,7,,
38,0.97,224.357,226.192,Next slide please.,7,,
39,0.97,226.192,234.434,"As you know, the city has had substantial impacts revealed after Covid after a little over a year.",8,,
40,0.97,234.434,237.904,Our Vig on recovery is to ensure that it is equitable.,8,,
41,0.97,237.904,251.985,And that we bring Seattle back as a vibrant innovative and diverse and inclusive economy that ensures all of Seattleites can thrive in the future.,8,,
42,0.97,251.985,270.637,We don't want to bring Seattle back the same as it was because we weren't as equitable as we know we can be and our recovery effort aims to build a thriving city as we implement strategies and meet the needs of our neighborhoods and communities.,8,,
43,0.97,270.637,274.941,So we have divided it up Untwo buckets.,8,,
