index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,22.088,24.524,We'll now come to order.,0,,
1,0.97,24.524,25.825,The time is 2:02 PM.,0,,
2,0.97,25.825,28.161,Will the clerk please call the roll?,0,,
3,0.97,28.161,28.561,[calling roll],0,,
4,0.97,28.695,38.905,Four present.,1,,
5,0.97,43.576,46.513,Thank you so much.,2,,
6,0.97,46.513,47.213,Approval of the agenda.,2,,
7,0.97,47.213,53.019,The agenda will be adopted.,2,,
8,0.97,53.019,54.154,Hearing no objection.,2,,
9,0.97,54.154,63.93,Let me just make a note that Council member Strauss is unfortunately not able to join us.,2,,
10,0.97,63.93,70.837,He is still in jury duty.,2,,
11,0.97,70.837,76.376,He is excused for today.,2,,
12,0.97,76.376,84.851,The public open period.,2,,
13,0.97,84.851,92.992,Conducted efficiently and in a manner in which we are able to conduct necessary business.,2,,
14,0.97,92.992,96.596,Public comment for this meeting is 20 minutes.,2,,
15,0.97,96.596,99.099,Each Speaker will have two minutes to speak.,2,,
16,0.97,99.099,104.471,I'll call on each Speaker on the order they Preregistered on the Council's Website.,2,,
17,0.97,104.471,120.687,"If you are watching or listening, and have not registered but would still like to, you can still head up to give public comment after the end of the public comment period today.",2,,
18,0.97,120.687,129.128,Or you can also look at the link on today's agenda to Preregister for today's public comment.,2,,
19,0.97,129.128,133.032,You will hear an Automati prompt if you have been Unmuted.,2,,
20,0.97,133.032,137.837,That'll be your Cue that you must press Star 6 and then begin speaking.,2,,
21,0.97,137.837,141.708,"Please begin by stating your name, and the item that you are addressing.",2,,
22,0.97,141.708,147.347,And please remember that your public comment should relate to an item on today's agenda.,2,,
23,0.97,147.347,150.75,"During your public comment, you will hear a Chime.",2,,
24,0.97,150.75,156.523,That Chime is noted that there is ten seconds left of the two minutes provided to you today.,2,,
25,0.97,156.523,173.273,Please listen for that Chime and make every effort to wrap up your comments.,2,,
26,0.97,173.273,185.285,"Once you have completed your public comment, we ask that you stay on the line and continue following the public meeting through the Channel or the listening options listed on the agenda.",2,,
27,0.97,185.285,187.353,Public comment period is now open.,2,,
28,0.97,187.353,195.261,"As a reminder, you will be Unmuted and hear a prompt from me that you've been Unmuted and you need to press Star 6 before you begin speaking.",2,,
29,0.97,195.261,201.834,The first speak or my list is melody McMillan.,2,,
30,0.97,201.834,202.201,"Welcome, melody.",2,,
31,0.97,202.201,204.404,"Good afternoon, Council President Gonzcez.",3,,
32,0.97,204.404,205.672,And fellow Council members.,3,,
33,0.97,205.672,207.64,My comments today are about Seattle promise.,3,,
34,0.97,207.64,211.311,Thank you for this tune to speak.,3,,
35,0.97,211.311,231.998,My name is melody McMillan and I am the senior executive director for Seattle promise at Seattle Collegesful Seattle colleges vice chance Lerbut Theelman has already submitted comments from the Rec team designed to grow and refine the Seattle promise program.,3,,
36,0.97,231.998,247.614,I also want to add my comments and appreciation for being a part of the Seattle promise Rec process this last year.,3,,
37,0.97,247.614,254.554,"Thanks to the work of the Council, the city of Seattle, Seattle public schools and public colleges.",3,,
38,0.97,254.554,259.826,We are centering equity in our programming to invest in and support student success.,3,,
39,0.97,259.826,270.67,"Seattle college's vision is to be recognized as an exemplary learning institution that transforms lives, promotes equality, equity and Enriches the commune.",3,,
40,0.97,270.67,285.184,The public engagement in the Rec process and the support of city council essential as we continue to approve the Seattle promise program to meet the needs of Seattle students.,3,,
41,0.97,285.184,289.255,Those recommendations will come later today and your support of them will help us to recognize that vision.,3,,
42,0.97,289.255,295.762,Thank you for your continued support to enrich our community.,3,,
43,0.97,295.762,297.297,"Thank you, melody for calling in today.",4,,
44,0.97,297.297,300.099,And thank you to Seattle colleges.,4,,
45,0.97,300.099,300.5,Okay.,4,,
46,0.97,300.5,305.505,I don't have anyone else on my list sign up for public comment.,4,,
47,0.97,305.505,309.509,And I will appreciate it if it could be confirmed that that is the case.,4,,
48,0.97,309.509,309.909,Confirmed.,5,,
49,0.97,309.909,312.045,There are no other public comments registered.,5,,
50,0.97,312.045,314.013,Thank you so much.,6,,
51,0.97,314.013,314.914,I appreciate it.,6,,
52,0.97,314.914,321.087,"With that being said, we will go ahead and move onto other items of business on our agenda.",6,,
53,0.97,321.087,323.69,Mixture up are enemies one and two.,6,,
54,0.97,323.69,328.294,Will the clerk please read items one and two into the record?,6,,
55,0.97,328.294,336.302,Agenda items one and two.,7,,
56,0.97,336.302,344.444,"Appointments Zon 868, and 01869.",7,,
57,0.97,344.444,347.413,Member of the Seattle ethics Commission,7,,
58,0.97,347.413,351.417,Thank you so much.,8,,
59,0.97,351.417,353.152,We really appreciate it.,8,,
60,0.97,353.152,371.971,We are joined by Michelle Chen of the Mayor's office.,8,,
61,0.97,373.306,376.175,"Thank you, counsel President Gonzcez.",9,,
62,0.97,376.175,378.845,My name is Michelle Chen.,9,,
63,0.97,378.845,379.846,I am the Mayor's office legal Council.,9,,
64,0.97,379.846,382.281,And I am happy to be here today.,9,,
65,0.97,382.281,389.689,And thank you for the committee's consideration of the Mayor's appointment.,9,,
66,0.97,389.689,395.261,Of Zachary Jones and Kristen Hawes to the Seattle ethics and elections Commission.,9,,
67,0.97,395.261,406.672,"We are very grateful for the candidates' public and civic enter in serving on this very, very important Commission.",9,,
68,0.97,406.672,412.678,"And without further Ado, I do want to allow the candidates to introduce themselves.",9,,
69,0.97,412.678,415.415,And this will fill the two vacancies that the Mayor has on the Commission.,9,,
70,0.97,415.415,423.022,And again thank you to Council members for your consideration and for your future confirmation to appointment.,9,,
71,0.97,423.022,423.322,Thank you.,9,,
72,0.97,423.322,424.624,Thanks so much.,10,,
73,0.97,424.624,428.828,Why don't we go ahead and start with Zach?,10,,
74,0.97,428.828,431.297,"So Zach, if you could just state your name for the record here.",10,,
75,0.97,431.297,437.537,And tell us a little bit about yourself and why you're interested in serving on the Commission.,10,,
76,0.97,437.537,441.073,"Thank you, Council president and Council members.",11,,
77,0.97,441.073,441.908,Good afternoon.,11,,
78,0.97,441.908,443.576,My name is Zachary Jones.,11,,
79,0.97,443.576,450.349,And I'm currently an assistant attorney general with the Washington State Attorney General's office.,11,,
80,0.97,450.349,465.932,"As a lifelong Seattleite, setting aside just a few East Coast detours over the years, I am very honored by the Mayor's nomination to serve on the Commission.",11,,
81,0.97,465.932,473.139,"The Commission plays a critical role in assuring transparency, accountability, in Seattle elections and government.",11,,
82,0.97,473.139,485.551,"If confirmed, I look forward to promoting those values in partnership with my fellow commissioners, the Commission staff, this Council, and the many Stakeholders in city government and the broader community.",11,,
83,0.97,485.551,494.694,"This is a unique municipal election year, coming at what we hope will prove the tail end of the Covid-19 pandemic.",11,,
84,0.97,494.694,516.482,"In that context, I see to near-term opportunities for the Commission to leverage its role in starting to the city's election code.",11,,
85,0.97,516.482,528.528,"The Commission's recently adopted emergency rule allowing campaigns to post democracy voucher replacement forms Online is, in my view, a great example of such a measure.",11,,
86,0.97,528.528,543.843,"As the lead assistant attorney general on the team defending governor Inslee's emergency response to the pandemic, I am eager and I think Well-Positioned to help the Commission find solutions to the challenges Covid-19 continues to pose to campaigns and voters alike.",11,,
87,0.97,543.843,554.52,It is critical that the Commission continue to remove barriers to full and equal electoral participation by our city's most marginalized communities.,11,,
88,0.97,554.52,558.824,This would be my number one priority as a Commissioner.,11,,
89,0.97,558.824,566.365,And it is especially urgent in the midst of a pandemic that is disproportionately harming people of color.,11,,
90,0.97,566.365,578.978,"For example, although participation in the pioneering democracy voucher program nearly doubled from 2017 to 2019, it remained disproportionately utilized by white, wealthy, and older Seattleites.",11,,
91,0.97,578.978,584.55,"It is, I think, essential to address those disparities in the city's signature election program.",11,,
92,0.97,584.55,590.156,I am deeply committed to that goal.,11,,
93,0.97,590.156,597.196,And more broadly to ping equity in the committee's work.,11,,
94,0.97,597.196,602.835,"The Attorney General's office, for example, I sued the previous Federal administration repeatedly.",11,,
95,0.97,602.835,612.878,"Challenging actions that in our office's view unlawfully discriminated against people of color, Lgbtq Americans, and other groups.",11,,
96,0.97,612.878,624.757,"I am most proud of my work on the case challenging the public charge law, which jeopardized the immigration status of millions solely Waysed on their receipt of minimal public benefit.",11,,
97,0.97,624.757,626.225,"Including food, housing or Healthcare.",11,,
98,0.97,626.225,632.832,"Before joining the Attorney General's office, I was a trial attorney in the U.S.",11,,
99,0.97,632.832,638.437,Department of civil rights division in the voting section.,11,,
100,0.97,638.437,659.058,"I worked closely with state, election and local administrator administrators.",11,,
101,0.97,659.058,667.9,"When I was in private practice, I had the tune to work on a variety of Election-Related matters.",11,,
102,0.97,667.9,676.175,"Including recounts and election context, challenges to racial and election Gerrymanders in other States and political elections for Washington State and local campaigns.",11,,
103,0.97,676.175,693.392,"I also had an active pro Bono practice, Partnering with the equal justice initiative in Montgomery, Alabama, to represent indigent.",11,,
104,0.97,693.392,699.899,Seeing that systemic and overt racism that my clients experienced shaped me profoundly as a lawyer.,11,,
105,0.97,699.899,712.478,"Deepening my resolve to eradicate discrimination in the legal system, and improve access to justice.",11,,
106,0.97,712.478,714.413,It would guide my service as a Commissioner.,11,,
107,0.97,714.413,716.315,Thank you for the opportunity to introduce myself today.,11,,
108,0.97,716.315,722.888,And I would be happy to answer any questions you may have.,11,,
109,0.97,722.888,723.856,Thank you.,12,,
110,0.97,723.856,726.826,Zachary.,12,,
111,0.97,726.826,727.827,For that introduction.,12,,
112,0.97,727.827,728.594,"Really, really appreciate it.",12,,
113,0.97,728.594,734.633,And your willingness to step up and serve in this capacity.,12,,
114,0.97,734.633,743.909,"As a former ethics and elections Commissioner myself, I can tell that you there's no shortage of work in that Commission.",12,,
115,0.97,743.909,757.823,And I had an opportunity to serve before the implementation of the democracy voucher program and many of the laws that I have personally sponsored to reform our local elections.,12,,
116,0.97,757.823,762.461,So there's a lot more work on the plate of the elections Commission.,12,,
117,0.97,762.461,766.031,I appreciate your willingness to serve in this additional capacity.,12,,
118,0.97,766.031,775.141,"Colleagues if you want to open it up for any questions you all might have, Mr. Jones.",12,,
119,0.97,775.141,777.843,Not seeing any questions.,12,,
120,0.97,777.843,784.884,So we'll go ahead and moving over to Kristen Hawes.,12,,
121,0.97,784.884,792.091,For an introduction and an opportunity to ask her any questions.,12,,
122,0.97,792.091,795.895,"Thank you, Council President Gonzcez.",12,,
123,0.97,795.895,796.695,Can you hear me okay?,12,,
124,0.97,796.695,796.929,Yes.,13,,
125,0.97,796.929,797.496,Great.,14,,
126,0.97,797.496,805.804,And thanks also to the Council members and staff for the opportunity to participate.,14,,
127,0.97,805.804,813.579,I am also Enthused about the prospect of serving the city as a member of the Commission.,14,,
128,0.97,813.579,818.083,Like Zach I am a native Seattleite.,14,,
129,0.97,818.083,838.304,"So seeing the city change considerably over the course of my time here and also recognize that access to elections, equity, and representation are critical as the city moved for a in its Governance overall but particularly in the Postcovid era.",14,,
130,0.97,838.304,841.14,My background is a little bit different.,14,,
131,0.97,841.14,848.113,"I am an attorney, partner at summit law group.",14,,
132,0.97,848.113,849.081,Specializing in commercial real estate.,14,,
133,0.97,849.081,860.059,So I do a lot of work with clients of all sizes in that arena both in the city and outside of it.,14,,
134,0.97,860.059,864.663,"I come to you, the Commission, with legal training and a legal background.",14,,
135,0.97,864.663,873.138,"But also as part of, perhaps, the citizen volunteer in terms of someone who has a longstanding interest in government and politics.",14,,
136,0.97,873.138,880.379,And a specific interest in access to justice issues.,14,,
137,0.97,880.379,894.493,"As Mr. Jones indicated, he has served previously in the pro Bono and access arenas with respect to his career at DOJ.",14,,
138,0.97,894.493,895.894,I previously was a public defender.,14,,
139,0.97,895.894,903.769,So I have a sense of difficulties faced by many in terms of their experience of at least our legal system.,14,,
140,0.97,903.769,911.91,And the difficulties inherent in providing everyone with access and representation.,14,,
141,0.97,911.91,914.513,I have been a real estate attorney.,14,,
142,0.97,914.513,918.217,"And have seen as I mentioned, the city change, the challenges that the city faces.",14,,
143,0.97,918.217,933.699,"And I think in terms of adequately addressing those challenges, the work of the Commission will be crucial respect to enhancing representation.",14,,
144,0.97,933.699,937.002,I did have an extension conversation with Lane Barnett about this.,14,,
145,0.97,937.002,946.412,"And the work of the Commission, and moving those priorities forward.",14,,
146,0.97,946.412,949.782,And look forward to serve and assist in that capacity.,14,,
147,0.97,949.782,958.157,"With respect to volunteering, I am a mother of three.",14,,
148,0.97,958.157,968.667,Now I have the opportunity since they are more self-sufficient.,14,,
149,0.97,968.667,972.271,The opportunity is there to do more with my public service.,14,,
150,0.97,972.271,975.407,So I would greatly appreciate the opportunity to serve the city I love in this capacity.,14,,
151,0.97,975.407,981.88,Thank you so much for that.,15,,
152,0.97,981.88,987.686,Any questions for Kristen?,15,,
153,0.97,987.686,991.89,"Council member Mosqueda, please.",15,,
154,0.97,991.89,993.158,"Oh, on mute.",15,,
155,0.97,993.158,995.694,"I was, like, Oh, no, my computer is freezing.",16,,
156,0.97,995.694,996.195,Good afternoon.,16,,
157,0.97,996.195,1000.799,Thank you again for your interest in serving.,16,,
158,0.97,1000.799,1015.314,"Council member--excuse me, Council President Gonzcez and I had the chance to really be the first city council members to use these democracy vouchers.",16,,
159,0.97,1015.314,1017.95,So I think they are great for staff.,16,,
160,0.97,1017.95,1028.227,And I look forward to continuing to work with all of you overall the way in which we can make elections more transparent and accessible.,16,,
161,0.97,1028.227,1029.828,And voting more accessible.,16,,
162,0.97,1029.828,1043.942,"I guess one of the questions that I have is do either of you--or do we happen to know the existing board members, which board members have experienced running elections before?",16,,
163,0.97,1043.942,1044.943,Or running campaigns.,16,,
164,0.97,1044.943,1051.049,My question comes from both wanting to make sure that we have people who have a commitment to social justice as you clearly do.,16,,
165,0.97,1051.049,1061.427,But also wanting to make sure that we lift up the lived experience of folks who have been trying to get more people actively engaged in initiatives.,16,,
166,0.97,1061.427,1061.727,And voting.,16,,
167,0.97,1061.727,1073.872,So can you speak with a little to that if you have it or if you happen to know other commissioners who bring that level of experience?,16,,
168,0.97,1073.872,1077.576,"Thank you, council member Mosqueda.",17,,
169,0.97,1077.576,1080.879,19 speak to the other commissioners' experience.,17,,
170,0.97,1080.879,1083.282,I wouldn't say I've ever run an election.,17,,
171,0.97,1083.282,1090.088,But our role was to lead teams of observers and election monitors from within DOJ and other Federal agencies all around the country.,17,,
172,0.97,1090.088,1102.868,"So I've had the opportunity to observe, kind of monitoring general procedures with detailed monitoring parameters.",17,,
173,0.97,1102.868,1114.213,And specifically with a focus on ensuring language access.,17,,
174,0.97,1114.213,1119.218,"So I've observed In-Person elections, of course, and our own By-Mail elections.",17,,
175,0.97,1119.218,1120.319,"California, New York, Texas.",17,,
176,0.97,1120.319,1121.42,A wide range of jurisdictions.,17,,
177,0.97,1121.42,1127.192,And I found that to be one of the most rewarding parts of the job.,17,,
178,0.97,1127.192,1129.528,No knock on By-Mail voting which has tremendous benefits.,17,,
179,0.97,1129.528,1142.04,But there is just something kind of magical about being in the polling place and seeing all these different people from different walks of life coming together and exercising this fundamental right.,17,,
180,0.97,1142.04,1144.943,And things went wrong on almost every election.,17,,
181,0.97,1144.943,1150.148,But nothing to the point that it was--shook the foundations of our democracy.,17,,
182,0.97,1150.148,1158.824,So that was a tremendously rewarding experience and I think gave me a perspective for election administration.,17,,
183,0.97,1158.824,1164.763,I hope that answers your question.,17,,
184,0.97,1164.763,1169.167,I also do not have experience running elections per se.,18,,
185,0.97,1169.167,1177.042,I volunteered and worked for candidates in VA jurisdictions.,18,,
186,0.97,1177.042,1179.178,When we lived in Western New York.,18,,
187,0.97,1179.178,1180.979,And more recently in Seattle.,18,,
188,0.97,1180.979,1186.251,But I have not run an election to your question.,18,,
189,0.97,1186.251,1187.319,That's fair.,19,,
190,0.97,1187.319,1194.393,And I haven't run many elections either.,19,,
191,0.97,1194.393,1199.998,I did before running for office.,19,,
192,0.97,1199.998,1201.3,Helped to write an initiative.,19,,
193,0.97,1201.3,1220.919,"I would encourage you both as you get onto these commissions, as you're considering issues to try to do some outreach to people who are running campaigns or running initiatives, to get direct feedback.",19,,
194,0.97,1220.919,1230.796,The smallest thing can be an impediment to making sure that diverse candidates get their word out or that voter participation can be expanded.,19,,
195,0.97,1230.796,1238.136,So recognizing Workgroups or Roundtables to pull that lived experience in would be I think a great addition to the experience you're bringing.,19,,
196,0.97,1247.279,1254.052,I had a general question about technology.,20,,
