index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,4.537,10.81,Thank you.,0,,
1,0.97,10.81,11.244,Good afternoon.,0,,
2,0.97,11.244,13.88,"Today is Monday, February 7 in the Council meeting will come to order.",0,,
3,0.97,13.88,14.681000000000001,The time is 2:01.,0,,
4,0.97,14.681000000000001,17.65,Will you please call role?,0,,
5,0.97,17.65,20.52,Strauss?,1,,
6,0.97,20.52,26.893,Present. & GT; & GT; Herbal . Lewis? & GT; & GT; present.,2,,
7,0.97,26.893,28.895,Rls.,3,,
8,0.97,28.895,36.97,Must get A. Nelson.,3,,
9,0.97,36.97,41.908,Peterson.,3,,
10,0.97,41.908,42.575,Council President Laura is.,3,,
11,0.97,42.575,43.81,I am here.,4,,
12,0.97,43.81,47.981,Seven present.,5,,
13,0.97,47.981,53.286,Let's go on to approval of the minutes.,6,,
14,0.97,53.286,61.194,"The minutes of January 31 will be adopted . seeing no objections, the minutes are adopted.",6,,
15,0.97,61.194,69.536,"Move on to the Presidents report . normally I don't have a lot to Che, but I have more today.",6,,
16,0.97,69.536,80.113,"On today's agenda, we will be hearing from the office of governmental relations and also Councilmember Strauss will be proposing a proclamation.",6,,
17,0.97,80.113,83.75,"With that, I would like to give you a few updates.",6,,
18,0.97,83.75,88.488,"As you can see, for tomorrow, we will start a new format on approval of the consent calendar.",6,,
19,0.97,88.488,102.302,"You will notice on tomorrow's agenda, there is a new section titled approval of the consent calendar.",6,,
20,0.97,102.302,106.573,I would like to share with you a few things to know about how we plan to use the consent calendar.,6,,
21,0.97,106.573,111.344,The consent calendar will contain items that can be approved in one motion at the beginning of the Council meeting.,6,,
22,0.97,111.344,115.648,Any item can be removed from the consent calendar at the request of the Councilmember.,6,,
23,0.97,115.648,119.886,"If an item is removed, it will be taken up immediately following the adoption of the consent calendar.",6,,
24,0.97,119.886,121.921,"To begin, only the following items will be approved.",6,,
25,0.97,121.921,126.593,That is the Councilmember IRC.,6,,
26,0.97,126.593,141.641,"In the future, we will include apartments that have already been hurting committee . The payroll bill and possibly any other clerk files or counsel bills that have already been hurting committee and also our routine.",6,,
27,0.97,141.641,146.312,"Again, we are working out the bugs.",6,,
28,0.97,146.312,147.747,So this is not written in stone.,6,,
29,0.97,147.747,152.852,There is movement to change things if people have different opinions about that.,6,,
30,0.97,152.852,158.057,This process is similar to the budget consent package we are in.,6,,
31,0.97,158.057,167.6,A number of open items were approved with one vote in any item can be pulled and heard individually and voted on individually at the request of any Councilmember.,6,,
32,0.97,167.6,176.776,The consent calendar is a tool used by legislative bodies to handle routine items publicly and in a more expedient way.,6,,
33,0.97,176.776,191.391,"What I'm trying to do is moving along with everything so there is more opportunity for Councilmembers to talk about what they did last week, what they did is we, what they will do next week, I don't need you to read the whole diary into the record.",6,,
34,0.97,191.391,193.66,I know Councilmember Strauss is not happy about that.,6,,
35,0.97,193.66,196.829,So that is hopefully where we are headed.,6,,
36,0.97,196.829,204.437,"So next, we are going to have another wonderful report from our state legislative team.",6,,
37,0.97,204.437,212.312,Gail is the dark and I will hand it to Gail for briefing and discussion.,6,,
38,0.97,212.312,212.512,Gail?,6,,
39,0.97,212.512,220.453,Thank you . hello to all of the Councilmembers.,7,,
40,0.97,220.453,236.569,"It is happy fiscal cut off day in Olympia for the house and Senate side, and I do refer to it as happy fiscal cut off day because now we know what is coming before us for the next five weeks before the end of session.",7,,
41,0.97,236.569,257.023,"So I know many of you have made yourself available at the last minute to speak with testimony in front of the virtual Olympia, and to raise concerns as well as interest and commitment to colleagues in the Seattle delegation working hard for all of us.",7,,
42,0.97,257.023,266.933,"Thanks so much for that and I will turn it to Quinn, our state relations director who is back in the game.",7,,
43,0.97,266.933,270.97,"And to Alton Brown, our state lobbyist.",7,,
44,0.97,270.97,285.051,I think Elsa is going to kick it off and Sierra Brown will have a couple things to pass on regarding the Federal affairs Potfolio after Elsa and Quinn.,7,,
45,0.97,285.051,294.193,Thank you.,8,,
46,0.97,294.193,296.429,We really appreciate the time before all of you.,8,,
47,0.97,296.429,298.264,"As she mentioned, it is fiscal cut off today.",8,,
48,0.97,298.264,307.807,So I would say we will know the breath of those bills still moving forward at the end of the day if not now because there are still ongoing executive sessions and transportation committee.,8,,
49,0.97,307.807,319.385,"So not fully determined yet . on the Council bulletin that I shared with you all last night, some of the bills have not made it out of policy committee.",8,,
50,0.97,319.385,328.561,"Does have a strike through them, which means they are unlikely to move forward this session.",8,,
51,0.97,328.561,331.364,"I think I mentioned this last week, but never say never on a bill.",8,,
