index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,24.19,24.724,Good afternoon.,0,,
1,0.97,24.724,27.127,"The December 8, 2020 Governance and education committee will come to order.",0,,
2,0.97,27.127,27.927,Is 20 3 PM.,0,,
3,0.97,27.927,32.332,Will the clerk's call roll?,0,,
4,0.97,32.332,34.934,Gonzalez.,1,,
5,0.97,34.934,43.143,Councilmember Mosqueda.,2,,
6,0.97,43.143,43.643,Councilmember Strauss.,2,,
7,0.97,43.643,47.58,Present.,3,,
8,0.97,47.58,51.184,That is four present and one absent.,3,,
9,0.97,51.184,55.955,Thank you so much.,4,,
10,0.97,55.955,71.171,"Okay, the city council rules are silent to allow the committee to be conducted remotely the Council rules will need to be suspended.",4,,
11,0.97,71.171,75.909,If there is no objection the Council rules will be suspended to allow today's meeting to meet remotely and participate in electronically.,4,,
12,0.97,75.909,84.784,Hearing no objection the Council rule is suspended and the committee will continue with the remote meeting.,4,,
13,0.97,84.784,85.585,Approval of the agenda.,4,,
14,0.97,85.585,90.09,If there is no object in the agenda will be adopted.,4,,
15,0.97,90.09,92.892,Hearing no objection the agenda is adopted.,4,,
16,0.97,92.892,97.397,"Folks, we usually do public comment now.",4,,
17,0.97,97.397,110.143,My understanding is we don't have anyone signed up for public comment and I am looking to our committee clerk to confirm we have not yet had anyone sign up for public comment?,4,,
18,0.97,110.143,112.345,But that is accurate.,4,,
19,0.97,112.345,125.525,We are going to go ahead and open up the comment enclosed public comment since we don't have anyone signed up to give us public testimony today and go ahead and jump into items of business.,5,,
20,0.97,125.525,132.532,"The first item, will the clerk please read item number one into the record?",5,,
21,0.97,132.532,161.161,"Council bill 119967 an ordinance relating to the 2018 families, education, preschool, and promise levy; amending the levy implementation and evaluation plan adopted by ordinance 125807 to grant the Department of education and early learning temporary authority to modify the implementation and evaluation plan in response to the Covid- 19 pandemic; and ratifying and confirming certain prior acts for briefing, discussion and possible vote.",6,,
22,0.97,161.161,162.162,Thank you so much.,7,,
23,0.97,162.162,181.481,"Before I hand this over to Deel, I want to make a note we would Normall have central staff at the table, Brian is the policy analyst assigned to this issue but unfortunately he is away from the office attending to a personal matter and will be back until I believe 10 December.",7,,
24,0.97,181.481,199.933,He did however let my office Knw he worked with Deel in the background to address technical issues ahead of transmittal of this legislation that we are about to be briefed on and discuss.,7,,
25,0.97,199.933,206.039,And he and his due diligence did evaluate the proposed legislation after the technical issues were addressed and identified no other policy issues.,7,,
26,0.97,206.039,213.146,From central staff's perspective related to this.,7,,
27,0.97,213.146,221.421,"Without further Ado, I'm going to go ahead and handed over to director Dwane Chappelle to kickoff the conversation.",7,,
28,0.97,221.421,227.56,Director Chapelle has a presentation and he's going to Queue it up.,7,,
29,0.97,227.56,242.642,"If you could introduce yourself, and members of your team who are with us in Committee, that would be great.",7,,
30,0.97,242.642,244.644,"Then we can go ahead and kick it off,",7,,
31,0.97,244.644,246.179,"All right thank you, Council President.",8,,
32,0.97,246.179,262.295,"I have here with me today, Monica Liang-Aguirre early learning director and our secondary division director and Marissa Rousselle our internal, interim director of commented policy.",8,,
