index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.283,20.387,Good morning and thank you for joining the select budget committee meeting.,0,,
1,0.97,20.387,26.226,I am the chair of the select budget committee.,0,,
2,0.97,26.226,29.262,"It is November 12, 2021 and the time is 9:30.",0,,
3,0.97,29.262,35.835,Quickly call the roll for the select budget committee.,0,,
4,0.97,35.835,38.571,Pedersen?,1,,
5,0.97,38.571,40.373,Here.,2,,
6,0.97,40.373,41.241,Kshama Sawan?,3,,
7,0.97,41.241,41.975,Present.,4,,
8,0.97,41.975,42.575,Strauss?,5,,
9,0.97,42.575,44.677,Gonzalez?,5,,
10,0.97,44.677,50.083,Herbold?,5,,
11,0.97,50.083,50.583,Here.,6,,
12,0.97,50.583,51.651,Debora Juarez?,7,,
13,0.97,51.651,53.987,Here.,8,,
14,0.97,53.987,55.188,Lewis?,9,,
15,0.97,55.188,55.989,Present.,10,,
16,0.97,55.989,56.856,Morale is?,11,,
17,0.97,56.856,57.857,Here.,11,,
18,0.97,57.857,63.296,Teresa Mosqueda?,12,,
19,0.97,63.296,64.664,I am present.,13,,
20,0.97,64.664,74.574,Seven are present.,14,,
21,0.97,74.574,79.145,We have a fall agenda for us and I want to thank you all for the conversations we had on Wednesday.,14,,
22,0.97,79.145,87.12,"As you recall, we had an opportunity to have an overview of the proposed budget and were able to clarify some important questions and address some misconceptions.",14,,
23,0.97,87.12,105.905,"We were able to answer things and see the priorities reflected in our proposed budget and this is an opportunity for us as Council members to continue to go over the proposed budget and ask specific, clarifying questions before the deadline for amendments, which has been extended to 2:00 today.",14,,
24,0.97,105.905,118.451,"As a reminder, Council members wishing to sit--directions were sent to all of the Council members on Wednesday morning.",14,,
25,0.97,118.451,130.597,"Any proposal that increases the appropriations must be self balanced at this phase, meaning it must have funding that is identified through reducing another appropriation in the proposed budget or by suggesting increased revenue in some form.",14,,
26,0.97,130.597,145.445,"Notice that--if it requires legislation, the legislation also needs to be introduced and referred to the budget committee by November 15th.",14,,
27,0.97,145.445,149.315,The committee will vote on the balancing package and amendments on November 18th and the 19th if needed.,14,,
28,0.97,149.315,176.609,"Additional amendments that meet the agenda Timeline--excuse me, only amendments that need to meet established deadlines will be published on the appropriate meeting agenda, meaning if there is an item related to the agenda for Thursday, those materials need to be on the published agenda by Wednesday.",14,,
29,0.97,176.609,179.479,We have a Timeline for all of that.,14,,
30,0.97,179.479,181.147,That way can happen in a timely order.,14,,
31,0.97,181.147,184.817,"If there is an amendment we will discuss on Friday, we needed before the day before as well.",14,,
32,0.97,184.817,200.633,Amendment is not included in the final agenda will not be presented in the budget committee unless they are committed to all central staff directors and deputy clerks by 5:00 the night before.,14,,
33,0.97,200.633,207.607,"If they want to move an amendment and it is not on the agenda on the 18th and 19, the agenda must be amended by an affirmative vote by the majority of those present.",14,,
34,0.97,207.607,220.92,The final vote on the committee consideration for the proposed counsel . excuse me.,14,,
35,0.97,220.92,232.432,"The final vote on this budget will be conducted the morning of November 22nd . The budget committee will meet in the morning, November 22nd to make final votes on the Budget- related legislation.",14,,
36,0.97,232.432,243.743,And then the budget will be transmitted to full counsel that afternoon.,14,,
37,0.97,243.743,251.818,"I want to pause there to see if there are any questions about amendments, Timelines, or process over the next week before I moved into an overview to today's agenda for adoption and consideration.",14,,
38,0.97,251.818,254.887,Any questions about the Timeline in front of us?,14,,
39,0.97,254.887,260.293,"Okay, wonderful.",14,,
40,0.97,260.293,260.893,I will go ahead.,14,,
