index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,218.451,221.387,We are recording.,0,,
1,0.97,221.387,228.828,Okay.,1,,
2,0.97,228.828,229.229,Good afternoon.,1,,
3,0.97,229.229,233.666,This is a meeting of the public assets and native communities committed.,1,,
4,0.97,233.666,240.673,"The time is 2:00 in it is April 6. I am Deborah Willis, the chair of the committee.",1,,
5,0.97,240.673,241.908,With the clerk call the role?,1,,
6,0.97,241.908,243.543,Councilmember Torres?,2,,
7,0.97,243.543,251.15,Here.,3,,
8,0.97,251.15,261.527,[roll being called],3,,
9,0.97,262.895,264.163,Thank you for being here today.,4,,
10,0.97,264.163,265.965,I expect the other Councilmembers will be here shortly.,4,,
11,0.97,265.965,267.667,I will move to approval of the agenda.,4,,
12,0.97,267.667,271.638,"If there is no objection, the agenda will be adopted.",4,,
13,0.97,271.638,273.239,"Hearing no objection, the agenda is adopted.",4,,
14,0.97,273.239,274.741,Now we will move to the chair's report.,4,,
15,0.97,274.741,279.679,Today is the committees second and last hearing to the appeals and examine is initial and final report on the waterfront--number 6751.,4,,
16,0.97,279.679,281.481,This is the final assessment roll.,4,,
17,0.97,281.481,295.395,The hearings today on March 2ND are in compliance with compliance with the revised code of Washington and the Seattle invisible code.,4,,
18,0.97,295.395,303.603,Did Council hear any appeals from the report of the hearing Examiner on the final assessment role for local improvement districts.,4,,
19,0.97,303.603,306.005,"The initial report was filed with the clerk on September 8, 2020.",4,,
20,0.97,306.005,316.215,"Based on the examiners recommendation, the Council remanded 17 properties to the city, Appraiser for the waterfront--for more analysis.",4,,
21,0.97,316.215,324.59,"The hearing Examiner held a hearing on the remanded properties and prepare the final report, consolidating the recommendations on the remanded properties with all recommendations from the initial report.",4,,
22,0.97,324.59,330.83,"The hearing Examiner filed the final report with the city clerk on February 1ST, 2021.",4,,
23,0.97,330.83,345.244,The city clerk published notice of the final report and send courtesy notices to parties who made timely protests before the hearing Examiner.,4,,
24,0.97,345.244,350.717,Any party who made a timely protest of assessments in the hearing Examiner's initial hearing would file an appeal in the final report with the clerk.,4,,
25,0.97,350.717,360.259,That is why you will find two separate indexes in the central staff memo Attachmet one shows an index of appeals to the initial report.,4,,
26,0.97,360.259,366.466,Attachment two shows an index of Appeals for the initial and final report.,4,,
27,0.97,366.466,376.776,"In total, the clerk has scheduled 71 unique valid appeals before the public assets and native communities committee.",4,,
28,0.97,376.776,389.088,"Because some appeals were filed for only the initial report, some only for the final report, and some for both, the total amount of Appeals shown on the indexes attached to the central staff memo adds up to more than 71 appeals as a shared--.",4,,
29,0.97,389.088,407.306,The appeal of the initial report and the appeal of the final report are considered together here today as a completed appeal for any unique hearing examined case number.,4,,
30,0.97,407.306,412.545,We heard the first batch of Appeals on March 2ND and in this committee where we reviewed 32 appeals to the hearing Examiner's initial report.,4,,
31,0.97,412.545,416.816,"Today, we will hear the remaining appeals of the initial report and all of the appeals of the final report.",4,,
32,0.97,416.816,421.921,"After all appeals are reviewed, this committee may make a recommendation to Council.",4,,
33,0.97,421.921,423.923,That is to full council.,4,,
34,0.97,423.923,444.844,We will open the healing with Eric Connie from central staff to offer the central reveal for each appeal as well as the recommendation for each appeal Becky has provided each member guiding material ahead of the meeting and I of course--the clerks file with all the different appeals.,4,,
35,0.97,444.844,451.517,"Because the appeals are quasijudicial matters, the committee is not able to accept other comments today.",4,,
36,0.97,451.517,468.367,"An important reminder to my colleagues, we hold these hearings publicly so we can discuss quasijudicial matters openly so please feel free to engage in conversation and ask questions as we move through the review process.",4,,
37,0.97,468.367,469.836,Are there any questions at this time?,4,,
38,0.97,469.836,470.069,Okay.,4,,
39,0.97,470.069,470.837,"Not hearing any, --",4,,
40,0.97,470.837,471.437,Councilmember Juarez?,5,,
41,0.97,471.437,477.243,I just want to make a note that Council member--is with us as well as Council member her bold.,5,,
42,0.97,477.243,484.684,"Okay so with that can we read that into the record, Natalie?",6,,
43,0.97,484.684,487.253,"Yes, unless there are other questions by Councilmembers before we begin?",7,,
44,0.97,487.253,503.569,"Nope, opaque that is okay we will go to items of business hearing of Appeals please read item number one into the record.",8,,
