index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.417,20.72,We are recording.,0,,
1,0.97,20.72,28.228,"The May 18th, 2022 meeting will come to order at 2:01 P.M.",1,,
2,0.97,28.228,29.329,I'm Andrew Lewis.,1,,
3,0.97,29.329,38.538,Will the clerk call the roll?,1,,
4,0.97,38.538,45.345,Councilmember Herbold?,2,,
5,0.97,45.345,48.214,Morales?,3,,
6,0.97,48.214,50.15,Here.,4,,
7,0.97,50.15,51.251,Juarez?,5,,
8,0.97,51.251,51.518,Here.,6,,
9,0.97,51.518,51.885,Lewis.,7,,
10,0.97,51.885,52.452,Present.,8,,
11,0.97,52.452,59.125,"Chair, there are three members present.",9,,
12,0.97,59.125,59.492,Thank you.,10,,
13,0.97,59.492,61.027,I see Councilmember Morales.,11,,
14,0.97,61.027,67.1,Would you give me a here so you can be listed as present?,11,,
15,0.97,67.1,68.101,"Sorry, here.",12,,
16,0.97,68.101,72.439,"Chair, there are four members present.",13,,
17,0.97,72.439,73.006,"Thank you, Mr. clerk.",14,,
18,0.97,73.006,77.811,"If there's no objection, the agenda will be adopted.",14,,
19,0.97,77.811,82.749,"Hearing no objection, the hearing is adopted.",14,,
20,0.97,82.749,99.766,"Today we have one agenda item from Seattle public library, a presentation on the racial social justice initiative from the Seattle public library with an appearance by new chief librarian, Tom Fay.",14,,
21,0.97,99.766,102.969,We'll get to that presentation by way of public comment.,14,,
22,0.97,102.969,106.105,Let's proceed to the public comment period.,14,,
23,0.97,106.105,108.374,Is anyone signed up for public comment?,14,,
24,0.97,108.374,112.579,No one is signed up for public comment.,15,,
25,0.97,112.579,113.012,Okay.,16,,
26,0.97,113.012,123.423,Then I will just declare the public comment period closed for lack of having any registered callers.,16,,
27,0.97,123.423,127.16,And we can proceed to the items of business.,16,,
28,0.97,127.16,132.098,"Mr. clerk, please call item one into the record.",16,,
29,0.97,132.098,140.64,"Item 1, Seattle public libraries race and social justice initiative Rsji report.",17,,
30,0.97,140.64,142.342,"Thank you, Mr. clerk.",18,,
31,0.97,142.342,156.222,"We are now joined by a panel from the Seattle public library, and librarian Fay, do you want to introduce your panel and then go ahead and begin the presentation?",18,,
32,0.97,156.222,156.789,Absolutely.,19,,
33,0.97,156.789,162.395,"Thank you and good afternoon, chair Lewis and Councilmembers.",19,,
34,0.97,162.395,168.801,Thank you for the opportunity to present our Rsji report.,19,,
35,0.97,168.801,186.252,"I'm Tom Fay and with me today is Alex human, the director of administrative services, as well as our sponsor for the like's race and social justice change team.",19,,
36,0.97,186.252,191.391,We also have our Digital media program manager.,19,,
37,0.97,191.391,200.433,"Next, please, Alex.",19,,
38,0.97,200.433,200.833,Thank you.,19,,
39,0.97,200.833,216.449,"Before I start, I want to acknowledge that the Seattle public library is on indigenous land.",19,,
40,0.97,216.449,216.783,"Next, please.",19,,
41,0.97,216.783,230.863,"As you all know, the library, much like the rest of the city, spent 2021 moving towards reopening, and that's one of our accomplishments for 2021 in the broadest sense.",19,,
42,0.97,230.863,242.075,"As we started our reopening processes all the way back in 2020, safety and equity were driving factors in how we reopen.",19,,
43,0.97,242.075,248.748,"In 2021 we reopened our buildings to the public, with many considerations along the way.",19,,
44,0.97,248.748,265.465,"We started In-Person services in branches that were large enough for and in neighborhoods we felt were most in need of library services, especially those with computers, et cetera.",19,,
45,0.97,265.465,275.842,"Valor, beacon Hill, broad view, Lake City, Rainier Beach and Southwest were the first few branches that came on.",19,,
46,0.97,275.842,276.242,"Next, please.",19,,
47,0.97,276.242,284.083,"On the road to reopening, obviously we had many steps along that through the various quarters.",19,,
48,0.97,284.083,295.561,"First quarter of 2021, we were still expanding curbside services to 15 locations and then began our prep work to begin In-Building services in 2021.",19,,
49,0.97,295.561,313.312,"We worked with the Mayor's office to allow library staff to be eligible for the Covid-19 vaccines a bit earlier so we could safely return to In- building services, protecting our staff and the public coming in.",19,,
50,0.97,313.312,329.228,"By the end of April, the library reopened its first three branches for In-Building services and by the end of the second quarter, we had added an additional 13 branches and essential library building, for a total of 17 branches open to services.",19,,
51,0.97,329.228,343.943,"With the graces of the Mayor and Council, the influx of the Federal funding allowed us to begin Rehiring our staff positions that had been previously cut due to budget reductions.",19,,
52,0.97,343.943,348.648,This allowed us to open more branches and add more In-Person services.,19,,
53,0.97,348.648,360.193,"We were very close to Prepandemic hours at the end of the year until the Omicron variant hit the city, and that put us on some reduced hours for a month or two.",19,,
54,0.97,360.193,370.603,We are now happy to say that we are back to the Prepandemic hours.,19,,
55,0.97,370.603,370.937,"Next, please.",19,,
56,0.97,370.937,371.137,Alex?,19,,
57,0.97,371.137,371.871,"Thank you, Tom.",20,,
58,0.97,371.871,383.282,"As we were focusing on the reopening of the library for In- person services, we also had other Rsji accomplishments that we wanted to highlight here.",20,,
